>,56-Ba-134:0.024170
>,56-Ba-135:0.065920
>,56-Ba-136:0.078540
>,56-Ba-137:0.112320
>,56-Ba-138:0.716980
8.283410e+00,3.32121546e+00
8.287060e+00,3.32508126e+00
8.290700e+00,3.32918053e+00
8.294350e+00,3.33353114e+00
8.297990e+00,3.33815359e+00
8.301640e+00,3.34306576e+00
8.305290e+00,3.34829406e+00
8.308930e+00,3.35386086e+00
8.312580e+00,3.35979515e+00
8.316230e+00,3.36612233e+00
8.319870e+00,3.37287386e+00
8.323520e+00,3.38008378e+00
8.327160e+00,3.38778774e+00
8.330810e+00,3.39601776e+00
8.334460e+00,3.40481742e+00
8.338100e+00,3.41422524e+00
8.341580e+00,3.42381628e+00
8.345060e+00,3.43403957e+00
8.348550e+00,3.44493840e+00
8.352030e+00,3.45654842e+00
8.355510e+00,3.46892099e+00
8.358990e+00,3.48209146e+00
8.362470e+00,3.49611235e+00
8.365950e+00,3.51101800e+00
8.369430e+00,3.52686194e+00
8.372910e+00,3.54367751e+00
8.376390e+00,3.56151519e+00
8.379870e+00,3.58040428e+00
8.383350e+00,3.60039225e+00
8.386830e+00,3.62150233e+00
8.390310e+00,3.64377391e+00
8.393790e+00,3.66722012e+00
8.397440e+00,3.69307767e+00
8.401080e+00,3.72025948e+00
8.404730e+00,3.74877535e+00
8.408380e+00,3.77862038e+00
8.412020e+00,3.80978866e+00
8.415670e+00,3.84223343e+00
8.419320e+00,3.87592252e+00
8.422960e+00,3.91080154e+00
8.426610e+00,3.94681060e+00
8.430250e+00,3.98384496e+00
8.437550e+00,4.06060603e+00
8.444840e+00,4.14011850e+00
8.452130e+00,4.22113082e+00
8.466720e+00,4.38167263e+00
8.474010e+00,4.45776726e+00
8.481300e+00,4.52863008e+00
8.489550e+00,4.60016524e+00
8.493680e+00,4.63174630e+00
8.497800e+00,4.66012580e+00
8.501930e+00,4.68505096e+00
8.506050e+00,4.70627967e+00
8.510180e+00,4.72359952e+00
8.514300e+00,4.73685933e+00
8.519800e+00,4.74798743e+00
8.525300e+00,4.75145974e+00
8.530800e+00,4.74723585e+00
8.535270e+00,4.73816938e+00
8.539740e+00,4.72418421e+00
8.544210e+00,4.70544194e+00
8.548680e+00,4.68216477e+00
8.553140e+00,4.65460535e+00
8.557610e+00,4.62309668e+00
8.562080e+00,4.58798231e+00
8.566550e+00,4.54963594e+00
8.571510e+00,4.50374758e+00
8.576480e+00,4.45493008e+00
8.586410e+00,4.35086152e+00
8.596330e+00,4.24199561e+00
8.606260e+00,4.13255082e+00
8.616470e+00,4.02320180e+00
8.621580e+00,3.97071790e+00
8.626680e+00,3.92012589e+00
8.631790e+00,3.87164361e+00
8.636890e+00,3.82547439e+00
8.641990e+00,3.78173825e+00
8.647100e+00,3.74051687e+00
8.650300e+00,3.71592059e+00
8.653510e+00,3.69233315e+00
8.656720e+00,3.66974965e+00
8.659930e+00,3.64816201e+00
8.663130e+00,3.62755523e+00
8.666340e+00,3.60791184e+00
8.669550e+00,3.58920876e+00
8.672750e+00,3.57142392e+00
8.675960e+00,3.55452975e+00
8.679170e+00,3.53849712e+00
8.682370e+00,3.52329586e+00
8.685580e+00,3.50889336e+00
8.688790e+00,3.49525947e+00
8.692000e+00,3.48235884e+00
8.695200e+00,3.47016031e+00
8.698410e+00,3.45862924e+00
8.701620e+00,3.44773346e+00
8.704820e+00,3.43744181e+00
8.708030e+00,3.42772066e+00
8.711240e+00,3.41854087e+00
8.714440e+00,3.40987128e+00
8.717650e+00,3.40168432e+00
8.720860e+00,3.39394984e+00
8.724070e+00,3.38664360e+00
8.727270e+00,3.37973950e+00
8.730480e+00,3.37321298e+00
8.733690e+00,3.36704097e+00
8.736890e+00,3.36120140e+00
8.740100e+00,3.35567377e+00
8.743310e+00,3.35043803e+00
8.749720e+00,3.34077470e+00
8.750000e+00,3.34039147e+00
8.754970e+00,3.33359259e+00
8.760220e+00,3.32699041e+00
8.765460e+00,3.32090954e+00
8.770710e+00,3.31529817e+00
8.775960e+00,3.31010898e+00
8.781210e+00,3.30530036e+00
8.786460e+00,3.30083584e+00
8.791700e+00,3.29668356e+00
8.796950e+00,3.29281222e+00
8.802200e+00,3.28919702e+00
8.807450e+00,3.28581462e+00
8.812690e+00,3.28264517e+00
8.817940e+00,3.27966889e+00
8.823190e+00,3.27687047e+00
8.828440e+00,3.27423426e+00
8.833680e+00,3.27174817e+00
