Fe-57(n,g) ENDFB-8.0
Energy(eV) XS(b)
2692.81 0.0142765
2707.25 0.0144431
2721.68 0.0146154
2736.12 0.0147938
2750.55 0.0149784
2764.98 0.0151695
2779.42 0.0153675
2793.85 0.0155727
2808.28 0.0157853
2822.72 0.0160057
2837.15 0.0162344
2851.58 0.0164716
2866.02 0.0167179
2880.45 0.0169736
2894.88 0.0172393
2909.32 0.0175155
2923.75 0.0178026
2938.18 0.0181014
2952.62 0.0184124
2967.05 0.0187362
2981.49 0.0190737
2995.92 0.0194256
3010.35 0.0197926
3024.79 0.0201758
3039.22 0.0205760
3053.65 0.0209943
3068.09 0.0214319
3082.52 0.0218898
3096.95 0.0223694
3111.39 0.0228722
3125.82 0.0233996
3140.26 0.0239533
3154.69 0.0245351
3169.12 0.0251470
3183.56 0.0257910
3197.99 0.0264696
3212.42 0.0271853
3226.86 0.0279408
3241.29 0.0287393
3255.72 0.0295840
3270.16 0.0304787
3284.59 0.0314276
3299.02 0.0324349
3313.46 0.0335059
3327.89 0.0346458
3342.33 0.0358611
3356.76 0.0371583
3371.19 0.0385453
3385.63 0.0400304
3400.06 0.0416234
3414.49 0.0433349
3428.93 0.0451771
3443.36 0.0471635
3457.79 0.0493100
3472.23 0.0516338
3486.66 0.0541553
3501.09 0.0568973
3515.53 0.0598865
3529.96 0.0631530
3537.18 0.0649010
3544.40 0.0667318
3551.61 0.0686509
3558.83 0.0706635
3566.05 0.0727763
3573.26 0.0749957
3580.48 0.0773288
3587.70 0.0797831
3594.91 0.0823676
3602.13 0.0850911
3609.35 0.0879635
3616.56 0.0909951
3623.78 0.0941986
3631.00 0.0975861
3638.21 0.101172
3645.43 0.104971
3652.65 0.108999
3659.87 0.113276
3667.08 0.117820
3674.30 0.122654
3681.52 0.127801
3688.73 0.133288
3695.95 0.139143
3703.17 0.145397
3710.38 0.152086
3717.60 0.159247
3724.82 0.166923
3732.03 0.175159
3739.25 0.184006
3746.47 0.193519
3753.68 0.203760
3760.90 0.214792
3768.12 0.226692
3775.33 0.239536
3782.55 0.253410
3789.77 0.268403
3796.98 0.284616
3804.20 0.302150
3811.42 0.321112
3818.63 0.341606
3825.85 0.363743
3833.07 0.387621
3840.28 0.413325
3847.50 0.440916
3854.22 0.468334
3860.94 0.497402
3867.66 0.528060
3874.38 0.560175
3881.09 0.593549
3887.81 0.627871
3901.25 0.697548
3907.97 0.731687
3914.69 0.764332
3921.41 0.794581
3928.13 0.821466
3934.84 0.844029
3941.56 0.861369
3948.28 0.872741
3955.00 0.877623
3961.73 0.875774
3968.45 0.867256
3975.18 0.852441
3981.90 0.831966
3988.63 0.806661
3995.35 0.777474
4002.08 0.745390
4008.80 0.711363
4035.70 0.571406
4042.43 0.538248
4049.15 0.506510
4055.88 0.476359
4062.60 0.447887
4067.97 0.426391
4073.34 0.405984
4078.70 0.386650
4084.07 0.368364
4089.44 0.351086
4094.81 0.334781
4100.17 0.319400
4105.54 0.304904
4110.91 0.291241
4116.28 0.278370
4121.64 0.266241
4127.01 0.254816
4132.38 0.244046
4137.75 0.233897
4143.11 0.224325
4148.48 0.215298
4153.85 0.206777
4159.22 0.198735
4164.58 0.191137
4169.95 0.183958
4175.32 0.177169
4180.69 0.170746
4191.42 0.158908
4202.16 0.148275
4212.89 0.138703
4223.63 0.130066
4234.36 0.122254
4245.10 0.115173
4255.83 0.108741
4266.57 0.102886
4277.30 0.0975447
4288.04 0.0926630
4298.77 0.0881929
4309.51 0.0840924
4320.24 0.0803246
4330.98 0.0768567
4341.71 0.0736602
4352.45 0.0707094
4363.18 0.0679818
4373.92 0.0654573
4384.65 0.0631179
4395.39 0.0609477
4406.12 0.0589324
4416.86 0.0570589
4427.59 0.0553162
4438.33 0.0536936
4449.06 0.0521820
4470.53 0.0494585
4492.00 0.0470879
4513.47 0.0450228
4534.94 0.0432244
4556.41 0.0416616
4577.88 0.0403095
4599.35 0.0391502
4620.82 0.0381742
4642.29 0.0373858
4663.76 0.0368210
4674.50 0.0366557
4685.23 0.0366135
4695.97 0.0367760
4701.34 0.0369867
4706.70 0.0373396
4712.07 0.0379173
4714.76 0.0383343
4717.44 0.0388750
4720.12 0.0395857
4722.81 0.0405359
4725.49 0.0418355
4728.17 0.0436649
4730.86 0.0463421
4732.20 0.0481663
4733.54 0.0504612
4734.88 0.0534008
4736.23 0.0572480
4737.57 0.0624147
4738.91 0.0695694
4739.58 0.0742317
4740.25 0.0798904
4740.92 0.0868501
4741.59 0.0955411
4742.26 0.106588
4742.94 0.120922
4743.27 0.129759
4743.61 0.139988
4743.94 0.151992
4744.28 0.166117
4744.61 0.182998
4744.95 0.203272
4745.28 0.228068
4745.62 0.258637
4745.96 0.297162
4746.12 0.320245
4746.29 0.346332
4746.46 0.376336
4746.63 0.410867
4746.79 0.450881
4746.96 0.497294
4747.13 0.552229
4747.30 0.617491
4747.47 0.695818
4747.63 0.790291
4747.72 0.845585
4747.80 0.907116
4747.88 0.975851
4747.97 1.05295
4748.05 1.13980
4748.14 1.23810
4748.22 1.34993
4748.30 1.47623
4748.39 1.62317
4748.47 1.79332
4748.56 1.99173
4748.64 2.22486
4748.68 2.35696
4748.72 2.50105
4748.77 2.65858
4748.81 2.83123
4748.85 3.02091
4748.89 3.22986
4748.93 3.46066
4748.97 3.70993
4749.02 3.99327
4749.06 4.30902
4749.10 4.66200
4749.14 5.05790
4749.18 5.50342
4749.23 6.00649
4749.27 6.57646
4749.31 7.20796
4749.33 7.56401
4749.35 7.94451
4749.37 8.35141
4749.39 8.78682
4749.41 9.25303
4749.44 9.75244
4749.46 10.2876
4749.48 10.8613
4749.50 11.4763
4749.52 12.1355
4749.54 12.8418
4749.56 13.5982
4749.58 14.4073
4749.60 15.2718
4749.62 16.1935
4749.64 17.1260
4749.67 18.2648
4749.69 19.4195
4749.71 20.6351
4749.73 21.9062
4749.78 24.6369
4749.82 27.3662
4749.85 28.7526
4749.87 30.0105
4749.89 31.1657
4749.91 32.1812
4749.93 33.0539
4749.96 33.6738
4749.98 34.0571
4750.00 34.1868
4750.01 34.1481
4750.02 34.0452
4750.05 33.6508
4750.07 33.0207
4750.09 32.1815
4750.11 31.1164
4750.13 29.9557
4750.16 28.6941
4750.18 27.3668
4750.22 24.5757
4750.27 21.9070
4750.29 20.5795
4750.31 19.3665
4750.33 18.2147
4750.36 17.1270
4750.39 15.7044
4750.42 14.4482
4750.45 13.2687
4750.48 12.2344
4750.51 11.2675
4750.54 10.4216
4750.57 9.63135
4750.60 8.93964
4750.63 8.29252
4750.66 7.72490
4750.69 7.19248
4750.72 6.72409
4750.75 6.28333
4750.78 5.89424
4750.81 5.52683
4750.84 5.20134
4750.88 4.89287
