90-Th_n-g
> 90-Th-232:1.000000
5.000000e+04 9.29302000e-01
5.250000e+04 9.09744000e-01
5.500000e+04 8.91480000e-01
5.750000e+04 8.74370000e-01
6.000000e+04 8.58297000e-01
6.250000e+04 8.43157000e-01
6.500000e+04 8.28863000e-01
6.750000e+04 8.15337000e-01
7.000000e+04 8.02512000e-01
7.399730e+04 7.80191000e-01
7.656870e+04 7.54781000e-01
7.796490e+04 7.37228000e-01
8.256530e+04 6.99013000e-01
8.716560e+04 6.64695000e-01
9.339820e+04 6.38338000e-01
9.963070e+04 6.14631000e-01
1.000000e+05 6.09718000e-01
1.054900e+05 5.78759000e-01
1.109800e+05 5.50826000e-01
1.154900e+05 5.29843000e-01
1.200000e+05 5.10418000e-01
1.278660e+05 4.86475000e-01
1.339330e+05 4.68353000e-01
1.400000e+05 4.51666000e-01
1.475000e+05 4.40022000e-01
1.550000e+05 4.29234000e-01
1.625000e+05 4.19202000e-01
1.700000e+05 4.09841000e-01
1.772630e+05 4.05519000e-01
1.845260e+05 4.01413000e-01
1.922630e+05 3.97059000e-01
2.000000e+05 3.92922000e-01
2.009090e+05 3.91587000e-01
2.080200e+05 3.79462000e-01
2.187580e+05 3.63625000e-01
2.294950e+05 3.49162000e-01
2.324880e+05 3.44184000e-01
2.324890e+05 3.44184000e-01
2.412440e+05 3.35802000e-01
2.500000e+05 3.27913000e-01
2.625000e+05 3.23018000e-01
2.750000e+05 3.18418000e-01
2.875000e+05 3.14084000e-01
3.000000e+05 3.09990000e-01
3.125000e+05 3.03198000e-01
3.250000e+05 2.96813000e-01
3.375000e+05 2.90796000e-01
3.500000e+05 2.85114000e-01
3.750000e+05 2.74636000e-01
4.000000e+05 2.65184000e-01
4.250000e+05 2.63415000e-01
4.500000e+05 2.61757000e-01
4.750000e+05 2.60199000e-01
5.000000e+05 2.58729000e-01
5.250000e+05 2.52945000e-01
5.500000e+05 2.47550000e-01
5.750000e+05 2.42503000e-01
6.000000e+05 2.37767000e-01
6.250000e+05 2.35860000e-01
6.500000e+05 2.34041000e-01
6.750000e+05 2.32305000e-01
7.000000e+05 2.30644000e-01
