76-Os_n-g
> 76-Os-184:0.000200
> 76-Os-186:0.015900
> 76-Os-187:0.019600
> 76-Os-188:0.132400
> 76-Os-189:0.161500
> 76-Os-190:0.262600
> 76-Os-192:0.407800
5.781250e-02 3.72286946e+01
5.937500e-02 3.66736129e+01
5.952570e-02 3.66220731e+01
5.989750e-02 3.64949298e+01
6.026930e-02 3.63678056e+01
6.093750e-02 3.61393891e+01
6.101290e-02 3.61145463e+01
6.250000e-02 3.56247995e+01
6.406250e-02 3.51319973e+01
6.484380e-02 3.48878868e+01
6.562500e-02 3.46530674e+01
6.718750e-02 3.41877531e+01
6.875000e-02 3.37435838e+01
6.953130e-02 3.35239123e+01
7.031250e-02 3.33120732e+01
7.187500e-02 3.28900041e+01
7.343750e-02 3.24903152e+01
7.500000e-02 3.20909674e+01
7.775010e-02 3.14271559e+01
7.812500e-02 3.13399823e+01
8.050010e-02 3.07962075e+01
8.125000e-02 3.06298208e+01
8.193690e-02 3.04796043e+01
8.243760e-02 3.03701550e+01
8.437500e-02 2.99572296e+01
8.471850e-02 2.98872667e+01
8.750000e-02 2.93211373e+01
9.035010e-02 2.87693741e+01
9.062500e-02 2.87178905e+01
9.320010e-02 2.82420275e+01
9.375000e-02 2.81436818e+01
9.605020e-02 2.77375535e+01
9.687500e-02 2.75964427e+01
9.890020e-02 2.72542325e+01
1.000000e-01 2.70723349e+01
1.008160e-01 2.69413153e+01
1.021630e-01 2.67251079e+01
1.030580e-01 2.65846355e+01
1.031250e-01 2.65741243e+01
1.043250e-01 2.63877842e+01
1.046880e-01 2.63332373e+01
1.053000e-01 2.62413738e+01
1.062500e-01 2.60988692e+01
1.086500e-01 2.57423961e+01
1.093750e-01 2.56391726e+01
1.097830e-01 2.55817032e+01
1.125000e-01 2.51993245e+01
1.129750e-01 2.51330857e+01
1.140630e-01 2.49874927e+01
1.142670e-01 2.49602209e+01
1.156250e-01 2.47788238e+01
1.173000e-01 2.45571003e+01
1.187500e-01 2.43703112e+01
1.190510e-01 2.43326800e+01
1.196950e-01 2.42521771e+01
1.197950e-01 2.42396806e+01
1.205390e-01 2.41467212e+01
1.218750e-01 2.39798296e+01
1.220260e-01 2.39616316e+01
1.223480e-01 2.39228421e+01
1.250000e-01 2.36035144e+01
1.276750e-01 2.32924199e+01
1.281250e-01 2.32412444e+01
1.303500e-01 2.29905569e+01
1.312500e-01 2.28923625e+01
1.343750e-01 2.25551069e+01
1.357000e-01 2.24128698e+01
1.375000e-01 2.22252201e+01
