Pt-196(n,tot) ENDFB-8.0
Energy(eV) XS(b)
12.8519 80.5947
12.8622 77.6246
12.8725 74.8406
12.8828 72.2297
12.8931 69.7729
12.9034 67.4603
12.9137 65.2808
12.9240 63.2261
12.9343 61.2830
12.9446 59.4453
12.9653 56.0580
12.9766 54.3418
12.9879 52.7203
13.0106 49.7348
13.0333 47.0532
13.0560 44.6363
13.0786 42.4484
13.1013 40.4631
13.1240 38.6547
13.1467 37.0042
13.1714 35.3620
13.1961 33.8667
13.2209 32.5017
13.2456 31.2527
13.2683 30.1987
13.2910 29.2231
13.3137 28.3187
13.3363 27.4794
13.3590 26.6990
13.3817 25.9735
13.4044 25.2979
13.4270 24.6691
13.4497 24.0830
13.4724 23.5371
13.4951 23.0286
13.5177 22.5553
13.5404 22.1149
13.5631 21.7058
13.5858 21.3263
13.6084 20.9752
13.6373 20.5674
13.6662 20.2021
13.6950 19.8779
13.7239 19.5941
13.7528 19.3505
13.7816 19.1478
13.8105 18.9869
13.8393 18.8698
13.8723 18.7931
13.9053 18.7831
13.9383 18.8481
13.9548 18.9121
13.9713 18.9996
13.9878 19.1125
14.0043 19.2535
14.0183 19.3981
14.0324 19.5674
14.0517 19.8450
14.0711 20.1814
14.0904 20.5858
14.1098 21.0697
14.1291 21.6477
14.1388 21.9771
14.1485 22.3371
14.1581 22.7307
14.1678 23.1612
14.1775 23.6326
14.1871 24.1495
14.2012 24.9935
14.2153 25.9640
14.2223 26.5043
14.2293 27.0848
14.2364 27.7103
14.2434 28.3853
14.2504 29.1159
14.2575 29.9058
14.2645 30.7627
14.2715 31.6941
14.2786 32.7103
14.2856 33.8182
14.2926 35.0310
14.2997 36.3618
14.3045 37.3546
14.3093 38.4163
14.3142 39.5533
14.3190 40.7698
14.3239 42.0786
14.3287 43.4828
14.3335 44.9975
14.3384 46.6268
14.3432 48.3887
14.3480 50.2925
14.3529 52.3517
14.3577 54.5763
14.3625 56.9918
14.3674 59.6053
14.3722 62.4464
14.3770 65.5233
14.3806 67.9298
14.3841 70.4843
14.3876 73.1956
14.3911 76.0644
14.3946 79.1166
14.3981 82.3442
14.4017 85.7754
14.4052 89.4004
14.4087 93.2495
14.4122 97.3224
14.4157 101.629
14.4192 106.164
14.4228 110.964
14.4263 116.008
14.4298 121.333
14.4333 126.916
14.4390 136.525
14.4446 146.878
14.4503 157.984
14.4560 169.841
14.4617 182.433
14.4673 195.733
14.4730 209.694
14.4787 224.229
14.4853 242.016
14.4920 260.360
14.4987 279.063
14.5053 297.898
14.5078 304.715
14.5146 323.721
14.5214 342.155
14.5282 359.723
14.5350 376.096
14.5433 393.869
14.5515 408.878
14.5556 415.201
14.5598 420.646
14.5639 425.197
14.5680 428.792
14.5740 432.283
14.5800 433.650
14.5842 433.327
14.5884 431.950
14.5926 429.534
14.5969 426.100
14.6011 421.680
14.6053 416.313
14.6095 410.048
14.6137 402.937
14.6215 387.802
14.6292 370.446
14.6370 351.284
14.6448 330.844
14.6520 311.076
14.6592 290.987
14.6664 270.888
14.6736 251.080
14.6821 228.375
14.6907 206.811
14.6949 196.530
14.6992 186.618
14.7034 177.092
14.7077 167.965
14.7149 153.434
14.7185 146.615
14.7221 140.110
14.7257 133.882
14.7293 127.960
14.7329 122.306
14.7365 116.946
