26-Fe_n-tot
>  26-Fe-54:0.058450
>  26-Fe-56:0.917533
>  26-Fe-57:0.021190
>  26-Fe-58:0.002828
2.328770e+02 1.04800965e+01
2.329630e+02 1.04798055e+01
2.330500e+02 1.04795135e+01
2.331360e+02 1.04792265e+01
2.332220e+02 1.04789409e+01
2.333090e+02 1.04786536e+01
2.333950e+02 1.04783707e+01
2.334820e+02 1.04780857e+01
2.335680e+02 1.04778048e+01
2.336540e+02 1.04775248e+01
2.337410e+02 1.04772425e+01
2.339140e+02 1.04766829e+01
2.340860e+02 1.04761289e+01
2.342590e+02 1.04755736e+01
2.344080e+02 1.04750966e+01
2.345580e+02 1.04746175e+01
2.347070e+02 1.04741425e+01
2.348560e+02 1.04736682e+01
2.350050e+02 1.04731946e+01
2.351540e+02 1.04727217e+01
2.353040e+02 1.04722461e+01
2.354530e+02 1.04717741e+01
2.357510e+02 1.04708314e+01
2.360500e+02 1.04698868e+01
2.363480e+02 1.04689465e+01
2.366470e+02 1.04680040e+01
2.369290e+02 1.04671157e+01
2.372120e+02 1.04662248e+01
2.374950e+02 1.04653345e+01
2.375000e+02 1.04653187e+01
2.377780e+02 1.04644549e+01
2.380600e+02 1.04635790e+01
2.383430e+02 1.04627002e+01
2.389090e+02 1.04609434e+01
2.394740e+02 1.04591906e+01
2.400400e+02 1.04574353e+01
2.406050e+02 1.04556835e+01
2.411710e+02 1.04539291e+01
2.417360e+02 1.04521781e+01
2.423020e+02 1.04504243e+01
2.428670e+02 1.04486737e+01
2.434330e+02 1.04469203e+01
2.445640e+02 1.04434170e+01
2.456940e+02 1.04399172e+01
2.468250e+02 1.04364146e+01
2.479560e+02 1.04329124e+01
2.490870e+02 1.04294103e+01
2.500000e+02 1.04265833e+01
2.502180e+02 1.04259195e+01
2.522290e+02 1.04197964e+01
2.542400e+02 1.04136736e+01
2.562500e+02 1.04075540e+01
2.582610e+02 1.04014326e+01
2.602720e+02 1.03953113e+01
2.622820e+02 1.03891931e+01
2.663030e+02 1.03769540e+01
2.703250e+02 1.03647120e+01
2.743460e+02 1.03524732e+01
2.750000e+02 1.03504826e+01
2.783670e+02 1.03404586e+01
2.823880e+02 1.03284876e+01
2.866610e+02 1.03157665e+01
2.909340e+02 1.03030457e+01
2.937500e+02 1.02946624e+01
2.952060e+02 1.02903285e+01
2.994790e+02 1.02776096e+01
3.000000e+02 1.02760589e+01
3.037510e+02 1.02651143e+01
3.058880e+02 1.02588791e+01
3.080240e+02 1.02526469e+01
3.101600e+02 1.02464148e+01
3.122960e+02 1.02401829e+01
3.125000e+02 1.02395877e+01
3.144330e+02 1.02339489e+01
3.165690e+02 1.02277182e+01
3.184540e+02 1.02222197e+01
3.203390e+02 1.02167215e+01
3.222240e+02 1.02112234e+01
3.241090e+02 1.02057257e+01
3.250000e+02 1.02031271e+01
3.250510e+02 1.02029813e+01
3.259940e+02 1.02002866e+01
3.269360e+02 1.01975948e+01
3.278790e+02 1.01949003e+01
3.288210e+02 1.01922087e+01
3.297640e+02 1.01895144e+01
3.307060e+02 1.01868232e+01
