Si-30(n,g) ENDFB-8.0
Energy(eV) XS(b)
174131 0.00218175
174236 0.00221995
174341 0.00225905
174447 0.00229912
174552 0.00234016
174658 0.00238215
174763 0.00242524
174868 0.00246937
174974 0.00251459
175079 0.00256095
175185 0.00260843
175290 0.00265711
175395 0.00270701
175501 0.00275812
175625 0.00282024
175750 0.00288412
175874 0.00294994
175999 0.00301769
176124 0.00308747
176186 0.00312316
176248 0.00315957
176373 0.00323344
176497 0.00330944
176603 0.00337584
176708 0.00344371
176813 0.00351297
176919 0.00358434
177024 0.00365740
177130 0.00373191
177235 0.00380851
177340 0.00388707
177446 0.00396713
177551 0.00404920
177657 0.00413351
177762 0.00421939
177867 0.00430716
177973 0.00439738
178078 0.00448926
178183 0.00458283
178291 0.00468057
178398 0.00478018
178505 0.00488153
178612 0.00498522
178826 0.00519835
178933 0.00530798
179040 0.00541958
179147 0.00553276
179254 0.00564768
179468 0.00588287
179575 0.00600259
179682 0.00612388
179896 0.00636948
180062 0.00656265
180228 0.00675706
180394 0.00695194
180560 0.00714635
180726 0.00733872
180892 0.00752836
181058 0.00771427
181224 0.00789487
181557 0.00823449
181889 0.00853500
182221 0.00878423
182553 0.00897014
182865 0.00907887
183178 0.00911860
183451 0.00909278
183724 0.00901301
183998 0.00888358
