83-Bi_n-tot
> 83-Bi-209:1.000000
4.812500e+02 8.34851000e+00
5.000000e+02 8.26083000e+00
5.104650e+02 8.20751000e+00
5.209290e+02 8.15072000e+00
5.313940e+02 8.09014000e+00
5.418590e+02 8.02537000e+00
5.523240e+02 7.95594000e+00
5.627880e+02 7.88133000e+00
5.732530e+02 7.80108000e+00
5.837180e+02 7.71396000e+00
5.901130e+02 7.65690000e+00
5.965080e+02 7.59698000e+00
6.029030e+02 7.53380000e+00
6.092980e+02 7.46687000e+00
6.156930e+02 7.39635000e+00
6.220880e+02 7.32138000e+00
6.284830e+02 7.24183000e+00
6.348780e+02 7.15754000e+00
6.406920e+02 7.07575000e+00
6.465060e+02 6.98905000e+00
6.523190e+02 6.89715000e+00
6.581330e+02 6.79943000e+00
6.639470e+02 6.69473000e+00
6.697610e+02 6.58299000e+00
6.755740e+02 6.46374000e+00
6.813880e+02 6.33616000e+00
6.845860e+02 6.26172000e+00
6.877830e+02 6.18436000e+00
6.909810e+02 6.10383000e+00
6.941780e+02 6.01985000e+00
6.973760e+02 5.93251000e+00
7.005730e+02 5.84137000e+00
7.037710e+02 5.74637000e+00
7.069680e+02 5.64748000e+00
7.101660e+02 5.54417000e+00
7.133630e+02 5.43668000e+00
7.165610e+02 5.32472000e+00
7.197580e+02 5.20808000e+00
7.229560e+02 5.08711000e+00
7.261540e+02 4.96155000e+00
7.277520e+02 4.89724000e+00
7.293510e+02 4.83178000e+00
7.309500e+02 4.76550000e+00
7.325490e+02 4.69839000e+00
7.344380e+02 4.61800000e+00
7.363280e+02 4.53680000e+00
7.382170e+02 4.45513000e+00
7.401060e+02 4.37323000e+00
7.419960e+02 4.29164000e+00
7.438850e+02 4.21099000e+00
7.457750e+02 4.13207000e+00
7.476640e+02 4.05587000e+00
7.491180e+02 3.99991000e+00
7.505710e+02 3.94704000e+00
7.520250e+02 3.89811000e+00
7.534780e+02 3.85421000e+00
7.549310e+02 3.81665000e+00
7.563850e+02 3.78696000e+00
7.578380e+02 3.76703000e+00
7.592920e+02 3.75924000e+00
7.606000e+02 3.76505000e+00
7.619080e+02 3.78564000e+00
7.632160e+02 3.82417000e+00
7.645240e+02 3.88446000e+00
7.651780e+02 3.92409000e+00
7.658320e+02 3.97124000e+00
7.664860e+02 4.02630000e+00
7.671400e+02 4.08992000e+00
7.677940e+02 4.16248000e+00
7.684480e+02 4.24688000e+00
7.691020e+02 4.34370000e+00
7.697560e+02 4.45400000e+00
7.705560e+02 4.60938000e+00
7.713550e+02 4.79036000e+00
7.721550e+02 5.00061000e+00
7.729540e+02 5.24444000e+00
7.737530e+02 5.52686000e+00
7.741530e+02 5.68435000e+00
7.745530e+02 5.85378000e+00
7.749520e+02 6.03605000e+00
7.753520e+02 6.23216000e+00
7.757520e+02 6.44317000e+00
