58-Ce_n-tot
> 58-Ce-136:0.001850
> 58-Ce-138:0.002510
> 58-Ce-140:0.884500
> 58-Ce-142:0.111140
1.156250e-01 3.07846815e+01
1.187500e-01 3.04088932e+01
1.190510e-01 3.03740475e+01
1.197950e-01 3.02879174e+01
1.205390e-01 3.02017875e+01
1.218750e-01 3.00471246e+01
1.220260e-01 3.00302769e+01
1.250000e-01 2.96984584e+01
1.281250e-01 2.93622185e+01
1.312500e-01 2.90376268e+01
1.343750e-01 2.87241093e+01
1.375000e-01 2.84209812e+01
1.406250e-01 2.81277595e+01
1.437500e-01 2.78436513e+01
1.500000e-01 2.73012298e+01
1.562500e-01 2.67899943e+01
1.625000e-01 2.63070183e+01
1.687500e-01 2.58498024e+01
1.750000e-01 2.54161984e+01
1.812500e-01 2.50041691e+01
1.875000e-01 2.46119178e+01
1.937500e-01 2.42377412e+01
2.000000e-01 2.38802872e+01
2.046880e-01 2.36225325e+01
2.093750e-01 2.33731437e+01
2.140630e-01 2.31317146e+01
2.187500e-01 2.28976215e+01
2.281250e-01 2.24502206e+01
2.375000e-01 2.20275700e+01
2.381030e-01 2.20018525e+01
2.404090e-01 2.19035033e+01
2.427150e-01 2.18051545e+01
2.468750e-01 2.16277352e+01
2.473270e-01 2.16094599e+01
2.562500e-01 2.12486878e+01
2.565510e-01 2.12371304e+01
2.656250e-01 2.08887245e+01
2.657760e-01 2.08832051e+01
2.750000e-01 2.05460486e+01
2.843750e-01 2.02195215e+01
2.937500e-01 1.99076798e+01
3.031250e-01 1.96095050e+01
3.125000e-01 1.93239699e+01
3.218750e-01 1.90500737e+01
3.312500e-01 1.87872427e+01
3.406250e-01 1.85344674e+01
3.500000e-01 1.82912853e+01
3.593750e-01 1.80569091e+01
3.687500e-01 1.78310052e+01
3.781250e-01 1.76128889e+01
3.875000e-01 1.74021153e+01
3.968750e-01 1.71983419e+01
4.062500e-01 1.70012351e+01
4.156250e-01 1.68102227e+01
4.250000e-01 1.66251893e+01
4.343750e-01 1.64457352e+01
4.437500e-01 1.62715048e+01
4.531250e-01 1.61023153e+01
4.625000e-01 1.59379048e+01
5.000000e-01 1.53255409e+01
5.312500e-01 1.48613468e+01
5.625000e-01 1.44323676e+01
5.937500e-01 1.40352043e+01
6.250000e-01 1.36661351e+01
6.562500e-01 1.33218931e+01
6.875000e-01 1.29994569e+01
7.187500e-01 1.26970813e+01
7.500000e-01 1.24122659e+01
8.125000e-01 1.18897747e+01
8.750000e-01 1.14219919e+01
9.375000e-01 1.09990728e+01
9.524110e-01 1.09070321e+01
1.000000e+00 1.06132887e+01
1.017730e+00 1.05132120e+01
1.062500e+00 1.02605115e+01
1.078560e+00 1.01772248e+01
1.125000e+00 9.93639137e+00
1.133030e+00 9.89797063e+00
1.187500e+00 9.63735527e+00
1.250000e+00 9.36043628e+00
1.312500e+00 9.10313430e+00
1.364130e+00 8.90505991e+00
1.375000e+00 8.86335885e+00
1.437500e+00 8.63938683e+00
1.486210e+00 8.47572321e+00
1.500000e+00 8.42938983e+00
1.531250e+00 8.33088944e+00
1.562500e+00 8.23239013e+00
1.619200e+00 8.06410071e+00
1.625000e+00 8.04688629e+00
1.687500e+00 7.87216464e+00
1.750000e+00 7.70703813e+00
1.765750e+00 7.66770769e+00
1.812500e+00 7.55096646e+00
1.820380e+00 7.53231053e+00
1.875000e+00 7.40300007e+00
1.904820e+00 7.33606984e+00
1.937500e+00 7.26272212e+00
2.000000e+00 7.12961427e+00
2.078560e+00 6.97233928e+00
2.093750e+00 6.94193045e+00
2.157110e+00 6.82376510e+00
2.187500e+00 6.76709003e+00
2.281250e+00 6.60415828e+00
2.375000e+00 6.45175995e+00
2.387740e+00 6.43238488e+00
2.431430e+00 6.36594263e+00
2.468750e+00 6.30918992e+00
2.475120e+00 6.30009357e+00
2.562500e+00 6.17532112e+00
2.576750e+00 6.15621114e+00
2.614630e+00 6.10541365e+00
2.652510e+00 6.05461844e+00
2.656250e+00 6.04960358e+00
2.728270e+00 5.95860929e+00
2.750000e+00 5.93115588e+00
2.832030e+00 5.83351373e+00
2.843750e+00 5.81956489e+00
2.914060e+00 5.74048483e+00
2.937500e+00 5.71412469e+00
2.996090e+00 5.65185230e+00
3.031250e+00 5.61448920e+00
3.078130e+00 5.56728381e+00
3.125000e+00 5.52009789e+00
3.160160e+00 5.48656197e+00
3.218750e+00 5.43069273e+00
3.242190e+00 5.40946108e+00
3.312500e+00 5.34579378e+00
3.324220e+00 5.33571664e+00
3.406250e+00 5.26521093e+00
3.453130e+00 5.22686428e+00
3.500000e+00 5.18853663e+00
3.570310e+00 5.13385038e+00
3.593750e+00 5.11562820e+00
3.640630e+00 5.08099007e+00
3.687500e+00 5.04638376e+00
3.710940e+00 5.03022305e+00
3.781250e+00 4.98178824e+00
3.816410e+00 4.95758456e+00
3.851560e+00 4.93340026e+00
3.875000e+00 4.91728174e+00
3.886720e+00 4.90990926e+00
3.921880e+00 4.88780710e+00
3.957030e+00 4.86572822e+00
3.992190e+00 4.84366108e+00
4.027340e+00 4.82161983e+00
4.062500e+00 4.79959360e+00
4.070930e+00 4.79476258e+00
4.093320e+00 4.78193851e+00
4.115700e+00 4.76913118e+00
4.160470e+00 4.74354552e+00
4.205230e+00 4.71801619e+00
4.250000e+00 4.69253868e+00
4.288090e+00 4.67270150e+00
4.326170e+00 4.65292525e+00
4.364260e+00 4.63320639e+00
4.402340e+00 4.61356395e+00
4.437500e+00 4.59550240e+00
4.440430e+00 4.59411977e+00
4.478520e+00 4.57623925e+00
4.516600e+00 4.55847228e+00
4.535650e+00 4.54962987e+00
4.554690e+00 4.54082627e+00
4.582290e+00 4.52813037e+00
4.609890e+00 4.51552089e+00
4.625000e+00 4.50867114e+00
4.637490e+00 4.50347521e+00
4.665080e+00 4.49210852e+00
4.692680e+00 4.48086326e+00
4.720280e+00 4.46976182e+00
4.747880e+00 4.45882530e+00
4.775480e+00 4.44807953e+00
4.799150e+00 4.43903792e+00
4.812500e+00 4.43404259e+00
4.822820e+00 4.43052406e+00
4.846490e+00 4.42266403e+00
4.870160e+00 4.41504521e+00
4.893830e+00 4.40770499e+00
4.905670e+00 4.40415150e+00
4.917500e+00 4.40068983e+00
4.929340e+00 4.39731956e+00
4.941170e+00 4.39405668e+00
4.953010e+00 4.39090202e+00
4.964840e+00 4.38787383e+00
4.982420e+00 4.38362096e+00
5.000000e+00 4.37970267e+00
5.009600e+00 4.37798781e+00
5.019190e+00 4.37639964e+00
5.031180e+00 4.37460162e+00
5.043170e+00 4.37303276e+00
5.055170e+00 4.37171497e+00
5.067160e+00 4.37068326e+00
5.079150e+00 4.36996730e+00
5.091140e+00 4.36960274e+00
5.103140e+00 4.36962956e+00
5.115130e+00 4.37010409e+00
5.124720e+00 4.37084269e+00
5.134320e+00 4.37193149e+00
5.143910e+00 4.37341707e+00
5.153510e+00 4.37533518e+00
5.156250e+00 4.37601549e+00
5.162030e+00 4.37758339e+00
5.170560e+00 4.38031478e+00
5.179080e+00 4.38351926e+00
5.187610e+00 4.38724185e+00
5.196140e+00 4.39154575e+00
5.204660e+00 4.39650347e+00
5.213190e+00 4.40218686e+00
5.221710e+00 4.40869601e+00
5.230360e+00 4.41623758e+00
5.239000e+00 4.42486845e+00
5.247640e+00 4.43474328e+00
5.256280e+00 4.44604478e+00
5.264920e+00 4.45899938e+00
5.269240e+00 4.46617822e+00
5.273560e+00 4.47387387e+00
5.277880e+00 4.48213302e+00
5.282200e+00 4.49099708e+00
5.286530e+00 4.50052507e+00
5.290850e+00 4.51077465e+00
5.294780e+00 4.52079788e+00
5.298720e+00 4.53152521e+00
5.302650e+00 4.54302683e+00
5.306590e+00 4.55536558e+00
5.310520e+00 4.56862672e+00
5.312500e+00 4.57579236e+00
5.314460e+00 4.58292787e+00
5.318390e+00 4.59836957e+00
5.322330e+00 4.61501006e+00
5.326260e+00 4.63298184e+00
5.330200e+00 4.65240089e+00
5.334130e+00 4.67342734e+00
5.338070e+00 4.69621733e+00
5.342000e+00 4.72096360e+00
5.345940e+00 4.74786246e+00
5.349870e+00 4.77715434e+00
5.353810e+00 4.80907821e+00
5.356090e+00 4.82888346e+00
5.358370e+00 4.84971530e+00
5.360640e+00 4.87165756e+00
5.362920e+00 4.89474840e+00
5.365200e+00 4.91908169e+00
5.367480e+00 4.94470261e+00
5.369760e+00 4.97170152e+00
5.372040e+00 5.00015372e+00
5.374310e+00 5.03016061e+00
5.376590e+00 5.06177039e+00
5.378870e+00 5.09508948e+00
5.381150e+00 5.13020824e+00
5.383430e+00 5.16723460e+00
5.385710e+00 5.20623633e+00
5.387980e+00 5.24732738e+00
5.390260e+00 5.29060113e+00
5.392540e+00 5.33618408e+00
5.394820e+00 5.38413647e+00
5.397100e+00 5.43460388e+00
5.399380e+00 5.48764404e+00
5.401650e+00 5.54340855e+00
5.403930e+00 5.60193808e+00
5.406210e+00 5.66335662e+00
5.408490e+00 5.72775453e+00
5.410770e+00 5.79525229e+00
5.413050e+00 5.86587249e+00
5.415320e+00 5.93971904e+00
5.417600e+00 6.01685269e+00
5.419880e+00 6.09736731e+00
5.422160e+00 6.18124031e+00
5.424440e+00 6.26854197e+00
5.426710e+00 6.35929085e+00
5.429820e+00 6.48862264e+00
5.432930e+00 6.62433986e+00
5.436040e+00 6.76633208e+00
5.439140e+00 6.91441456e+00
5.442250e+00 7.06841713e+00
5.445350e+00 7.22794521e+00
5.448460e+00 7.39266549e+00
5.451570e+00 7.56202926e+00
5.456860e+00 7.85946705e+00
5.462140e+00 8.16539215e+00
5.468750e+00 8.55294993e+00
5.472720e+00 8.78579510e+00
5.478470e+00 9.11651444e+00
5.484220e+00 9.43320288e+00
5.489970e+00 9.72833042e+00
5.495730e+00 9.99418805e+00
5.499140e+00 1.01351991e+01
5.502550e+00 1.02618780e+01
5.505960e+00 1.03730703e+01
5.509380e+00 1.04675426e+01
5.512790e+00 1.05443227e+01
5.516200e+00 1.06025791e+01
5.519610e+00 1.06417092e+01
5.523030e+00 1.06612581e+01
5.525300e+00 1.06633169e+01
5.529850e+00 1.06410510e+01
5.533550e+00 1.05973555e+01
5.537240e+00 1.05312740e+01
5.540940e+00 1.04436534e+01
5.544640e+00 1.03356015e+01
5.548340e+00 1.02084484e+01
5.552030e+00 1.00637035e+01
5.555730e+00 9.90309213e+00
5.559430e+00 9.72850005e+00
5.565410e+00 9.42092546e+00
5.571400e+00 9.09010495e+00
5.577390e+00 8.74452564e+00
5.583370e+00 8.39229815e+00
5.595290e+00 7.69967852e+00
5.601250e+00 7.36936996e+00
5.607210e+00 7.05582820e+00
5.613170e+00 6.76198993e+00
5.616150e+00 6.62317810e+00
5.619130e+00 6.48999871e+00
5.622110e+00 6.36250447e+00
5.625000e+00 6.24445937e+00
5.625090e+00 6.24078488e+00
5.628070e+00 6.12488900e+00
5.631050e+00 6.01476110e+00
5.634030e+00 5.91025058e+00
5.637010e+00 5.81128464e+00
5.639990e+00 5.71772525e+00
5.642970e+00 5.62941176e+00
5.645950e+00 5.54616345e+00
5.648930e+00 5.46778704e+00
5.651910e+00 5.39407422e+00
5.654890e+00 5.32483673e+00
5.657870e+00 5.25980850e+00
5.660850e+00 5.19879377e+00
5.663830e+00 5.14157165e+00
5.666810e+00 5.08794636e+00
5.669790e+00 5.03766689e+00
5.672770e+00 4.99054501e+00
5.675750e+00 4.94638242e+00
5.678730e+00 4.90499840e+00
5.681710e+00 4.86618210e+00
5.684690e+00 4.82977290e+00
5.687670e+00 4.79560764e+00
5.690650e+00 4.76352568e+00
5.693630e+00 4.73338143e+00
5.696610e+00 4.70503937e+00
5.699590e+00 4.67836646e+00
5.702570e+00 4.65325477e+00
5.705550e+00 4.62957377e+00
5.708530e+00 4.60722810e+00
5.711510e+00 4.58612237e+00
5.714490e+00 4.56616622e+00
5.717470e+00 4.54727932e+00
5.720450e+00 4.52938388e+00
5.726400e+00 4.49630191e+00
5.730740e+00 4.47426593e+00
5.735070e+00 4.45375916e+00
5.739410e+00 4.43462725e+00
5.743740e+00 4.41674092e+00
5.748080e+00 4.39998096e+00
5.752410e+00 4.38425073e+00
5.756740e+00 4.36945672e+00
5.761080e+00 4.35551047e+00
5.765950e+00 4.34075575e+00
5.770830e+00 4.32689146e+00
5.775710e+00 4.31384041e+00
5.780580e+00 4.30153545e+00
5.781250e+00 4.29993824e+00
5.785460e+00 4.28997122e+00
5.790330e+00 4.27904144e+00
5.795210e+00 4.26867670e+00
5.800090e+00 4.25883430e+00
5.804960e+00 4.24947603e+00
5.809840e+00 4.24055881e+00
5.814710e+00 4.23205494e+00
5.819590e+00 4.22392837e+00
5.829340e+00 4.20871082e+00
5.839090e+00 4.19471513e+00
5.845700e+00 4.18584300e+00
5.852310e+00 4.17741539e+00
5.858920e+00 4.16939415e+00
5.865530e+00 4.16174590e+00
