66-Dy_n-g
> 66-Dy-156:0.000600
> 66-Dy-158:0.001000
> 66-Dy-160:0.023400
> 66-Dy-161:0.189100
> 66-Dy-162:0.255100
> 66-Dy-163:0.249000
> 66-Dy-164:0.281800
3.870030e-01 3.95315606e+02
3.875000e-01 3.95051995e+02
3.884230e-01 3.94583133e+02
3.908600e-01 3.93345635e+02
3.921880e-01 3.92671607e+02
3.932960e-01 3.92109587e+02
3.957330e-01 3.90874070e+02
3.968750e-01 3.90295410e+02
3.981690e-01 3.89642327e+02
3.984380e-01 3.89506640e+02
4.006060e-01 3.88451592e+02
4.030420e-01 3.87266883e+02
4.054790e-01 3.86082478e+02
4.062500e-01 3.85707966e+02
4.066970e-01 3.85492189e+02
4.079150e-01 3.84904450e+02
4.085940e-01 3.84576939e+02
4.093750e-01 3.84200452e+02
4.093780e-01 3.84199056e+02
4.108400e-01 3.83519207e+02
4.109380e-01 3.83473658e+02
4.123030e-01 3.82839235e+02
4.137650e-01 3.82160102e+02
4.152280e-01 3.81480872e+02
4.156250e-01 3.81296665e+02
4.166900e-01 3.80804388e+02
4.181530e-01 3.80128542e+02
4.196150e-01 3.79453589e+02
4.203130e-01 3.79131554e+02
4.210780e-01 3.78790351e+02
4.225400e-01 3.78138739e+02
4.240030e-01 3.77487147e+02
4.250000e-01 3.77043446e+02
4.254650e-01 3.76837918e+02
4.269280e-01 3.76191783e+02
4.283900e-01 3.75546634e+02
4.298530e-01 3.74901585e+02
4.312500e-01 3.74286196e+02
4.313150e-01 3.74258531e+02
4.325800e-01 3.73720625e+02
4.338460e-01 3.73182741e+02
4.343750e-01 3.72958190e+02
4.351110e-01 3.72646926e+02
4.363760e-01 3.72112434e+02
4.376420e-01 3.71578016e+02
4.389070e-01 3.71044559e+02
4.390630e-01 3.70978839e+02
4.401720e-01 3.70511661e+02
4.414380e-01 3.69978893e+02
4.421880e-01 3.69663658e+02
4.429320e-01 3.69360953e+02
4.437500e-01 3.69028590e+02
4.444270e-01 3.68755387e+02
4.459220e-01 3.68152947e+02
4.474170e-01 3.67551407e+02
4.489120e-01 3.66950788e+02
4.504070e-01 3.66351129e+02
4.519020e-01 3.65752460e+02
4.531250e-01 3.65263547e+02
4.533970e-01 3.65158739e+02
4.548460e-01 3.64601419e+02
4.562950e-01 3.64045109e+02
4.577450e-01 3.63489444e+02
4.591940e-01 3.62935234e+02
4.606430e-01 3.62382115e+02
4.620930e-01 3.61829689e+02
4.625000e-01 3.61674951e+02
4.635420e-01 3.61281961e+02
4.640630e-01 3.61085876e+02
4.649910e-01 3.60747814e+02
4.663930e-01 3.60238157e+02
4.671880e-01 3.59949765e+02
4.677950e-01 3.59729579e+02
4.691970e-01 3.59222102e+02
4.705980e-01 3.58716086e+02
4.718750e-01 3.58255804e+02
4.720000e-01 3.58210921e+02
4.734020e-01 3.57708573e+02
4.748040e-01 3.57207255e+02
4.750000e-01 3.57137312e+02
4.762060e-01 3.56739753e+02
4.772200e-01 3.56406118e+02
4.781990e-01 3.56084441e+02
4.791780e-01 3.55763194e+02
4.801570e-01 3.55442387e+02
4.811350e-01 3.55122322e+02
4.812500e-01 3.55084728e+02
4.821140e-01 3.54803979e+02
4.830930e-01 3.54486201e+02
4.840720e-01 3.54168754e+02
4.850510e-01 3.53851577e+02
4.860300e-01 3.53534669e+02
4.870080e-01 3.53218332e+02
4.879870e-01 3.52901804e+02
4.889660e-01 3.52585407e+02
4.899450e-01 3.52269110e+02
4.909240e-01 3.51952832e+02
4.919030e-01 3.51636555e+02
4.928810e-01 3.51320557e+02
4.946610e-01 3.50745010e+02
4.964410e-01 3.50168672e+02
5.000000e-01 3.49012446e+02
5.031630e-01 3.47992996e+02
5.063250e-01 3.46965082e+02
5.094880e-01 3.45925502e+02
5.126500e-01 3.44872598e+02
5.158130e-01 3.43803568e+02
5.187500e-01 3.42794674e+02
5.189750e-01 3.42725699e+02
5.221380e-01 3.41737330e+02
5.253000e-01 3.40729919e+02
5.283050e-01 3.39754574e+02
5.312500e-01 3.38782063e+02
5.313100e-01 3.38762501e+02
5.343150e-01 3.37766749e+02
5.373200e-01 3.36756427e+02
5.403250e-01 3.35733275e+02
5.433300e-01 3.34699252e+02
5.463350e-01 3.33656470e+02
5.468750e-01 3.33467894e+02
5.493400e-01 3.32608366e+02
