19-K_n-tot
>   19-K-39:0.932690
>   19-K-41:0.067310
8.973930e+02 1.48300950e+00
8.974480e+02 1.48073058e+00
8.975030e+02 1.47758201e+00
8.975790e+02 1.47191917e+00
8.976550e+02 1.46474657e+00
8.977300e+02 1.45621585e+00
8.978050e+02 1.44640356e+00
8.978740e+02 1.43636768e+00
8.979420e+02 1.42544284e+00
8.980800e+02 1.40137354e+00
8.982170e+02 1.37504890e+00
8.983550e+02 1.34741016e+00
8.986300e+02 1.29148469e+00
8.987680e+02 1.26468598e+00
8.988370e+02 1.25183790e+00
8.989050e+02 1.23945041e+00
8.989680e+02 1.22858583e+00
8.990300e+02 1.21817041e+00
8.990930e+02 1.20820710e+00
8.991550e+02 1.19871315e+00
8.992050e+02 1.19144961e+00
8.992550e+02 1.18451050e+00
8.993050e+02 1.17788304e+00
8.993550e+02 1.17156723e+00
8.994240e+02 1.16338102e+00
8.994930e+02 1.15576964e+00
8.995620e+02 1.14871828e+00
8.996310e+02 1.14220809e+00
8.996990e+02 1.13621841e+00
8.997680e+02 1.13072460e+00
8.998370e+02 1.12569927e+00
8.999060e+02 1.12112289e+00
8.999750e+02 1.11695306e+00
9.000430e+02 1.11316913e+00
9.001120e+02 1.10974241e+00
9.001810e+02 1.10664550e+00
9.002500e+02 1.10385081e+00
9.003190e+02 1.10133210e+00
9.003870e+02 1.09906600e+00
9.004560e+02 1.09703125e+00
9.005220e+02 1.09527779e+00
9.005870e+02 1.09369752e+00
9.006530e+02 1.09226849e+00
9.007190e+02 1.09098014e+00
9.007840e+02 1.08981443e+00
9.008500e+02 1.08876187e+00
9.009810e+02 1.08694457e+00
9.011130e+02 1.08544705e+00
9.012440e+02 1.08420416e+00
9.013750e+02 1.08316321e+00
9.015060e+02 1.08228272e+00
9.016380e+02 1.08152985e+00
9.017690e+02 1.08087957e+00
9.019000e+02 1.08031187e+00
9.020320e+02 1.07981114e+00
9.022940e+02 1.07896666e+00
9.025570e+02 1.07827760e+00
9.028450e+02 1.07765133e+00
9.031320e+02 1.07712509e+00
9.034200e+02 1.07667437e+00
9.037070e+02 1.07628289e+00
9.039950e+02 1.07593818e+00
9.042830e+02 1.07563171e+00
9.045700e+02 1.07535674e+00
9.048580e+02 1.07510768e+00
9.054330e+02 1.07467189e+00
9.060080e+02 1.07429991e+00
9.065840e+02 1.07397478e+00
9.071590e+02 1.07368539e+00
9.079590e+02 1.07332669e+00
9.087600e+02 1.07300588e+00
9.095600e+02 1.07271355e+00
9.103600e+02 1.07244276e+00
9.111610e+02 1.07218839e+00
9.119610e+02 1.07194734e+00
9.127610e+02 1.07171646e+00
9.135620e+02 1.07149319e+00
9.151620e+02 1.07106529e+00
9.167630e+02 1.07065556e+00
9.183640e+02 1.07025882e+00
9.199650e+02 1.06987157e+00
9.218750e+02 1.06942044e+00
9.227660e+02 1.06921957e+00
9.255670e+02 1.06860197e+00
9.283680e+02 1.06799251e+00
9.311700e+02 1.06738898e+00
9.339710e+02 1.06679002e+00
9.367720e+02 1.06619422e+00
9.423750e+02 1.06500910e+00
9.453130e+02 1.06439093e+00
9.495780e+02 1.06352069e+00
9.567810e+02 1.06205636e+00
9.639840e+02 1.06059545e+00
9.687500e+02 1.05963029e+00
9.711870e+02 1.05915133e+00
9.843750e+02 1.05656347e+00
9.855940e+02 1.05633082e+00
1.000000e+03 1.05358504e+00
1.013920e+03 1.05099798e+00
1.015630e+03 1.05069068e+00
1.027850e+03 1.04849618e+00
1.031250e+03 1.04790569e+00
1.034810e+03 1.04728784e+00
1.041770e+03 1.04611722e+00
1.048730e+03 1.04499324e+00
1.055700e+03 1.04393440e+00
1.061790e+03 1.04310247e+00
1.062500e+03 1.04301623e+00
1.064830e+03 1.04273339e+00
1.067880e+03 1.04239220e+00
1.070930e+03 1.04210697e+00
1.073970e+03 1.04189650e+00
1.077020e+03 1.04176983e+00
1.080060e+03 1.04177388e+00
1.082020e+03 1.04185834e+00
1.083980e+03 1.04205473e+00
1.085940e+03 1.04237237e+00
1.087900e+03 1.04287654e+00
1.089850e+03 1.04361403e+00
1.091810e+03 1.04468715e+00
1.092790e+03 1.04540092e+00
1.093750e+03 1.04624631e+00
1.093770e+03 1.04626392e+00
1.094750e+03 1.04731345e+00
1.095730e+03 1.04861481e+00
1.096650e+03 1.05011288e+00
1.097580e+03 1.05197455e+00
1.098500e+03 1.05428406e+00
1.099430e+03 1.05719967e+00
1.099890e+03 1.05895601e+00
1.100350e+03 1.06093619e+00
1.100810e+03 1.06320551e+00
1.101280e+03 1.06581978e+00
1.101740e+03 1.06884458e+00
1.102200e+03 1.07237303e+00
1.102660e+03 1.07651706e+00
1.103130e+03 1.08144440e+00
1.103530e+03 1.08659657e+00
1.103940e+03 1.09270927e+00
1.104350e+03 1.10003447e+00
1.104760e+03 1.10895457e+00
1.104960e+03 1.11416551e+00
1.105170e+03 1.11998255e+00
1.105370e+03 1.12652723e+00
1.105570e+03 1.13393932e+00
1.105780e+03 1.14240520e+00
1.105980e+03 1.15217699e+00
1.106190e+03 1.16358085e+00
1.106390e+03 1.17711138e+00
1.106510e+03 1.18599823e+00
1.106620e+03 1.19594849e+00
1.106740e+03 1.20715775e+00
1.106850e+03 1.21976618e+00
1.106970e+03 1.23427715e+00
1.107080e+03 1.25082154e+00
1.107200e+03 1.27011721e+00
1.107310e+03 1.29236966e+00
1.107430e+03 1.31862320e+00
1.107550e+03 1.34919510e+00
1.107660e+03 1.38554050e+00
1.107780e+03 1.42810679e+00
1.107830e+03 1.45243065e+00
1.107890e+03 1.47889955e+00
1.107950e+03 1.50770018e+00
1.108010e+03 1.53847812e+00
1.108070e+03 1.57252047e+00
1.108120e+03 1.60953824e+00
1.108180e+03 1.64977365e+00
1.108240e+03 1.69269521e+00
1.108310e+03 1.75207861e+00
1.108380e+03 1.81676901e+00
1.108450e+03 1.88914479e+00
1.108520e+03 1.96775093e+00
1.108600e+03 2.05536672e+00
1.108670e+03 2.15015503e+00
1.108740e+03 2.25383189e+00
1.108810e+03 2.36700353e+00
1.108880e+03 2.49202033e+00
1.108950e+03 2.62596298e+00
1.109020e+03 2.77314982e+00
1.109100e+03 2.92997122e+00
1.109170e+03 3.10127744e+00
1.109240e+03 3.28268468e+00
1.109310e+03 3.47677652e+00
1.109380e+03 3.68374880e+00
1.109460e+03 3.91650050e+00
1.109530e+03 4.16372769e+00
1.109610e+03 4.42528086e+00
1.109680e+03 4.69705646e+00
1.109750e+03 4.98590028e+00
1.109830e+03 5.28753115e+00
1.109900e+03 5.60104462e+00
1.109980e+03 5.92094689e+00
1.110090e+03 6.44047240e+00
1.110210e+03 6.97215073e+00
1.110440e+03 8.06191197e+00
1.110590e+03 8.75962737e+00
1.110740e+03 9.42129430e+00
1.110890e+03 1.00346292e+01
1.110960e+03 1.03149016e+01
1.111040e+03 1.05707374e+01
1.111120e+03 1.08276924e+01
1.111200e+03 1.10537754e+01
1.111280e+03 1.12312652e+01
1.111350e+03 1.13774167e+01
1.111450e+03 1.15301900e+01
1.111560e+03 1.16208459e+01
1.111660e+03 1.16493848e+01
1.111690e+03 1.16455604e+01
1.111720e+03 1.16379119e+01
1.111770e+03 1.16110497e+01
1.111870e+03 1.15098515e+01
1.111950e+03 1.13907458e+01
1.112030e+03 1.12369441e+01
1.112100e+03 1.10604781e+01
1.112180e+03 1.08560313e+01
1.112290e+03 1.04926537e+01
1.112410e+03 1.00762992e+01
1.112560e+03 9.47228694e+00
1.112710e+03 8.81461705e+00
1.113000e+03 7.42091279e+00
1.113150e+03 6.72351963e+00
1.113300e+03 6.04799805e+00
1.113380e+03 5.72052010e+00
1.113450e+03 5.40750831e+00
1.113530e+03 5.10166877e+00
1.113600e+03 4.81208616e+00
1.113650e+03 4.60884295e+00
1.113740e+03 4.31379450e+00
1.113820e+03 4.03890162e+00
1.113900e+03 3.77770063e+00
1.113980e+03 3.53665507e+00
1.114040e+03 3.38255517e+00
1.114090e+03 3.23870567e+00
1.114140e+03 3.10213115e+00
1.114200e+03 2.97271023e+00
1.114270e+03 2.80449858e+00
1.114350e+03 2.65127513e+00
1.114420e+03 2.50833939e+00
1.114500e+03 2.37891818e+00
1.114570e+03 2.25889864e+00
1.114640e+03 2.15081753e+00
1.114720e+03 2.05110250e+00
1.114790e+03 1.96175914e+00
1.114870e+03 1.87969061e+00
1.114940e+03 1.80646413e+00
1.115020e+03 1.73945855e+00
1.115090e+03 1.67986800e+00
