>,78-Pt-195:0.337827
>,78-Pt-196:0.252120
>,78-Pt-198:0.073606
3.929020e-02,3.87980241e+01
3.938670e-02,3.87620646e+01
4.020680e-02,3.84565015e+01
4.035160e-02,3.84026119e+01
4.077290e-02,3.82458345e+01
4.077670e-02,3.82444884e+01
4.112340e-02,3.81223269e+01
4.131640e-02,3.80544353e+01
4.228130e-02,3.77150493e+01
4.230490e-02,3.77067496e+01
4.230740e-02,3.77059112e+01
4.295670e-02,3.74892408e+01
4.383680e-02,3.71961868e+01
4.383810e-02,3.71957733e+01
4.421090e-02,3.70777905e+01
4.478990e-02,3.68945874e+01
4.536880e-02,3.67117915e+01
4.614060e-02,3.64783588e+01
4.652660e-02,3.63616328e+01
4.662310e-02,3.63334837e+01
4.768440e-02,3.60245228e+01
4.807030e-02,3.59160720e+01
4.845630e-02,3.58076122e+01
4.884220e-02,3.56993720e+01
5.000000e-02,3.53855235e+01
5.156250e-02,3.49790271e+01
5.312500e-02,3.45906535e+01
5.468750e-02,3.42190743e+01
5.625000e-02,3.38631969e+01
5.781250e-02,3.35219960e+01
5.937500e-02,3.31943608e+01
6.093750e-02,3.28794951e+01
6.250000e-02,3.25765883e+01
6.406250e-02,3.22849371e+01
6.562500e-02,3.20037684e+01
6.718750e-02,3.17341867e+01
6.875000e-02,3.14707915e+01
7.031250e-02,3.12218833e+01
7.187500e-02,3.09732582e+01
7.500000e-02,3.05072264e+01
7.812500e-02,3.00693330e+01
8.125000e-02,2.96570104e+01
8.437500e-02,2.92679744e+01
8.750000e-02,2.89002030e+01
9.062500e-02,2.85517712e+01
9.375000e-02,2.82209665e+01
9.687500e-02,2.79064393e+01
1.000000e-01,2.76068437e+01
1.031250e-01,2.73210844e+01
1.062500e-01,2.70481604e+01
1.093750e-01,2.67870907e+01
1.125000e-01,2.65371258e+01
1.156250e-01,2.62974585e+01
1.187500e-01,2.60674448e+01
1.218750e-01,2.58464920e+01
1.250000e-01,2.56339326e+01
1.281250e-01,2.54293608e+01
1.312500e-01,2.52322702e+01
1.343750e-01,2.50449429e+01
1.375000e-01,2.48585045e+01
1.406250e-01,2.46837901e+01
1.437500e-01,2.45092838e+01
1.468750e-01,2.43457971e+01
1.500000e-01,2.41824988e+01
1.531250e-01,2.40291465e+01
1.562500e-01,2.38759647e+01
1.625000e-01,2.35874152e+01
1.687500e-01,2.33150690e+01
1.750000e-01,2.30577467e+01
1.812500e-01,2.28142959e+01
1.875000e-01,2.25833819e+01
1.937500e-01,2.23640343e+01
2.000000e-01,2.21552091e+01
2.052010e-01,2.19898687e+01
2.072700e-01,2.19253892e+01
2.082030e-01,2.18963645e+01
2.089300e-01,2.18738740e+01
2.093750e-01,2.18602523e+01
2.104000e-01,2.18289762e+01
2.104020e-01,2.18289154e+01
2.109990e-01,2.18111054e+01
2.114260e-01,2.17983670e+01
2.126220e-01,2.17628285e+01
2.133920e-01,2.17399502e+01
2.134770e-01,2.17374288e+01
2.156020e-01,2.16748453e+01
2.158700e-01,2.16671057e+01
2.164060e-01,2.16516276e+01
2.175780e-01,2.16179574e+01
2.195150e-01,2.15631275e+01
2.208030e-01,2.15267257e+01
2.223640e-01,2.14833356e+01
2.241900e-01,2.14325857e+01
2.246090e-01,2.14210845e+01
2.256370e-01,2.13930110e+01
2.257810e-01,2.13890846e+01
2.275780e-01,2.13409863e+01
2.288590e-01,2.13073215e+01
2.317600e-01,2.12310961e+01
2.328130e-01,2.12034687e+01
2.339840e-01,2.11728897e+01
2.343520e-01,2.11634477e+01
2.353540e-01,2.11383338e+01
2.378820e-01,2.10749781e+01
2.410160e-01,2.09965508e+01
2.411270e-01,2.09937859e+01
2.418480e-01,2.09762319e+01
2.421880e-01,2.09679549e+01
2.440050e-01,2.09244899e+01
2.479020e-01,2.08314047e+01
2.483430e-01,2.08211053e+01
2.492190e-01,2.08006496e+01
2.501280e-01,2.07795245e+01
2.503910e-01,2.07734209e+01
