35-Br_n-g
>  35-Br-79:0.506900
>  35-Br-81:0.493100
3.510830e+01 1.59146257e+02
3.511880e+01 1.64583272e+02
3.512930e+01 1.70308206e+02
3.513980e+01 1.76339814e+02
3.515030e+01 1.82699894e+02
3.516080e+01 1.89411255e+02
3.517130e+01 1.96498229e+02
3.518180e+01 2.03986668e+02
3.519230e+01 2.11913576e+02
3.520280e+01 2.20292638e+02
3.521330e+01 2.29163900e+02
3.522380e+01 2.38561325e+02
3.523430e+01 2.48521408e+02
3.524480e+01 2.59081661e+02
3.525530e+01 2.70282635e+02
3.526580e+01 2.82166911e+02
3.527630e+01 2.94791768e+02
3.528680e+01 3.08178495e+02
3.529730e+01 3.22387414e+02
3.530780e+01 3.37467188e+02
3.531830e+01 3.53469519e+02
3.532880e+01 3.70445099e+02
3.533930e+01 3.88446137e+02
3.534980e+01 4.07524337e+02
3.536510e+01 4.37316885e+02
3.538040e+01 4.69628727e+02
3.539570e+01 5.04643359e+02
3.541090e+01 5.42440365e+02
3.542620e+01 5.83169788e+02
3.544150e+01 6.26849368e+02
3.545670e+01 6.73534866e+02
3.547200e+01 7.23221212e+02
3.548250e+01 7.59094530e+02
3.549300e+01 7.96316202e+02
3.551400e+01 8.74586642e+02
3.553500e+01 9.57429319e+02
3.555600e+01 1.04395716e+03
3.557700e+01 1.13301950e+03
3.559800e+01 1.22318181e+03
3.564000e+01 1.39980607e+03
3.565500e+01 1.45938204e+03
3.567000e+01 1.51589126e+03
3.568500e+01 1.56856831e+03
3.570000e+01 1.61667313e+03
3.571250e+01 1.65275428e+03
3.572500e+01 1.68479036e+03
3.573750e+01 1.71243163e+03
3.575000e+01 1.73537393e+03
3.576250e+01 1.75336381e+03
3.577500e+01 1.76619853e+03
3.578750e+01 1.77373614e+03
3.580000e+01 1.77588033e+03
3.581000e+01 1.77370573e+03
3.582130e+01 1.76713632e+03
3.583250e+01 1.75626839e+03
3.584380e+01 1.74120332e+03
3.585500e+01 1.72208306e+03
3.586630e+01 1.69907488e+03
3.587750e+01 1.67239167e+03
3.588880e+01 1.64227167e+03
3.590000e+01 1.60897342e+03
3.591350e+01 1.56521782e+03
3.592700e+01 1.51780747e+03
3.595400e+01 1.41422753e+03
3.598100e+01 1.30264365e+03
3.600800e+01 1.18734419e+03
3.603710e+01 1.06318919e+03
3.606630e+01 9.43317490e+02
3.608080e+01 8.85951624e+02
3.609540e+01 8.30724877e+02
3.611000e+01 7.77860283e+02
3.612450e+01 7.27565672e+02
3.614340e+01 6.66342300e+02
3.616230e+01 6.09691165e+02
3.618110e+01 5.57581855e+02
3.619050e+01 5.33194900e+02
3.620000e+01 5.09923126e+02
3.620940e+01 4.87693538e+02
3.621880e+01 4.66510192e+02
3.622820e+01 4.46339632e+02
3.623770e+01 4.27170706e+02
3.624710e+01 4.08927887e+02
3.625650e+01 3.91614215e+02
3.626590e+01 3.75157711e+02
3.627540e+01 3.59555334e+02
3.628480e+01 3.44737131e+02
