32-Ge_n-tot
>  32-Ge-70:0.205700
>  32-Ge-72:0.274500
>  32-Ge-73:0.077500
>  32-Ge-74:0.365000
>  32-Ge-76:0.077300
9.240720e+01 1.27493093e+01
9.267580e+01 1.30300624e+01
9.294440e+01 1.33354604e+01
9.321290e+01 1.36683716e+01
9.348150e+01 1.40321272e+01
9.375000e+01 1.44305414e+01
9.401860e+01 1.48681043e+01
9.428710e+01 1.53499127e+01
9.455570e+01 1.58820488e+01
9.482420e+01 1.64715201e+01
9.509280e+01 1.71267883e+01
9.522710e+01 1.74821287e+01
9.536130e+01 1.78576971e+01
9.549560e+01 1.82551975e+01
9.562990e+01 1.86761803e+01
9.576420e+01 1.91225832e+01
9.589840e+01 1.95964216e+01
9.611820e+01 2.04370685e+01
9.633790e+01 2.13686236e+01
9.644780e+01 2.18726083e+01
9.655760e+01 2.24044936e+01
9.666750e+01 2.29662159e+01
9.677740e+01 2.35601006e+01
9.688720e+01 2.41885509e+01
9.699710e+01 2.48538906e+01
9.710690e+01 2.55591434e+01
9.721680e+01 2.63076407e+01
9.732670e+01 2.71032579e+01
9.743650e+01 2.79500257e+01
9.754640e+01 2.88525929e+01
9.765630e+01 2.98159976e+01
9.779050e+01 3.10839011e+01
9.792480e+01 3.24616989e+01
9.805910e+01 3.39619468e+01
9.819340e+01 3.55992146e+01
9.832770e+01 3.73903200e+01
9.846190e+01 3.93547934e+01
9.859620e+01 4.15151088e+01
9.873050e+01 4.38975391e+01
9.886480e+01 4.65332394e+01
9.899900e+01 4.94582479e+01
9.906620e+01 5.10423878e+01
9.913330e+01 5.27154208e+01
9.920050e+01 5.44840881e+01
9.926760e+01 5.63552111e+01
9.933470e+01 5.83373141e+01
9.940190e+01 6.04386114e+01
9.946900e+01 6.26686369e+01
9.953610e+01 6.50372324e+01
9.960330e+01 6.75564873e+01
9.967040e+01 7.02385702e+01
9.973760e+01 7.30971976e+01
9.980470e+01 7.61471731e+01
9.990240e+01 8.09619400e+01
1.000000e+02 8.62774350e+01
1.000740e+02 9.07061011e+01
1.001490e+02 9.54943611e+01
1.002230e+02 1.00693377e+02
1.002970e+02 1.06333368e+02
1.003720e+02 1.12480203e+02
1.004460e+02 1.19171869e+02
1.005210e+02 1.26489729e+02
1.005950e+02 1.34484171e+02
1.006690e+02 1.43258262e+02
1.007440e+02 1.52877097e+02
1.008180e+02 1.63452288e+02
1.008920e+02 1.75096979e+02
1.009670e+02 1.87952214e+02
1.010410e+02 2.02121080e+02
1.011150e+02 2.17766321e+02
1.011890e+02 2.35046037e+02
1.012640e+02 2.54122197e+02
1.013380e+02 2.75155238e+02
1.014120e+02 2.98297829e+02
1.014870e+02 3.23677064e+02
1.015610e+02 3.51379755e+02
1.016350e+02 3.81426822e+02
1.017100e+02 4.13747732e+02
1.017840e+02 4.48151848e+02
1.018710e+02 4.90810408e+02
1.019590e+02 5.34936813e+02
1.020460e+02 5.79387173e+02
1.021330e+02 6.22454159e+02
1.022210e+02 6.62346738e+02
1.022640e+02 6.80447371e+02
1.023080e+02 6.96939873e+02
1.023520e+02 7.11656076e+02
1.023950e+02 7.24300709e+02
1.024390e+02 7.34731161e+02
1.024830e+02 7.42728113e+02
1.025360e+02 7.49086660e+02
1.025900e+02 7.51421400e+02
1.026340e+02 7.50323727e+02
1.026770e+02 7.46558510e+02
1.027210e+02 7.40196263e+02
1.027650e+02 7.31374940e+02
1.028080e+02 7.20206923e+02
1.028520e+02 7.06899125e+02
1.028960e+02 6.91666227e+02
1.029390e+02 6.74784911e+02
1.030270e+02 6.36882990e+02
1.031140e+02 5.95297501e+02
1.032890e+02 5.08284840e+02
1.033560e+02 4.75433725e+02
1.034230e+02 4.43729610e+02
1.034910e+02 4.13500313e+02
1.035580e+02 3.84965172e+02
1.036250e+02 3.58247407e+02
1.036930e+02 3.33393510e+02
1.037600e+02 3.10391870e+02
1.038270e+02 2.89185904e+02
1.038920e+02 2.70357651e+02
1.039570e+02 2.53054598e+02
1.040220e+02 2.37145770e+02
1.040870e+02 2.22528092e+02
1.041510e+02 2.09079120e+02
1.042160e+02 1.96740717e+02
1.042810e+02 1.85398189e+02
1.043460e+02 1.74962411e+02
1.044220e+02 1.63686465e+02
1.044990e+02 1.53443587e+02
1.045760e+02 1.44122960e+02
1.046520e+02 1.35627714e+02
1.047290e+02 1.27870261e+02
1.048050e+02 1.20772340e+02
1.048820e+02 1.14265738e+02
1.049590e+02 1.08289235e+02
1.050240e+02 1.03600857e+02
1.050880e+02 9.92325602e+01
1.051530e+02 9.51494571e+01
1.052180e+02 9.13290790e+01
1.052830e+02 8.77450760e+01
1.053480e+02 8.43883804e+01
1.054120e+02 8.12367561e+01
1.054770e+02 7.82739930e+01
1.055420e+02 7.54816525e+01
1.056070e+02 7.28552394e+01
1.056720e+02 7.03784014e+01
