Cd-106(n,g) ENDFB-8.0
Energy(eV) XS(b)
363.839 0.00502388
367.347 0.00527132
370.854 0.00554727
374.361 0.00585084
377.868 0.00619766
381.376 0.00659060
384.883 0.00703772
388.390 0.00755061
391.021 0.00798824
393.651 0.00847777
396.281 0.00902755
398.912 0.00965232
401.542 0.0103640
404.173 0.0111770
406.803 0.0121193
408.118 0.0126447
409.434 0.0132098
410.812 0.0138575
412.189 0.0145642
413.567 0.0153376
414.945 0.0161864
416.323 0.0171210
417.701 0.0181538
419.079 0.0192993
420.456 0.0205746
421.772 0.0219326
423.087 0.0234497
424.402 0.0251524
425.717 0.0270731
426.375 0.0281269
427.033 0.0292509
427.690 0.0304508
428.348 0.0317341
429.006 0.0331093
429.663 0.0345839
430.321 0.0361635
430.978 0.0378606
431.667 0.0397911
432.356 0.0418881
433.045 0.0441694
433.734 0.0466577
434.423 0.0493788
435.112 0.0523631
435.801 0.0556459
436.490 0.0592686
437.179 0.0632809
437.868 0.0677397
438.557 0.0727158
438.901 0.0754230
439.245 0.0782912
439.590 0.0813352
439.934 0.0845688
440.279 0.0880081
440.623 0.0916701
440.968 0.0955767
441.312 0.0997479
441.657 0.104211
442.001 0.108990
442.408 0.115088
442.815 0.121721
443.222 0.128961
443.630 0.136897
444.037 0.145625
444.444 0.155246
444.851 0.165883
445.258 0.177681
445.602 0.188707
445.947 0.200819
446.291 0.214166
446.636 0.228917
446.980 0.245287
447.325 0.263513
447.497 0.273419
447.669 0.283899
447.841 0.295006
448.014 0.306789
448.295 0.327692
448.577 0.350838
448.859 0.376578
449.000 0.390533
449.141 0.405289
449.282 0.420918
449.423 0.437467
449.564 0.455024
449.705 0.473673
449.846 0.493512
449.986 0.514647
450.127 0.537196
450.268 0.561290
450.441 0.593066
450.613 0.627649
450.785 0.665425
450.957 0.706752
451.130 0.752145
451.302 0.802099
451.474 0.857286
451.646 0.918472
451.818 0.986610
451.905 1.02359
451.991 1.06272
452.077 1.10417
452.163 1.14815
452.249 1.19485
452.335 1.24452
452.421 1.29747
452.507 1.35387
452.593 1.41411
452.680 1.47853
452.766 1.54756
452.852 1.62164
452.938 1.70130
453.024 1.78712
453.126 1.89747
453.228 2.01866
453.329 2.15221
453.431 2.29977
453.533 2.46377
453.635 2.64669
453.686 2.74620
453.736 2.85167
453.787 2.96362
453.838 3.08238
453.897 3.22944
453.956 3.38760
454.014 3.55839
454.073 3.74330
454.132 3.94409
454.190 4.16280
454.249 4.40193
454.279 4.53027
454.308 4.66442
454.343 4.83500
454.378 5.01573
454.414 5.20810
454.449 5.41332
454.484 5.63340
454.519 5.86865
454.554 6.12150
454.590 6.39405
454.621 6.65489
454.652 6.93519
454.670 7.10314
454.688 7.27747
454.705 7.45957
454.723 7.64997
454.740 7.85037
454.758 8.05912
454.776 8.27797
454.793 8.50762
454.817 8.83239
454.840 9.17971
