21-Sc_n-g
>  21-Sc-45:1.000000
1.059390e+03 4.89275000e+00
1.059480e+03 5.03667000e+00
1.059580e+03 5.16047000e+00
1.059670e+03 5.26223000e+00
1.059750e+03 5.33312000e+00
1.059840e+03 5.38427000e+00
1.059920e+03 5.41501000e+00
1.060000e+03 5.42495000e+00
1.060070e+03 5.41790000e+00
1.060180e+03 5.37801000e+00
1.060280e+03 5.30460000e+00
1.060390e+03 5.19789000e+00
1.060500e+03 5.06212000e+00
1.060580e+03 4.94115000e+00
1.060660e+03 4.80778000e+00
1.060740e+03 4.66210000e+00
1.060820e+03 4.50567000e+00
1.060850e+03 4.44663000e+00
1.060930e+03 4.28033000e+00
1.061010e+03 4.10732000e+00
1.061160e+03 3.74989000e+00
1.061420e+03 3.15017000e+00
1.061550e+03 2.85691000e+00
1.061680e+03 2.57452000e+00
1.061760e+03 2.40859000e+00
1.061840e+03 2.24883000e+00
1.061920e+03 2.09579000e+00
1.061990e+03 1.95170000e+00
1.062070e+03 1.81315000e+00
1.062150e+03 1.68225000e+00
1.062230e+03 1.55907000e+00
1.062310e+03 1.44504000e+00
1.062380e+03 1.34109000e+00
1.062460e+03 1.24530000e+00
