78-Pt_n-g
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
2.681660e-01 1.19042309e+01
2.682250e-01 1.19030125e+01
2.750000e-01 1.17659736e+01
2.843750e-01 1.15852334e+01
2.937500e-01 1.14135964e+01
3.031250e-01 1.12504045e+01
3.125000e-01 1.10949317e+01
3.218750e-01 1.09465837e+01
3.312500e-01 1.08049422e+01
3.406250e-01 1.06695857e+01
3.500000e-01 1.05400168e+01
3.588810e-01 1.04226246e+01
3.593750e-01 1.04161046e+01
3.630780e-01 1.03684577e+01
3.677620e-01 1.03093244e+01
3.687500e-01 1.02968714e+01
3.752890e-01 1.02165721e+01
3.781250e-01 1.01823841e+01
3.875000e-01 1.00724966e+01
3.898440e-01 1.00464797e+01
3.968750e-01 9.96858958e+00
4.015630e-01 9.91684550e+00
4.062500e-01 9.86520550e+00
4.132810e-01 9.79269885e+00
4.250000e-01 9.67206539e+00
4.343750e-01 9.58173796e+00
4.365160e-01 9.56113781e+00
4.437500e-01 9.49242655e+00
4.538610e-01 9.40180994e+00
4.578130e-01 9.36644654e+00
4.625000e-01 9.32518592e+00
4.653960e-01 9.30115572e+00
4.718750e-01 9.24748705e+00
4.769310e-01 9.20665323e+00
5.000000e-01 9.02080193e+00
5.150480e-01 8.90994951e+00
5.248070e-01 8.83965738e+00
5.300960e-01 8.80216771e+00
5.312500e-01 8.79428918e+00
5.389980e-01 8.74294646e+00
5.546880e-01 8.63919110e+00
5.601930e-01 8.60371079e+00
5.604980e-01 8.60186822e+00
5.625000e-01 8.58980694e+00
5.781250e-01 8.49649354e+00
5.819990e-01 8.47409347e+00
5.937500e-01 8.40631450e+00
6.035000e-01 8.35054234e+00
6.203850e-01 8.25418285e+00
6.250000e-01 8.22914101e+00
6.309580e-01 8.19805300e+00
6.354330e-01 8.17498788e+00
6.458380e-01 8.12253984e+00
6.504810e-01 8.09950581e+00
6.525250e-01 8.08963572e+00
6.607180e-01 8.05017849e+00
6.718750e-01 7.99745860e+00
6.805780e-01 7.95646546e+00
6.875000e-01 7.92543654e+00
6.904790e-01 7.91227934e+00
7.109380e-01 7.82535043e+00
7.407700e-01 7.69907215e+00
7.500000e-01 7.66154280e+00
7.569720e-01 7.63449077e+00
7.585780e-01 7.62837009e+00
7.731740e-01 7.57367226e+00
7.812500e-01 7.54407943e+00
7.876840e-01 7.52054791e+00
7.899640e-01 7.51240061e+00
8.055780e-01 7.45668932e+00
8.112230e-01 7.43738630e+00
8.125000e-01 7.43302802e+00
8.167890e-01 7.41858560e+00
8.324820e-01 7.36760492e+00
8.703850e-01 7.24480133e+00
8.750000e-01 7.23053948e+00
9.062500e-01 7.13982047e+00
9.351930e-01 7.05600803e+00
9.375000e-01 7.04953792e+00
9.675960e-01 6.96999048e+00
9.687500e-01 6.96699889e+00
1.000000e+00 6.88617736e+00
1.031250e+00 6.81298036e+00
1.052010e+00 6.76446152e+00
1.062500e+00 6.74039886e+00
1.078020e+00 6.70488297e+00
1.091020e+00 6.67548756e+00
1.091160e+00 6.67517312e+00
1.093750e+00 6.66970864e+00
1.104020e+00 6.64839421e+00
1.113140e+00 6.62962485e+00
1.122270e+00 6.61094841e+00
1.125000e+00 6.60542066e+00
1.140520e+00 6.57406843e+00
1.156250e+00 6.54259734e+00
1.177010e+00 6.50114869e+00
1.182310e+00 6.49087101e+00
1.187500e+00 6.48113799e+00
1.203130e+00 6.45253616e+00
1.218750e+00 6.42435433e+00
1.250000e+00 6.36906573e+00
1.312500e+00 6.26766674e+00
1.318260e+00 6.25892425e+00
1.340970e+00 6.22495445e+00
1.363690e+00 6.19172101e+00
1.375000e+00 6.17565121e+00
1.409130e+00 6.13139963e+00
1.437500e+00 6.09659767e+00
1.500000e+00 6.02019689e+00
