63-Eu_n-tot
> 63-Eu-151:0.478100
> 63-Eu-153:0.521900
5.781250e-02 5.17939227e+03
5.810790e-02 5.15204768e+03
5.926620e-02 5.04642181e+03
5.937500e-02 5.03666892e+03
6.088310e-02 4.90515926e+03
6.093750e-02 4.90050795e+03
6.250000e-02 4.77049130e+03
6.406250e-02 4.64628724e+03
6.562500e-02 4.52749819e+03
6.718750e-02 4.41381282e+03
6.875000e-02 4.30493984e+03
7.031250e-02 4.20061313e+03
7.187500e-02 4.10057138e+03
7.343750e-02 4.00458851e+03
7.500000e-02 3.91245885e+03
7.656250e-02 3.82396110e+03
7.812500e-02 3.73892480e+03
7.968750e-02 3.65716865e+03
8.125000e-02 3.57853178e+03
8.281250e-02 3.50286895e+03
8.437500e-02 3.43002887e+03
8.593750e-02 3.35987631e+03
8.750000e-02 3.29229995e+03
8.906250e-02 3.22716980e+03
9.062500e-02 3.16438497e+03
9.218750e-02 3.10383461e+03
9.375000e-02 3.04541869e+03
9.531250e-02 2.98905114e+03
9.687500e-02 2.93464194e+03
9.843750e-02 2.88211545e+03
1.000000e-01 2.83138600e+03
1.021490e-01 2.76453645e+03
1.025390e-01 2.75273714e+03
1.042970e-01 2.70073132e+03
1.050780e-01 2.67826318e+03
1.064450e-01 2.63979906e+03
1.076170e-01 2.60773756e+03
1.085940e-01 2.58158819e+03
1.101560e-01 2.54091002e+03
1.107420e-01 2.52597472e+03
1.126950e-01 2.47756703e+03
1.128910e-01 2.47281225e+03
1.150390e-01 2.42210596e+03
1.152340e-01 2.41762644e+03
1.171880e-01 2.37371925e+03
1.177740e-01 2.36088151e+03
1.191410e-01 2.33157414e+03
1.203130e-01 2.30705501e+03
1.210940e-01 2.29105153e+03
1.226560e-01 2.25981678e+03
1.230470e-01 2.25215293e+03
1.250000e-01 2.21480188e+03
1.273440e-01 2.17202063e+03
1.296880e-01 2.13130208e+03
1.320310e-01 2.09254448e+03
1.343750e-01 2.05566218e+03
1.367190e-01 2.02058429e+03
1.390630e-01 1.98722472e+03
1.414060e-01 1.95551260e+03
1.437500e-01 1.92538184e+03
1.453130e-01 1.90632411e+03
1.468750e-01 1.88757276e+03
1.484380e-01 1.86980876e+03
1.500000e-01 1.85233156e+03
1.521770e-01 1.82937653e+03
1.531250e-01 1.81961159e+03
1.543540e-01 1.80745096e+03
1.562500e-01 1.78914023e+03
1.565310e-01 1.78653439e+03
1.587080e-01 1.76685768e+03
1.593750e-01 1.76097876e+03
1.607440e-01 1.74940855e+03
1.625000e-01 1.73494722e+03
1.627810e-01 1.73272928e+03
1.648170e-01 1.71709385e+03
1.656250e-01 1.71106145e+03
1.668540e-01 1.70228206e+03
1.687500e-01 1.68913874e+03
1.688900e-01 1.68821127e+03
1.709270e-01 1.67514645e+03
1.718750e-01 1.66926869e+03
1.729640e-01 1.66282953e+03
1.750000e-01 1.65122665e+03
1.768010e-01 1.64181530e+03
1.781250e-01 1.63514964e+03
1.786020e-01 1.63287246e+03
1.804030e-01 1.62461879e+03
1.812500e-01 1.62090128e+03
1.822040e-01 1.61694835e+03
1.840050e-01 1.60983485e+03
1.843750e-01 1.60844711e+03
1.858060e-01 1.60341452e+03
1.875000e-01 1.59779877e+03
1.876070e-01 1.59746782e+03
1.894080e-01 1.59226553e+03
1.906250e-01 1.58896404e+03
1.907320e-01 1.58869629e+03
1.920560e-01 1.58559350e+03
1.933800e-01 1.58269152e+03
1.937500e-01 1.58194066e+03
1.947040e-01 1.58019587e+03
1.960280e-01 1.57798474e+03
1.968750e-01 1.57671091e+03
1.973520e-01 1.57608435e+03
1.986760e-01 1.57456514e+03
2.000000e-01 1.57327064e+03
2.017700e-01 1.57222963e+03
2.032230e-01 1.57172044e+03
2.035400e-01 1.57166486e+03
2.053110e-01 1.57178038e+03
2.064450e-01 1.57214211e+03
2.070810e-01 1.57245503e+03
2.088510e-01 1.57378965e+03
2.096680e-01 1.57462196e+03
2.106210e-01 1.57574559e+03
2.123910e-01 1.57832494e+03
2.128910e-01 1.57919538e+03
2.141610e-01 1.58160011e+03
2.154980e-01 1.58447756e+03
2.161130e-01 1.58594262e+03
2.168340e-01 1.58776779e+03
2.181700e-01 1.59147013e+03
2.193360e-01 1.59498092e+03
2.195060e-01 1.59551644e+03
2.208420e-01 1.60005961e+03
2.221790e-01 1.60494332e+03
2.225590e-01 1.60643408e+03
2.235150e-01 1.61031133e+03
2.248510e-01 1.61609311e+03
2.257810e-01 1.62034138e+03
2.258360e-01 1.62060093e+03
2.268200e-01 1.62546301e+03
2.278050e-01 1.63053205e+03
2.287900e-01 1.63582581e+03
2.297740e-01 1.64134289e+03
2.301760e-01 1.64368875e+03
2.307590e-01 1.64718580e+03
2.317430e-01 1.65332693e+03
2.327280e-01 1.65971343e+03
2.337130e-01 1.66634377e+03
2.345700e-01 1.67234187e+03
2.346970e-01 1.67325040e+03
2.356820e-01 1.68054485e+03
2.366670e-01 1.68810704e+03
2.376510e-01 1.69594961e+03
2.386360e-01 1.70407117e+03
2.389650e-01 1.70688195e+03
2.396200e-01 1.71257219e+03
2.406050e-01 1.72141884e+03
2.422320e-01 1.73670201e+03
2.433590e-01 1.74789347e+03
2.438580e-01 1.75291687e+03
2.454850e-01 1.77019610e+03
2.471120e-01 1.78841239e+03
2.477540e-01 1.79599856e+03
2.487380e-01 1.80775179e+03
2.503650e-01 1.82819375e+03
2.519920e-01 1.84971622e+03
2.521490e-01 1.85190262e+03
2.536180e-01 1.87253667e+03
2.552990e-01 1.89735823e+03
2.565430e-01 1.91670638e+03
2.569790e-01 1.92353757e+03
2.586590e-01 1.95121740e+03
2.603400e-01 1.98030519e+03
2.609380e-01 1.99118408e+03
2.620200e-01 2.01097279e+03
2.637000e-01 2.04321869e+03
2.644530e-01 2.05836886e+03
2.653810e-01 2.07711746e+03
2.670610e-01 2.11271168e+03
2.679690e-01 2.13275553e+03
2.684190e-01 2.14272462e+03
2.697770e-01 2.17391830e+03
2.711340e-01 2.20625203e+03
2.714840e-01 2.21488064e+03
2.724920e-01 2.23980811e+03
2.738500e-01 2.27454795e+03
2.750000e-01 2.30495065e+03
2.752080e-01 2.31046408e+03
2.765660e-01 2.34762215e+03
2.779230e-01 2.38593927e+03
2.782230e-01 2.39463557e+03
2.791180e-01 2.42063639e+03
2.803120e-01 2.45621989e+03
2.814450e-01 2.49117411e+03
2.827000e-01 2.52997054e+03
2.846680e-01 2.59338908e+03
2.850880e-01 2.60694849e+03
2.874760e-01 2.68681159e+03
2.878910e-01 2.70108780e+03
2.898640e-01 2.76907200e+03
2.911130e-01 2.81295504e+03
2.922530e-01 2.85307181e+03
2.943360e-01 2.92718496e+03
2.946410e-01 2.93805306e+03
2.970290e-01 3.02314495e+03
2.975590e-01 3.04183459e+03
2.990030e-01 3.09282846e+03
3.007810e-01 3.15442446e+03
3.009770e-01 3.16122431e+03
3.029510e-01 3.22772448e+03
3.039380e-01 3.26001598e+03
3.040040e-01 3.26212509e+03
3.049250e-01 3.29160100e+03
3.059120e-01 3.32236207e+03
3.068990e-01 3.35220519e+03
3.072270e-01 3.36179060e+03
3.078860e-01 3.38107898e+03
3.088730e-01 3.40890148e+03
3.098610e-01 3.43557983e+03
3.104490e-01 3.45074790e+03
3.108480e-01 3.46105848e+03
3.118350e-01 3.48529183e+03
3.128220e-01 3.50818650e+03
3.136720e-01 3.52677909e+03
3.137190e-01 3.52780917e+03
3.146160e-01 3.54628741e+03
3.155140e-01 3.56355465e+03
3.164110e-01 3.57959458e+03
3.168950e-01 3.58757604e+03
3.173080e-01 3.59440361e+03
3.182050e-01 3.60797988e+03
3.200000e-01 3.63133017e+03
3.201170e-01 3.63259677e+03
3.210000e-01 3.64219151e+03
3.224920e-01 3.65554413e+03
3.233400e-01 3.66148455e+03
3.235750e-01 3.66313991e+03
3.247300e-01 3.66939505e+03
3.258840e-01 3.67378688e+03
3.265630e-01 3.67532242e+03
3.270390e-01 3.67642375e+03
3.281940e-01 3.67742751e+03
3.299370e-01 3.67603969e+03
3.316800e-01 3.67155378e+03
3.324220e-01 3.66853286e+03
3.334230e-01 3.66452174e+03
3.351660e-01 3.65544805e+03
3.369090e-01 3.64482054e+03
3.382810e-01 3.63566857e+03
3.386520e-01 3.63321638e+03
3.403950e-01 3.62124628e+03
3.421390e-01 3.60935636e+03
3.435370e-01 3.60022955e+03
3.441410e-01 3.59656941e+03
3.449360e-01 3.59179723e+03
3.463350e-01 3.58428866e+03
3.477340e-01 3.57790841e+03
3.491330e-01 3.57287161e+03
3.500000e-01 3.57070719e+03
3.505320e-01 3.56940933e+03
3.512310e-01 3.56834399e+03
3.519310e-01 3.56773184e+03
3.526300e-01 3.56759879e+03
3.533290e-01 3.56796775e+03
3.540660e-01 3.56891581e+03
3.548030e-01 3.57045671e+03
3.555400e-01 3.57261915e+03
3.562760e-01 3.57541844e+03
3.564450e-01 3.57621141e+03
3.570130e-01 3.57890849e+03
3.577500e-01 3.58308694e+03
3.584860e-01 3.58795479e+03
3.592230e-01 3.59353408e+03
3.599600e-01 3.59983529e+03
3.606960e-01 3.60688328e+03
3.614330e-01 3.61468573e+03
3.621700e-01 3.62325314e+03
3.628910e-01 3.63240630e+03
3.629070e-01 3.63261026e+03
3.636430e-01 3.64280477e+03
3.643800e-01 3.65380639e+03
3.651170e-01 3.66562555e+03
3.663060e-01 3.68648875e+03
3.674960e-01 3.70956945e+03
3.686860e-01 3.73492112e+03
3.693360e-01 3.75003262e+03
3.698760e-01 3.76261382e+03
3.710660e-01 3.79269608e+03
3.722550e-01 3.82518402e+03
3.734450e-01 3.86011899e+03
3.746350e-01 3.89754965e+03
3.757810e-01 3.93603656e+03
3.758250e-01 3.93751632e+03
3.770150e-01 3.98012385e+03
3.782050e-01 4.02535615e+03
3.793940e-01 4.07326660e+03
3.805840e-01 4.12390143e+03
3.817740e-01 4.17730924e+03
3.822270e-01 4.19871754e+03
3.829640e-01 4.23358043e+03
3.841540e-01 4.29275009e+03
3.852920e-01 4.35213031e+03
3.864310e-01 4.41424452e+03
3.875700e-01 4.47913649e+03
3.886720e-01 4.54472643e+03
3.887080e-01 4.54687065e+03
3.898470e-01 4.61753886e+03
3.909860e-01 4.69114261e+03
3.921250e-01 4.76773449e+03
3.932630e-01 4.84736299e+03
3.943590e-01 4.92693948e+03
3.951170e-01 4.98393625e+03
3.954560e-01 5.00944066e+03
3.965520e-01 5.09492313e+03
3.976480e-01 5.18336983e+03
3.987440e-01 5.27487637e+03
3.998400e-01 5.36944275e+03
4.009360e-01 5.46711678e+03
4.015630e-01 5.52477199e+03
4.020320e-01 5.56791572e+03
4.031280e-01 5.67189319e+03
4.042250e-01 5.77907332e+03
4.053210e-01 5.88940953e+03
4.064170e-01 6.00294901e+03
4.074220e-01 6.11004254e+03
4.075130e-01 6.11974263e+03
4.086090e-01 6.23967774e+03
4.097050e-01 6.36281612e+03
4.108010e-01 6.48906215e+03
4.116030e-01 6.58335200e+03
4.124040e-01 6.67926798e+03
4.132060e-01 6.77680890e+03
4.132810e-01 6.78608973e+03
4.140070e-01 6.87595163e+03
4.152330e-01 7.03051252e+03
4.164580e-01 7.18856410e+03
4.176840e-01 7.34991402e+03
4.189090e-01 7.51432432e+03
4.191410e-01 7.54589274e+03
4.197660e-01 7.63095638e+03
4.206220e-01 7.74893485e+03
4.214780e-01 7.86810857e+03
4.223340e-01 7.98838193e+03
4.240460e-01 8.23194066e+03
4.250000e-01 8.36936713e+03
4.257580e-01 8.47858306e+03
4.274700e-01 8.72716785e+03
4.291820e-01 8.97642198e+03
4.308940e-01 9.22500677e+03
4.314450e-01 9.30428953e+03
4.326060e-01 9.47138124e+03
4.346610e-01 9.76179215e+03
4.367150e-01 1.00435499e+04
4.378910e-01 1.01980586e+04
4.387700e-01 1.03135729e+04
4.397970e-01 1.04431283e+04
4.408240e-01 1.05685243e+04
4.418520e-01 1.06893301e+04
4.428790e-01 1.08051163e+04
4.439060e-01 1.09154999e+04
4.443360e-01 1.09592321e+04
4.449340e-01 1.10200679e+04
4.459610e-01 1.11184337e+04
4.469880e-01 1.12102496e+04
4.480150e-01 1.12951329e+04
4.490430e-01 1.13727488e+04
4.501550e-01 1.14482753e+04
4.507810e-01 1.14855647e+04
4.512680e-01 1.15145880e+04
4.523810e-01 1.15713089e+04
4.534940e-01 1.16181809e+04
4.546070e-01 1.16549650e+04
4.557200e-01 1.16813743e+04
4.568330e-01 1.16973611e+04
4.572270e-01 1.16992800e+04
4.579460e-01 1.17028018e+04
4.589730e-01 1.16983862e+04
4.600000e-01 1.16849346e+04
4.606250e-01 1.16723378e+04
4.617190e-01 1.16422731e+04
4.628130e-01 1.16021683e+04
4.636720e-01 1.15628720e+04
4.639060e-01 1.15521736e+04
4.650000e-01 1.14924486e+04
4.662500e-01 1.14126899e+04
4.675000e-01 1.13209308e+04
4.687500e-01 1.12177451e+04
4.700000e-01 1.11036588e+04
4.701170e-01 1.10920137e+04
4.712500e-01 1.09792757e+04
4.725000e-01 1.08451904e+04
4.737500e-01 1.07021167e+04
4.750000e-01 1.05507241e+04
4.762500e-01 1.03917298e+04
4.765630e-01 1.03501936e+04
4.775000e-01 1.02258741e+04
4.787500e-01 1.00539066e+04
4.800000e-01 9.87653663e+03
4.812500e-01 9.69448124e+03
4.824220e-01 9.52011032e+03
4.825000e-01 9.50850725e+03
4.837500e-01 9.31935734e+03
4.850000e-01 9.12762568e+03
4.862500e-01 8.93398163e+03
4.875000e-01 8.73909452e+03
4.882810e-01 8.61686604e+03
4.900000e-01 8.34789717e+03
4.925000e-01 7.95830435e+03
4.950000e-01 7.57397063e+03
5.000000e-01 6.83317642e+03
5.039480e-01 6.28386009e+03
5.078950e-01 5.77154886e+03
5.100900e-01 5.50864472e+03
5.118430e-01 5.29874782e+03
5.138160e-01 5.07737787e+03
5.157900e-01 4.86593315e+03
5.177640e-01 4.66420820e+03
5.197380e-01 4.47201178e+03
5.201800e-01 4.43102443e+03
5.217110e-01 4.28911154e+03
5.236850e-01 4.11517354e+03
5.256590e-01 3.94983178e+03
5.276330e-01 3.79276592e+03
5.296060e-01 3.64360315e+03
5.302700e-01 3.59596414e+03
5.315800e-01 3.50202897e+03
5.315810e-01 3.50196438e+03
5.315820e-01 3.50190696e+03
5.315830e-01 3.50179695e+03
5.315870e-01 3.50157205e+03
5.315930e-01 3.50112712e+03
5.316060e-01 3.50024201e+03
5.316310e-01 3.49846228e+03
5.316820e-01 3.49491232e+03
5.318580e-01 3.48266926e+03
5.320340e-01 3.47048358e+03
5.323860e-01 3.44628433e+03
5.330910e-01 3.39855513e+03
5.345000e-01 3.30571675e+03
5.373170e-01 3.13009928e+03
5.401350e-01 2.96705100e+03
5.403600e-01 2.95495630e+03
5.429520e-01 2.81574981e+03
5.457700e-01 2.67517364e+03
5.485870e-01 2.54448458e+03
5.514050e-01 2.42288421e+03
5.542220e-01 2.30966014e+03
5.542340e-01 2.30920990e+03
5.568870e-01 2.20982429e+03
5.595520e-01 2.11635744e+03
5.622170e-01 2.02878555e+03
5.648820e-01 1.94666879e+03
5.675470e-01 1.86960076e+03
5.681080e-01 1.85436173e+03
5.702120e-01 1.79733980e+03
5.728770e-01 1.72944541e+03
5.755420e-01 1.66557663e+03
5.782070e-01 1.60543224e+03
5.808720e-01 1.54875886e+03
5.819810e-01 1.52651404e+03
5.835370e-01 1.49540903e+03
5.862020e-01 1.44513716e+03
5.888670e-01 1.39765261e+03
5.915320e-01 1.35276893e+03
5.958550e-01 1.28573142e+03
5.968620e-01 1.27019206e+03
