14-Si_n-tot
>  14-Si-28:0.922230
>  14-Si-29:0.046850
>  14-Si-30:0.030920
7.500000e+02 1.99547229e+00
8.125000e+02 1.99490826e+00
8.750000e+02 1.99433531e+00
9.375000e+02 1.99377189e+00
1.000000e+03 1.99320894e+00
1.062500e+03 1.99264630e+00
1.125000e+03 1.99208397e+00
1.156250e+03 1.99180523e+00
1.250000e+03 1.99096962e+00
1.312500e+03 1.99041283e+00
1.375000e+03 1.98985665e+00
1.437500e+03 1.98930649e+00
1.500000e+03 1.98875756e+00
1.531250e+03 1.98848328e+00
1.562500e+03 1.98820963e+00
1.593750e+03 1.98793659e+00
1.625000e+03 1.98766418e+00
1.656250e+03 1.98739280e+00
1.687500e+03 1.98712236e+00
1.718750e+03 1.98685346e+00
1.750000e+03 1.98658611e+00
1.771490e+03 1.98640326e+00
1.792970e+03 1.98622204e+00
1.814450e+03 1.98604206e+00
1.835940e+03 1.98586416e+00
1.857420e+03 1.98568851e+00
1.875000e+03 1.98554727e+00
1.878910e+03 1.98551586e+00
1.900390e+03 1.98534701e+00
1.921880e+03 1.98518241e+00
1.941410e+03 1.98503836e+00
1.960940e+03 1.98490111e+00
1.970700e+03 1.98483547e+00
1.980470e+03 1.98477283e+00
1.990240e+03 1.98471267e+00
2.000000e+03 1.98465630e+00
2.009610e+03 1.98460498e+00
2.019230e+03 1.98455821e+00
2.028840e+03 1.98451710e+00
2.038450e+03 1.98448309e+00
2.048060e+03 1.98445744e+00
2.057670e+03 1.98444168e+00
2.067290e+03 1.98443850e+00
2.076900e+03 1.98445057e+00
2.081930e+03 1.98446499e+00
2.086970e+03 1.98448551e+00
2.092000e+03 1.98451323e+00
2.097040e+03 1.98454921e+00
2.102070e+03 1.98459486e+00
2.107110e+03 1.98465125e+00
2.112140e+03 1.98472071e+00
2.117180e+03 1.98480554e+00
2.121070e+03 1.98488312e+00
2.124960e+03 1.98497307e+00
2.128850e+03 1.98507725e+00
2.132740e+03 1.98519781e+00
2.136630e+03 1.98533723e+00
2.140520e+03 1.98549798e+00
2.144410e+03 1.98568564e+00
2.148300e+03 1.98590452e+00
2.150820e+03 1.98606583e+00
2.153340e+03 1.98624414e+00
2.155850e+03 1.98644232e+00
2.158370e+03 1.98666299e+00
2.160890e+03 1.98690902e+00
2.163410e+03 1.98718411e+00
2.165920e+03 1.98749299e+00
2.168440e+03 1.98784074e+00
2.170730e+03 1.98819576e+00
2.173020e+03 1.98859345e+00
2.175310e+03 1.98904123e+00
