45-Rh_n-g
> 45-Rh-103:1.000000
2.045000e+01 7.52479000e-02
2.090000e+01 7.26993000e-02
2.135000e+01 7.03141000e-02
2.180000e+01 6.80862000e-02
2.270000e+01 6.40334000e-02
2.360000e+01 6.04600000e-02
2.450000e+01 5.73135000e-02
2.540000e+01 5.45484000e-02
2.630000e+01 5.21315000e-02
2.720000e+01 5.00428000e-02
2.810000e+01 4.82793000e-02
2.900000e+01 4.68584000e-02
2.945000e+01 4.62957000e-02
2.990000e+01 4.58601000e-02
3.035000e+01 4.55768000e-02
3.080000e+01 4.54961000e-02
3.125000e+01 4.56935000e-02
3.147500e+01 4.59419000e-02
3.170000e+01 4.63433000e-02
3.192500e+01 4.69382000e-02
3.215000e+01 4.77895000e-02
3.226250e+01 4.83461000e-02
3.237500e+01 4.90212000e-02
3.248750e+01 4.98400000e-02
3.260000e+01 5.08359000e-02
3.269840e+01 5.18881000e-02
3.279690e+01 5.31505000e-02
3.289530e+01 5.46763000e-02
3.299380e+01 5.65422000e-02
3.304300e+01 5.76352000e-02
3.309220e+01 5.88569000e-02
3.314140e+01 6.02273000e-02
3.319060e+01 6.17703000e-02
3.323990e+01 6.35148000e-02
3.328910e+01 6.54963000e-02
3.333830e+01 6.77590000e-02
3.338750e+01 7.03583000e-02
3.341560e+01 7.20220000e-02
3.344380e+01 7.38341000e-02
3.347190e+01 7.58144000e-02
3.350000e+01 7.79832000e-02
3.353870e+01 8.13225000e-02
3.357740e+01 8.51471000e-02
3.361600e+01 8.95587000e-02
3.363540e+01 9.20245000e-02
3.365470e+01 9.46871000e-02
3.367400e+01 9.75720000e-02
3.369340e+01 1.00704000e-01
3.371270e+01 1.04112000e-01
3.373200e+01 1.07831000e-01
3.375140e+01 1.11906000e-01
3.377070e+01 1.16381000e-01
3.379010e+01 1.21318000e-01
3.380940e+01 1.26784000e-01
3.383050e+01 1.33455000e-01
3.385160e+01 1.40991000e-01
3.387270e+01 1.49569000e-01
3.388320e+01 1.54312000e-01
3.389380e+01 1.59394000e-01
3.390430e+01 1.64861000e-01
3.391490e+01 1.70748000e-01
3.392540e+01 1.77101000e-01
3.393600e+01 1.83966000e-01
3.394650e+01 1.91413000e-01
3.395700e+01 1.99494000e-01
3.396760e+01 2.08300000e-01
3.397810e+01 2.17895000e-01
3.398780e+01 2.27481000e-01
3.399750e+01 2.37897000e-01
3.400710e+01 2.49232000e-01
3.401680e+01 2.61584000e-01
3.402650e+01 2.75061000e-01
3.403620e+01 2.89778000e-01
