Sc-45(n,g) ENDFB-8.0
Energy(eV) XS(b)
1867.89 0.0144788
1911.93 0.0145125
1955.96 0.0145905
2000.00 0.0147065
2022.33 0.0147829
2053.03 0.0149083
2083.73 0.0150554
2114.43 0.0152266
2145.13 0.0154249
2175.83 0.0156486
2206.53 0.0159033
2237.23 0.0161895
2267.93 0.0165078
2298.63 0.0168672
2329.33 0.0172653
2360.03 0.0177085
2390.73 0.0182053
2421.43 0.0187548
2452.13 0.0193724
2467.48 0.0197051
2482.83 0.0200634
2513.53 0.0208347
2533.77 0.0214007
2554.00 0.0220180
2574.23 0.0226939
2594.47 0.0234402
2614.70 0.0242774
2624.82 0.0247221
2634.94 0.0252189
2645.05 0.0257693
2655.17 0.0263946
2665.29 0.0271203
2670.35 0.0275556
2675.41 0.0280618
2682.38 0.0289366
2685.87 0.0295078
2689.36 0.0302284
2692.85 0.0311887
2696.34 0.0325608
2698.08 0.0335023
2699.83 0.0347368
2701.57 0.0364381
2703.31 0.0389165
2704.27 0.0408243
2705.23 0.0433545
2706.19 0.0468899
2706.67 0.0492507
2707.15 0.0522125
2707.63 0.0560721
2708.11 0.0613033
2708.59 0.0687179
2709.07 0.0796403
2709.31 0.0870698
2709.55 0.0962686
2709.79 0.107675
2710.03 0.121802
2710.27 0.139235
2710.51 0.160618
2710.75 0.186630
2710.99 0.217810
2711.13 0.238303
2711.26 0.260665
2711.40 0.285125
2711.54 0.311749
2711.67 0.340803
2711.81 0.371874
2711.94 0.405150
2712.08 0.440573
2712.35 0.517729
2712.63 0.601460
2712.90 0.690301
2713.17 0.780798
2713.40 0.856017
2713.63 0.927923
2713.86 0.994113
2714.09 1.05221
2714.22 1.08094
2714.35 1.10575
2714.48 1.12669
2714.61 1.14316
2714.80 1.15941
2715.00 1.16492
2715.13 1.16252
2715.26 1.15528
2715.39 1.14330
2715.52 1.12688
2715.67 1.10371
2715.81 1.07588
2715.95 1.04344
2716.10 1.00735
2716.25 0.964768
2716.40 0.919350
2716.71 0.821748
2717.33 0.619992
2717.50 0.565393
2717.67 0.513194
2717.85 0.463876
2718.02 0.417798
2718.20 0.375197
2718.37 0.336198
2718.54 0.300830
2718.72 0.269208
2718.89 0.240841
2719.06 0.215743
2719.24 0.193696
2719.41 0.174560
2719.59 0.157855
2719.76 0.143440
2719.93 0.131059
2720.11 0.120523
2720.35 0.108146
2720.60 0.0983441
2720.84 0.0905369
2721.09 0.0843724
2721.58 0.0755654
2722.07 0.0699564
2722.56 0.0663525
2723.05 0.0640600
2723.54 0.0626838
2724.03 0.0620009
2724.85 0.0620955
2725.67 0.0635530
2726.49 0.0664045
2727.31 0.0709202
2727.72 0.0739791
2728.13 0.0777107
2728.54 0.0822983
2728.94 0.0880028
2729.35 0.0952207
2729.76 0.104566
2730.17 0.117004
2730.38 0.124845
2730.58 0.134039
2730.77 0.143838
2730.95 0.155253
2731.13 0.168665
2731.32 0.184463
2731.50 0.203102
2731.69 0.225103
2731.87 0.251055
2732.05 0.281617
2732.24 0.317507
2732.42 0.359495
2732.61 0.408385
2732.79 0.464994
2732.97 0.530118
2733.16 0.604501
2733.34 0.688786
2733.53 0.783472
2733.71 0.889458
2733.89 1.00565
2734.08 1.13232
2734.26 1.26887
2734.45 1.41430
2734.63 1.56720
2735.00 1.88773
2735.41 2.24649
2735.61 2.41744
2735.82 2.57571
2735.93 2.65665
2736.04 2.73123
2736.15 2.80008
2736.27 2.86135
2736.38 2.91773
2736.50 2.96480
2736.62 3.00255
2736.74 3.03057
2736.87 3.05024
2737.00 3.05667
2737.07 3.05491
