Sr-87(n,tot) ENDFB-8.0
Energy(eV) XS(b)
35.3639 12.8260
35.3738 12.6164
35.3935 12.1638
35.4132 11.6801
35.4329 11.1821
35.4508 10.7291
35.4687 10.2866
35.4866 9.86243
35.4956 9.65941
35.5046 9.46354
35.5144 9.25641
35.5243 9.05908
35.5341 8.87173
35.5440 8.69463
35.5538 8.52773
35.5637 8.37137
35.5735 8.22528
35.5834 8.08927
35.5896 8.00782
35.5959 7.93026
35.6022 7.85649
35.6085 7.78641
35.6147 7.71991
35.6210 7.65688
35.6273 7.59720
35.6335 7.54073
35.6398 7.48736
35.6461 7.43696
35.6523 7.38940
35.6586 7.34456
35.6649 7.30230
35.6712 7.26250
35.6774 7.22504
35.6837 7.18985
35.6935 7.13861
35.7034 7.09217
35.7132 7.05004
35.7231 7.01185
35.7330 6.97717
35.7428 6.94575
35.7527 6.91722
35.7625 6.89131
35.7724 6.86772
35.7822 6.84626
35.7921 6.82669
35.8019 6.80881
35.8118 6.79243
35.8216 6.77742
35.8315 6.76363
35.8413 6.75092
35.8539 6.73615
35.8664 6.72276
35.8789 6.71057
35.8915 6.69944
35.9040 6.68924
35.9166 6.67986
35.9291 6.67121
35.9416 6.66320
35.9542 6.65577
35.9667 6.64885
35.9793 6.64239
35.9918 6.63635
36.0043 6.63069
36.0169 6.62537
36.0420 6.61565
36.0617 6.60876
36.0814 6.60243
36.1011 6.59660
36.1208 6.59122
36.1405 6.58623
36.1602 6.58159
36.1799 6.57727
36.1996 6.57325
36.2193 6.56947
36.2390 6.56594
36.2784 6.55949
36.3178 6.55376
36.3572 6.54863
36.3895 6.54482
36.4217 6.54131
36.4540 6.53806
36.4862 6.53505
36.5185 6.53225
36.5507 6.52964
36.5829 6.52720
36.6152 6.52490
36.6797 6.52071
36.7442 6.51696
36.8086 6.51358
36.8731 6.51052
36.9340 6.50786
36.9949 6.50541
37.0558 6.50313
37.1167 6.50100
37.1777 6.49900
37.2386 6.49712
37.3604 6.49364
37.4822 6.49047
37.6040 6.48756
37.7258 6.48485
37.8476 6.48231
38.0339 6.47869
38.2202 6.47532
38.4065 6.47214
38.5928 6.46910
38.7791 6.46619
38.9654 6.46339
39.3380 6.45802
39.7106 6.45291
40.0832 6.44797
40.4558 6.44317
40.8284 6.43850
41.2870 6.43289
41.7455 6.42741
42.7774 6.41547
43.8092 6.40396
44.8410 6.39282
45.8728 6.38201
47.9364 6.36129
50.0000 6.34157
51.5625 6.32728
53.1250 6.31350
54.6875 6.30018
56.2500 6.28730
57.8125 6.27484
59.3750 6.26277
60.9375 6.25106
62.5000 6.23971
64.0625 6.22869
65.6250 6.21799
67.1875 6.20759
68.7500 6.19748
70.3125 6.18764
71.8750 6.17807
75.0000 6.15965
78.1250 6.14215
81.2500 6.12549
84.3750 6.10959
87.5000 6.09441
