Li-7(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.30000E+07 4.13217E-06
1.32476E+07 4.12680E-06
1.34390E+07 4.12264E-06
1.34393E+07 4.12264E-06
1.35000E+07 4.12132E-06
1.40000E+07 4.11046E-06
1.40110E+07 4.11022E-06
1.40112E+07 4.11022E-06
1.45000E+07 4.09961E-06
1.45830E+07 4.09781E-06
1.45830E+07 4.09780E-06
1.50000E+07 4.08875E-06
1.51550E+07 4.08539E-06
1.55000E+07 4.07790E-06
1.57270E+07 4.07297E-06
1.60000E+07 4.06704E-06
1.62990E+07 4.06203E-06
1.65000E+07 4.05866E-06
1.68710E+07 4.05244E-06
1.70000E+07 4.05028E-06
1.74420E+07 4.04287E-06
1.74425E+07 4.04287E-06
1.75000E+07 4.04190E-06
1.80000E+07 4.03352E-06
1.80140E+07 4.03329E-06
1.80143E+07 4.03328E-06
1.85000E+07 4.02514E-06
1.85860E+07 4.02370E-06
1.85862E+07 4.02370E-06
1.90000E+07 4.01676E-06
1.91580E+07 4.01411E-06
1.91581E+07 4.01411E-06
1.95000E+07 4.00838E-06
1.97300E+07 4.00453E-06
2.00000E+07 4.00000E-06
