Xe-128(n,tot) ENDFB-8.0
Energy(eV) XS(b)
415.291 2.30693
416.419 2.26181
417.547 2.21486
418.675 2.16608
419.803 2.11535
420.931 2.06260
422.059 2.00770
423.188 1.95055
424.316 1.89105
425.444 1.82908
426.572 1.76453
427.700 1.69731
428.828 1.62733
429.956 1.55451
430.520 1.51701
431.084 1.47880
431.648 1.43986
432.212 1.40021
432.776 1.35984
433.340 1.31879
434.161 1.25787
434.981 1.19563
435.802 1.13220
436.622 1.06781
437.443 1.00271
437.853 0.970015
438.263 0.937294
438.673 0.904619
439.083 0.872073
439.494 0.839751
439.904 0.807763
440.417 0.768436
440.929 0.730119
441.442 0.693163
441.955 0.657994
442.468 0.625105
442.980 0.595103
443.237 0.581395
443.493 0.568684
443.750 0.557092
444.006 0.546769
444.288 0.537047
444.570 0.529248
444.711 0.526138
444.852 0.523597
444.993 0.521657
445.134 0.520353
445.275 0.519724
445.416 0.519809
445.557 0.520650
445.698 0.522290
445.839 0.524776
445.980 0.528159
446.121 0.532492
446.262 0.537832
446.422 0.545208
446.503 0.549448
446.583 0.554065
446.663 0.559086
446.743 0.564510
446.823 0.570358
446.903 0.576645
446.977 0.582830
447.051 0.589410
447.131 0.597035
447.211 0.605150
447.285 0.613072
447.358 0.621443
447.432 0.630280
447.506 0.639594
447.579 0.649403
447.653 0.659722
447.800 0.681953
447.942 0.705331
448.083 0.730872
448.224 0.758729
448.365 0.789051
448.506 0.821996
448.647 0.857734
448.788 0.896447
448.929 0.938330
448.999 0.960558
449.070 0.983627
449.140 1.00760
449.211 1.03250
449.281 1.05836
449.352 1.08521
449.422 1.11310
449.493 1.14204
449.563 1.17212
449.634 1.20329
449.704 1.23564
449.775 1.26920
449.845 1.30401
449.916 1.34012
449.986 1.37757
450.057 1.41641
450.127 1.45669
450.198 1.49845
450.268 1.54176
450.339 1.58665
450.409 1.63320
450.480 1.68147
