Recomputed-Ag_n-g
> 47-Ag-109:0.481610
> 47-Ag-107:0.518390
4.170900e+00 8.33298628e+01
4.197270e+00 8.74868738e+01
4.223630e+00 9.19853482e+01
4.250000e+00 9.68642926e+01
4.274900e+00 1.01861396e+02
4.299810e+00 1.07279907e+02
4.312260e+00 1.10162061e+02
4.324710e+00 1.13167507e+02
4.337160e+00 1.16304433e+02
4.349610e+00 1.19580063e+02
4.362060e+00 1.23002583e+02
4.374510e+00 1.26581627e+02
4.386960e+00 1.30326827e+02
4.399420e+00 1.34248775e+02
4.411870e+00 1.38359516e+02
4.424320e+00 1.42672052e+02
4.436770e+00 1.47199386e+02
4.437500e+00 1.47478286e+02
4.449220e+00 1.51956122e+02
4.465330e+00 1.58479775e+02
4.481450e+00 1.65451324e+02
4.497560e+00 1.72914116e+02
4.513670e+00 1.80914386e+02
4.529790e+00 1.89506552e+02
4.545900e+00 1.98748894e+02
4.562010e+00 2.08710279e+02
4.578130e+00 2.19467283e+02
4.594240e+00 2.31109005e+02
4.610350e+00 2.43733213e+02
4.625000e+00 2.56205453e+02
4.626470e+00 2.57456951e+02
4.642580e+00 2.72410900e+02
4.658690e+00 2.88748995e+02
4.666750e+00 2.97491399e+02
4.674810e+00 3.06646542e+02
4.682860e+00 3.16244769e+02
4.690920e+00 3.26311118e+02
4.698980e+00 3.36881232e+02
4.707030e+00 3.47984971e+02
4.715090e+00 3.59663269e+02
4.723150e+00 3.71954175e+02
4.731200e+00 3.84901999e+02
4.739260e+00 3.98552972e+02
4.747320e+00 4.12962481e+02
4.755370e+00 4.28183985e+02
4.763430e+00 4.44284427e+02
4.771490e+00 4.61328342e+02
4.779540e+00 4.79396161e+02
4.787600e+00 4.98568793e+02
4.795660e+00 5.18939670e+02
4.803710e+00 5.40606080e+02
4.811770e+00 5.63693237e+02
4.812500e+00 5.65923405e+02
4.819830e+00 5.88316814e+02
4.827880e+00 6.14626035e+02
4.835940e+00 6.42770190e+02
4.844730e+00 6.75778502e+02
4.853520e+00 7.11450118e+02
4.862310e+00 7.50074003e+02
4.871090e+00 7.91987286e+02
4.879880e+00 8.37575251e+02
4.888670e+00 8.87280982e+02
4.897460e+00 9.41610169e+02
4.906250e+00 1.00115038e+03
4.914310e+00 1.06088815e+03
4.922360e+00 1.12617888e+03
4.930420e+00 1.19772091e+03
4.938480e+00 1.27628963e+03
4.946530e+00 1.36283863e+03
4.950560e+00 1.40942902e+03
4.954590e+00 1.45840337e+03
4.958620e+00 1.50994952e+03
4.962650e+00 1.56420714e+03
4.966680e+00 1.62136886e+03
4.970700e+00 1.68162252e+03
4.978030e+00 1.79979414e+03
4.981690e+00 1.86339022e+03
4.985350e+00 1.93023236e+03
4.989010e+00 2.00050838e+03
4.992680e+00 2.07443018e+03
4.996340e+00 2.15220486e+03
5.000000e+00 2.23404915e+03
5.005560e+00 2.36661641e+03
5.011120e+00 2.50990912e+03
5.016680e+00 2.66486162e+03
5.022240e+00 2.83230226e+03
5.027800e+00 3.01321353e+03
5.033360e+00 3.20841898e+03
5.038920e+00 3.41881923e+03
5.044480e+00 3.64522339e+03
5.049570e+00 3.86748093e+03
5.054670e+00 4.10419160e+03
5.059760e+00 4.35572622e+03
5.064860e+00 4.62225818e+03
5.069960e+00 4.90375375e+03
5.075050e+00 5.20003958e+03
5.080150e+00 5.51062921e+03
5.085240e+00 5.83470393e+03
5.090530e+00 6.18406315e+03
5.095820e+00 6.54517366e+03
5.106390e+00 7.29475011e+03
5.127530e+00 8.82294410e+03
5.134780e+00 9.32343229e+03
