15-P_n-tot
>   15-P-31:1.000000
2.550000e+05 4.59837000e+00
2.690000e+05 1.70667000e+00
2.770000e+05 3.89823000e+00
2.850000e+05 2.20632000e+00
2.890000e+05 3.19936000e+00
3.000000e+05 2.40200000e+00
3.110000e+05 1.60369000e+00
3.190000e+05 2.50040000e+00
3.290000e+05 1.90264000e+00
3.400000e+05 2.00271000e+00
3.610000e+05 3.80359000e+00
3.690000e+05 5.79807000e+00
3.950000e+05 2.10342000e+00
4.170000e+05 2.10155000e+00
4.210000e+05 1.95194000e+00
4.230000e+05 1.87694000e+00
4.240000e+05 1.83944000e+00
4.245000e+05 1.82069000e+00
4.247500e+05 1.81132000e+00
4.248750e+05 1.80663000e+00
4.249380e+05 1.80432000e+00
4.250000e+05 1.80682000e+00
4.250390e+05 1.81875000e+00
4.250780e+05 1.83479000e+00
4.251560e+05 1.86759000e+00
4.253130e+05 1.93319000e+00
4.256250e+05 2.06444000e+00
4.262500e+05 2.32694000e+00
4.275000e+05 2.85194000e+00
4.300000e+05 3.90249000e+00
4.370000e+05 7.19338000e+00
4.450000e+05 4.65193000e+00
4.490000e+05 3.37693000e+00
4.510000e+05 2.73943000e+00
4.520000e+05 2.42068000e+00
4.525000e+05 2.26130000e+00
4.527500e+05 2.18161000e+00
4.528750e+05 2.14177000e+00
4.529380e+05 2.12196000e+00
4.529690e+05 2.11357000e+00
4.530000e+05 2.11242000e+00
4.530240e+05 2.11970000e+00
4.530470e+05 2.13211000e+00
4.530940e+05 2.16134000e+00
4.531880e+05 2.22068000e+00
4.533750e+05 2.33943000e+00
4.537500e+05 2.57693000e+00
4.545000e+05 3.05193000e+00
4.552500e+05 3.52693000e+00
4.556250e+05 3.76443000e+00
4.558130e+05 3.88318000e+00
4.559060e+05 3.94258000e+00
4.559530e+05 3.97185000e+00
4.560000e+05 3.99259000e+00
4.560700e+05 3.98702000e+00
4.561410e+05 3.97222000e+00
4.562810e+05 3.94254000e+00
4.565630e+05 3.88317000e+00
4.571250e+05 3.76442000e+00
4.582500e+05 3.52692000e+00
4.605000e+05 3.05192000e+00
4.627500e+05 2.57692000e+00
4.638750e+05 2.33942000e+00
4.644380e+05 2.22067000e+00
4.647190e+05 2.16129000e+00
4.648590e+05 2.13160000e+00
4.649300e+05 2.11682000e+00
4.649650e+05 2.11082000e+00
4.650000e+05 2.11377000e+00
4.650310e+05 2.13049000e+00
4.650630e+05 2.15518000e+00
4.651250e+05 2.20817000e+00
4.652500e+05 2.31442000e+00
4.655000e+05 2.52692000e+00
4.660000e+05 2.95192000e+00
4.670000e+05 3.80192000e+00
4.680000e+05 4.65192000e+00
4.685000e+05 5.07692000e+00
4.687500e+05 5.28942000e+00
4.688750e+05 5.39567000e+00
4.689380e+05 5.44862000e+00
4.690000e+05 5.48679000e+00
4.690630e+05 5.47049000e+00
4.691250e+05 5.43942000e+00
4.692500e+05 5.37692000e+00
4.695000e+05 5.25192000e+00
4.700000e+05 5.00192000e+00
4.705000e+05 4.75192000e+00
4.707500e+05 4.62692000e+00
4.708750e+05 4.56442000e+00
4.709380e+05 4.53330000e+00
4.710000e+05 4.51343000e+00
4.710630e+05 4.53487000e+00
4.711250e+05 4.56754000e+00
4.712500e+05 4.63317000e+00
4.715000e+05 4.76442000e+00
4.720000e+05 5.02692000e+00
4.730000e+05 5.55192000e+00
4.750000e+05 6.59331000e+00
4.830000e+05 4.70191000e+00
4.910000e+05 2.80436000e+00
5.080000e+05 2.40190000e+00
5.165000e+05 2.20190000e+00
5.207500e+05 2.10189000e+00
5.228750e+05 2.05189000e+00
5.239380e+05 2.02689000e+00
5.244690e+05 2.01439000e+00
5.247340e+05 2.00814000e+00
5.248670e+05 2.00502000e+00
5.249340e+05 2.00352000e+00
5.249670e+05 2.00366000e+00
5.250000e+05 2.00781000e+00
5.250630e+05 2.03168000e+00
5.251250e+05 2.06127000e+00
5.252500e+05 2.12064000e+00
5.255000e+05 2.23939000e+00
5.260000e+05 2.47689000e+00
5.270000e+05 2.95189000e+00
5.280000e+05 3.42689000e+00
5.290000e+05 3.89487000e+00
5.316250e+05 3.60189000e+00
5.342500e+05 3.30189000e+00
5.395000e+05 2.70188000e+00
5.447500e+05 2.10188000e+00
5.473750e+05 1.80188000e+00
5.486880e+05 1.65188000e+00
5.493440e+05 1.57687000e+00
5.496720e+05 1.53938000e+00
5.498360e+05 1.52062000e+00
5.499180e+05 1.51127000e+00
5.499590e+05 1.50718000e+00
5.500000e+05 1.50779000e+00
5.500430e+05 1.51844000e+00
5.500860e+05 1.53395000e+00
5.501720e+05 1.56595000e+00
5.503440e+05 1.63002000e+00
5.506880e+05 1.75813000e+00
5.513750e+05 2.01438000e+00
5.527500e+05 2.52688000e+00
5.555000e+05 3.55188000e+00
5.610000e+05 5.59598000e+00
5.730000e+05 4.30187000e+00
5.850000e+05 3.00318000e+00
6.181250e+05 2.90185000e+00
6.512500e+05 2.80183000e+00
7.175000e+05 2.60180000e+00
8.500000e+05 2.20353000e+00
8.690000e+05 4.39893000e+00
9.000000e+05 2.30380000e+00
9.300000e+05 4.29801000e+00
9.360000e+05 3.30856000e+00
9.480000e+05 6.49513000e+00
9.680000e+05 3.60360000e+00
9.950000e+05 2.90122000e+00
1.010000e+06 2.10166000e+00
1.016000e+06 2.10166000e+00
1.022000e+06 3.30165000e+00
1.030000e+06 3.30165000e+00
1.056000e+06 2.70164000e+00
1.060000e+06 2.90163000e+00
1.076000e+06 2.10163000e+00
1.082000e+06 3.50162000e+00
1.092000e+06 2.80162000e+00
1.115000e+06 1.80161000e+00
1.127000e+06 3.00160000e+00
1.150000e+06 5.00159000e+00
1.200000e+06 3.30157000e+00
1.310000e+06 3.19151000e+00
1.310010e+06 3.19151000e+00
1.500000e+06 3.05142000e+00
1.590000e+06 2.99868000e+00
1.650000e+06 2.96635000e+00
1.750000e+06 2.91048000e+00
2.000000e+06 2.92082000e+00
2.200000e+06 2.84909000e+00
2.250000e+06 2.83273000e+00
2.306000e+06 2.71921000e+00
2.350000e+06 2.63001000e+00
2.500000e+06 2.90094000e+00
2.650000e+06 3.28696000e+00
2.730000e+06 2.93283000e+00
2.750000e+06 2.83042000e+00
2.780000e+06 2.88164000e+00
2.840000e+06 3.04128000e+00
2.940000e+06 3.22901000e+00
2.950000e+06 3.25436000e+00
3.000000e+06 3.14363000e+00
3.050000e+06 3.03297000e+00
3.125000e+06 3.07949000e+00
3.200000e+06 3.07730000e+00
3.210000e+06 3.03868000e+00
3.300000e+06 2.71084000e+00
3.350000e+06 2.64120000e+00
3.460000e+06 2.51537000e+00
3.500000e+06 2.45652000e+00
3.600000e+06 2.67075000e+00
3.610000e+06 2.68218000e+00
3.720000e+06 2.84984000e+00
3.750000e+06 2.86570000e+00
3.820000e+06 2.82271000e+00
3.850000e+06 2.81601000e+00
4.100000e+06 2.76014000e+00
4.140000e+06 2.74358000e+00
4.220000e+06 2.73921000e+00
4.250000e+06 2.72949000e+00
4.350000e+06 3.03045000e+00
4.400000e+06 2.82538000e+00
4.425000e+06 2.79785000e+00
4.500000e+06 2.73560000e+00
4.540000e+06 2.72641000e+00
4.750000e+06 2.64117000e+00
4.800000e+06 2.71588000e+00
4.850000e+06 2.78302000e+00
5.000000e+06 2.55943000e+00
5.050000e+06 2.53853000e+00
5.500000e+06 2.44161000e+00
6.000000e+06 2.20170000e+00
6.300000e+06 2.36236000e+00
6.750000e+06 2.37834000e+00
