Ge-70(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1036.13 1.46492
1037.94 1.39361
1039.75 1.32139
1041.55 1.24828
1043.36 1.17446
1045.17 1.09999
1046.97 1.02513
1048.78 0.950009
1050.58 0.874983
1052.39 0.800294
1054.20 0.726427
1056.00 0.653795
1057.81 0.583086
1059.62 0.514964
1060.52 0.482149
1061.42 0.450385
1062.33 0.419750
1063.23 0.390474
1064.13 0.362706
1064.59 0.349435
1065.04 0.336647
1065.49 0.324314
1065.94 0.312496
1066.39 0.301226
1066.84 0.290559
1067.30 0.280485
1067.75 0.271086
1068.20 0.262360
1068.65 0.254389
1069.10 0.247181
1069.55 0.240803
1070.01 0.235305
1070.46 0.230748
1070.91 0.227170
1071.36 0.224645
1071.81 0.223224
1072.04 0.222952
1072.26 0.222982
1072.49 0.223323
1072.72 0.223986
1072.83 0.224442
1072.94 0.224981
1073.05 0.225605
1073.17 0.226316
1073.22 0.226707
1073.28 0.227114
1073.34 0.227551
1073.39 0.228002
1073.45 0.228483
1073.51 0.228979
1073.56 0.229507
1073.59 0.229775
1073.62 0.230049
1073.65 0.230338
1073.68 0.230624
1073.70 0.230915
1073.73 0.231212
1073.76 0.231525
1073.79 0.231834
1073.85 0.232468
1073.90 0.233139
1073.96 0.233821
1074.01 0.234528
1074.07 0.235258
1074.13 0.236026
1074.18 0.236806
1074.30 0.238454
1074.41 0.240203
1074.52 0.242055
1074.64 0.244013
1074.75 0.246076
1074.97 0.250506
1075.20 0.255400
1075.43 0.260750
1075.65 0.266571
1075.88 0.272847
1076.10 0.279650
1076.33 0.286968
1076.55 0.294815
1076.78 0.303208
1077.01 0.312164
1077.23 0.321699
1077.46 0.331831
1077.68 0.342529
1077.91 0.353908
1078.14 0.365940
1078.36 0.378645
1078.59 0.391983
1078.81 0.406094
1079.04 0.420943
1079.26 0.436551
1079.49 0.452869
1079.72 0.470066
1079.94 0.488096
1080.17 0.506985
1080.39 0.526760
1080.62 0.547449
1080.85 0.569081
1081.07 0.591685
1081.30 0.615186
1081.52 0.639825
1081.75 0.665532
1081.97 0.692341
1082.20 0.720162
1082.43 0.749279
1082.65 0.779609
1082.88 0.811190
1083.10 0.843916
1083.33 0.878120
1083.55 0.913702
1083.78 0.950709
1084.01 0.989188
1084.23 1.02919
1084.46 1.07076
1084.68 1.11395
1084.91 1.15862
1085.14 1.20522
1085.36 1.25362
1085.59 1.30387
1085.81 1.35580
1086.26 1.46615
1086.72 1.58472
1087.17 1.71266
1087.62 1.85036
1088.07 1.99853
1088.52 2.15758
1088.97 2.32905
1089.43 2.51350
1089.88 2.71192
1090.33 2.92491
1090.78 3.15456
1091.23 3.40172
1091.69 3.66778
1092.14 3.95361
1092.59 4.26214
1093.04 4.59387
1093.49 4.95226
1093.94 5.33795
1094.39 5.75510
1094.85 6.20559
1095.30 6.69243
1095.75 7.21771
1096.20 7.78745
1096.65 8.40319
1097.10 9.07222
1097.56 9.79664
1098.01 10.5854
1098.46 11.4432
1098.91 12.3773
1099.36 13.3935
1099.81 14.5052
1100.27 15.7180
1100.72 17.0488
1101.17 18.5049
1101.39 19.2875
1101.62 20.1082
1101.85 20.9691
1102.07 21.8728
1102.30 22.8218
1102.52 23.8188
1102.75 24.8669
1102.98 25.9643
1103.20 27.1241
1103.43 28.3454
1103.65 29.6321
1103.88 30.9824
1104.10 32.4130
1104.33 33.9231
1104.56 35.5182
1104.78 37.1966
1105.01 38.9796
1105.23 40.8670
1105.46 42.8664
1105.69 44.9862
1105.91 47.2355
1106.14 49.6241
1106.36 52.1629
1106.59 54.8516
1106.81 57.7268
1107.04 60.7915
1107.27 64.0614
1107.49 67.5379
1107.72 71.2709
1107.94 75.2666
1108.17 79.5487
1108.39 84.1219
1108.62 89.0558
1108.85 94.3628
1109.07 100.079
1109.30 106.244
1109.52 112.904
1109.75 120.108
1109.98 127.913
1110.20 136.344
1110.43 145.547
1110.65 155.568
1110.88 166.500
1111.10 178.392
1111.33 191.468
1111.56 205.814
1111.78 221.586
1112.01 238.881
1112.23 258.057
1112.35 268.395
1112.46 279.275
1112.57 290.732
1112.69 302.804
1112.80 315.531
1112.91 328.956
1113.02 343.126
1113.14 358.089
1113.25 373.899
1113.36 390.613
1113.48 408.292
1113.59 427.001
1113.70 446.811
1113.81 467.605
1113.93 489.833
1114.04 513.400
1114.15 538.395
1114.27 564.914
1114.38 593.056
1114.49 622.928
1114.61 654.639
1114.72 687.995
1114.83 723.710
1114.94 761.613
1115.06 801.824
1115.17 844.461
1115.28 889.636
1115.40 937.456
1115.51 988.013
1115.62 1040.90
1115.77 1115.62
1115.92 1195.34
1116.07 1279.97
1116.22 1368.60
1116.36 1461.92
1116.51 1558.58
1116.81 1756.45
1116.96 1855.04
1117.11 1950.36
1117.26 2039.93
1117.41 2120.54
1117.55 2190.60
1117.70 2247.02
1117.85 2287.68
1118.00 2310.98
1118.15 2316.50
1118.30 2304.10
1118.45 2274.69
1118.60 2230.21
1118.74 2172.17
1118.89 2103.25
1119.04 2025.99
1119.19 1943.44
1119.49 1768.40
1119.79 1593.71
1119.93 1509.09
1120.08 1427.56
1120.23 1349.62
1120.38 1276.05
1120.55 1195.11
1120.73 1120.09
1120.90 1049.99
1121.07 985.437
1121.24 925.396
1121.42 870.263
1121.59 819.078
1121.76 772.116
1121.93 728.517
1122.11 688.491
1122.28 651.292
1122.45 617.091
1122.62 585.249
1122.80 555.916
1122.97 528.549
1123.14 503.280
1123.31 479.648
1123.49 457.776
1123.66 437.272
1123.83 418.247
1124.00 400.368
1124.18 383.740
1124.35 368.075
1124.52 353.470
1124.69 339.679
1124.87 326.793
1125.04 314.597
1125.21 303.175
1125.38 292.342
1125.56 282.176
1125.73 272.568
1125.90 263.479
1126.07 254.823
1126.24 246.668
1126.42 238.888
1126.59 231.544
1126.93 217.890
1127.28 205.520
1127.62 194.280
1127.97 184.033
1128.31 174.667
1128.66 166.082
1129.00 158.193
1129.35 150.926
1129.69 144.215
1130.04 138.006
1130.38 132.247
1130.73 126.897
1131.07 121.916
1131.42 117.283
1131.76 112.942
1132.11 108.879
1132.45 105.070
1132.80 101.496
1133.14 98.1345
1133.49 94.9703
1133.83 91.9874
1134.18 89.1718
1134.52 86.5107
1134.87 83.9928
1135.21 81.6075
1135.56 79.3454
1135.90 77.1979
1136.25 75.1571
1136.94 71.3723
1137.63 67.9296
1138.32 64.7917
1139.01 61.9223
1139.70 59.2941
1140.39 56.8728
1141.08 54.6396
1141.77 52.5745
1142.46 50.6631
1143.15 48.8847
1143.84 47.2289
1144.53 45.6843
1145.22 44.2406
1145.91 42.8887
1146.60 41.6206
1147.29 40.4291
1147.97 39.3094
1148.66 38.2526
1149.35 37.2551
1150.04 36.3124
1150.73 35.4202
1151.42 34.5748
1152.11 33.7728
1152.80 33.0111
1153.49 32.2879
1154.18 31.5984
1154.87 30.9415
1155.56 30.3149
1156.25 29.7167
1157.63 28.5985
1159.01 27.5748
1160.39 26.6330
1161.77 25.7654
1163.15 24.9627
1164.53 24.2191
1165.91 23.5276
1167.29 22.8835
1168.67 22.2823
1170.05 21.7202
1171.43 21.1931
1172.81 20.6980
1174.19 20.2324
1175.57 19.7939
1176.95 19.3798
1178.33 18.9884
1179.71 18.6179
1181.09 18.2670
1182.47 17.9337
1183.85 17.6172
1185.23 17.3159
1186.61 17.0290
1187.99 16.7552
1189.37 16.4939
1190.75 16.2442
1192.12 16.0055
1194.88 15.5579
1197.64 15.1461
1200.40 14.7658
1203.16 14.4139
1205.92 14.0872
1208.68 13.7830
1211.44 13.4990
1214.20 13.2334
1216.96 12.9842
1219.72 12.7501
1222.48 12.5297
1225.24 12.3217
1228.00 12.1252
1230.75 11.9391
1233.51 11.7626
1236.27 11.5949
1239.03 11.4354
1241.79 11.2835
1244.55 11.1385
1247.31 11.0001
1250.07 10.8677
1252.83 10.7408
1255.59 10.6191
1258.35 10.5024
1261.11 10.3901
1263.87 10.2821
1269.39 10.0778
1274.90 9.88746
1280.42 9.70939
1285.94 9.54221
1291.46 9.38461
1296.98 9.23554
1302.50 9.09397
1308.02 8.95905
1313.54 8.83000
1319.05 8.70612
1324.57 8.58671
1330.09 8.47115
1335.61 8.35886
1341.13 8.24929
1346.65 8.14182
1352.17 8.03592
1357.69 7.93098
1363.20 7.82642
1368.72 7.72152
1371.48 7.66872
1374.24 7.61557
1377.00 7.56191
1379.76 7.50769
1382.52 7.45274
1385.28 7.39693
1388.04 7.34008
1390.80 7.28207
1393.56 7.22267
1396.32 7.16170
1399.08 7.09888
1401.83 7.03400
1404.59 6.96671
1407.35 6.89668
1410.11 6.82347
1411.49 6.78553
1412.87 6.74666
1414.25 6.70671
1415.63 6.66567
1417.01 6.62340
1418.39 6.57986
1419.77 6.53489
1421.15 6.48842
1422.53 6.44032
1423.91 6.39050
1425.29 6.33873
1426.67 6.28494
1428.05 6.22887
1429.43 6.17039
1430.81 6.10921
1432.19 6.04512
1433.57 5.97785
1434.95 5.90713
1436.33 5.83252
1437.71 5.75366
1439.09 5.67012
1439.78 5.62643
1440.46 5.58145
1441.15 5.53495
1441.84 5.48692
1442.53 5.43729
1443.22 5.38595
1443.91 5.33281
1444.60 5.27775
1445.29 5.22067
1445.98 5.16152
1446.67 5.10000
1447.36 5.03605
1448.05 4.96951
1448.74 4.90032
1449.43 4.82808
1450.12 4.75271
1450.81 4.67398
1451.50 4.59178
1452.19 4.50563
1452.88 4.41536
1453.57 4.32068
1454.26 4.22128
1454.95 4.11680
1455.64 4.00688
1455.99 3.94976
1456.33 3.89113
1456.68 3.83094
1457.02 3.76931
1457.37 3.70584
1457.71 3.64065
1458.06 3.57368
1458.40 3.50487
1458.75 3.43417
1459.09 3.36153
1459.44 3.28691
1459.78 3.21047
1460.12 3.13173
1460.47 3.05089
1460.81 2.96792
1461.16 2.88280
1461.50 2.79555
1461.85 2.70621
1462.19 2.61482
1462.54 2.52176
1462.88 2.42664
1463.23 2.32994
1463.57 2.23193
1463.92 2.13301
1464.26 2.03371
1464.61 1.93470
1464.78 1.88545
1464.95 1.83692
1465.13 1.78871
1465.30 1.74156
1465.47 1.69514
1465.64 1.65021
1465.82 1.60654
1465.99 1.56495
1466.16 1.52532
1466.33 1.48853
1466.51 1.45465
1466.68 1.42461
1466.85 1.39874
1467.02 1.37806
1467.20 1.36322
1467.37 1.35541
1467.54 1.35570
1467.71 1.36549
1467.89 1.38635
1467.97 1.40151
1468.06 1.42017
1468.14 1.44290
1468.23 1.46950
1468.27 1.48444
1468.32 1.50054
1468.36 1.51785
1468.40 1.53641
1468.45 1.55676
1468.47 1.56746
1468.49 1.57801
1468.51 1.58944
1468.53 1.60069
1468.55 1.61286
1468.58 1.62485
1468.60 1.63780
1468.62 1.65054
1468.64 1.66430
1468.66 1.67784
1468.68 1.69245
1468.70 1.70681
1468.73 1.72230
