72-Hf_n-g
> 72-Hf-174:0.001600
> 72-Hf-176:0.052600
> 72-Hf-177:0.186000
> 72-Hf-178:0.272800
> 72-Hf-179:0.136200
> 72-Hf-180:0.350800
1.031250e-02 2.12041394e+02
1.062500e-02 2.08964596e+02
1.093750e-02 2.06022361e+02
1.125000e-02 2.03204372e+02
1.156250e-02 2.00502450e+02
1.187500e-02 1.97908942e+02
1.218750e-02 1.95416780e+02
1.250000e-02 1.93019364e+02
1.281250e-02 1.90711285e+02
1.312500e-02 1.88486878e+02
1.343750e-02 1.86368292e+02
1.375000e-02 1.84269568e+02
1.437500e-02 1.80333126e+02
1.500000e-02 1.76647475e+02
1.562500e-02 1.73187486e+02
1.625000e-02 1.69930839e+02
1.687500e-02 1.66859123e+02
1.750000e-02 1.63955156e+02
1.812500e-02 1.61204815e+02
1.875000e-02 1.58595172e+02
1.937500e-02 1.56114397e+02
2.000000e-02 1.53752657e+02
2.066250e-02 1.51369220e+02
2.132500e-02 1.49099398e+02
2.198750e-02 1.46934591e+02
2.265000e-02 1.44867285e+02
2.331250e-02 1.42890162e+02
2.397500e-02 1.40997145e+02
2.463750e-02 1.39182700e+02
2.530000e-02 1.37441284e+02
2.611300e-02 1.35417228e+02
2.636130e-02 1.34799987e+02
2.645780e-02 1.34560202e+02
2.692600e-02 1.33469600e+02
2.742270e-02 1.32314341e+02
2.761560e-02 1.31865865e+02
2.773910e-02 1.31595971e+02
2.848400e-02 1.29970480e+02
2.855210e-02 1.29821934e+02
2.877340e-02 1.29339876e+02
2.936510e-02 1.28125577e+02
2.954530e-02 1.27756273e+02
2.993130e-02 1.26965506e+02
3.017810e-02 1.26488080e+02
3.060670e-02 1.25660088e+02
3.099110e-02 1.24917762e+02
3.108910e-02 1.24728752e+02
3.166800e-02 1.23672263e+02
3.180420e-02 1.23423790e+02
3.224690e-02 1.22617465e+02
3.272930e-02 1.21784352e+02
3.311380e-02 1.21120550e+02
3.340470e-02 1.20619310e+02
3.379060e-02 1.19987684e+02
3.442340e-02 1.18952254e+02
3.456250e-02 1.18725070e+02
3.552740e-02 1.17219995e+02
3.573310e-02 1.16911873e+02
3.649220e-02 1.15776893e+02
3.704270e-02 1.14985553e+02
3.745700e-02 1.14391047e+02
3.835240e-02 1.13154887e+02
3.842190e-02 1.13059098e+02
3.938670e-02 1.11778563e+02
3.966200e-02 1.11426396e+02
4.035160e-02 1.10545721e+02
4.097160e-02 1.09791787e+02
4.131640e-02 1.09373183e+02
4.228130e-02 1.08211758e+02
4.324610e-02 1.07125161e+02
4.421090e-02 1.06038834e+02
4.614060e-02 1.04009232e+02
4.807030e-02 1.02108699e+02
5.000000e-02 1.00324614e+02
5.060000e-02 9.97993609e+01
5.156250e-02 9.89579288e+01
5.279380e-02 9.79304111e+01
5.312500e-02 9.76546054e+01
5.468750e-02 9.64106516e+01
5.498750e-02 9.61821205e+01
5.625000e-02 9.52223850e+01
5.718130e-02 9.45439825e+01
5.781250e-02 9.40850957e+01
5.937500e-02 9.29957022e+01
5.952570e-02 9.28949580e+01
5.989750e-02 9.26464648e+01
6.026930e-02 9.23980504e+01
6.093750e-02 9.19518169e+01
6.101290e-02 9.19034213e+01
6.250000e-02 9.09498431e+01
6.406250e-02 8.99880582e+01
6.562500e-02 8.90630447e+01
6.718750e-02 8.81868569e+01
6.875000e-02 8.73157693e+01
7.031250e-02 8.65037462e+01
7.187500e-02 8.56919390e+01
7.343750e-02 8.49352341e+01
7.500000e-02 8.41787212e+01
7.812500e-02 8.27652470e+01
8.125000e-02 8.14419193e+01
8.437500e-02 8.02008043e+01
8.750000e-02 7.90343802e+01
9.062500e-02 7.79360576e+01
9.375000e-02 7.69001263e+01
9.687500e-02 7.59214806e+01
1.000000e-01 7.49958656e+01
1.023440e-01 7.43381382e+01
1.031250e-01 7.41192750e+01
1.046880e-01 7.37031380e+01
1.062500e-01 7.32880652e+01
1.093750e-01 7.24984697e+01
