Ti-49(n,g) ENDFB-8.0
Energy(eV) XS(b)
7792.24 0.0128839
7801.25 0.0131522
7810.26 0.0134510
7828.28 0.0140903
7846.30 0.0148019
7864.32 0.0155891
7878.48 0.0162658
7892.64 0.0169970
7906.80 0.0177865
7920.96 0.0186401
7935.12 0.0195616
7949.27 0.0205599
7963.43 0.0216418
7977.59 0.0228148
7991.75 0.0240921
8005.91 0.0254815
8020.07 0.0269977
8034.23 0.0286573
8048.38 0.0304727
8062.54 0.0324687
8076.70 0.0346654
8090.86 0.0370859
8097.94 0.0383934
8105.02 0.0397679
8112.10 0.0412117
8119.18 0.0427371
8126.26 0.0443459
8133.34 0.0460378
8140.41 0.0478273
8147.49 0.0497203
8154.57 0.0517149
8161.65 0.0538260
8168.73 0.0560655
8175.81 0.0584298
8182.89 0.0609338
8189.97 0.0635961
8197.05 0.0664132
8204.13 0.0693967
8211.00 0.0724790
8217.87 0.0757401
8224.74 0.0791889
8231.61 0.0828585
8238.49 0.0867431
8245.36 0.0908514
8252.23 0.0952220
8259.10 0.0998440
8265.97 0.104727
8272.85 0.109912
8279.72 0.115383
8286.59 0.121142
8293.46 0.127231
8300.33 0.133605
8307.20 0.140301
8314.08 0.147301
8321.09 0.154750
8328.11 0.162479
8342.15 0.178673
8370.22 0.211668
8384.26 0.226982
8391.27 0.233861
8398.29 0.240010
8405.31 0.245283
8412.33 0.249552
8419.35 0.252701
8426.36 0.254624
8435.00 0.255220
8443.64 0.253846
8450.66 0.251312
8457.67 0.247586
8464.69 0.242785
8471.71 0.237035
8478.73 0.230470
8485.75 0.223241
8499.78 0.207417
8527.85 0.174060
8541.89 0.157889
8555.93 0.142839
8563.28 0.135453
8570.63 0.128427
8577.98 0.121790
8585.33 0.115464
8592.68 0.109516
8600.03 0.103908
8607.38 0.0986088
8614.72 0.0936505
8622.07 0.0889849
8629.42 0.0845868
8636.77 0.0804783
8644.12 0.0766135
8651.47 0.0729731
8658.82 0.0695719
8666.17 0.0663683
8673.52 0.0633509
8681.19 0.0604103
8688.85 0.0576457
8696.51 0.0550431
8704.18 0.0526084
8711.84 0.0503183
8719.50 0.0481565
8727.17 0.0461276
8734.83 0.0442187
8742.49 0.0424116
8750.16 0.0407100
8765.48 0.0375872
8780.81 0.0347950
8796.14 0.0322866
8811.47 0.0300353
8826.79 0.0280017
8842.12 0.0261620
8857.45 0.0244959
8872.77 0.0229780
8888.10 0.0215962
8903.43 0.0203336
8918.75 0.0191759
8939.66 0.0177499
8960.56 0.0164766
8981.46 0.0153351
9002.36 0.0143149
9023.26 0.0133858
9044.16 0.0125450
9065.06 0.0117821
9085.96 0.0110879
9116.61 0.0101810
9131.94 0.00976461
9147.27 0.00937867
9177.92 0.00866920
9208.57 0.00804248
9239.23 0.00747970
9269.88 0.00697812
9300.54 0.00652714
9331.19 0.00611851
9361.84 0.00575103
9392.50 0.00541600
9423.15 0.00511084
9453.80 0.00483332
9484.46 0.00457795
9515.11 0.00434443
9545.77 0.00412959
9576.42 0.00393083
9602.89 0.00377268
9629.37 0.00362566
9682.32 0.00335416
9735.26 0.00311550
9788.21 0.00290530
9841.16 0.00271761
9894.11 0.00254927
9947.05 0.00239775
10000.0 0.00226122
10068.1 0.00210602
10136.2 0.00196788
10204.3 0.00184517
10272.4 0.00173650
10340.5 0.00163841
10408.6 0.00155080
10476.7 0.00147173
10544.8 0.00139976
10650.1 0.00130190
10755.3 0.00121712
10860.6 0.00114382
10965.8 0.00107878
11071.0 0.00102150
11176.3 0.000970855
11281.5 0.000925909
11386.8 0.000885935
11523.0 0.000840874
11659.2 0.000801411
11795.4 0.000767047
11931.6 0.000737344
12067.8 0.000711179
12204.0 0.000688569
12340.2 0.000668937
12476.4 0.000651896
12674.5 0.000632245
12872.6 0.000621057
12996.4 0.000629976
13027.4 0.000641350
13058.3 0.000665869
13073.8 0.000687934
13089.3 0.000725832
13104.7 0.000788841
13112.5 0.000842373
13120.2 0.000926230
13126.4 0.00102947
13132.6 0.00118794
13135.7 0.00130290
13138.8 0.00145680
13141.9 0.00166990
13145.0 0.00197381
13146.5 0.00217876
13148.1 0.00243547
13149.6 0.00276520
13151.2 0.00320037
13152.7 0.00381865
13153.5 0.00424763
13154.3 0.00480423
13155.0 0.00558705
13155.8 0.00672184
13156.2 0.00750785
13156.6 0.00846613
13157.0 0.00970574
13157.3 0.0112348
13157.8 0.0136381
13158.3 0.0168331
13158.7 0.0210671
13159.2 0.0266455
13159.6 0.0339355
13160.1 0.0433680
13160.6 0.0554334
13161.0 0.0706711
13161.5 0.0896513
13161.9 0.112948
13162.4 0.141100
13162.9 0.174569
13163.3 0.213684
13163.8 0.258585
13164.2 0.309170
13164.7 0.365044
13165.5 0.469662
13166.3 0.579997
13167.0 0.690634
13167.4 0.742422
13167.8 0.788936
13168.1 0.826266
13168.5 0.858713
13168.8 0.885561
13169.2 0.905686
13169.5 0.918870
13169.8 0.926102
13170.0 0.927879
13170.4 0.922367
13170.8 0.908087
13171.2 0.886107
13171.6 0.852274
13172.0 0.810126
13172.4 0.761068
13172.9 0.706668
13173.4 0.630098
13173.9 0.552286
13174.5 0.475074
13175.0 0.401180
13175.5 0.343682
13175.9 0.291966
13176.4 0.244238
13176.8 0.202881
13177.3 0.166043
13177.7 0.135187
13178.1 0.108576
13178.6 0.0869674
13179.0 0.0688744
13179.5 0.0545892
13179.9 0.0429406
13180.4 0.0339678
13180.8 0.0268141
13181.3 0.0214130
13181.7 0.0172613
13182.1 0.0140876
13182.5 0.0120616
13182.9 0.0104405
13183.2 0.00914199
13183.6 0.00809875
13183.9 0.00725648
13184.3 0.00657183
13185.0 0.00555732
13185.7 0.00483409
13186.4 0.00430178
13187.2 0.00389094
13187.9 0.00356490
13189.3 0.00305757
13190.7 0.00268382
13192.2 0.00239393
13193.6 0.00216292
13196.5 0.00181862
13199.3 0.00157821
13202.2 0.00140217
13205.1 0.00127065
13208.2 0.00116063
13212.4 0.00105317
13216.5 0.000972702
13224.8 0.000863537
13233.1 0.000796060
13241.4 0.000751986
13258.0 0.000699944
13274.6 0.000664362
13307.8 0.000631554
13341.0 0.000616302
13473.8 0.000593254
13575.0 0.000589363
13748.9 0.000597793
13835.9 0.000624900
13879.4 0.000671628
13901.1 0.000729680
13912.0 0.000782408
13922.8 0.000864695
13932.3 0.000992406
13937.1 0.00109094
13941.8 0.00122786
13945.0 0.00135369
13948.1 0.00152216
13951.3 0.00175469
13954.4 0.00208752
13956.0 0.00231299
13957.6 0.00259396
13959.2 0.00295524
13960.8 0.00343696
13962.4 0.00412326
13963.1 0.00460154
13963.9 0.00523756
13964.7 0.00613198
13965.1 0.00673548
13965.5 0.00746158
13965.9 0.00839055
13966.3 0.00952956
13966.7 0.0110079
13967.1 0.0128379
13967.6 0.0157056
13968.0 0.0195174
13968.5 0.0245628
13969.0 0.0311966
13969.4 0.0398428
13969.9 0.0509950
13970.4 0.0652107
13970.9 0.0830982
13971.3 0.105294
13971.8 0.132432
13972.3 0.165099
13972.7 0.203786
13973.2 0.248827
13973.7 0.300338
13974.1 0.358159
13974.6 0.420390
13975.4 0.537779
13976.2 0.662629
13977.0 0.785770
13977.4 0.844013
13977.8 0.896264
13978.1 0.938231
13978.5 0.973648
13978.8 1.00381
13979.1 1.02635
