Se-78(n,g) ENDFB-8.0
Energy(eV) XS(b)
310.639 0.0276822
312.245 0.0287525
313.851 0.0299114
315.457 0.0311537
317.063 0.0324874
319.026 0.0342563
320.989 0.0361931
322.952 0.0383220
324.915 0.0406704
326.878 0.0432651
328.841 0.0461473
330.804 0.0493583
332.767 0.0529473
334.552 0.0565968
335.444 0.0585742
336.336 0.0606699
337.228 0.0628825
338.121 0.0652312
339.013 0.0677248
339.905 0.0703672
340.797 0.0731867
341.690 0.0761839
342.582 0.0793794
343.474 0.0828008
344.366 0.0864494
345.259 0.0903569
346.151 0.0945207
347.043 0.0990273
348.025 0.104391
349.006 0.110223
349.988 0.116580
350.969 0.123527
351.950 0.131140
352.932 0.139507
353.913 0.148731
354.895 0.158933
355.876 0.170259
356.858 0.182879
357.349 0.189738
357.839 0.196999
358.330 0.204697
358.821 0.212867
359.312 0.221550
359.802 0.230786
360.293 0.240629
360.784 0.251127
361.275 0.262345
361.765 0.274346
362.256 0.287207
362.747 0.301003
363.282 0.317208
363.817 0.334760
364.353 0.353884
364.888 0.374749
365.423 0.397557
365.959 0.422543
366.494 0.450004
367.029 0.480268
367.520 0.510821
368.011 0.544421
368.502 0.581503
368.992 0.622550
369.483 0.668168
369.729 0.692903
369.974 0.719043
370.219 0.746719
370.465 0.776030
370.710 0.807134
370.955 0.840152
371.357 0.898804
371.758 0.963871
372.160 1.03634
372.361 1.07572
372.561 1.11738
372.762 1.16153
372.963 1.20833
373.164 1.25805
373.364 1.31088
373.565 1.36716
373.766 1.42718
373.967 1.49133
374.167 1.55994
374.413 1.65056
374.658 1.74942
374.904 1.85752
375.149 1.97602
375.394 2.10640
375.640 2.25024
375.885 2.40947
376.130 2.58628
376.292 2.71387
376.454 2.85111
376.616 2.99912
376.777 3.15907
376.939 3.33241
377.020 3.42455
377.101 3.52048
377.182 3.62067
377.263 3.72513
377.343 3.83436
377.424 3.94840
377.486 4.03854
377.547 4.13169
377.608 4.22830
377.670 4.32822
377.731 4.43195
377.792 4.53932
377.854 4.65070
377.915 4.76629
377.993 4.92000
378.032 4.99980
378.071 5.08137
378.110 5.16520
378.149 5.25093
378.188 5.33885
378.227 5.42902
378.261 5.50834
378.308 5.62363
378.356 5.74263
378.403 5.86550
378.450 5.99215
378.506 6.14700
378.562 6.30802
378.618 6.47556
378.673 6.64967
378.729 6.83135
378.785 7.02072
378.813 7.11843
378.841 7.21822
378.869 7.32017
378.896 7.42396
378.947 7.61716
378.997 7.81816
379.022 7.92172
379.047 8.02738
379.072 8.13523
379.097 8.24530
379.122 8.35768
379.147 8.47241
379.173 8.58958
379.198 8.70925
379.223 8.83150
379.248 8.95639
379.273 9.08402
379.298 9.21393
379.323 9.34726
379.348 9.48357
379.373 9.62296
379.398 9.76552
379.423 9.91136
379.449 10.0606
379.474 10.2133
379.499 10.3696
379.524 10.5296
379.549 10.6934
379.599 11.0332
379.649 11.3898
379.699 11.7639
379.730 12.0025
379.761 12.2488
379.792 12.5030
379.822 12.7645
379.853 13.0356
379.884 13.3157
379.914 13.6053
379.945 13.9038
379.976 14.2136
380.006 14.5344
380.037 14.8666
380.068 15.2097
380.098 15.5665
380.129 15.9354
380.160 16.3195
380.190 16.7171
380.221 17.1315
380.252 17.5623
380.282 18.0105
380.313 18.4755
380.344 18.9615
380.374 19.4682
380.405 19.9967
380.436 20.5468
380.466 21.1234
380.497 21.7264
380.528 22.3575
380.558 23.0166
380.589 23.7100
380.620 24.4379
380.650 25.2028
