>,44-Ru-99:0.127600
>,44-Ru-100:0.126000
>,44-Ru-101:0.170600
>,44-Ru-102:0.315500
>,44-Ru-104:0.186200
8.590520e+00,8.30047864e+00
8.611000e+00,8.34531908e+00
8.616240e+00,8.35684801e+00
8.627530e+00,8.38374198e+00
8.642870e+00,8.42032914e+00
8.664100e+00,8.47382169e+00
8.664550e+00,8.47496118e+00
8.669490e+00,8.48748714e+00
8.696120e+00,8.55885298e+00
8.701560e+00,8.57428693e+00
8.717210e+00,8.61875617e+00
8.722740e+00,8.63455170e+00
8.745520e+00,8.70347080e+00
8.749370e+00,8.71513995e+00
8.750000e+00,8.71716608e+00
8.770310e+00,8.78252452e+00
8.775990e+00,8.80087619e+00
8.789480e+00,8.84715428e+00
8.796860e+00,8.87251947e+00
8.802620e+00,8.89237191e+00
8.823410e+00,8.96857653e+00
8.829240e+00,8.99001059e+00
8.833430e+00,9.00640953e+00
8.852380e+00,9.08072598e+00
8.855870e+00,9.09445758e+00
8.877390e+00,9.18470770e+00
8.881340e+00,9.20130063e+00
8.882500e+00,9.20618987e+00
8.899370e+00,9.28212315e+00
8.906250e+00,9.31312537e+00
8.909120e+00,9.32606240e+00
8.910310e+00,9.33179527e+00
8.921340e+00,9.38510703e+00
8.935750e+00,9.45483985e+00
8.939270e+00,9.47308626e+00
8.943320e+00,9.49415072e+00
8.962370e+00,9.59334929e+00
8.965300e+00,9.60970609e+00
8.968240e+00,9.62614025e+00
8.987280e+00,9.73294759e+00
8.989000e+00,9.74260973e+00
8.997200e+00,9.79228291e+00
9.009260e+00,9.86561064e+00
9.018040e+00,9.91907246e+00
9.026170e+00,9.97272064e+00
9.031230e+00,1.00062343e+01
9.047090e+00,1.01114398e+01
9.053210e+00,1.01555603e+01
9.055130e+00,1.01694255e+01
9.062500e+00,1.02228508e+01
9.076140e+00,1.03217489e+01
9.078660e+00,1.03416662e+01
9.081690e+00,1.03656606e+01
9.104110e+00,1.05438653e+01
9.105180e+00,1.05523888e+01
9.108240e+00,1.05790068e+01
9.129560e+00,1.07651707e+01
9.134230e+00,1.08060447e+01
9.134790e+00,1.08114152e+01
9.155010e+00,1.10060956e+01
9.161340e+00,1.10671942e+01
9.163270e+00,1.10859055e+01
9.180450e+00,1.12687563e+01
9.187890e+00,1.13480958e+01
9.192320e+00,1.13955555e+01
9.193180e+00,1.14057049e+01
9.205900e+00,1.15560235e+01
9.214440e+00,1.16570873e+01
9.218630e+00,1.17069091e+01
9.218750e+00,1.17083382e+01
9.221370e+00,1.17395455e+01
9.231350e+00,1.18703948e+01
9.240990e+00,1.19969848e+01
9.244070e+00,1.20376316e+01
9.247990e+00,1.20894503e+01
9.256800e+00,1.22174279e+01
9.267550e+00,1.23739217e+01
9.274620e+00,1.24773006e+01
9.275310e+00,1.24884326e+01
9.286860e+00,1.26752598e+01
9.293810e+00,1.27880421e+01
9.300130e+00,1.28909088e+01
9.301240e+00,1.29090255e+01
9.312320e+00,1.31090489e+01
9.313410e+00,1.31287719e+01
9.321580e+00,1.32770120e+01
9.326680e+00,1.33697097e+01
9.327870e+00,1.33914027e+01
9.330830e+00,1.34497436e+01
9.339960e+00,1.36300051e+01
9.340080e+00,1.36323814e+01
9.341180e+00,1.36542046e+01
9.349340e+00,1.38248294e+01
9.353240e+00,1.39065387e+01
9.354500e+00,1.39330182e+01
9.358590e+00,1.40238341e+01
9.366510e+00,1.42000410e+01
9.367810e+00,1.42290554e+01
9.367850e+00,1.42299989e+01
9.375000e+00,1.43990072e+01
9.377100e+00,1.44486502e+01
9.379790e+00,1.45123865e+01
9.381120e+00,1.45440000e+01
9.386350e+00,1.46755249e+01
9.393060e+00,1.48446612e+01
9.394430e+00,1.48793087e+01
9.395610e+00,1.49108940e+01
9.404860e+00,1.51591108e+01
9.406340e+00,1.51989548e+01
9.407750e+00,1.52370469e+01
