Te-123(n,g) ENDFB-8.0
Energy(eV) XS(b)
6.48141 8.43842
6.49244 8.38892
6.50347 8.33990
6.52554 8.24331
6.56967 8.05565
6.65793 7.69936
6.74619 7.36585
6.83445 7.05360
6.92272 6.76098
7.01098 6.48723
7.09924 6.23133
7.18750 5.98838
7.34375 5.59284
7.50000 5.23639
7.60191 5.02285
7.70383 4.82247
7.80574 4.63442
7.90765 4.45805
8.00956 4.29203
8.11148 4.13605
8.31530 3.84974
8.31530 3.84974
8.31531 3.84973
8.31532 3.84972
8.31533 3.84970
8.31536 3.84966
8.31542 3.84958
8.31554 3.84942
8.31578 3.84910
8.31626 3.84846
8.31721 3.84719
8.31912 3.84464
8.32485 3.83701
8.33058 3.82941
8.34368 3.81215
8.35679 3.79507
8.38300 3.76141
8.43543 3.69603
8.54029 3.57099
8.75000 3.34037
8.90625 3.18481
9.06250 3.04163
9.21875 2.90968
9.37500 2.78791
9.53125 2.67543
9.68750 2.57142
9.84375 2.47515
10.0000 2.38599
10.1693 2.29677
10.3385 2.21456
10.5078 2.13878
10.6770 2.06866
10.6770 2.06865
10.6771 2.06862
10.6772 2.06859
10.6773 2.06854
10.6776 2.06843
10.6781 2.06820
10.6793 2.06776
10.6815 2.06687
10.6860 2.06510
10.6949 2.06157
10.7231 2.05055
10.7513 2.03972
10.8077 2.01853
10.9206 1.97794
11.1462 1.90348
11.3718 1.83621
11.5975 1.77552
11.8231 1.72188
12.0487 1.67448
12.2744 1.63226
12.5000 1.59524
12.8025 1.55354
13.1050 1.52002
13.4075 1.49416
13.7100 1.47547
13.7100 1.47547
13.7101 1.47546
13.7102 1.47546
13.7103 1.47545
13.7106 1.47544
13.7113 1.47540
13.7125 1.47534
13.7150 1.47521
13.7200 1.47495
13.7300 1.47444
13.7500 1.47346
13.8281 1.47002
13.9063 1.46716
14.0625 1.46299
14.3750 1.45995
14.6875 1.46421
15.0000 1.47610
15.3125 1.49591
15.6250 1.52409
15.9375 1.56128
16.2500 1.60833
16.5625 1.66631
16.8750 1.73625
17.0313 1.77619
17.1875 1.82023
17.3438 1.86834
17.5000 1.92074
17.6030 1.95781
17.6389 1.97126
17.6747 1.98500
17.7733 2.02433
17.8718 2.06584
18.0690 2.15590
18.2661 2.25653
18.4633 2.36917
18.6554 2.49207
18.8475 2.62988
19.0395 2.78462
19.2316 2.95900
19.3277 3.05455
19.4237 3.15626
19.5198 3.26465
19.6158 3.38027
19.7119 3.50377
19.8079 3.63582
19.9040 3.77714
20.0000 3.92842
20.1410 4.17109
20.2819 4.44178
20.4228 4.74454
20.4933 4.90949
20.5638 5.08447
20.6343 5.27030
20.7047 5.46777
20.7752 5.67773
20.8457 5.90108
20.9161 6.13924
20.9866 6.39403
21.0571 6.66715
21.1275 6.96015
21.2137 7.34789
21.2998 7.77197
21.3859 8.23707
21.4721 8.74864
21.5582 9.31309
21.6443 9.93797
21.7305 10.6322
21.8166 11.4066
21.8822 12.0578
21.9477 12.7693
22.0133 13.5486
22.0789 14.4043
22.1445 15.3476
22.2100 16.3914
22.2756 17.5507
22.3084 18.1791
22.3412 18.8429
22.3739 19.5447
22.4067 20.2878
22.4394 21.0756
22.4722 21.9113
22.5050 22.7996
22.5377 23.7443
22.5705 24.7511
22.6032 25.8249
22.6347 26.9271
22.6662 28.1032
22.6977 29.3607
22.7292 30.7067
22.7639 32.3030
22.7986 34.0301
22.8333 35.9038
22.8680 37.9402
22.9027 40.1600
22.9374 42.5849
22.9721 45.2424
23.0068 48.1617
23.0400 51.2421
23.0733 54.6341
23.1066 58.3816
23.1232 60.4045
23.1399 62.5365
23.1565 64.7858
23.1732 67.1613
23.1898 69.6729
23.2064 72.3312
23.2231 75.1482
23.2397 78.1370
23.2564 81.3120
23.2730 84.6874
23.2945 89.3890
23.3161 94.5010
23.3376 100.076
23.3591 106.173
23.3807 112.863
23.4022 120.220
23.4237 128.342
23.4452 137.341
23.4560 142.213
23.4668 147.356
23.4776 152.792
23.4883 158.539
23.4991 164.633
23.5098 171.090
23.5206 177.955
23.5314 185.250
23.5421 193.026
23.5529 201.321
23.5637 210.183
23.5744 219.658
23.5852 229.825
23.5960 240.734
23.6067 252.483
23.6175 265.138
23.6249 274.361
23.6322 284.079
23.6395 294.343
23.6469 305.196
23.6542 316.682
23.6616 328.851
23.6689 341.758
23.6762 355.462
23.6836 370.026
23.6909 385.521
23.6983 402.022
23.7056 419.613
23.7129 438.381
23.7203 458.424
23.7276 479.844
23.7350 502.754
23.7457 539.316
23.7565 579.751
23.7619 601.579
23.7673 624.502
23.7726 648.621
23.7780 673.998
23.7834 700.749
23.7888 728.838
23.7942 758.383
23.7996 789.450
23.8049 822.170
23.8103 856.490
23.8157 892.537
23.8211 930.377
23.8265 970.153
23.8319 1011.78
23.8372 1055.47
23.8426 1101.12
23.8534 1198.85
23.8642 1305.21
23.8749 1420.63
23.8857 1544.99
23.8965 1678.44
23.9072 1820.44
23.9150 1928.93
23.9229 2041.44
23.9385 2276.99
23.9542 2523.19
23.9699 2774.87
23.9923 3131.84
24.0035 3302.85
24.0147 3464.97
24.0239 3589.92
24.0332 3705.00
24.0424 3808.77
