Cs-133(n,g) ENDFB-8.0
Energy(eV) XS(b)
5.64048 551.417
5.64502 570.968
5.64957 591.595
5.65412 613.371
5.65867 636.384
5.66322 660.730
5.66777 686.516
5.67231 713.845
5.67686 742.842
5.68141 773.643
5.68555 803.335
5.68968 834.756
5.69382 868.037
5.69795 903.306
5.70208 940.732
5.70622 980.469
5.71035 1022.69
5.71449 1067.57
5.71862 1115.33
5.72276 1166.17
5.72689 1220.32
5.73103 1278.00
5.73516 1339.50
5.73930 1405.06
5.74343 1474.95
5.74757 1549.44
5.75212 1637.08
5.75666 1731.02
5.76121 1831.66
5.76576 1939.38
5.77031 2054.56
5.77486 2177.48
5.77940 2308.44
5.78395 2447.70
5.78850 2595.44
5.79305 2751.70
5.79760 2916.50
5.80215 3089.70
5.80669 3271.11
5.81124 3460.25
5.81579 3656.60
5.82034 3859.45
5.82992 4303.67
5.83949 4761.54
5.84907 5218.68
5.85865 5657.86
5.86458 5912.26
5.87050 6147.85
5.87643 6360.06
5.88235 6544.59
5.88828 6697.53
5.89420 6815.56
5.90013 6896.04
5.90605 6937.17
5.91000 6942.22
5.91395 6929.31
5.92037 6870.42
5.92679 6766.13
5.93321 6619.21
5.93963 6433.52
5.94604 6213.68
5.95246 5965.02
5.95888 5693.25
5.96530 5404.27
5.97496 4949.47
5.98462 4487.01
5.99428 4032.70
6.00394 3599.11
6.00864 3398.55
6.01333 3205.82
6.01803 3021.42
6.02272 2845.73
6.02742 2678.97
6.03212 2521.23
6.03681 2372.49
6.04151 2232.61
6.04749 2067.05
6.05346 1914.91
6.05944 1775.46
6.06542 1647.94
6.07139 1531.45
6.07737 1425.16
6.08335 1328.23
6.08932 1239.86
6.09402 1175.88
6.09872 1116.34
6.10341 1060.91
6.10811 1009.25
6.11280 961.087
6.11750 916.137
6.12220 874.148
6.12689 834.890
6.13159 798.139
6.13628 763.714
6.14098 731.428
6.14568 701.115
6.15037 672.624
6.15507 645.817
6.15976 620.568
6.16446 596.761
6.16916 574.287
6.17385 553.057
6.17855 532.980
6.18325 513.975
6.19264 478.886
6.20203 447.270
6.21142 418.682
6.22081 392.754
6.23021 369.163
6.23960 347.637
6.24686 332.267
6.25411 317.897
6.26137 304.438
6.26863 291.817
6.27589 279.964
6.28314 268.819
6.29040 258.325
6.29766 248.434
6.30492 239.098
6.31217 230.278
6.32669 214.037
6.34120 199.450
6.35572 186.298
6.36511 178.466
6.37450 171.117
6.38390 164.210
6.39329 157.711
6.40268 151.588
6.41207 145.813
6.42146 140.361
6.43086 135.208
6.44964 125.713
6.46843 117.181
6.48721 109.484
6.50599 102.517
6.52478 96.1912
6.54356 90.4304
6.56235 85.1694
6.58113 80.3524
6.59992 75.9310
6.61870 71.8639
6.63748 68.1140
6.65627 64.6491
6.67505 61.4404
6.69384 58.4631
6.71262 55.6947
6.73141 53.1165
6.75019 50.7112
6.76897 48.4643
6.78776 46.3622
6.80654 44.3929
6.82533 42.5456
6.84411 40.8106
6.86290 39.1790
6.88168 37.6427
6.90046 36.1944
6.91925 34.8278
6.93803 33.5366
6.95682 32.3156
6.99439 30.0644
7.03195 28.0395
7.06952 26.2116
7.10709 24.5562
7.14466 23.0523
7.18223 21.6821
7.21980 20.4302
7.25737 19.2836
7.28298 18.5563
7.30860 17.8693
7.33421 17.2199
7.35983 16.6054
7.41106 15.4721
7.46229 14.4526
7.51352 13.5306
7.56475 12.6934
7.61598 11.9315
7.66721 11.2367
7.70477 10.7654
7.74234 10.3234
7.77991 9.90843
7.81748 9.51833
7.85505 9.15116
7.89262 8.80516
7.93019 8.47877
7.96776 8.17054
8.04289 7.60344
8.11803 7.09471
8.19317 6.63668
8.26830 6.22291
8.34344 5.84796
8.41858 5.50719
8.49372 5.19666
8.56885 4.91299
8.64399 4.65327
8.71913 4.41504
8.79427 4.19619
8.86940 3.99499
8.92746 3.85074
8.98553 3.71581
9.04359 3.59006
9.10165 3.47387
9.15971 3.36869
9.21777 3.27888
9.24680 3.24376
9.27583 3.22125
9.29034 3.21788
9.30486 3.22261
9.31937 3.23858
9.33389 3.26977
9.34755 3.31721
9.36121 3.38632
9.37487 3.48058
9.38853 3.60193
9.40305 3.75965
9.41756 3.94145
9.44659 4.32723
9.45718 4.45291
9.46777 4.55797
9.47835 4.63495
9.48894 4.67785
9.49447 4.68532
9.50000 4.68209
9.50829 4.65710
9.51659 4.60853
9.52488 4.53796
9.53318 4.44783
9.54329 4.31612
9.55339 4.16665
9.57361 3.84218
9.58464 3.66561
9.59567 3.49799
9.60669 3.34390
9.61772 3.20611
9.62967 3.07643
9.64161 2.96675
9.65356 2.87541
9.66551 2.80002
9.67745 2.73793
9.68940 2.68658
9.70134 2.64367
9.71329 2.60725
9.73718 2.54806
9.76108 2.50048
9.80886 2.42337
9.85665 2.35855
9.90443 2.30048
10.0000 2.19695
10.0724 2.12609
10.1448 2.05993
10.2896 1.93938
10.4345 1.83191
10.5793 1.73531
10.7241 1.64804
10.8689 1.56890
11.0137 1.49691
11.1585 1.43129
11.2968 1.37433
11.4350 1.32172
