18-Ar_n-tot
>  18-Ar-36:0.003365
>  18-Ar-38:0.000632
>  18-Ar-40:0.996003
1.812500e-04 1.01122507e+01
1.822650e-04 1.00855698e+01
1.859330e-04 9.98915755e+00
1.866580e-04 9.97015525e+00
1.875000e-04 9.94808779e+00
1.906220e-04 9.86999663e+00
1.910510e-04 9.85929676e+00
1.913730e-04 9.85126592e+00
1.924510e-04 9.82438029e+00
1.935300e-04 9.79747022e+00
1.937500e-04 9.79198357e+00
1.953110e-04 9.75476725e+00
1.956870e-04 9.74582801e+00
2.000000e-04 9.64329297e+00
2.062180e-04 9.50372685e+00
2.069710e-04 9.48688325e+00
2.093750e-04 9.43311403e+00
2.124360e-04 9.36881256e+00
2.139410e-04 9.33730544e+00
2.186530e-04 9.23866892e+00
2.187500e-04 9.23664489e+00
2.209120e-04 9.19416434e+00
2.248710e-04 9.11638202e+00
2.278820e-04 9.05741240e+00
2.281250e-04 9.05265371e+00
2.310890e-04 8.99785914e+00
2.348520e-04 8.92851160e+00
2.373070e-04 8.88327265e+00
2.375000e-04 8.87972659e+00
2.418230e-04 8.80457901e+00
2.435240e-04 8.77501257e+00
2.468750e-04 8.71693550e+00
2.487930e-04 8.68541802e+00
2.497420e-04 8.66982484e+00
2.501830e-04 8.66259141e+00
2.511370e-04 8.64694624e+00
2.520900e-04 8.63132300e+00
2.539970e-04 8.60008151e+00
2.557640e-04 8.57117256e+00
2.562500e-04 8.56322214e+00
2.578110e-04 8.53896454e+00
2.654390e-04 8.42072658e+00
2.656250e-04 8.41785279e+00
2.672090e-04 8.39456387e+00
2.730680e-04 8.30843187e+00
2.750000e-04 8.28012084e+00
2.786540e-04 8.22907997e+00
2.806960e-04 8.20055959e+00
2.843750e-04 8.14933284e+00
2.883240e-04 8.09683867e+00
2.900980e-04 8.07332883e+00
2.937500e-04 8.02493622e+00
2.959520e-04 7.99703486e+00
3.015430e-04 7.92640633e+00
3.031250e-04 7.90642374e+00
3.035800e-04 7.90092113e+00
3.112080e-04 7.80893661e+00
3.125000e-04 7.79340508e+00
3.129880e-04 7.78778183e+00
3.206490e-04 7.69951297e+00
3.218750e-04 7.68543448e+00
3.244330e-04 7.65723701e+00
3.300910e-04 7.59487366e+00
3.312500e-04 7.58213978e+00
3.358780e-04 7.53328839e+00
3.395320e-04 7.49472182e+00
3.406250e-04 7.48322185e+00
3.473230e-04 7.41543177e+00
3.489730e-04 7.39873399e+00
3.500000e-04 7.38837273e+00
3.584140e-04 7.30662270e+00
3.593750e-04 7.29731341e+00
3.629840e-04 7.26362185e+00
3.678550e-04 7.21815444e+00
3.687500e-04 7.20982415e+00
3.772960e-04 7.13307802e+00
3.781250e-04 7.12565429e+00
3.786460e-04 7.12114978e+00
3.867370e-04 7.05120406e+00
3.875000e-04 7.04462811e+00
3.943070e-04 6.98792877e+00
3.968750e-04 6.96654077e+00
3.984260e-04 6.95404650e+00
4.062500e-04 6.89123290e+00
4.099680e-04 6.86279376e+00
4.101140e-04 6.86167712e+00
4.218030e-04 6.77257043e+00
4.250000e-04 6.74827569e+00
4.256300e-04 6.74377799e+00
4.334920e-04 6.68765537e+00
4.412910e-04 6.63215085e+00
4.437500e-04 6.61465213e+00
4.451810e-04 6.60505873e+00
4.568690e-04 6.52694439e+00
4.569530e-04 6.52638460e+00
4.625000e-04 6.48942142e+00
4.685580e-04 6.45130896e+00
4.726140e-04 6.42586400e+00
4.802470e-04 6.37798313e+00
4.812500e-04 6.37171397e+00
4.863070e-04 6.34180606e+00
5.000000e-04 6.26082986e+00
5.156250e-04 6.17321612e+00
5.180790e-04 6.16003464e+00
5.206710e-04 6.14616792e+00
5.312500e-04 6.08957843e+00
5.361590e-04 6.06439239e+00
