52-Te_n-tot
> 52-Te-120:0.000900
> 52-Te-122:0.025500
> 52-Te-123:0.008900
> 52-Te-124:0.047400
> 52-Te-125:0.070700
> 52-Te-126:0.188400
> 52-Te-128:0.317400
> 52-Te-130:0.340800
3.456250e-02 8.13092553e+00
3.552740e-02 8.08113361e+00
3.577970e-02 8.06820053e+00
3.649220e-02 8.03369478e+00
3.737010e-02 7.99147887e+00
3.745700e-02 7.98752037e+00
3.842190e-02 7.94386167e+00
3.896050e-02 7.91964531e+00
3.938670e-02 7.90145335e+00
4.035160e-02 7.86053147e+00
4.055090e-02 7.85212944e+00
4.131640e-02 7.82143844e+00
4.214130e-02 7.78856866e+00
4.228130e-02 7.78325253e+00
4.373170e-02 7.72866161e+00
4.421090e-02 7.71144849e+00
4.532210e-02 7.67198707e+00
4.614060e-02 7.64419349e+00
4.691250e-02 7.61826139e+00
4.807030e-02 7.58100942e+00
4.845630e-02 7.56871826e+00
5.000000e-02 7.52153630e+00
5.156250e-02 7.47607280e+00
5.312500e-02 7.43269018e+00
5.468750e-02 7.39124903e+00
5.625000e-02 7.35159579e+00
5.781250e-02 7.31363083e+00
5.937500e-02 7.27723295e+00
6.093750e-02 7.24230570e+00
6.250000e-02 7.20874968e+00
6.406250e-02 7.17648527e+00
6.562500e-02 7.14542395e+00
6.718750e-02 7.11594646e+00
6.875000e-02 7.08665489e+00
7.187500e-02 7.03189783e+00
7.500000e-02 6.98074695e+00
7.812500e-02 6.93283889e+00
8.125000e-02 6.88787992e+00
8.437500e-02 6.84558365e+00
8.750000e-02 6.80571127e+00
9.062500e-02 6.76803901e+00
9.375000e-02 6.73239677e+00
9.687500e-02 6.69861321e+00
1.000000e-01 6.66652813e+00
1.031250e-01 6.63602086e+00
1.062500e-01 6.60697790e+00
1.093750e-01 6.57929570e+00
1.125000e-01 6.55287475e+00
1.156250e-01 6.52762949e+00
1.187500e-01 6.50348907e+00
1.218750e-01 6.48037997e+00
1.250000e-01 6.45822409e+00
1.281250e-01 6.43732229e+00
1.312500e-01 6.41656405e+00
1.343750e-01 6.39725960e+00
1.375000e-01 6.37808449e+00
1.437500e-01 6.34245758e+00
1.500000e-01 6.30935639e+00
1.562500e-01 6.27851843e+00
1.625000e-01 6.24973736e+00
1.687500e-01 6.22282787e+00
1.750000e-01 6.19764759e+00
1.812500e-01 6.17403262e+00
1.875000e-01 6.15184214e+00
1.937500e-01 6.13097039e+00
2.000000e-01 6.11131537e+00
2.046880e-01 6.09759485e+00
2.093750e-01 6.08388990e+00
2.187500e-01 6.05868765e+00
2.281250e-01 6.03549226e+00
2.375000e-01 6.01410855e+00
2.468750e-01 5.99438852e+00
2.562500e-01 5.97620816e+00
2.656250e-01 5.95938960e+00
2.750000e-01 5.94382637e+00
2.843750e-01 5.92954967e+00
2.868550e-01 5.92581758e+00
2.937500e-01 5.91626450e+00
2.987100e-01 5.90947653e+00
3.031250e-01 5.90391833e+00
3.105650e-01 5.89467240e+00
3.125000e-01 5.89246091e+00
3.218750e-01 5.88187678e+00
3.224200e-01 5.88126891e+00
3.224210e-01 5.88126860e+00
3.224220e-01 5.88126828e+00
3.224240e-01 5.88126766e+00
3.224290e-01 5.88125720e+00
3.224370e-01 5.88125470e+00
3.224550e-01 5.88123128e+00
3.224890e-01 5.88119397e+00
3.225580e-01 5.88111904e+00
3.226960e-01 5.88097807e+00
3.231790e-01 5.88046244e+00
3.236620e-01 5.87994681e+00
3.246280e-01 5.87893335e+00
3.277990e-01 5.87563866e+00
3.309710e-01 5.87242376e+00
3.312500e-01 5.87215074e+00
3.373140e-01 5.86629304e+00
3.406250e-01 5.86332232e+00
3.500000e-01 5.85502157e+00
3.593750e-01 5.84767587e+00
3.659980e-01 5.84255726e+00
3.687500e-01 5.84068138e+00
3.781250e-01 5.83437845e+00
3.819950e-01 5.83181249e+00
3.875000e-01 5.82863118e+00
3.968750e-01 5.82329113e+00
3.979930e-01 5.82266383e+00
4.062500e-01 5.81868300e+00
4.139900e-01 5.81503070e+00
4.139910e-01 5.81503048e+00
4.139920e-01 5.81503026e+00
4.139930e-01 5.81503004e+00
4.139960e-01 5.81502937e+00
4.140010e-01 5.81502827e+00
4.140120e-01 5.81502584e+00
4.140330e-01 5.81501230e+00
4.140760e-01 5.81499390e+00
4.141620e-01 5.81495709e+00
4.143340e-01 5.81488349e+00
4.146780e-01 5.81473628e+00
4.156250e-01 5.81433118e+00
4.159690e-01 5.81418434e+00
4.172590e-01 5.81365127e+00
4.198390e-01 5.81259403e+00
4.250000e-01 5.81057725e+00
4.343750e-01 5.80734405e+00
4.437500e-01 5.80463339e+00
4.507810e-01 5.80268488e+00
4.625000e-01 5.80021915e+00
4.671880e-01 5.79930759e+00
5.000000e-01 5.79612249e+00
5.312500e-01 5.79697666e+00
5.316410e-01 5.79699222e+00
5.549800e-01 5.80003121e+00
5.625000e-01 5.80160962e+00
5.783200e-01 5.80510373e+00
5.937500e-01 5.80955313e+00
6.016600e-01 5.81191162e+00
6.250000e-01 5.82047279e+00
6.538190e-01 5.83358666e+00
6.826370e-01 5.84907696e+00
6.875000e-01 5.85215910e+00
7.163190e-01 5.87081488e+00
7.500000e-01 5.89608088e+00
7.812500e-01 5.92289095e+00
8.125000e-01 5.95280713e+00
8.437500e-01 5.98623769e+00
8.750000e-01 6.02297906e+00
8.765390e-01 6.02489132e+00
8.803980e-01 6.02972449e+00
8.842560e-01 6.03461114e+00
8.919720e-01 6.04458024e+00
9.074050e-01 6.06525706e+00
9.375000e-01 6.10836473e+00
9.382700e-01 6.10947232e+00
9.691350e-01 6.15780293e+00
1.000000e+00 6.21043225e+00
1.031380e+00 6.26887993e+00
1.062500e+00 6.33202436e+00
1.062760e+00 6.33255311e+00
1.094140e+00 6.40202024e+00
1.125000e+00 6.47631420e+00
1.125520e+00 6.47756819e+00
1.148830e+00 6.53826926e+00
1.172140e+00 6.60309994e+00
1.187500e+00 6.64860189e+00
1.195440e+00 6.67215025e+00
1.218750e+00 6.74594290e+00
1.234380e+00 6.79829870e+00
1.250000e+00 6.85308472e+00
1.271490e+00 6.93271475e+00
1.292970e+00 7.01755176e+00
1.312500e+00 7.09982554e+00
1.314450e+00 7.10804100e+00
1.335940e+00 7.20463355e+00
1.357420e+00 7.30787489e+00
1.375000e+00 7.39823621e+00
1.378910e+00 7.41835212e+00
1.400390e+00 7.53677158e+00
1.421880e+00 7.66376130e+00
1.445860e+00 7.81672027e+00
1.459400e+00 7.90874773e+00
1.472930e+00 8.00521673e+00
1.486470e+00 8.10639339e+00
1.500000e+00 8.21255448e+00
1.521490e+00 8.39222698e+00
1.542970e+00 8.58672727e+00
1.564450e+00 8.79775486e+00
1.585940e+00 9.02719616e+00
1.607420e+00 9.27725915e+00
1.625000e+00 9.50073204e+00
1.628910e+00 9.55044778e+00
1.639650e+00 9.69663394e+00
1.650390e+00 9.84973541e+00
1.661130e+00 1.00101883e+01
1.671880e+00 1.01784639e+01
1.691410e+00 1.05061951e+01
1.710940e+00 1.08649518e+01
1.720700e+00 1.10572131e+01
1.730470e+00 1.12587567e+01
1.740240e+00 1.14702594e+01
1.750000e+00 1.16923267e+01
1.763180e+00 1.20101330e+01
1.776350e+00 1.23505366e+01
1.789530e+00 1.27157621e+01
1.802710e+00 1.31082126e+01
1.815880e+00 1.35306654e+01
1.829060e+00 1.39861725e+01
1.842240e+00 1.44782585e+01
1.855410e+00 1.50110179e+01
1.865210e+00 1.54362888e+01
1.875000e+00 1.58887050e+01
1.885740e+00 1.64192543e+01
1.896490e+00 1.69888743e+01
1.907230e+00 1.76017486e+01
1.917970e+00 1.82621489e+01
1.928710e+00 1.89752372e+01
1.939450e+00 1.97466205e+01
1.950200e+00 2.05829736e+01
1.960940e+00 2.14917729e+01
1.970700e+00 2.23881428e+01
1.980470e+00 2.33588275e+01
1.990240e+00 2.44125491e+01
2.000000e+00 2.55586530e+01
2.005950e+00 2.63067039e+01
2.011890e+00 2.70960511e+01
2.017840e+00 2.79296310e+01
2.023790e+00 2.88110039e+01
2.029740e+00 2.97437298e+01
2.035680e+00 3.07319030e+01
2.041630e+00 3.17800619e+01
2.047580e+00 3.28927458e+01
2.053520e+00 3.40759180e+01
2.059470e+00 3.53354519e+01
2.065420e+00 3.66778448e+01
2.071360e+00 3.81105730e+01
2.077310e+00 3.96420019e+01
2.083260e+00 4.12812988e+01
2.089200e+00 4.30387880e+01
2.093750e+00 4.44819118e+01
2.095150e+00 4.49259502e+01
2.101100e+00 4.69562252e+01
2.107040e+00 4.91441195e+01
2.112990e+00 5.15061865e+01
2.118940e+00 5.40612055e+01
2.124890e+00 5.68302696e+01
2.130830e+00 5.98374979e+01
2.136780e+00 6.31103909e+01
2.142730e+00 6.66794759e+01
2.148670e+00 7.05817772e+01
2.154620e+00 7.48575223e+01
2.160570e+00 7.95537033e+01
2.166510e+00 8.47238986e+01
2.172460e+00 9.04296066e+01
2.175430e+00 9.35054503e+01
2.178410e+00 9.67414046e+01
2.181380e+00 1.00149129e+02
2.184350e+00 1.03738414e+02
2.187330e+00 1.07521718e+02
2.187500e+00 1.07750090e+02
2.190300e+00 1.11511509e+02
2.193270e+00 1.15722021e+02
2.196250e+00 1.20163932e+02
2.199220e+00 1.24855933e+02
2.202190e+00 1.29808705e+02
2.205170e+00 1.35043606e+02
2.208140e+00 1.40571317e+02
2.211120e+00 1.46414088e+02
2.214090e+00 1.52584380e+02
2.217060e+00 1.59105331e+02
2.220040e+00 1.65988512e+02
2.223010e+00 1.73258844e+02
2.225980e+00 1.80926115e+02
2.228960e+00 1.89013466e+02
2.231930e+00 1.97529798e+02
2.234900e+00 2.06492909e+02
2.237880e+00 2.15915260e+02
2.240760e+00 2.25488914e+02
2.243640e+00 2.35508458e+02
2.246520e+00 2.45976562e+02
2.249390e+00 2.56888776e+02
2.255150e+00 2.80042863e+02
2.260910e+00 3.04865701e+02
2.266670e+00 3.31179289e+02
2.272430e+00 3.58681916e+02
2.283950e+00 4.15530361e+02
2.289760e+00 4.43976388e+02
2.295570e+00 4.71317034e+02
2.301380e+00 4.96765540e+02
2.307190e+00 5.19498656e+02
2.313000e+00 5.38735853e+02
2.315900e+00 5.46816976e+02
2.318810e+00 5.53764239e+02
2.321710e+00 5.59516232e+02
2.324620e+00 5.64011545e+02
2.327520e+00 5.67208348e+02
2.330430e+00 5.69072821e+02
2.334000e+00 5.69515057e+02
2.337030e+00 5.68287667e+02
2.339860e+00 5.65816062e+02
2.342700e+00 5.62092227e+02
2.345530e+00 5.57150872e+02
2.348370e+00 5.51041837e+02
2.354040e+00 5.35557467e+02
2.359710e+00 5.16207827e+02
2.365380e+00 4.93659527e+02
2.371060e+00 4.68645926e+02
2.375000e+00 4.50071974e+02
2.376730e+00 4.41916410e+02
2.382400e+00 4.14196776e+02
2.382410e+00 4.14157170e+02
