20-Ca_n-g
>  20-Ca-40:0.969371
>  20-Ca-42:0.006470
>  20-Ca-43:0.001350
>  20-Ca-44:0.020899
>  20-Ca-46:0.000040
>  20-Ca-48:0.001870
6.442440e-02 2.74628493e-01
6.562500e-02 2.72093964e-01
6.682850e-02 2.69642984e-01
6.718750e-02 2.68911868e-01
6.875000e-02 2.65838814e-01
6.923250e-02 2.64936720e-01
7.187500e-02 2.59996255e-01
7.230930e-02 2.59235521e-01
7.500000e-02 2.54522430e-01
7.538600e-02 2.53887227e-01
7.812500e-02 2.49379935e-01
7.846280e-02 2.48856508e-01
8.125000e-02 2.44537707e-01
8.153950e-02 2.44114179e-01
8.437500e-02 2.39965969e-01
8.461630e-02 2.39632096e-01
8.750000e-02 2.35642109e-01
8.769300e-02 2.35388936e-01
9.062500e-02 2.31542822e-01
9.076980e-02 2.31362482e-01
9.375000e-02 2.27650833e-01
9.384650e-02 2.27536492e-01
9.387040e-02 2.27508174e-01
9.396620e-02 2.27394664e-01
9.406190e-02 2.27281272e-01
9.425350e-02 2.27054251e-01
9.463660e-02 2.26600327e-01
9.540280e-02 2.25692481e-01
9.687500e-02 2.23948120e-01
9.693520e-02 2.23880167e-01
1.000000e-01 2.20420683e-01
1.025020e-01 2.17725705e-01
1.031250e-01 2.17054656e-01
1.050040e-01 2.15120712e-01
1.062500e-01 2.13838281e-01
1.075060e-01 2.12601019e-01
1.093750e-01 2.10759905e-01
1.100070e-01 2.10163686e-01
1.125000e-01 2.07811833e-01
1.150110e-01 2.05539250e-01
1.156250e-01 2.04983551e-01
1.187500e-01 2.02268506e-01
1.200150e-01 2.01211494e-01
1.218750e-01 1.99657316e-01
1.250000e-01 1.97145447e-01
1.250180e-01 1.97131514e-01
1.281250e-01 1.94726572e-01
1.300220e-01 1.93310802e-01
1.312500e-01 1.92394323e-01
1.343750e-01 1.90144337e-01
1.350260e-01 1.89691652e-01
1.375000e-01 1.87971316e-01
1.400290e-01 1.86299652e-01
1.437500e-01 1.83840089e-01
1.458980e-01 1.82510216e-01
1.500000e-01 1.79970591e-01
1.517680e-01 1.78942190e-01
1.562500e-01 1.76335134e-01
1.576370e-01 1.75575530e-01
1.625000e-01 1.72912271e-01
1.635060e-01 1.72392126e-01
1.687500e-01 1.69680765e-01
1.693750e-01 1.69375044e-01
1.750000e-01 1.66623566e-01
1.752450e-01 1.66509969e-01
1.811140e-01 1.63788749e-01
1.812500e-01 1.63725691e-01
1.869830e-01 1.61200985e-01
1.875000e-01 1.60973309e-01
1.934920e-01 1.58463663e-01
1.937500e-01 1.58355605e-01
2.000000e-01 1.55860921e-01
2.093340e-01 1.52346911e-01
2.093750e-01 1.52331476e-01
2.094850e-01 1.52292747e-01
2.095950e-01 1.52254018e-01
2.098150e-01 1.52176561e-01
2.102540e-01 1.52021997e-01
2.111330e-01 1.51712519e-01
2.128910e-01 1.51093562e-01
2.164060e-01 1.49856002e-01
2.187500e-01 1.49030730e-01
2.234380e-01 1.47483760e-01
2.281250e-01 1.45937125e-01
2.304690e-01 1.45209629e-01
2.375000e-01 1.43027459e-01
2.445310e-01 1.40971112e-01
2.468750e-01 1.40285567e-01
2.515630e-01 1.38990363e-01
2.562500e-01 1.37695438e-01
2.585940e-01 1.37082332e-01
2.656250e-01 1.35243281e-01
2.659990e-01 1.35150489e-01
2.671240e-01 1.34871371e-01
2.682490e-01 1.34592252e-01
2.705000e-01 1.34033768e-01
2.750000e-01 1.32917296e-01
2.843750e-01 1.30706818e-01
2.937500e-01 1.28604154e-01
3.031250e-01 1.26598903e-01
3.125000e-01 1.24684481e-01
3.127270e-01 1.24640172e-01
3.133100e-01 1.24526373e-01
3.138920e-01 1.24412769e-01
3.150570e-01 1.24185366e-01
3.173860e-01 1.23730756e-01
3.218750e-01 1.22854524e-01
3.220460e-01 1.22822586e-01
3.312500e-01 1.21103556e-01
3.313640e-01 1.21083137e-01
3.406250e-01 1.19424338e-01
3.406820e-01 1.19414550e-01
3.500000e-01 1.17814472e-01
3.593750e-01 1.16266706e-01
3.687500e-01 1.14779765e-01
3.781250e-01 1.13347477e-01
3.875000e-01 1.11968572e-01
3.968750e-01 1.10639838e-01
4.062500e-01 1.09356136e-01
4.250000e-01 1.06917982e-01
4.437500e-01 1.04634398e-01
4.625000e-01 1.02491677e-01
5.000000e-01 9.85793187e-02
5.312500e-01 9.56397153e-02
5.625000e-01 9.29439511e-02
5.937500e-01 9.04629285e-02
6.250000e-01 8.81705776e-02
6.875000e-01 8.40643104e-02
7.500000e-01 8.04830858e-02
8.125000e-01 7.73241192e-02
8.750000e-01 7.45178652e-02
9.375000e-01 7.19962863e-02
1.000000e+00 6.97075966e-02
1.062500e+00 6.76238585e-02
1.099400e+00 6.64977338e-02
1.125000e+00 6.57164727e-02
1.187500e+00 6.39619507e-02
1.198790e+00 6.36691056e-02
1.250000e+00 6.23408097e-02
1.298190e+00 6.12213244e-02
1.375000e+00 5.94369922e-02
1.397580e+00 5.89795026e-02
1.500000e+00 5.69044028e-02
1.513780e+00 5.66581111e-02
1.514580e+00 5.66438127e-02
1.516480e+00 5.66098539e-02
1.518370e+00 5.65760738e-02
1.522170e+00 5.65081563e-02
1.529750e+00 5.63726787e-02
1.544920e+00 5.61015451e-02
1.575260e+00 5.55592786e-02
1.625000e+00 5.46702788e-02
1.635940e+00 5.44965809e-02
1.750000e+00 5.26856251e-02
1.757290e+00 5.25816370e-02
1.875000e+00 5.09025749e-02
1.878650e+00 5.08552384e-02
2.000000e+00 4.92814724e-02
2.164060e+00 4.73879222e-02
2.187500e+00 4.71173841e-02
2.328130e+00 4.56922945e-02
2.375000e+00 4.52173355e-02
2.492190e+00 4.41626614e-02
2.562500e+00 4.35298976e-02
2.656250e+00 4.27759620e-02
2.750000e+00 4.20220305e-02
2.937500e+00 4.06607380e-02
3.125000e+00 3.94201073e-02
3.312500e+00 3.82864073e-02
3.500000e+00 3.72451572e-02
3.687500e+00 3.63197330e-02
3.875000e+00 3.53943137e-02
4.250000e+00 3.37942632e-02
4.625000e+00 3.23930457e-02
5.000000e+00 3.11544122e-02
5.312500e+00 3.02242420e-02
5.625000e+00 2.93709438e-02
5.937500e+00 2.85859538e-02
6.250000e+00 2.78606203e-02
6.562500e+00 2.72109693e-02
6.875000e+00 2.65613238e-02
7.500000e+00 2.54279545e-02
8.125000e+00 2.44281045e-02
8.750000e+00 2.35386992e-02
9.375000e+00 2.27397387e-02
1.000000e+01 2.20155090e-02
1.062500e+01 2.13560811e-02
1.123070e+01 2.07709986e-02
1.125000e+01 2.07523556e-02
1.132810e+01 2.06829525e-02
1.140630e+01 2.06134607e-02
1.156250e+01 2.04746549e-02
1.187500e+01 2.01969544e-02
1.250000e+01 1.96837832e-02
1.312500e+01 1.92240757e-02
1.375000e+01 1.87643720e-02
1.500000e+01 1.79623634e-02
1.625000e+01 1.72546670e-02
1.750000e+01 1.66248237e-02
1.812500e+01 1.63419241e-02
1.875000e+01 1.60590271e-02
2.000000e+01 1.55460637e-02
2.164060e+01 1.49464934e-02
2.187500e+01 1.48608302e-02
2.246090e+01 1.46726404e-02
2.328130e+01 1.44091317e-02
2.375000e+01 1.42585879e-02
2.492190e+01 1.39241666e-02
2.562500e+01 1.37235266e-02
2.656250e+01 1.34840642e-02
2.750000e+01 1.32446038e-02
2.937500e+01 1.28122110e-02
2.940350e+01 1.28062306e-02
2.949090e+01 1.27878907e-02
2.957840e+01 1.27695298e-02
2.975330e+01 1.27328291e-02
3.010300e+01 1.26594487e-02
3.080260e+01 1.25126460e-02
3.125000e+01 1.24187644e-02
3.220170e+01 1.22362194e-02
3.312500e+01 1.20591232e-02
3.500000e+01 1.17287892e-02
