54-Xe_n-g
> 54-Xe-124:0.000900
> 54-Xe-126:0.000900
> 54-Xe-128:0.019200
> 54-Xe-129:0.264400
> 54-Xe-130:0.040800
> 54-Xe-131:0.211800
> 54-Xe-132:0.268900
> 54-Xe-134:0.104400
> 54-Xe-136:0.088700
2.799110e+00 2.02544688e+00
2.813170e+00 2.02525413e+00
2.813300e+00 2.02525547e+00
2.814450e+00 2.02526901e+00
2.827480e+00 2.02543683e+00
2.841670e+00 2.02564201e+00
2.843750e+00 2.02567575e+00
2.846680e+00 2.02573564e+00
2.855850e+00 2.02593378e+00
2.870030e+00 2.02626681e+00
2.878910e+00 2.02649330e+00
2.884220e+00 2.02663533e+00
2.898400e+00 2.02704660e+00
2.911130e+00 2.02745576e+00
2.920150e+00 2.02775730e+00
2.929340e+00 2.02810449e+00
2.937500e+00 2.02880821e+00
2.941900e+00 2.02926411e+00
2.943360e+00 2.02942075e+00
2.952780e+00 2.03044436e+00
2.963650e+00 2.03165570e+00
2.972410e+00 2.03265723e+00
2.974530e+00 2.03290935e+00
2.975590e+00 2.03303882e+00
2.985400e+00 2.03425140e+00
2.996280e+00 2.03563313e+00
2.997000e+00 2.03572728e+00
3.007150e+00 2.03773081e+00
3.007810e+00 2.03786372e+00
3.018030e+00 2.03993741e+00
3.028900e+00 2.04219127e+00
3.030840e+00 2.04260284e+00
3.039770e+00 2.04540147e+00
3.040040e+00 2.04548747e+00
3.050650e+00 2.04888444e+00
3.061520e+00 2.05242792e+00
3.064670e+00 2.05347425e+00
3.072270e+00 2.05740362e+00
3.072400e+00 2.05747106e+00
3.084860e+00 2.06402866e+00
3.097310e+00 2.07069280e+00
3.098500e+00 2.07134157e+00
3.104310e+00 2.07605531e+00
3.104490e+00 2.07620271e+00
3.109770e+00 2.08053610e+00
3.122230e+00 2.09090302e+00
3.125000e+00 2.09324312e+00
3.132340e+00 2.09954533e+00
3.134690e+00 2.10184345e+00
3.136720e+00 2.10385807e+00
3.147150e+00 2.11422960e+00
3.159610e+00 2.12682585e+00
3.166170e+00 2.13358284e+00
3.168950e+00 2.13580504e+00
3.172060e+00 2.13829761e+00
3.180360e+00 2.14509562e+00
3.183080e+00 2.14736750e+00
3.188650e+00 2.15008319e+00
3.196940e+00 2.15427118e+00
3.200000e+00 2.15587681e+00
3.201170e+00 2.15601765e+00
3.205230e+00 2.15651541e+00
3.213520e+00 2.15771151e+00
3.217140e+00 2.15831991e+00
3.221820e+00 2.15748576e+00
3.230110e+00 2.15623474e+00
3.233400e+00 2.15583770e+00
3.234270e+00 2.15573479e+00
3.236210e+00 2.15507893e+00
3.238400e+00 2.15435744e+00
3.244850e+00 2.15242580e+00
3.251300e+00 2.15068127e+00
3.257760e+00 2.14913587e+00
3.264210e+00 2.14782424e+00
3.265630e+00 2.14759956e+00
3.268540e+00 2.14714627e+00
3.272470e+00 2.14702573e+00
3.280740e+00 2.14723836e+00
