51-Sb_n-g
> 51-Sb-121:0.572100
> 51-Sb-123:0.427900
5.312500e+00 7.43388274e+00
5.315120e+00 7.47161549e+00
5.336120e+00 7.79565127e+00
5.361800e+00 8.22382164e+00
5.387480e+00 8.69129527e+00
5.413150e+00 9.20304942e+00
5.438830e+00 9.76486235e+00
5.464500e+00 1.03835420e+01
5.490180e+00 1.10670978e+01
5.515860e+00 1.18250838e+01
5.541530e+00 1.26687132e+01
5.554370e+00 1.31268276e+01
5.567210e+00 1.36116019e+01
5.580050e+00 1.41252672e+01
5.592880e+00 1.46701692e+01
5.605720e+00 1.52488823e+01
5.618560e+00 1.58642671e+01
5.625000e+00 1.61929178e+01
5.631400e+00 1.65195365e+01
5.644240e+00 1.72182377e+01
5.657070e+00 1.79643088e+01
5.669910e+00 1.87620978e+01
5.682750e+00 1.96166390e+01
5.695590e+00 2.05333676e+01
5.708430e+00 2.15186337e+01
5.721260e+00 2.25795314e+01
5.734100e+00 2.37241846e+01
5.746940e+00 2.49617468e+01
5.759780e+00 2.63030879e+01
5.772620e+00 2.77600505e+01
5.785450e+00 2.93467653e+01
5.798290e+00 3.10793657e+01
5.811130e+00 3.29765020e+01
5.823970e+00 3.50600857e+01
5.836810e+00 3.73557469e+01
5.849640e+00 3.98937495e+01
5.862480e+00 4.27101361e+01
5.875320e+00 4.58479857e+01
5.881740e+00 4.75533277e+01
5.888160e+00 4.93593022e+01
5.894580e+00 5.12742044e+01
5.901000e+00 5.33071309e+01
5.907410e+00 5.54683794e+01
5.913830e+00 5.77693348e+01
5.920250e+00 6.02219538e+01
5.926670e+00 6.28410540e+01
5.933090e+00 6.56426540e+01
5.937500e+00 6.77042692e+01
5.939510e+00 6.86439198e+01
5.945930e+00 7.18648783e+01
5.952350e+00 7.53284071e+01
5.961680e+00 8.08549446e+01
5.966350e+00 8.38607838e+01
5.971020e+00 8.70451182e+01
5.975690e+00 9.04245387e+01
5.980360e+00 9.40139199e+01
5.985030e+00 9.78321410e+01
5.989690e+00 1.01900942e+02
5.994360e+00 1.06242635e+02
5.999030e+00 1.10882391e+02
6.003700e+00 1.15849389e+02
6.008370e+00 1.21173950e+02
6.013040e+00 1.26893259e+02
6.017700e+00 1.33044504e+02
6.022370e+00 1.39673453e+02
6.027040e+00 1.46829305e+02
6.030250e+00 1.52084062e+02
6.033460e+00 1.57631161e+02
6.036670e+00 1.63495204e+02
6.039880e+00 1.69695069e+02
6.043090e+00 1.76258218e+02
6.046300e+00 1.83206962e+02
6.049510e+00 1.90572768e+02
6.052720e+00 1.98380806e+02
6.055930e+00 2.06665976e+02
6.059140e+00 2.15456310e+02
6.062350e+00 2.24792428e+02
6.065550e+00 2.34705222e+02
6.068760e+00 2.45238745e+02
6.071970e+00 2.56426750e+02
6.075180e+00 2.68318439e+02
6.078390e+00 2.80948708e+02
6.082190e+00 2.96900021e+02
6.085980e+00 3.14021851e+02
6.089770e+00 3.32394863e+02
6.093570e+00 3.52095720e+02
6.097360e+00 3.73199938e+02
6.101150e+00 3.95783034e+02
6.104940e+00 4.19915377e+02
6.108740e+00 4.45663903e+02
6.111950e+00 4.68763030e+02
6.115160e+00 4.93087596e+02
6.118370e+00 5.18679935e+02
6.121580e+00 5.45545197e+02
6.124790e+00 5.73713702e+02
6.127990e+00 6.03176870e+02
6.131200e+00 6.33950146e+02
6.134410e+00 6.66004927e+02
6.137620e+00 6.99329770e+02
6.140830e+00 7.33884628e+02
6.144040e+00 7.69635174e+02
6.147250e+00 8.06507037e+02
6.150460e+00 8.44448727e+02
6.153670e+00 8.83345823e+02
6.160090e+00 9.63662978e+02
6.166510e+00 1.04649165e+03
6.172930e+00 1.13063043e+03
6.185760e+00 1.29708872e+03
6.193010e+00 1.38598738e+03
6.200250e+00 1.46807233e+03
6.207500e+00 1.54081488e+03
6.211120e+00 1.57293260e+03
6.214740e+00 1.60184083e+03
6.221060e+00 1.64382728e+03
6.227370e+00 1.67420583e+03
6.233690e+00 1.69213548e+03
6.240000e+00 1.69712995e+03
6.244210e+00 1.69319392e+03
6.248420e+00 1.68349685e+03
6.250000e+00 1.67765311e+03
6.252980e+00 1.66663137e+03
6.257540e+00 1.64340414e+03
6.262100e+00 1.61414698e+03
6.266660e+00 1.57927752e+03
6.271220e+00 1.53927632e+03
6.275780e+00 1.49469259e+03
6.280340e+00 1.44610417e+03
6.284900e+00 1.39412320e+03
6.289890e+00 1.33410994e+03
6.294880e+00 1.27162521e+03
6.304860e+00 1.14243366e+03
6.314830e+00 1.01252698e+03
6.324810e+00 8.86933940e+02
6.329800e+00 8.26995057e+02
6.334790e+00 7.69476158e+02
6.339780e+00 7.14628965e+02
6.344760e+00 6.62676599e+02
6.349750e+00 6.13739199e+02
6.354740e+00 5.67887707e+02
6.359730e+00 5.25126127e+02
6.364720e+00 4.85432719e+02
6.369710e+00 4.48715376e+02
6.374700e+00 4.14873979e+02
6.379680e+00 3.83776946e+02
6.384670e+00 3.55278963e+02
6.389660e+00 3.29207828e+02
6.394650e+00 3.05406215e+02
6.399640e+00 2.83695054e+02
6.404630e+00 2.63915303e+02
6.408030e+00 2.51446979e+02
6.411430e+00 2.39752707e+02
6.414830e+00 2.28780996e+02
6.418230e+00 2.18485508e+02
6.421630e+00 2.08819902e+02
6.425030e+00 1.99747564e+02
6.428440e+00 1.91226158e+02
6.431840e+00 1.83217926e+02
6.435240e+00 1.75686253e+02
6.438640e+00 1.68602534e+02
6.442040e+00 1.61933016e+02
6.445440e+00 1.55649093e+02
6.448840e+00 1.49722160e+02
6.452240e+00 1.44131623e+02
6.455650e+00 1.38851163e+02
6.459050e+00 1.33860186e+02
6.464040e+00 1.27020765e+02
6.469020e+00 1.20703672e+02
6.474010e+00 1.14858561e+02
6.479000e+00 1.09440808e+02
6.483990e+00 1.04408079e+02
6.488980e+00 9.97260469e+01
6.493970e+00 9.53609584e+01
6.498960e+00 9.12864967e+01
6.503940e+00 8.74746289e+01
6.508930e+00 8.39047594e+01
6.513920e+00 8.05551484e+01
6.518910e+00 7.74086329e+01
6.523900e+00 7.44474778e+01
6.528890e+00 7.16585248e+01
6.533880e+00 6.90268993e+01
6.538860e+00 6.65423034e+01
6.548840e+00 6.19678609e+01
6.558820e+00 5.78596798e+01
6.562500e+00 5.64925090e+01
6.568790e+00 5.41556960e+01
6.578770e+00 5.08032729e+01
6.588750e+00 4.77586395e+01
6.598730e+00 4.49846667e+01
6.608700e+00 4.24496600e+01
6.618680e+00 4.01266164e+01
6.627750e+00 3.81787484e+01
6.636820e+00 3.63716742e+01
6.645890e+00 3.46918351e+01
6.654960e+00 3.31273313e+01
6.664030e+00 3.16677507e+01
6.673100e+00 3.03038252e+01
6.682170e+00 2.90272021e+01
6.691240e+00 2.78305587e+01
6.700310e+00 2.67071440e+01
6.709380e+00 2.56512943e+01
6.718450e+00 2.46575747e+01
6.727520e+00 2.37211223e+01
6.736590e+00 2.28377036e+01
6.745660e+00 2.20033139e+01
6.754730e+00 2.12143489e+01
6.763800e+00 2.04676621e+01
6.773780e+00 1.96914052e+01
6.783760e+00 1.89591429e+01
6.793730e+00 1.82675568e+01
6.803710e+00 1.76136721e+01
6.823660e+00 1.64084231e+01
6.843620e+00 1.53245737e+01
6.863570e+00 1.43462767e+01
6.875000e+00 1.38389032e+01
6.883530e+00 1.34602716e+01
6.903480e+00 1.26553490e+01
6.923430e+00 1.19219389e+01
6.936130e+00 1.14885820e+01
6.948830e+00 1.10789674e+01
6.974230e+00 1.03244425e+01
6.999620e+00 9.64646450e+00
7.025020e+00 9.03502183e+00
7.050420e+00 8.48164732e+00
7.075810e+00 7.97913240e+00
7.101210e+00 7.52129859e+00
7.126600e+00 7.10293958e+00
7.146560e+00 6.79911947e+00
7.166510e+00 6.51515113e+00
7.186470e+00 6.24937567e+00
7.187500e+00 6.23651641e+00
7.206420e+00 6.00033267e+00
7.226370e+00 5.76656621e+00
7.246330e+00 5.54695362e+00
7.266280e+00 5.34034475e+00
7.286240e+00 5.14575581e+00
7.306190e+00 4.96226550e+00
7.326150e+00 4.78906738e+00
7.366050e+00 4.47061229e+00
7.405960e+00 4.18516748e+00
7.445870e+00 3.92836199e+00
7.485780e+00 3.69653439e+00
7.500000e+00 3.62173479e+00
7.525690e+00 3.48663929e+00
7.565600e+00 3.29601652e+00
7.605500e+00 3.12240788e+00
7.645410e+00 2.96387992e+00
7.685320e+00 2.81879060e+00
7.725230e+00 2.68574397e+00
7.765140e+00 2.56353292e+00
7.803230e+00 2.45594463e+00
7.812500e+00 2.43168718e+00
7.841330e+00 2.35629057e+00
7.879420e+00 2.26372194e+00
7.917510e+00 2.17761233e+00
7.955610e+00 2.09742409e+00
7.993700e+00 2.02268209e+00
8.031800e+00 1.95293468e+00
8.069890e+00 1.88776392e+00
8.107990e+00 1.82679824e+00
8.125000e+00 1.80130213e+00
8.146080e+00 1.76974005e+00
8.184170e+00 1.71627391e+00
8.222270e+00 1.66610894e+00
8.298460e+00 1.57468644e+00
8.374640e+00 1.49375609e+00
8.437500e+00 1.43462653e+00
8.454460e+00 1.41870259e+00
8.534280e+00 1.35236304e+00
8.614100e+00 1.29348368e+00
8.693910e+00 1.24112608e+00
8.750000e+00 1.20835438e+00
8.773730e+00 1.19453388e+00
8.853540e+00 1.15309194e+00
8.933360e+00 1.11612973e+00
9.013180e+00 1.08321227e+00
9.062500e+00 1.06492261e+00
9.074850e+00 1.06036757e+00
9.136530e+00 1.03956151e+00
9.198210e+00 1.02045459e+00
9.259880e+00 1.00298366e+00
9.375000e+00 9.74620580e-01
9.383240e+00 9.72608373e-01
9.506590e+00 9.47907150e-01
9.629940e+00 9.27971519e-01
9.687500e+00 9.20642336e-01
9.753300e+00 9.12420085e-01
9.876650e+00 9.00803722e-01
1.000000e+01 8.92602797e-01
1.008350e+01 8.89092673e-01
1.016690e+01 8.87015660e-01
1.025040e+01 8.86314547e-01
1.031250e+01 8.86831286e-01
1.033390e+01 8.87070776e-01
1.050080e+01 8.92592261e-01
1.062500e+01 9.00234703e-01
1.066770e+01 9.02997940e-01
1.083460e+01 9.18661359e-01
1.093750e+01 9.31383577e-01
1.100150e+01 9.39522948e-01
1.116850e+01 9.65792922e-01
1.125000e+01 9.80584467e-01
1.125190e+01 9.80936827e-01
1.133540e+01 9.97969628e-01
1.141890e+01 1.01655854e+00
1.150230e+01 1.03675656e+00
1.156250e+01 1.05255891e+00
1.158580e+01 1.05877891e+00
1.166920e+01 1.08288983e+00
1.178400e+01 1.11927124e+00
1.187500e+01 1.15135264e+00
1.189880e+01 1.15986303e+00
1.201350e+01 1.20548474e+00
1.212830e+01 1.25623764e+00
1.218750e+01 1.28543594e+00
1.224300e+01 1.31312693e+00
1.235780e+01 1.37699136e+00
1.247250e+01 1.44847041e+00
1.250000e+01 1.46714025e+00
1.252990e+01 1.48762281e+00
1.258730e+01 1.52931233e+00
1.268640e+01 1.60750665e+00
1.277340e+01 1.68389819e+00
1.278550e+01 1.69460144e+00
1.288460e+01 1.79246821e+00
1.293420e+01 1.84574733e+00
1.298370e+01 1.90221749e+00
1.303330e+01 1.96218446e+00
1.304690e+01 1.97965606e+00
1.308290e+01 2.02616908e+00
1.313240e+01 2.09433074e+00
1.318200e+01 2.16688242e+00
1.323150e+01 2.24420912e+00
1.328110e+01 2.32680687e+00
1.332030e+01 2.39689157e+00
1.333060e+01 2.41538215e+00
1.338020e+01 2.51076359e+00
1.343760e+01 2.63019299e+00
1.349490e+01 2.76032936e+00
1.355230e+01 2.90251118e+00
1.359380e+01 3.01515244e+00
1.360970e+01 3.05847279e+00
1.366710e+01 3.23032011e+00
1.372450e+01 3.41980527e+00
1.378180e+01 3.62949322e+00
1.383920e+01 3.86241222e+00
1.386720e+01 3.98886375e+00
1.389400e+01 4.11018962e+00
1.392140e+01 4.24461250e+00
1.394880e+01 4.38661571e+00
1.397620e+01 4.53690292e+00
1.400350e+01 4.69601849e+00
1.403090e+01 4.86483602e+00
1.405830e+01 5.04402572e+00
1.408570e+01 5.23460594e+00
1.411310e+01 5.43749203e+00
1.414050e+01 5.65377098e+00
1.414060e+01 5.65461331e+00
1.416790e+01 5.88491430e+00
1.419520e+01 6.13208872e+00
1.422260e+01 6.39672404e+00
1.425000e+01 6.68070207e+00
1.427740e+01 6.98584779e+00
1.430610e+01 7.33085139e+00
1.433480e+01 7.70474603e+00
1.436350e+01 8.11079269e+00
1.439220e+01 8.55282444e+00
1.441410e+01 8.92231005e+00
1.442080e+01 9.03542125e+00
1.444950e+01 9.56380622e+00
1.447820e+01 1.01437946e+01
1.450690e+01 1.07822516e+01
1.452780e+01 1.12883456e+01
1.454860e+01 1.18332723e+01
1.455080e+01 1.18962160e+01
1.457730e+01 1.26546107e+01
1.459170e+01 1.31000792e+01
1.460600e+01 1.35706491e+01
1.462040e+01 1.40690940e+01
1.463470e+01 1.45968740e+01
1.464910e+01 1.51572201e+01
1.466340e+01 1.57519357e+01
1.467770e+01 1.63849820e+01
1.468750e+01 1.68435360e+01
1.469210e+01 1.70588181e+01
1.470640e+01 1.77781547e+01
1.472080e+01 1.85460773e+01
1.473510e+01 1.93682203e+01
1.474950e+01 2.02488465e+01
1.476380e+01 2.11950208e+01
1.477820e+01 2.22122646e+01
1.479510e+01 2.35182129e+01
1.481210e+01 2.49488366e+01
1.482900e+01 2.65220129e+01
1.484380e+01 2.80332636e+01
1.484600e+01 2.82579330e+01
1.486290e+01 3.01820478e+01
1.487990e+01 3.23208874e+01
1.488840e+01 3.34825584e+01
1.489680e+01 3.47103484e+01
1.490530e+01 3.60128131e+01
1.491380e+01 3.73930263e+01
1.492810e+01 3.99320827e+01
1.493530e+01 4.13053404e+01
1.494250e+01 4.27556601e+01
