F-19(n,g) ENDFB-8.0
Energy(eV) XS(b)
4000.00 3.51694E-05
4062.50 3.51420E-05
4250.00 3.50640E-05
4437.50 3.49860E-05
4500.00 3.49601E-05
4750.00 3.48675E-05
5000.00 3.47762E-05
5500.00 3.50050E-05
6000.00 3.52172E-05
6250.00 3.55039E-05
7000.00 3.63182E-05
7250.00 3.67579E-05
7500.00 3.71867E-05
8000.00 3.80249E-05
8750.00 3.97385E-05
9000.00 4.03531E-05
10000.0 4.33757E-05
10500.0 4.52940E-05
11000.0 4.72242E-05
12813.1 6.25819E-05
14626.1 7.79496E-05
15532.7 8.56335E-05
15985.9 8.94755E-05
16439.2 0.000100901
18252.3 0.000148230
19000.0 0.000167872
20000.0 0.000235980
21000.0 0.000304420
21500.0 0.000372980
21750.0 0.000407365
21875.0 0.000424557
22000.0 0.000453763
22500.0 0.000583822
23000.0 0.000714436
23250.0 0.000822691
23375.0 0.000885485
23500.0 0.00100511
24000.0 0.00148374
24500.0 0.00196238
24562.5 0.00202291
24625.0 0.00215561
24750.0 0.00244878
25000.0 0.00303897
25087.5 0.00334238
25131.3 0.00349630
25175.0 0.00371500
25350.0 0.00472381
25525.0 0.00573262
25546.9 0.00586261
25568.8 0.00607019
25612.5 0.00660846
25700.0 0.00768808
25875.0 0.00985025
25885.9 0.0100180
25896.9 0.0102680
25918.8 0.0109039
25962.5 0.0122037
26050.0 0.0148032
26137.5 0.0174027
26181.3 0.0187025
26203.1 0.0194133
26214.1 0.0199731
26225.0 0.0206981
26268.8 0.0237782
26312.5 0.0268612
26356.3 0.0299442
26378.1 0.0314867
26389.1 0.0322733
26400.0 0.0331653
26412.5 0.0344273
26425.0 0.0358108
26437.5 0.0372567
26450.0 0.0388471
26475.0 0.0424203
26487.5 0.0442553
26500.0 0.0462123
26512.5 0.0484344
26525.0 0.0507786
26537.5 0.0531495
26550.0 0.0556908
26562.5 0.0586017
26575.0 0.0616829
26587.5 0.0647993
26600.0 0.0681280
26612.5 0.0719173
26625.0 0.0759258
26637.5 0.0800806
26643.8 0.0823335
26650.0 0.0847786
26662.5 0.0901709
26675.0 0.0958185
26687.5 0.101535
26693.8 0.104525
26700.0 0.107755
26712.5 0.115065
26725.0 0.122880
26737.5 0.130786
26743.8 0.134878
26750.0 0.139259
26756.3 0.144068
26762.5 0.149273
26775.0 0.160232
26787.5 0.171382
26800.0 0.183219
26812.5 0.196546
26825.0 0.210786
26837.5 0.226071
26850.0 0.242713
26862.5 0.260709
26875.0 0.279269
26900.0 0.316636
26925.0 0.353623
26937.5 0.371773
26950.0 0.388774
26956.3 0.395929
26962.5 0.401828
26975.0 0.411002
26987.5 0.418987
26993.8 0.422358
27000.0 0.424540
27004.0 0.425047
27010.0 0.424518
27016.0 0.422893
27028.0 0.418037
27034.0 0.414684
27040.0 0.410343
27046.0 0.404940
27052.0 0.398596
27064.0 0.384027
27076.0 0.368275
27088.0 0.351264
27100.0 0.333286
27125.0 0.295493
27137.5 0.276715
27150.0 0.258760
27162.5 0.242408
27175.0 0.226745
27187.5 0.211202
27200.0 0.196306
27206.3 0.189435
27212.5 0.182990
27225.0 0.171148
27237.5 0.160102
27250.0 0.149773
27262.5 0.140728
27275.0 0.132281
27287.5 0.123935
27300.0 0.116040
27312.5 0.109110
27325.0 0.102734
27337.5 0.0968422
27350.0 0.0915510
27362.5 0.0868428
27375.0 0.0823790
27387.5 0.0779562
27400.0 0.0737399
27412.5 0.0700698
27425.0 0.0667573
27437.5 0.0635182
27450.0 0.0604507
27462.5 0.0577449
27475.0 0.0552088
27500.0 0.0502952
27512.5 0.0481703
27525.0 0.0462182
27550.0 0.0424726
27575.0 0.0392909
27600.0 0.0363020
27625.0 0.0337579
27650.0 0.0313516
27675.0 0.0292351
27700.0 0.0273434
27750.0 0.0240724
27775.0 0.0226730
27800.0 0.0213742
27850.0 0.0194841
27900.0 0.0176563
27950.0 0.0158285
27975.0 0.0149148
27987.5 0.0144653
28000.0 0.0140769
28015.6 0.0137424
28031.3 0.0134604
28062.5 0.0128999
28125.0 0.0117788
28250.0 0.00953660
28312.5 0.00843555
28328.1 0.00825752
28343.8 0.00812723
28375.0 0.00787319
28500.0 0.00685712
28625.0 0.00584105
28687.5 0.00533302
28718.8 0.00508371
28750.0 0.00493382
28875.0 0.00448426
29000.0 0.00403473
29250.0 0.00313569
29312.5 0.00293177
29375.0 0.00282404
29500.0 0.00261058
29750.0 0.00218366
29875.0 0.00197708
30000.0 0.00183434
30500.0 0.00146981
30750.0 0.00128832
31000.0 0.00112719
32000.0 0.000786077
32500.0 0.000689257
32750.0 0.000641125
33000.0 0.000609777
34000.0 0.000495146
35000.0 0.000431052
36000.0 0.000386998
37000.0 0.000367702
37500.0 0.000358093
38000.0 0.000355048
40000.0 0.000377984
41750.0 0.000461716
41859.4 0.000466994
41968.8 0.000479315
42187.5 0.000512953
42625.0 0.000580230
43062.5 0.000647506
43281.3 0.000681144
43390.6 0.000697996
43418.0 0.000711242
43445.3 0.000773622
43472.7 0.000856577
43479.5 0.000906958
43482.9 0.000959922
43486.3 0.00104976
43489.8 0.00119712
43493.2 0.00142476
43496.6 0.00175450
43500.0 0.00220070
43502.5 0.00260609
43505.0 0.00307612
43510.0 0.00418831
43520.0 0.00686765
43540.0 0.0127228
43560.0 0.0185167
43570.0 0.0208046
43575.0 0.0213918
43580.0 0.0214001
43587.0 0.0203463
43594.0 0.0182733
43608.0 0.0127674
43622.0 0.00711969
43625.5 0.00584657
43629.0 0.00469156
43632.5 0.00368846
43636.0 0.00286199
43639.1 0.00229172
43642.1 0.00185949
43645.2 0.00154754
43648.2 0.00133670
43651.3 0.00120186
43654.3 0.00112153
43660.4 0.00105305
43684.9 0.00103398
43733.8 0.00103665
43831.5 0.00104200
44027.0 0.00105271
44418.0 0.00107412
44809.0 0.00109552
45004.5 0.00110623
45053.4 0.00111016
45102.3 0.00113147
45200.0 0.00118022
45500.0 0.00135671
45650.0 0.00146458
45725.0 0.00151980
45800.0 0.00158180
46100.0 0.00187465
46300.0 0.00212018
46400.0 0.00226312
46700.0 0.00279122
46850.0 0.00312904
47000.0 0.00353013
47300.0 0.00459124
47375.0 0.00492958
47412.5 0.00510852
47450.0 0.00531620
47600.0 0.00616625
47750.0 0.00727353
47825.0 0.00785180
47900.0 0.00854564
48050.0 0.0102407
48125.0 0.0110961
48162.5 0.0115820
48200.0 0.0121037
48500.0 0.0168821
48650.0 0.0192332
48725.0 0.0203900
48762.5 0.0208568
48800.0 0.0212771
48854.3 0.0217449
48881.4 0.0218668
48908.5 0.0219327
49017.0 0.0221579
49058.5 0.0219930
49100.0 0.0217757
49175.0 0.0210957
49250.0 0.0201007
49325.0 0.0190810
49400.0 0.0178831
49550.0 0.0153830
49700.0 0.0130166
49737.5 0.0125092
49775.0 0.0120264
49850.0 0.0110610
49925.0 0.0100956
49962.5 0.00962721
50000.0 0.00922826
50150.0 0.00791917
50225.0 0.00726942
50262.5 0.00694503
50281.3 0.00679048
50300.0 0.00665794
50375.0 0.00622593
50450.0 0.00580058
50600.0 0.00495559
