Pd-105(n,g) ENDFB-8.0
Energy(eV) XS(b)
29.2453 1.40121
29.2806 1.47051
29.2983 1.50933
29.3160 1.55127
29.3336 1.59667
29.3513 1.64588
29.3690 1.69932
29.3867 1.75745
29.4043 1.82083
29.4220 1.89005
29.4479 2.00384
29.4609 2.06695
29.4738 2.13468
29.4868 2.20764
29.4997 2.28631
29.5127 2.37133
29.5256 2.46334
29.5386 2.56332
29.5516 2.67216
29.5645 2.79097
29.5775 2.92096
29.5904 3.06382
29.6034 3.22111
29.6163 3.39511
29.6293 3.58797
29.6370 3.71210
29.6446 3.84448
29.6523 3.98584
29.6599 4.13673
29.6676 4.29840
29.6752 4.47134
29.6829 4.65699
29.6905 4.85594
29.6982 5.06986
29.7059 5.29976
29.7135 5.54696
29.7212 5.81254
29.7288 6.09871
29.7365 6.40631
29.7441 6.73786
29.7518 7.09425
29.7583 7.41727
29.7648 7.76089
29.7712 8.12631
29.7777 8.51475
29.7842 8.92741
29.7907 9.36556
29.7972 9.83041
29.8036 10.3224
29.8101 10.8443
29.8166 11.3965
29.8231 11.9801
29.8295 12.5951
29.8360 13.2446
29.8425 13.9283
29.8490 14.6471
29.8554 15.4003
29.8649 16.5628
29.8743 17.8012
29.8837 19.1180
29.8931 20.5092
29.9026 21.9754
29.9120 23.5101
29.9214 25.1098
29.9308 26.7682
29.9438 29.1314
29.9568 31.5664
29.9827 36.5266
30.0015 40.0754
30.0204 43.4286
30.0358 45.9318
30.0512 48.1431
30.0666 49.9951
30.0743 50.7675
30.0820 51.4289
30.0915 52.0850
30.1010 52.5543
30.1105 52.8316
30.1200 52.9132
30.1277 52.8347
30.1355 52.6269
30.1432 52.2917
30.1509 51.8320
30.1587 51.2516
30.1664 50.5555
30.1741 49.7496
30.1818 48.8404
30.1914 47.5910
30.2025 45.9601
30.2137 44.1759
30.2248 42.2659
30.2360 40.2580
30.2579 36.1340
30.2799 31.9395
30.2968 28.7605
30.3138 25.7095
30.3222 24.2477
30.3307 22.8376
30.3392 21.4813
30.3476 20.1821
30.3586 18.5880
30.3696 17.0978
30.3805 15.7098
30.3915 14.4261
30.4025 13.2421
30.4134 12.1567
30.4244 11.1637
30.4299 10.7012
30.4354 10.2600
30.4414 9.80142
30.4473 9.36738
30.4533 8.95614
30.4593 8.56673
30.4653 8.19760
30.4713 7.84903
30.4772 7.51945
30.4832 7.20791
30.4892 6.91303
30.4952 6.63491
30.5012 6.37216
30.5072 6.12395
30.5131 5.88948
30.5191 5.66795
30.5251 5.45863
30.5311 5.26081
30.5420 4.92554
30.5530 4.62275
30.5640 4.34889
30.5749 4.10099
30.5859 3.87573
30.5969 3.67098
30.6078 3.48410
30.6188 3.31344
30.6298 3.15693
30.6407 3.01330
30.6517 2.88093
30.6627 2.75885
30.6736 2.64580
30.6846 2.54105
30.6956 2.44361
30.7065 2.35293
30.7165 2.27571
30.7265 2.20307
30.7464 2.07006
30.7663 1.95133
30.7863 1.84479
30.8062 1.74875
30.8262 1.66179
30.8461 1.58274
30.8660 1.51067
30.8880 1.43835
30.9099 1.37254
30.9318 1.31239
30.9538 1.25727
30.9757 1.20657
30.9976 1.15985
31.0196 1.11667
31.0415 1.07666
31.0634 1.03950
31.0854 1.00494
31.1073 0.972713
31.1292 0.942609
31.1731 0.888031
31.2169 0.839921
31.2648 0.793608
31.3127 0.752726
31.3605 0.716414
31.4084 0.683978
31.4522 0.657159
31.4961 0.632763
31.5400 0.610476
31.5838 0.590054
31.6277 0.571272
31.6715 0.553956
31.7154 0.537943
31.7593 0.523102
31.8470 0.496464
31.9347 0.473259
32.0225 0.452882
32.1102 0.434871
32.1899 0.420231
32.2697 0.407001
32.3495 0.394975
32.4292 0.383990
32.5090 0.373920
32.5887 0.364667
32.7482 0.348273
32.9077 0.334230
33.0672 0.322106
33.2267 0.311575
33.3862 0.302395
33.5936 0.292183
33.8010 0.283696
34.0083 0.276633
34.2157 0.270835
34.4230 0.266263
34.6304 0.262887
34.8377 0.260717
35.0451 0.259771
35.2046 0.259987
