Ni-60(n,tot) ENDFB-8.0
Energy(eV) XS(b)
2256.41 3.97667
2256.47 3.74801
2256.53 3.53041
2256.60 3.33014
2256.65 3.15763
2256.71 2.99573
2256.77 2.84394
2256.82 2.70178
2256.88 2.56877
2256.94 2.44442
2256.99 2.32826
2257.05 2.21985
2257.11 2.11873
2257.17 2.02448
2257.22 1.93667
2257.28 1.85491
2257.34 1.77882
2257.39 1.70802
2257.45 1.64216
2257.51 1.58196
2257.62 1.47192
2257.73 1.37677
2257.85 1.29444
2257.96 1.22309
2258.08 1.16113
2258.19 1.10719
2258.30 1.06006
2258.42 1.01907
2258.51 0.987781
2258.61 0.959601
2258.81 0.911033
2259.00 0.870785
2259.19 0.837100
2259.39 0.808216
2259.58 0.783391
2259.77 0.761587
2259.97 0.742448
2260.16 0.725330
2260.35 0.709993
2260.74 0.683704
2261.13 0.661923
2261.52 0.643604
2261.88 0.628834
2262.24 0.616065
2262.61 0.604879
2262.97 0.595068
2263.34 0.586362
2263.70 0.578636
2264.07 0.571707
2264.43 0.565496
2265.16 0.554795
2265.89 0.545945
2266.62 0.538529
2267.35 0.532247
2268.08 0.526874
2268.81 0.522238
2269.53 0.518206
2270.26 0.514676
2270.99 0.511563
2272.27 0.506915
2273.54 0.503057
2274.82 0.499808
2276.10 0.497043
2277.37 0.494658
2278.65 0.492579
2279.92 0.490749
2281.20 0.489126
2283.75 0.486372
2286.30 0.484070
2288.85 0.482105
2291.40 0.480397
2295.60 0.477990
2299.79 0.475936
2303.98 0.474131
2308.17 0.472468
2312.36 0.470926
2316.56 0.469482
2324.94 0.466783
2333.32 0.464256
2341.71 0.461852
2350.09 0.459502
2358.47 0.457208
2368.50 0.454520
2378.52 0.451870
2398.57 0.446654
2418.62 0.441498
2438.67 0.436395
2478.76 0.426291
2518.86 0.416274
2599.05 0.396478
2679.24 0.376920
2839.62 0.338617
3000.00 0.301284
3125.00 0.273123
3250.00 0.245789
3375.00 0.219360
3500.00 0.193923
3625.00 0.169572
3687.50 0.157836
3750.00 0.146413
3812.50 0.135316
3875.00 0.124561
3937.50 0.114163
4000.00 0.104140
4062.50 0.0945120
4125.00 0.0852939
4187.50 0.0765041
4250.00 0.0681611
4281.25 0.0641633
4312.50 0.0602868
4343.75 0.0565330
4375.00 0.0529046
4406.25 0.0494045
4437.50 0.0460356
4468.75 0.0428010
4500.00 0.0397037
4529.30 0.0369287
4558.59 0.0342816
4587.89 0.0317634
4617.19 0.0293764
4631.84 0.0282221
4646.49 0.0271112
4661.13 0.0260344
4675.78 0.0249922
4690.43 0.0239848
4705.08 0.0230130
4719.73 0.0220771
4734.38 0.0211777
4750.00 0.0202588
4771.49 0.0190669
4792.97 0.0179522
4814.45 0.0169192
4835.94 0.0159735
4857.42 0.0151073
4878.91 0.0143311
4900.39 0.0136421
4921.88 0.0130378
4941.41 0.0125714
4951.17 0.0123641
4960.94 0.0121802
4970.70 0.0120097
4980.47 0.0118627
4990.24 0.0117306
5000.00 0.0116212
5005.70 0.0115668
5011.40 0.0115190
5017.09 0.0114771
5022.79 0.0114425
5028.49 0.0114150
5031.34 0.0114038
5034.19 0.0113944
5037.03 0.0113865
5039.88 0.0113804
5042.73 0.0113761
5044.16 0.0113746
5045.58 0.0113736
5046.75 0.0113730
5047.91 0.0113727
5049.08 0.0113728
5050.24 0.0113731
5051.41 0.0113737
5052.57 0.0113747
5053.16 0.0113752
5053.74 0.0113759
5054.32 0.0113766
5054.90 0.0113774
5055.42 0.0113781
5055.97 0.0113790
5056.52 0.0113799
5057.07 0.0113809
5057.62 0.0113820
5058.17 0.0113831
5058.72 0.0113843
5059.82 0.0113869
5060.93 0.0113898
5062.03 0.0113929
5063.13 0.0113963
5064.23 0.0114000
5065.33 0.0114039
5066.43 0.0114081
5068.63 0.0114172
5070.83 0.0114274
5073.03 0.0114387
5075.23 0.0114511
5077.43 0.0114646
5081.84 0.0114945
5086.24 0.0115287
