Te-128(n,tot) ENDFB-8.0
Energy(eV) XS(b)
377.777 3.65252
381.033 3.63631
382.661 3.62736
384.289 3.61777
385.917 3.60745
387.545 3.59630
389.173 3.58421
390.801 3.57105
393.022 3.55108
394.132 3.54007
395.242 3.52829
396.352 3.51569
397.462 3.50206
398.572 3.48733
399.682 3.47136
401.310 3.44531
402.124 3.43094
402.938 3.41553
403.752 3.39898
404.566 3.38114
405.380 3.36184
406.194 3.34092
406.823 3.32349
407.452 3.30483
408.081 3.28480
408.710 3.26326
409.340 3.24003
409.969 3.21494
410.598 3.18766
411.227 3.15790
411.634 3.13717
412.041 3.11516
412.448 3.09175
412.855 3.06679
413.262 3.04014
413.669 3.01160
414.076 2.98099
414.483 2.94806
414.816 2.91919
415.149 2.88843
415.482 2.85559
415.815 2.82044
416.148 2.78274
416.481 2.74225
416.814 2.69861
417.147 2.65144
417.350 2.62070
417.554 2.58837
417.757 2.55435
417.961 2.51851
418.164 2.48071
418.368 2.44080
418.571 2.39861
418.775 2.35399
418.960 2.31112
419.145 2.26596
419.330 2.21832
419.515 2.16806
419.700 2.11504
419.792 2.08744
419.885 2.05910
419.977 2.03001
420.070 2.00016
420.162 1.96953
420.255 1.93813
420.357 1.90269
420.458 1.86638
420.560 1.82917
420.662 1.79119
420.764 1.75246
420.865 1.71318
420.967 1.67347
421.069 1.63367
421.171 1.59404
421.222 1.57446
421.273 1.55513
421.323 1.53614
421.374 1.51759
421.425 1.49962
421.476 1.48240
421.527 1.46604
421.578 1.45078
421.629 1.43689
421.680 1.42471
421.730 1.41455
421.781 1.40692
421.832 1.40241
421.883 1.40180
421.943 1.40753
421.973 1.41367
422.003 1.42245
422.033 1.43437
422.063 1.44990
422.094 1.46981
422.124 1.49478
422.154 1.52597
422.184 1.56453
422.214 1.61196
422.244 1.66987
422.274 1.74089
422.304 1.82728
422.319 1.87768
422.334 1.93294
422.349 1.99393
422.364 2.06121
422.385 2.16668
422.406 2.28693
422.427 2.42460
422.447 2.58216
422.468 2.76239
422.479 2.86198
422.489 2.96844
422.499 3.08223
422.510 3.20384
422.520 3.33378
422.531 3.47259
422.541 3.62232
422.551 3.78073
422.562 3.94983
422.572 4.13032
422.583 4.32289
422.593 4.52831
422.603 4.74737
422.614 4.98090
422.624 5.22979
422.635 5.49495
422.645 5.77736
422.655 6.07803
422.666 6.39804
422.676 6.73849
422.687 7.10055
422.697 7.48545
422.706 7.85003
422.716 8.23059
422.725 8.63638
422.734 9.05969
422.743 9.51075
422.753 9.98094
422.762 10.4816
422.771 11.0032
422.780 11.5581
422.790 12.1357
422.799 12.7498
422.808 13.3886
422.817 14.0672
422.827 14.7725
422.836 15.5212
422.845 16.2986
422.856 17.2325
422.866 18.2086
422.876 19.2379
422.887 20.3225
422.897 21.4650
422.908 22.6676
422.918 23.9329
422.928 25.2633
422.939 26.6614
422.949 28.1298
422.960 29.6710
422.970 31.2879
422.980 32.9829
422.991 34.7590
423.001 36.6187
423.012 38.5648
423.024 41.0827
423.037 43.7195
423.050 46.4994
423.062 49.4272
423.075 52.5327
423.088 55.7723
423.101 59.1744
423.113 62.7435
423.126 66.5143
423.139 70.4321
423.152 74.5298
423.164 78.8113
423.177 83.2800
423.190 87.9394
423.202 92.7923
423.215 97.8414
423.228 103.131
423.241 108.581
423.266 120.086
423.291 132.453
423.317 145.583
423.342 159.566
423.368 174.271
423.393 189.717
423.419 205.862
423.444 222.716
423.469 240.079
423.520 276.272
423.622 351.236
423.666 383.162
423.710 413.660
423.735 430.452
423.761 446.320
423.786 461.245
423.812 474.971
423.837 487.430
423.863 498.501
423.897 511.192
423.923 518.605
423.948 524.294
423.980 529.001
424.000 530.450
424.003 530.573
424.012 530.808
424.021 530.808
424.039 530.113
424.070 526.862
424.101 521.098
424.131 512.872
424.160 502.899
424.189 490.969
424.220 476.494
424.251 460.302
424.287 439.178
424.323 416.376
424.384 374.866
424.445 331.610
424.506 288.311
424.536 267.216
424.567 246.695
424.593 229.509
424.620 212.942
424.646 197.058
424.672 181.966
424.699 167.593
424.725 154.073
424.751 141.320
424.778 129.438
424.793 122.902
424.808 116.640
424.824 110.650
424.839 104.965
424.854 99.5053
424.869 94.3372
424.885 89.3874
424.900 84.7143
424.915 80.2499
424.930 76.0188
424.946 72.0136
424.961 68.2508
424.976 64.6731
424.991 61.3195
425.007 58.1378
425.022 55.1616
425.041 51.6004
425.061 48.3285
425.080 45.3109
425.100 42.5314
425.119 39.9620
425.139 37.6137
425.158 35.4584
425.177 33.4819
425.197 31.6621
425.216 30.0048
425.236 28.4883
425.255 27.1011
425.275 25.8262
425.294 24.6669
425.313 23.6067
425.333 22.6371
425.348 21.9310
425.363 21.2725
425.379 20.6581
425.394 20.0883
425.409 19.5524
425.424 19.0516
425.440 18.5832
425.455 18.1475
425.470 17.7366
425.486 17.3512
425.501 16.9893
425.516 16.6515
425.531 16.3314
425.547 16.0317
425.562 15.7472
425.577 15.4802
425.592 15.2259
425.608 14.9851
425.623 14.7568
425.638 14.5413
425.669 14.1399
425.699 13.7747
425.730 13.4397
425.760 13.1329
425.791 12.8494
425.821 12.5863
425.852 12.3403
425.882 12.1110
425.913 11.8957
425.943 11.6929
425.974 11.5007
426.004 11.3193
426.035 11.1471
426.065 10.9834
426.127 10.6780
426.188 10.3994
426.249 10.1432
426.310 9.90721
426.368 9.69809
426.426 9.50324
426.485 9.32122
426.543 9.15075
426.601 8.99075
426.659 8.84028
426.718 8.69850
426.776 8.56491
426.834 8.43838
426.893 8.31859
426.951 8.20500
427.009 8.09734
427.067 7.99482
427.126 7.89724
427.242 7.71572
427.364 7.54265
427.486 7.38493
427.608 7.24066
427.731 7.10826
427.853 6.98638
427.975 6.87389
428.097 6.76981
428.219 6.67328
428.341 6.58357
428.463 6.50006
428.585 6.42217
428.707 6.34942
428.829 6.28140
428.952 6.21772
429.074 6.15808
429.196 6.10218
429.312 6.05207
429.429 6.00496
429.546 5.96068
429.662 5.91910
429.779 5.88003
429.895 5.84343
430.012 5.80912
430.128 5.77709
430.245 5.74720
430.361 5.71946
430.478 5.69379
430.594 5.67018
430.711 5.64860
430.828 5.62909
430.944 5.61164
431.061 5.59631
431.183 5.58257
431.305 5.57132
431.427 5.56267
431.549 5.55679
431.671 5.55386
431.793 5.55414
431.915 5.55793
432.038 5.56560
432.099 5.57104
432.160 5.57763
432.221 5.58546
432.282 5.59459
432.343 5.60514
432.404 5.61719
432.465 5.63089
432.526 5.64634
432.587 5.66373
432.648 5.68318
432.709 5.70495
432.770 5.72918
432.831 5.75622
432.892 5.78626
432.953 5.81973
433.014 5.85692
433.059 5.88662
433.103 5.91876
433.164 5.96740
433.225 6.02171
433.286 6.08272
433.347 6.15125
433.409 6.22885
433.439 6.27143
433.470 6.31690
433.500 6.36570
433.531 6.41784
433.561 6.47385
433.592 6.53416
433.622 6.59949
433.653 6.67000
433.683 6.74658
433.714 6.83003
433.744 6.92159
433.775 7.02175
433.805 7.13209
433.836 7.25411
433.866 7.39003
433.897 7.54101
433.927 7.70988
433.958 7.89942
433.973 8.00327
433.989 8.11358
434.004 8.23084
434.019 8.35472
434.034 8.48741
434.050 8.62778
434.065 8.77829
434.080 8.93765
434.102 9.18953
434.124 9.46626
434.147 9.77048
434.169 10.1050
434.191 10.4730
434.213 10.8778
434.235 11.3229
434.258 11.8122
434.280 12.3499
434.302 12.9404
434.324 13.5882
434.346 14.2982
434.369 15.0755
434.391 15.9255
434.413 16.8536
434.435 17.8654
434.451 18.6145
434.466 19.4079
434.481 20.2477
434.496 21.1296
434.512 22.0673
434.527 23.0503
434.542 24.0933
434.557 25.1845
434.573 26.3399
434.588 27.5543
434.603 28.8291
434.618 30.1570
434.634 31.5567
434.649 33.0112
434.664 34.5407
434.679 36.1261
434.709 39.3588
434.738 42.8274
434.767 46.5563
434.796 50.5170
434.825 54.7301
434.854 59.1564
434.883 63.7952
434.913 68.6276
434.943 73.8921
434.974 79.2944
435.035 90.4079
435.096 101.646
435.157 112.549
435.207 120.929
435.257 128.513
435.287 132.671
435.318 136.378
435.348 139.600
435.379 142.294
435.412 144.583
435.445 146.162
435.473 146.920
435.500 147.168
435.536 146.720
435.572 145.414
435.596 144.067
435.620 142.355
435.647 139.953
435.675 137.116
435.718 131.874
435.761 125.777
435.804 118.963
435.848 111.629
435.907 101.048
435.966 90.2122
436.009 82.2937
436.052 74.5816
436.095 67.1516
436.139 60.1284
436.160 56.7698
436.182 53.5484
436.203 50.4535
436.225 47.4894
436.247 44.6459
436.268 41.9511
436.290 39.3922
436.312 36.9690
436.331 34.8762
436.351 32.8939
436.371 31.0201
436.390 29.2611
436.410 27.5962
436.430 26.0393
436.449 24.5713
436.469 23.2033
436.489 21.9179
436.508 20.7241
436.528 19.6059
436.547 18.5705
436.567 17.6035
436.587 16.7107
436.606 15.8790
436.626 15.1129
436.648 14.3316
436.669 13.6190
436.691 12.9665
436.713 12.3697
436.734 11.8218
436.756 11.3237
436.777 10.8690
436.799 10.4540
436.821 10.0736
436.842 9.72808
436.864 9.41274
436.886 9.12480
436.907 8.86176
436.929 8.62128
436.950 8.40124
436.972 8.19970
437.000 7.96627
437.027 7.75755
437.055 7.56974
437.082 7.40027
437.110 7.24637
437.137 7.10719
437.165 6.98043
437.192 6.86460
437.220 6.75803
437.247 6.66037
437.275 6.57024
437.302 6.48678
437.330 6.40926
437.357 6.33705
437.385 6.26960
437.412 6.20641
437.456 6.11459
437.499 6.03114
437.542 5.95456
437.585 5.88429
437.629 5.81925
437.672 5.75912
437.715 5.70308
437.758 5.65095
437.802 5.60212
437.845 5.55646
437.888 5.51350
437.931 5.47317
437.975 5.43508
438.018 5.39920
438.061 5.36520
438.104 5.33307
438.191 5.27360
438.277 5.21984
438.364 5.17103
438.450 5.12650
438.537 5.08573
438.623 5.04826
438.710 5.01370
438.796 4.98177
438.879 4.95339
438.961 4.92690
439.044 4.90212
439.126 4.87890
439.209 4.85705
439.292 4.83649
439.374 4.81707
439.457 4.79872
439.539 4.78133
439.622 4.76483
439.704 4.74916
439.787 4.73426
439.870 4.72005
439.952 4.70650
440.117 4.68115
440.212 4.66762
440.306 4.65473
440.495 4.63064
440.683 4.60857
440.872 4.58824
441.061 4.56943
441.249 4.55197
441.438 4.53568
441.627 4.52043
441.800 4.50727
441.973 4.49481
442.146 4.48299
442.319 4.47175
442.492 4.46104
442.665 4.45083
442.838 4.44106
443.011 4.43171
443.357 4.41413
443.703 4.39788
444.049 4.38277
444.394 4.36867
444.662 4.35839
444.929 4.34859
445.197 4.33923
445.464 4.33030
445.731 4.32173
445.999 4.31351
446.533 4.29799
447.068 4.28357
447.603 4.27013
448.137 4.25755
448.672 4.24574
449.364 4.23147
450.056 4.21820
450.748 4.20582
451.440 4.19423
452.132 4.18335
452.823 4.17310
453.515 4.16342
454.207 4.15427
454.899 4.14559
455.591 4.13735
456.283 4.12951
456.975 4.12204
458.359 4.10809
459.743 4.09532
460.749 4.08670
462.133 4.07563
463.517 4.06536
464.901 4.05581
466.284 4.04690
467.668 4.03857
469.052 4.03076
470.436 4.02342
471.820 4.01649
473.833 4.00710
475.846 3.99842
478.362 3.98845
480.878 3.97932
483.394 3.97092
485.910 3.96317
489.433 3.95325
492.955 3.94425
496.478 3.93602
500.000 3.92847
504.736 3.91924
509.473 3.91089
514.209 3.90328
518.945 3.89630
520.667 3.89390
527.556 3.88494
534.445 3.87686
543.918 3.86692
553.390 3.85806
562.863 3.85007
572.335 3.84278
584.391 3.83435
596.447 3.82666
610.225 3.81864
629.170 3.80866
648.115 3.79961
667.060 3.79131
686.005 3.78359
717.006 3.77198
748.006 3.76131
766.951 3.75517
785.896 3.74924
804.841 3.74350
823.786 3.73793
832.398 3.73545
841.009 3.73300
849.620 3.73058
858.232 3.72819
866.843 3.72584
871.149 3.72468
875.454 3.72354
879.760 3.72241
884.066 3.72130
888.371 3.72021
892.677 3.71915
896.121 3.71834
899.566 3.71756
903.011 3.71684
906.455 3.71619
909.900 3.71564
911.622 3.71541
913.344 3.71524
915.066 3.71514
916.789 3.71511
918.511 3.71520
920.233 3.71542
921.633 3.71576
923.032 3.71626
924.431 3.71698
925.831 3.71804
927.230 3.71958
927.930 3.72059
928.629 3.72182
929.329 3.72331
930.029 3.72514
930.728 3.72739
931.428 3.73020
931.939 3.73271
932.451 3.73574
932.962 3.73941
933.473 3.74391
933.984 3.74950
934.240 3.75281
934.496 3.75654
934.751 3.76076
935.007 3.76557
935.263 3.77108
935.518 3.77744
935.787 3.78525
936.057 3.79449
936.326 3.80552
936.595 3.81884
936.729 3.82657
936.864 3.83515
936.998 3.84472
937.133 3.85545
937.268 3.86754
937.402 3.88123
937.537 3.89686
937.671 3.91484
937.819 3.93804
937.967 3.96580
938.041 3.98187
938.115 3.99974
938.189 4.01977
938.263 4.04241
938.337 4.06829
938.411 4.09813
938.485 4.13300
938.559 4.17426
938.633 4.22373
938.670 4.25226
938.707 4.28378
938.744 4.31871
938.781 4.35751
938.818 4.40072
938.855 4.44892
938.896 4.50806
938.936 4.57496
938.976 4.65074
939.017 4.73642
939.057 4.83383
939.097 4.94404
939.138 5.06932
939.178 5.21094
939.219 5.37164
939.239 5.45973
939.259 5.55335
939.279 5.65283
939.299 5.75847
939.320 5.87060
939.340 5.98896
939.360 6.11505
939.380 6.24866
939.400 6.39015
939.420 6.53912
939.441 6.69742
939.461 6.86471
939.481 7.04137
939.501 7.22683
939.528 7.49181
939.555 7.77470
939.582 8.07735
939.609 8.40063
939.636 8.74538
939.663 9.11243
939.689 9.50255
939.716 9.91647
939.743 10.3548
939.770 10.8183
939.797 11.3072
939.824 11.8222
939.851 12.3634
939.878 12.9311
939.905 13.5253
939.932 14.1460
939.969 15.0427
940.006 15.9879
940.043 16.9802
940.080 18.0171
940.117 19.0959
940.154 20.2128
940.228 22.5432
940.403 28.3232
940.477 30.7370
940.551 33.0336
940.618 34.9597
940.685 36.6733
940.722 37.5092
940.759 38.2587
940.796 38.9151
940.833 39.4720
940.870 39.9221
940.907 40.2636
940.947 40.5125
940.988 40.6232
941.000 40.6293
941.041 40.5581
941.081 40.3481
941.119 40.0272
941.158 39.5896
941.197 39.0160
941.237 38.3295
941.276 37.5339
941.316 36.6418
941.373 35.1836
941.431 33.5699
941.510 31.1530
941.589 28.5915
941.747 23.3551
941.823 20.9436
941.860 19.7814
941.898 18.6593
941.936 17.5755
941.974 16.5394
942.011 15.5482
942.049 14.6093
942.096 13.5148
942.119 12.9974
942.143 12.5023
942.166 12.0249
942.189 11.5675
942.213 11.1298
942.236 10.7134
942.260 10.3144
942.283 9.93419
942.306 9.57250
942.330 9.23028
942.353 8.90415
942.376 8.59639
942.400 8.30383
942.423 8.02845
942.452 7.70917
942.481 7.41225
942.509 7.13657
942.538 6.88189
942.567 6.64535
942.596 6.42749
942.624 6.22573
942.653 6.04041
942.677 5.90025
942.700 5.76932
942.723 5.64711
942.747 5.53358
942.770 5.42728
942.793 5.32824
942.817 5.23600
942.840 5.15050
942.864 5.07059
942.887 4.99626
942.910 4.92714
942.934 4.86313
942.980 4.74800
943.027 4.64844
943.074 4.56212
943.121 4.48750
943.167 4.42272
943.214 4.36633
