31-Ga_n-tot
>  31-Ga-69:0.601080
>  31-Ga-71:0.398920
7.968750e+01 6.22309501e+00
7.982340e+01 6.22334301e+00
8.020150e+01 6.22461143e+00
8.057950e+01 6.22650702e+00
8.085940e+01 6.22842644e+00
8.095760e+01 6.22907114e+00
8.131340e+01 6.23212060e+00
8.166930e+01 6.23593908e+00
8.202510e+01 6.24062012e+00
8.203130e+01 6.24071830e+00
8.238090e+01 6.24614851e+00
8.273680e+01 6.25275117e+00
8.309260e+01 6.26055552e+00
8.320310e+01 6.26340300e+00
8.344840e+01 6.26966291e+00
8.378910e+01 6.27982044e+00
8.380430e+01 6.28027124e+00
8.422680e+01 6.29509230e+00
8.437500e+01 6.30129396e+00
8.464940e+01 6.31271928e+00
8.507190e+01 6.33367916e+00
8.515630e+01 6.33844181e+00
8.528320e+01 6.34557227e+00
8.549450e+01 6.35852621e+00
8.570580e+01 6.37265298e+00
8.591710e+01 6.38806427e+00
8.593750e+01 6.38968820e+00
8.612830e+01 6.40482859e+00
8.633960e+01 6.42309862e+00
8.655090e+01 6.44300423e+00
8.671880e+01 6.46026360e+00
8.676220e+01 6.46471418e+00
8.697340e+01 6.48846599e+00
8.718470e+01 6.51453047e+00
8.742930e+01 6.54789215e+00
8.750000e+01 6.55863043e+00
8.767400e+01 6.58501318e+00
8.791860e+01 6.62643720e+00
8.816330e+01 6.67276685e+00
8.828130e+01 6.69782740e+00
8.840790e+01 6.72468207e+00
8.865250e+01 6.78300173e+00
8.889720e+01 6.84874817e+00
8.906250e+01 6.89899253e+00
8.914180e+01 6.92307582e+00
8.937530e+01 7.00330734e+00
8.949210e+01 7.04729605e+00
8.960880e+01 7.09415014e+00
8.972560e+01 7.14409871e+00
8.984240e+01 7.19739821e+00
8.984380e+01 7.19808137e+00
8.995910e+01 7.25431731e+00
9.007590e+01 7.31518820e+00
9.019260e+01 7.38037258e+00
9.030940e+01 7.45025508e+00
9.042610e+01 7.52526088e+00
9.054290e+01 7.60585836e+00
9.062500e+01 7.66681544e+00
9.065970e+01 7.69257105e+00
9.077640e+01 7.78599126e+00
9.089320e+01 7.88682620e+00
9.100990e+01 7.99588806e+00
9.113220e+01 8.11999445e+00
9.125460e+01 8.25534520e+00
9.137690e+01 8.40329504e+00
9.140630e+01 8.44224433e+00
9.149920e+01 8.56530505e+00
9.162150e+01 8.74322763e+00
9.174380e+01 8.93906171e+00
9.179690e+01 9.03284473e+00
9.186620e+01 9.15523311e+00
9.198850e+01 9.39461797e+00
9.211080e+01 9.66053101e+00
9.218750e+01 9.84646128e+00
9.223310e+01 9.95699711e+00
9.235540e+01 1.02887605e+01
9.241660e+01 1.04696011e+01
9.247770e+01 1.06615330e+01
9.253890e+01 1.08653912e+01
9.257810e+01 1.10042715e+01
9.260010e+01 1.10822128e+01
9.266120e+01 1.13131146e+01
9.272240e+01 1.15592938e+01
9.278350e+01 1.18221491e+01
9.284470e+01 1.21031540e+01
9.290590e+01 1.24039852e+01
9.296700e+01 1.27265189e+01
9.296880e+01 1.27368526e+01
9.305040e+01 1.32053107e+01
9.313380e+01 1.37347652e+01
9.321720e+01 1.43222227e+01
9.330060e+01 1.49766189e+01
9.334230e+01 1.53321005e+01
9.335940e+01 1.54864454e+01
9.338400e+01 1.57084847e+01
9.342570e+01 1.61074074e+01
9.346740e+01 1.65307040e+01
9.350910e+01 1.69804491e+01
9.355080e+01 1.74588765e+01
9.359250e+01 1.79684995e+01
9.363420e+01 1.85119509e+01
9.369540e+01 1.93772889e+01
9.375000e+01 2.02320625e+01
9.375650e+01 2.03338213e+01
9.381770e+01 2.13949496e+01
9.387880e+01 2.25767126e+01
9.390940e+01 2.32187550e+01
9.394000e+01 2.38984953e+01
9.397060e+01 2.46190052e+01
9.400120e+01 2.53837553e+01
9.403170e+01 2.61964569e+01
9.406230e+01 2.70613360e+01
9.409290e+01 2.79831409e+01
9.412350e+01 2.89667386e+01
9.414990e+01 2.98710829e+01
9.417630e+01 3.08304782e+01
9.420270e+01 3.18496715e+01
9.422910e+01 3.29339687e+01
9.425550e+01 3.40893533e+01
9.428190e+01 3.53224875e+01
9.428710e+01 3.55821769e+01
9.430830e+01 3.66409120e+01
9.433480e+01 3.80531216e+01
9.436120e+01 3.95688122e+01
9.438760e+01 4.11990329e+01
9.441400e+01 4.29564292e+01
9.444040e+01 4.48553623e+01
9.446680e+01 4.69126667e+01
9.449320e+01 4.91474904e+01
9.451960e+01 5.15825720e+01
9.454600e+01 5.42430434e+01
9.457660e+01 5.76454543e+01
9.460720e+01 6.14455885e+01
9.462250e+01 6.35153960e+01
9.463780e+01 6.57096666e+01
9.465310e+01 6.80395700e+01
9.466840e+01 7.05150791e+01
9.468360e+01 7.31493597e+01
9.469890e+01 7.59543768e+01
9.471420e+01 7.89452906e+01
9.472950e+01 8.21364623e+01
9.474480e+01 8.55454442e+01
9.476010e+01 8.91897890e+01
9.477540e+01 9.30886447e+01
9.479070e+01 9.72631542e+01
9.480600e+01 1.01735657e+02
9.482130e+01 1.06529689e+02
9.482420e+01 1.07510632e+02
9.483650e+01 1.11671183e+02
9.485180e+01 1.17186864e+02
9.486710e+01 1.23105054e+02
9.488240e+01 1.29456472e+02
9.489770e+01 1.36272233e+02
9.491300e+01 1.43585846e+02
9.492830e+01 1.51431219e+02
9.494360e+01 1.59844255e+02
9.495890e+01 1.68861256e+02
9.497420e+01 1.78519721e+02
9.498940e+01 1.88856750e+02
9.500470e+01 1.99911035e+02
9.502000e+01 2.11719280e+02
9.503530e+01 2.24310205e+02
9.505620e+01 2.42830609e+02
9.507700e+01 2.62975018e+02
9.509790e+01 2.84820819e+02
9.511870e+01 3.08435034e+02
9.513960e+01 3.33869919e+02
9.516040e+01 3.61160181e+02
9.518130e+01 3.90319782e+02
9.520210e+01 4.21325585e+02
9.521740e+01 4.45232674e+02
9.523270e+01 4.70097172e+02
9.526330e+01 5.22542811e+02
9.529380e+01 5.78271563e+02
9.532440e+01 6.36716960e+02
9.536130e+01 7.10294381e+02
9.544670e+01 8.80579274e+02
9.547650e+01 9.37125828e+02
9.550630e+01 9.90125983e+02
9.553620e+01 1.03840691e+03
9.556600e+01 1.08075989e+03
9.559710e+01 1.11752798e+03
9.561260e+01 1.13272266e+03
9.562820e+01 1.14563950e+03
9.564380e+01 1.15619075e+03
9.565930e+01 1.16428864e+03
9.567490e+01 1.16987732e+03
9.569040e+01 1.17291691e+03
9.570000e+01 1.17351118e+03
9.571560e+01 1.17239801e+03
9.573110e+01 1.16871579e+03
9.574670e+01 1.16250043e+03
9.576220e+01 1.15379980e+03
9.577780e+01 1.14267772e+03
9.579340e+01 1.12921798e+03
9.582450e+01 1.09570833e+03
9.584790e+01 1.06524253e+03
9.587120e+01 1.03077157e+03
9.589460e+01 9.92833998e+02
9.589840e+01 9.86201584e+02
9.591800e+01 9.51992296e+02
9.596260e+01 8.68242513e+02
9.600710e+01 7.80120569e+02
9.606780e+01 6.59530338e+02
9.609820e+01 6.01311600e+02
9.612860e+01 5.45526275e+02
9.615090e+01 5.06499673e+02
9.617310e+01 4.69300125e+02
9.619540e+01 4.34047306e+02
9.621770e+01 4.00822197e+02
9.624000e+01 3.69666685e+02
9.626220e+01 3.40623456e+02
9.628450e+01 3.13660992e+02
9.630680e+01 2.88737808e+02
9.632900e+01 2.65779704e+02
9.635130e+01 2.44725245e+02
9.637360e+01 2.25461140e+02
9.639590e+01 2.07900024e+02
9.640700e+01 1.99716849e+02
9.641810e+01 1.91915840e+02
9.642930e+01 1.84482633e+02
9.643560e+01 1.80468239e+02
9.644040e+01 1.77409655e+02
9.645160e+01 1.70668980e+02
9.646270e+01 1.64259808e+02
9.647380e+01 1.58155811e+02
9.648500e+01 1.52354592e+02
9.650220e+01 1.43933599e+02
9.651940e+01 1.36147687e+02
9.653660e+01 1.28945793e+02
9.655380e+01 1.22284038e+02
9.657100e+01 1.16120134e+02
9.658820e+01 1.10415388e+02
9.660540e+01 1.05132699e+02
9.662260e+01 1.00237760e+02
9.663990e+01 9.56982572e+01
9.665710e+01 9.14850725e+01
9.667430e+01 8.75706789e+01
9.669150e+01 8.39299445e+01
9.670870e+01 8.05393328e+01
9.672590e+01 7.73784991e+01
9.674310e+01 7.44274973e+01
9.676030e+01 7.16691738e+01
9.678260e+01 6.83578908e+01
9.680490e+01 6.53122884e+01
9.682720e+01 6.25020489e+01
9.684940e+01 5.99052326e+01
9.687170e+01 5.74983012e+01
9.689400e+01 5.52641021e+01
9.691620e+01 5.31846851e+01
9.693850e+01 5.12460858e+01
9.696080e+01 4.94335452e+01
