Tb-159(n,g) ENDFB-8.0
Energy(eV) XS(b)
3.24564 484.330
3.24880 513.052
3.25228 546.720
3.25575 582.603
3.25923 620.717
3.26270 661.035
3.26618 703.526
3.26965 748.081
3.27313 794.555
3.27661 842.735
3.27952 884.235
3.28243 926.571
3.28534 969.562
3.28825 1012.94
3.29116 1056.48
3.29407 1099.86
3.29698 1142.79
3.29989 1184.93
3.30478 1253.02
3.30967 1316.25
3.31456 1372.95
3.31944 1421.52
3.32433 1460.50
3.32922 1488.71
3.33167 1498.49
3.33411 1505.26
3.33656 1508.97
3.33900 1509.60
3.34179 1506.55
3.34459 1499.49
3.34738 1488.51
3.35018 1473.73
3.35297 1455.30
3.35576 1433.41
3.35856 1408.29
3.36135 1380.19
3.36528 1336.15
3.36921 1287.58
3.37313 1235.30
3.37706 1180.21
3.38099 1123.14
3.38492 1064.94
3.38884 1006.34
3.39277 948.066
3.40108 828.395
3.40524 771.554
3.40940 717.282
3.41355 665.839
3.41771 617.435
3.42187 572.148
3.42602 530.020
3.43018 490.994
3.43434 454.990
3.43849 421.883
3.44265 391.526
3.44681 363.733
3.45096 338.330
3.45512 315.135
3.45928 293.971
3.46173 282.339
3.46419 271.323
3.46665 260.884
3.46910 250.989
3.47156 241.604
3.47402 232.708
3.47893 216.255
3.48384 201.415
3.48875 188.011
3.49367 175.870
3.49858 164.854
3.50273 156.313
3.50689 148.416
3.51105 141.102
3.51520 134.318
3.51936 128.012
3.52352 122.144
3.52767 116.673
3.53183 111.566
3.53599 106.789
3.54014 102.317
3.54430 98.1234
3.54846 94.1872
3.55261 90.4860
3.55677 87.0032
3.56093 83.7204
3.56508 80.6241
3.56924 77.6991
3.57340 74.9337
3.58171 69.8376
3.59002 65.2549
3.59834 61.1200
3.60665 57.3755
3.61496 53.9748
3.62328 50.8764
3.63159 48.0461
3.63802 46.0234
3.64444 44.1305
3.65086 42.3565
3.65729 40.6918
3.66371 39.1274
3.67014 37.6555
3.67656 36.2689
3.68298 34.9611
3.68941 33.7262
3.69583 32.5589
3.70868 30.4083
3.72153 28.4753
3.73437 26.7320
3.74269 25.6935
3.75100 24.7188
3.75932 23.8028
3.76763 22.9409
3.77594 22.1290
3.78426 21.3634
3.80088 19.9577
3.81751 18.6999
3.83414 17.5702
3.85076 16.5522
3.86739 15.6320
3.87797 15.0918
3.88855 14.5836
3.90971 13.6543
3.93087 12.8274
3.95203 12.0892
3.97320 11.4279
3.99436 10.8333
4.01552 10.2973
4.03668 9.81300
4.05331 9.46504
4.06993 9.14314
4.08656 8.84516
4.10319 8.56922
4.11981 8.31358
4.13644 8.07676
4.15307 7.85742
4.16969 7.65440
4.20295 7.29319
4.23620 6.98628
4.26945 6.72847
4.30271 6.51611
4.33898 6.33362
4.35712 6.26124
4.37526 6.20147
4.39340 6.15450
4.41154 6.12069
4.42968 6.10058
4.44781 6.09489
4.47200 6.11142
4.49618 6.15832
4.52037 6.23965
4.54455 6.36092
4.55664 6.43882
4.56874 6.52979
4.58083 6.63524
4.59292 6.75687
4.60501 6.89661
4.61710 7.05677
4.62920 7.24003
4.64129 7.44959
4.65489 7.72161
4.66850 8.03846
4.68210 8.40851
4.68890 8.61668
4.69570 8.84226
4.70251 9.08712
4.70931 9.35324
4.71611 9.64294
4.72291 9.95885
4.72971 10.3040
4.73652 10.6819
4.74332 11.0965
4.75012 11.5525
4.75843 12.1741
4.76675 12.8775
4.77506 13.6772
4.77922 14.1184
4.78337 14.5904
4.78753 15.0963
4.79169 15.6389
4.79584 16.2218
4.80000 16.8486
4.80416 17.5238
4.80831 18.2518
4.81247 19.0379
4.81663 19.8876
4.82267 21.2502
4.82570 21.9933
4.82872 22.7814
4.83174 23.6176
4.83476 24.5050
4.83779 25.4470
4.84081 26.4470
4.84383 27.5086
4.84686 28.6354
4.84988 29.8312
4.85290 31.0999
4.85593 32.4451
4.85895 33.8707
4.86197 35.3804
4.86499 36.9777
4.86915 39.3231
4.87331 41.8480
4.87747 44.5585
4.88162 47.4584
4.88578 50.5509
4.88993 53.8338
4.89409 57.3043
4.89825 60.9527
4.90278 65.1234
4.90732 69.4690
4.91639 78.5651
4.92623 88.7196
4.93607 98.6336
4.94099 103.301
4.94591 107.658
4.95083 111.623
4.95575 115.110
4.96181 118.642
4.96484 120.055
4.96788 121.216
4.97091 122.115
4.97394 122.743
4.97697 123.095
4.98000 123.169
4.98500 122.679
4.99000 121.442
4.99500 119.487
5.00000 116.862
5.00417 114.205
5.00834 111.167
5.01251 107.794
5.01668 104.137
5.02502 96.1767
5.03336 87.6997
5.04671 73.9869
5.05338 67.4037
5.06006 61.1611
5.06461 57.1396
5.06916 53.3301
5.07371 49.7412
5.07826 46.3798
5.08282 43.2449
5.08737 40.3348
5.09192 37.6417
5.09647 35.1582
5.09981 33.4634
5.10315 31.8708
5.10648 30.3757
5.10982 28.9730
5.11316 27.6578
5.11650 26.4251
5.11984 25.2700
5.12317 24.1880
5.12651 23.1738
5.12985 22.2233
5.13319 21.3322
5.13652 20.4968
5.13986 19.7126
5.14320 18.9763
5.14654 18.2846
5.14988 17.6345
5.15382 16.9153
5.15777 16.2454
5.16171 15.6207
5.16565 15.0374
5.16960 14.4921
5.17354 13.9816
5.17749 13.5032
5.18143 13.0543
5.18932 12.2358
5.19721 11.5100
5.20510 10.8633
5.21299 10.2846
5.21967 9.84101
5.22634 9.43470
5.23302 9.06153
5.23969 8.71798
5.24637 8.40085
5.25304 8.10755
5.25972 7.83564
5.26640 7.58311
5.27307 7.34809
5.27975 7.12899
5.29310 6.73304
5.30645 6.38558
5.31980 6.07890
5.33072 5.85390
5.34165 5.64918
5.35257 5.46232
5.36350 5.29125
5.37442 5.13418
5.38534 4.98958
5.39627 4.85612
5.40719 4.73268
5.42904 4.51190
5.45089 4.32071
5.47273 4.15400
5.49458 4.00775
5.51643 3.87874
5.53827 3.76442
5.56012 3.66262
5.58197 3.57156
5.60382 3.48970
5.62566 3.41579
5.66936 3.28804
5.71305 3.18231
5.75675 3.09416
5.80044 3.02022
5.84414 2.95806
5.90725 2.88531
5.97037 2.82778
6.03348 2.78252
6.09660 2.74763
6.15971 2.72144
6.22283 2.70265
6.28594 2.69030
6.34906 2.68362
6.42188 2.68222
6.49471 2.68692
6.64035 2.71276
6.78600 2.75975
6.93165 2.82426
7.07730 2.90723
7.22295 3.00935
7.36860 3.13101
