73-Ta_n-tot
> 73-Ta-181:1.000000
1.750000e+03 4.92453000e+01
2.000000e+03 4.60807000e+01
2.750000e+03 4.31905000e+01
3.500000e+03 4.03030000e+01
4.250000e+03 3.74155000e+01
5.000000e+03 3.45293000e+01
6.250000e+03 3.29820000e+01
7.500000e+03 3.14360000e+01
8.750000e+03 2.98900000e+01
1.000000e+04 2.83445000e+01
1.250000e+04 2.71310000e+01
1.500000e+04 2.59180000e+01
1.750000e+04 2.47050000e+01
2.000000e+04 2.34923000e+01
2.683800e+04 2.22780000e+01
3.367600e+04 2.10641000e+01
3.989240e+04 1.99604000e+01
4.241930e+04 1.95118000e+01
4.494620e+04 1.90632000e+01
4.747310e+04 1.86146000e+01
5.000000e+04 1.81660000e+01
5.344150e+04 1.79140000e+01
5.688310e+04 1.76619000e+01
6.032460e+04 1.74098000e+01
6.376610e+04 1.71578000e+01
6.720760e+04 1.69057000e+01
7.064920e+04 1.66537000e+01
7.409070e+04 1.64016000e+01
7.753220e+04 1.61495000e+01
8.314920e+04 1.57382000e+01
8.876610e+04 1.53268000e+01
9.438310e+04 1.49154000e+01
1.000000e+05 1.45040000e+01
1.042280e+05 1.43607000e+01
1.084550e+05 1.42173000e+01
1.114910e+05 1.41143000e+01
1.114920e+05 1.41143000e+01
1.164390e+05 1.39466000e+01
1.213870e+05 1.37788000e+01
1.263340e+05 1.36110000e+01
1.312820e+05 1.34432000e+01
1.364020e+05 1.32696000e+01
1.415220e+05 1.30960000e+01
1.517610e+05 1.27488000e+01
1.620010e+05 1.24016000e+01
1.722400e+05 1.20543500e+01
1.786460e+05 1.18371000e+01
1.860670e+05 1.15855000e+01
1.930340e+05 1.13492000e+01
2.000000e+05 1.11130000e+01
2.089490e+05 1.09847000e+01
2.178970e+05 1.08564000e+01
2.268460e+05 1.07281000e+01
2.357940e+05 1.05998000e+01
2.476200e+05 1.04302000e+01
2.594460e+05 1.02607000e+01
2.705230e+05 1.01018000e+01
2.816000e+05 9.94302000e+00
2.971570e+05 9.71997000e+00
3.127130e+05 9.49692000e+00
3.201340e+05 9.39052000e+00
3.201350e+05 9.39051000e+00
3.222560e+05 9.36009000e+00
3.404680e+05 9.09898000e+00
3.586790e+05 8.83785500e+00
3.730590e+05 8.63168000e+00
3.730600e+05 8.63167000e+00
3.758150e+05 8.59216000e+00
4.000000e+05 8.24540000e+00
4.187340e+05 8.12707000e+00
4.223540e+05 8.10420000e+00
4.259840e+05 8.08127000e+00
4.259850e+05 8.08127000e+00
4.477360e+05 7.94388000e+00
4.694880e+05 7.80648000e+00
4.912400e+05 7.66908000e+00
5.129920e+05 7.53169000e+00
5.347440e+05 7.39429000e+00
5.564960e+05 7.25689000e+00
5.782480e+05 7.11950000e+00
6.000000e+05 6.98210000e+00
6.250000e+05 6.91048000e+00
6.500000e+05 6.83885000e+00
6.750000e+05 6.76723000e+00
7.000000e+05 6.69560000e+00
7.500000e+05 6.55235000e+00
8.000000e+05 6.40910000e+00
8.500000e+05 6.35795000e+00
9.000000e+05 6.30680000e+00
9.500000e+05 6.25565000e+00
1.000000e+06 6.20450000e+00
1.200000e+06 6.19540000e+00
1.400000e+06 6.28200000e+00
1.600000e+06 6.40650000e+00
1.800000e+06 6.53550000e+00
2.000000e+06 6.65030000e+00
2.200000e+06 6.74060000e+00
2.400000e+06 6.80190000e+00
2.600000e+06 6.83310000e+00
2.800000e+06 6.83570000e+00
3.000000e+06 6.81280000e+00
3.200000e+06 6.76850000e+00
3.389310e+06 6.71095000e+00
3.389320e+06 6.71095000e+00
3.400000e+06 6.70770000e+00
3.548440e+06 6.65382000e+00
3.600000e+06 6.63510000e+00
3.800000e+06 6.55510000e+00
4.000000e+06 6.47120000e+00
4.200000e+06 6.38560000e+00
4.400000e+06 6.29940000e+00
4.600000e+06 6.21260000e+00
4.800000e+06 6.12480000e+00
5.000000e+06 6.03530000e+00
5.200000e+06 5.94410000e+00
5.400000e+06 5.85130000e+00
5.600000e+06 5.75770000e+00
5.785480e+06 5.67071000e+00
5.800000e+06 5.66390000e+00
6.000000e+06 5.57100000e+00
6.200000e+06 5.47980000e+00
6.400000e+06 5.39110000e+00
6.600000e+06 5.30580000e+00
6.678420e+06 5.27388000e+00
6.678430e+06 5.27388000e+00
6.800000e+06 5.22440000e+00
7.000000e+06 5.14770000e+00
7.200000e+06 5.07620000e+00
7.400000e+06 5.01040000e+00
7.600000e+06 4.95090000e+00
7.800000e+06 4.89780000e+00
8.000000e+06 4.85160000e+00
8.200000e+06 4.81210000e+00
8.400000e+06 4.77930000e+00
8.600000e+06 4.75310000e+00
8.800000e+06 4.73320000e+00
9.000000e+06 4.71920000e+00
9.200000e+06 4.71070000e+00
9.400000e+06 4.70710000e+00
9.600000e+06 4.70800000e+00
9.800000e+06 4.71270000e+00
1.000000e+07 4.72090000e+00
1.020000e+07 4.73190000e+00
1.040000e+07 4.74530000e+00
1.060000e+07 4.76070000e+00
1.080000e+07 4.77770000e+00
1.100000e+07 4.79610000e+00
1.120000e+07 4.81550000e+00
1.140000e+07 4.83580000e+00
1.160000e+07 4.85660000e+00
1.180000e+07 4.87800000e+00
1.200000e+07 4.89970000e+00
1.220000e+07 4.92160000e+00
1.240000e+07 4.94380000e+00
1.260000e+07 4.96600000e+00
1.280000e+07 4.98830000e+00
1.300000e+07 5.01060000e+00
1.320000e+07 5.03280000e+00
1.340000e+07 5.05500000e+00
1.360000e+07 5.07710000e+00
1.380000e+07 5.09910000e+00
1.400000e+07 5.12090000e+00
1.420000e+07 5.14250000e+00
1.440000e+07 5.16380000e+00
1.460000e+07 5.18490000e+00
1.465330e+07 5.19041500e+00
1.480000e+07 5.20560000e+00
1.500000e+07 5.22590000e+00
1.520000e+07 5.24580000e+00
