Kr-84(n,g) ENDFB-8.0
Energy(eV) XS(b)
1157.61 0.0228640
1157.97 0.0254178
1158.33 0.0285266
1158.69 0.0323749
1159.05 0.0372323
1159.41 0.0435172
1159.69 0.0498280
1159.97 0.0580047
1160.11 0.0631044
1160.25 0.0691565
1160.39 0.0764960
1160.53 0.0856242
1160.67 0.0972958
1160.81 0.112641
1160.95 0.133334
1161.02 0.146409
1161.09 0.161805
1161.16 0.179990
1161.23 0.201509
1161.30 0.227002
1161.37 0.257207
1161.44 0.292970
1161.51 0.335252
1161.58 0.385129
1161.65 0.443798
1161.72 0.507292
1161.78 0.580627
1161.85 0.665005
1161.91 0.761682
1161.98 0.871953
1162.01 0.933559
1162.04 0.997127
1162.08 1.06680
1162.11 1.13850
1162.14 1.21687
1162.17 1.29731
1162.21 1.38499
1162.24 1.47473
1162.27 1.57226
1162.30 1.67179
1162.34 1.77963
1162.37 1.88934
1162.40 2.00784
1162.43 2.12802
1162.47 2.25742
1162.50 2.38820
1162.53 2.52855
1162.56 2.66993
1162.63 2.97287
1162.69 3.29631
1162.75 3.61204
1162.81 3.94295
1162.87 4.28741
1162.93 4.64341
1163.05 5.38032
1163.17 6.13090
1163.30 6.92777
1163.37 7.30824
1163.43 7.67008
1163.52 8.13109
1163.61 8.53419
1163.67 8.74700
1163.72 8.93149
1163.77 9.05990
1163.81 9.16698
1163.87 9.26770
1163.95 9.35223
1164.00 9.36830
1164.00 9.36818
1164.01 9.36705
1164.02 9.36475
1164.04 9.35716
1164.08 9.32935
1164.16 9.22024
1164.24 9.03804
1164.32 8.78558
1164.40 8.48774
1164.47 8.14488
1164.53 7.87043
1164.58 7.58255
1164.69 6.95743
1164.81 6.24335
1164.98 5.15164
1165.04 4.79605
1165.13 4.27176
1165.22 3.77795
1165.26 3.53939
1165.30 3.30917
1165.35 3.08777
1165.39 2.88030
1165.44 2.67741
1165.48 2.48422
1165.52 2.30087
1165.57 2.13122
1165.61 1.96735
1165.65 1.81322
1165.70 1.66867
1165.74 1.53647
1165.79 1.38819
1165.84 1.25466
1165.90 1.13238
1165.95 1.02077
1166.00 0.919246
1166.05 0.827182
1166.10 0.743951
1166.15 0.668922
1166.20 0.601472
1166.25 0.540994
1166.30 0.486897
1166.35 0.438618
1166.41 0.395619
1166.46 0.357394
1166.51 0.323467
1166.56 0.293397
1166.61 0.266285
1166.66 0.242792
1166.71 0.222021
1166.76 0.203662
1166.87 0.173078
1166.97 0.149113
1167.07 0.130233
1167.17 0.115238
1167.27 0.103198
1167.38 0.0934064
1167.49 0.0842601
1167.61 0.0767810
1167.84 0.0652993
1168.08 0.0567485
1168.31 0.0501158
1168.54 0.0447484
1168.78 0.0403420
1169.01 0.0366470
1169.24 0.0335086
1169.71 0.0284724
1170.18 0.0246507
1170.64 0.0216654
1171.11 0.0192986
1171.57 0.0173864
1172.04 0.0158130
1172.51 0.0145015
1173.44 0.0124543
1174.37 0.0109511
1175.31 0.00981980
1176.24 0.00894976
1177.17 0.00827467
1179.04 0.00729315
1180.91 0.00662442
1182.77 0.00616169
1184.64 0.00583298
1186.51 0.00559582
1189.77 0.00532527
1193.04 0.00517261
1196.31 0.00509404
1199.57 0.00506527
1204.47 0.00508726
1209.37 0.00515982
1214.27 0.00527219
1219.17 0.00541504
1224.07 0.00558532
1228.97 0.00578184
1233.87 0.00600320
1238.77 0.00625023
1243.90 0.00653947
1249.03 0.00686079
1254.17 0.00721838
1259.30 0.00761748
1264.43 0.00806122
1269.57 0.00855875
1274.70 0.00911694
1279.83 0.00974407
1284.26 0.0103532
1288.70 0.0110339
1293.13 0.0117962
1297.56 0.0126535
1302.00 0.0136238
1306.43 0.0147299
1310.86 0.0159886
1315.30 0.0174450
1317.86 0.0183922
1320.43 0.0194269
1323.00 0.0205610
1325.56 0.0218070
1328.13 0.0231809
1330.69 0.0247001
1333.26 0.0263865
1335.83 0.0282655
1338.28 0.0302677
1340.73 0.0325056
1343.18 0.0350179
1345.63 0.0378518
1348.08 0.0410646
1349.30 0.0428346
1350.53 0.0447271
1351.75 0.0467543
1352.98 0.0489274
1354.20 0.0512544
1355.43 0.0537520
1356.71 0.0565936
1357.99 0.0596764
1359.28 0.0630278
1360.56 0.0666798
1361.84 0.0706697
1363.12 0.0750404
1364.41 0.0798421
1365.69 0.0851338
1366.80 0.0901554
1367.91 0.0956414
1369.02 0.101662
1370.12 0.108278
1371.23 0.115582
1372.34 0.123652
1372.90 0.128009
1373.45 0.132604
1374.00 0.137457
1374.56 0.142591
1375.14 0.148329
1375.72 0.154418
1376.31 0.160896
1376.89 0.167797
1377.47 0.175170
1378.06 0.183032
1378.35 0.187172
1378.64 0.191440
1378.93 0.195873
1379.22 0.200449
1379.54 0.205687
1379.71 0.208394
1379.87 0.211137
1380.03 0.213954
1380.19 0.216811
1380.35 0.219726
1380.51 0.222701
1380.70 0.226314
1380.89 0.230017
1381.08 0.233813
1381.27 0.237685
1381.46 0.241676
1381.64 0.245747
1381.83 0.249946
1382.02 0.254232
1382.34 0.261771
1382.67 0.269653
1382.99 0.277901
1383.31 0.286509
1383.63 0.295556
1383.95 0.305043
1384.27 0.314998
1384.59 0.325421
1384.91 0.336410
1385.07 0.342134
1385.23 0.347970
1385.39 0.353996
1385.55 0.360143
1385.71 0.366452
1385.87 0.372930
1386.03 0.379625
1386.19 0.386461
1386.35 0.393529
1386.51 0.400748
1386.68 0.408217
1386.84 0.415849
1387.00 0.423700
1387.16 0.431777
1387.32 0.440142
1387.48 0.448700
1387.64 0.457569
1387.80 0.466647
1387.96 0.476060
1388.12 0.485701
1388.28 0.495704
1388.44 0.505957
1388.60 0.516601
1388.76 0.527517
1388.92 0.538858
1389.08 0.550497
1389.24 0.562597
1389.40 0.575025
1389.56 0.587872
1389.72 0.601157
1389.88 0.614990
1390.04 0.629218
1390.20 0.644044
1390.36 0.659307
1390.53 0.675224
1390.69 0.691624
1390.85 0.708634
1391.01 0.726284
1391.17 0.744724
1391.33 0.763759
1391.49 0.783666
1391.65 0.804236
1391.81 0.825769
1391.97 0.848044
1392.13 0.871239
1392.29 0.895407
1392.45 0.920764
1392.61 0.947054
1392.77 0.974670
1392.93 1.00334
1393.09 1.03349
1393.25 1.06484
1393.41 1.09785
1393.57 1.13222
1393.73 1.16846
1393.89 1.20625
1394.05 1.24617
1394.21 1.28786
1394.38 1.33196
1394.54 1.37810
1394.70 1.42670
1394.86 1.47793
1395.05 1.54248
1395.24 1.61139
1395.43 1.68507
1395.61 1.76356
1395.80 1.84819
1395.99 1.93864
1396.18 2.03652
1396.37 2.14153
1396.53 2.23761
1396.69 2.33974
1396.85 2.44983
1397.01 2.56723
1397.18 2.69423
1397.34 2.83017
1397.50 2.97683
1397.66 3.13539
1397.82 3.30832
1397.98 3.49501
1398.14 3.69961
1398.30 3.92164
1398.38 4.04190
1398.46 4.16630
1398.54 4.29666
1398.62 4.43337
1398.70 4.57685
1398.78 4.72757
1398.86 4.88604
1398.94 5.05279
1399.02 5.23068
1399.10 5.41598
1399.18 5.61153
1399.26 5.81812
1399.34 6.03941
1399.42 6.27087
1399.50 6.51618
1399.58 6.77647
1399.66 7.05653
1399.74 7.35082
1399.82 7.66417
1399.90 7.99821
1399.98 8.35472
1400.06 8.73567
1400.14 9.14318
1400.22 9.57959
1400.28 9.92145
1400.34 10.2752
1400.40 10.6543
1400.46 11.0470
1400.51 11.4682
1400.57 11.9048
1400.63 12.3653
1400.69 12.8510
1400.75 13.3726
1400.81 13.9140
1400.86 14.4854
1400.92 15.0885
1400.98 15.7363
1401.04 16.4086
1401.10 17.1180
1401.15 17.8663
1401.24 18.9799
1401.32 20.1626
1401.40 21.4324
1401.48 22.7936
1401.56 24.2694
1401.64 25.8268
1401.72 27.4866
1401.80 29.2510
1401.88 31.1454
1401.96 33.1231
1402.04 35.2058
1402.12 37.3908
1402.20 39.7031
1402.28 42.0795
1402.36 44.5399
