33-As_n-g
>  33-As-75:1.000000
4.312390e+01 5.67295000e+00
4.319600e+01 5.88349000e+00
4.326810e+01 6.10637000e+00
4.334030e+01 6.34255000e+00
4.341240e+01 6.59318000e+00
4.348450e+01 6.85943000e+00
4.355660e+01 7.14264000e+00
4.362870e+01 7.44428000e+00
4.370090e+01 7.76598000e+00
4.377300e+01 8.10956000e+00
4.384510e+01 8.47699000e+00
4.391720e+01 8.87045000e+00
4.400240e+01 9.37265000e+00
4.408770e+01 9.91957000e+00
4.417290e+01 1.05170000e+01
4.425810e+01 1.11716000e+01
4.434340e+01 1.18911000e+01
4.442860e+01 1.26843000e+01
4.451380e+01 1.35618000e+01
4.459910e+01 1.45358000e+01
4.466460e+01 1.53599000e+01
4.473020e+01 1.62576000e+01
4.479570e+01 1.72380000e+01
4.486130e+01 1.83117000e+01
4.493340e+01 1.96154000e+01
4.500550e+01 2.10664000e+01
4.504160e+01 2.18542000e+01
4.507770e+01 2.26880000e+01
4.511370e+01 2.35713000e+01
4.514980e+01 2.45083000e+01
4.518580e+01 2.55033000e+01
4.522190e+01 2.65614000e+01
4.525800e+01 2.76879000e+01
4.529400e+01 2.88890000e+01
4.533010e+01 3.01716000e+01
4.536610e+01 3.15431000e+01
4.540220e+01 3.30121000e+01
4.543830e+01 3.45878000e+01
4.548420e+01 3.67663000e+01
4.553000e+01 3.91613000e+01
4.557590e+01 4.18044000e+01
4.562180e+01 4.47306000e+01
4.564480e+01 4.63136000e+01
4.566770e+01 4.79843000e+01
4.569070e+01 4.97495000e+01
4.571360e+01 5.16157000e+01
4.573660e+01 5.35927000e+01
4.575950e+01 5.56880000e+01
4.578250e+01 5.79131000e+01
4.580540e+01 6.02773000e+01
4.582340e+01 6.22417000e+01
4.584150e+01 6.43067000e+01
4.585950e+01 6.64796000e+01
4.587750e+01 6.87680000e+01
4.589560e+01 7.11808000e+01
4.591360e+01 7.37272000e+01
4.593160e+01 7.64176000e+01
4.594960e+01 7.92636000e+01
4.596770e+01 8.22777000e+01
4.598570e+01 8.54740000e+01
4.600370e+01 8.88680000e+01
4.602180e+01 9.24769000e+01
4.603980e+01 9.63201000e+01
4.605780e+01 1.00419000e+02
4.607590e+01 1.04798000e+02
4.609390e+01 1.09484000e+02
4.611680e+01 1.15942000e+02
4.612830e+01 1.19400000e+02
4.613980e+01 1.23019000e+02
4.615130e+01 1.26818000e+02
4.616270e+01 1.30801000e+02
4.617420e+01 1.34984000e+02
4.618570e+01 1.39382000e+02
4.619720e+01 1.44013000e+02
4.620860e+01 1.48887000e+02
4.622010e+01 1.54023000e+02
4.623160e+01 1.59443000e+02
4.624300e+01 1.65171000e+02
4.625450e+01 1.71220000e+02
4.626600e+01 1.77620000e+02
4.627750e+01 1.84398000e+02
4.628650e+01 1.90011000e+02
4.629550e+01 1.95882000e+02
4.630450e+01 2.02042000e+02
4.631350e+01 2.08492000e+02
4.632250e+01 2.15266000e+02
4.633150e+01 2.22365000e+02
4.634060e+01 2.29826000e+02
4.634960e+01 2.37654000e+02
4.635860e+01 2.45886000e+02
4.636760e+01 2.54529000e+02
4.637660e+01 2.63625000e+02
4.638560e+01 2.73179000e+02
4.639470e+01 2.83240000e+02
4.640370e+01 2.93811000e+02
4.641270e+01 3.04945000e+02
4.642170e+01 3.16647000e+02
4.643070e+01 3.28973000e+02
4.643970e+01 3.41927000e+02
4.644870e+01 3.55571000e+02
4.645780e+01 3.69906000e+02
4.646680e+01 3.84999000e+02
4.647580e+01 4.00848000e+02
4.648480e+01 4.17525000e+02
4.649380e+01 4.35026000e+02
4.650280e+01 4.53423000e+02
4.651180e+01 4.72710000e+02
4.652090e+01 4.92962000e+02
4.652990e+01 5.14166000e+02
4.653890e+01 5.36401000e+02
4.654790e+01 5.59644000e+02
4.655690e+01 5.83977000e+02
4.656590e+01 6.09368000e+02
4.658150e+01 6.55897000e+02
4.659710e+01 7.05791000e+02
4.661270e+01 7.59132000e+02
4.662820e+01 8.15932000e+02
4.664380e+01 8.76153000e+02
4.665940e+01 9.39703000e+02
4.667490e+01 1.00642000e+03
4.669050e+01 1.07610000e+03
4.670850e+01 1.16008000e+03
4.672660e+01 1.24703000e+03
4.674460e+01 1.33626000e+03
4.676260e+01 1.42690000e+03
4.679870e+01 1.60844000e+03
4.683470e+01 1.78265000e+03
4.686010e+01 1.89550000e+03
4.688550e+01 1.99618000e+03
4.689820e+01 2.04089000e+03
4.691090e+01 2.08127000e+03
4.692360e+01 2.11703000e+03
4.693630e+01 2.14777000e+03
4.695220e+01 2.17888000e+03
4.696820e+01 2.20122000e+03
4.698410e+01 2.21449000e+03
4.700000e+01 2.21847000e+03
4.700910e+01 2.21655000e+03
4.702390e+01 2.20694000e+03
4.703870e+01 2.18943000e+03
4.705350e+01 2.16425000e+03
4.706830e+01 2.13174000e+03
4.708300e+01 2.09228000e+03
4.709780e+01 2.04639000e+03
4.711260e+01 1.99463000e+03
4.712740e+01 1.93765000e+03
4.714220e+01 1.87592000e+03
4.715700e+01 1.81027000e+03
4.718670e+01 1.67008000e+03
4.721630e+01 1.52271000e+03
4.724600e+01 1.37351000e+03
4.727660e+01 1.22200000e+03
4.730730e+01 1.07762000e+03
4.732260e+01 1.00908000e+03
4.733790e+01 9.43375000e+02
4.735330e+01 8.80715000e+02
4.736860e+01 8.21249000e+02
4.738390e+01 7.65035000e+02
4.739930e+01 7.12185000e+02
4.741460e+01 6.62658000e+02
4.742990e+01 6.16408000e+02
4.744530e+01 5.73356000e+02
4.746060e+01 5.33396000e+02
4.747590e+01 4.96401000e+02
4.749130e+01 4.62227000e+02
4.750170e+01 4.40449000e+02
4.751220e+01 4.19880000e+02
4.752260e+01 4.00429000e+02
4.753310e+01 3.82080000e+02
4.754350e+01 3.64746000e+02
4.755400e+01 3.48408000e+02
4.756440e+01 3.32997000e+02
4.757490e+01 3.18465000e+02
4.758530e+01 3.04748000e+02
4.759580e+01 2.91827000e+02
4.760620e+01 2.79642000e+02
4.761670e+01 2.68150000e+02
4.762720e+01 2.57298000e+02
4.763760e+01 2.47068000e+02
4.764810e+01 2.37411000e+02
4.765850e+01 2.28291000e+02
4.767380e+01 2.15805000e+02
4.768920e+01 2.04312000e+02
4.770450e+01 1.93710000e+02
4.771980e+01 1.83918000e+02
4.773520e+01 1.74861000e+02
4.775050e+01 1.66470000e+02
4.776580e+01 1.58684000e+02
4.778120e+01 1.51447000e+02
4.779650e+01 1.44707000e+02
4.781180e+01 1.38426000e+02
4.782720e+01 1.32561000e+02
4.784250e+01 1.27074000e+02
4.785780e+01 1.21935000e+02
4.787310e+01 1.17113000e+02
4.788850e+01 1.12582000e+02
4.790380e+01 1.08319000e+02
4.791910e+01 1.04301000e+02
4.793450e+01 1.00512000e+02
4.794980e+01 9.69337000e+01
4.796510e+01 9.35495000e+01
4.799580e+01 8.73084000e+01
4.802650e+01 8.16897000e+01
4.805710e+01 7.66096000e+01
4.808780e+01 7.20026000e+01
4.811840e+01 6.78087000e+01
4.814910e+01 6.39789000e+01
4.817560e+01 6.09308000e+01
4.820210e+01 5.81007000e+01
4.822860e+01 5.54670000e+01
4.825500e+01 5.30114000e+01
4.828150e+01 5.07179000e+01
4.830800e+01 4.85723000e+01
4.833450e+01 4.65620000e+01
4.836100e+01 4.46755000e+01
4.838740e+01 4.29021000e+01
4.841390e+01 4.12340000e+01
4.844040e+01 3.96623000e+01
4.846690e+01 3.81797000e+01
4.849340e+01 3.67795000e+01
4.851980e+01 3.54555000e+01
4.857280e+01 3.30150000e+01
4.860350e+01 3.17160000e+01
4.863410e+01 3.04932000e+01
4.866480e+01 2.93402000e+01
4.869550e+01 2.82517000e+01
4.872610e+01 2.72228000e+01
4.875680e+01 2.62498000e+01
4.881810e+01 2.44547000e+01
4.887940e+01 2.28383000e+01
4.894080e+01 2.13780000e+01
4.900210e+01 2.00537000e+01
4.906340e+01 1.88495000e+01
4.913590e+01 1.75615000e+01
4.920840e+01 1.64017000e+01
4.928080e+01 1.53536000e+01
4.935330e+01 1.44034000e+01
