Sr-84(n,g) ENDFB-8.0
Energy(eV) XS(b)
488.287 21.4828
488.328 20.7558
488.391 19.4873
488.455 18.0993
488.519 16.6300
488.583 15.1237
488.699 12.4028
488.757 11.0990
488.815 9.85827
488.847 9.20591
488.879 8.58077
488.911 7.98223
488.943 7.41137
488.975 6.86897
489.006 6.35549
489.038 5.87111
489.070 5.41574
489.092 5.12108
489.114 4.83967
489.136 4.57130
489.157 4.31688
489.179 4.07380
489.201 3.84399
489.223 3.62501
489.244 3.41852
489.266 3.22226
489.288 3.03765
489.310 2.86259
489.331 2.69831
489.353 2.54287
489.375 2.39730
489.397 2.25985
489.418 2.13138
489.434 2.04175
489.450 1.95628
489.466 1.87479
489.482 1.79762
489.498 1.72365
489.514 1.65364
489.530 1.58657
489.546 1.52315
489.578 1.40504
489.610 1.29825
489.642 1.20178
489.674 1.11467
489.706 1.03606
489.737 0.965127
489.769 0.901115
489.801 0.843332
489.833 0.791143
489.865 0.743968
489.897 0.701283
489.929 0.662610
489.956 0.632056
489.984 0.603933
490.012 0.578010
490.039 0.554165
490.094 0.511610
490.149 0.474973
490.205 0.443147
490.260 0.415392
490.315 0.390956
490.370 0.369283
490.425 0.349894
490.480 0.332496
490.535 0.316762
490.590 0.302453
490.645 0.289378
490.701 0.277377
490.811 0.256096
490.898 0.241415
490.985 0.228309
491.072 0.216528
491.159 0.205885
491.246 0.196219
491.333 0.187426
491.420 0.179390
491.507 0.172022
491.681 0.158995
491.855 0.147877
492.029 0.138295
492.203 0.129973
492.389 0.122238
492.574 0.115491
492.760 0.109562
492.946 0.104329
493.131 0.0996828
493.317 0.0955429
493.503 0.0918344
493.688 0.0885021
493.944 0.0844403
494.199 0.0808888
494.454 0.0777649
494.709 0.0750045
494.965 0.0725535
495.220 0.0703711
495.475 0.0684200
495.730 0.0666718
496.241 0.0636850
496.751 0.0612533
497.262 0.0592660
497.772 0.0576416
498.329 0.0562026
498.886 0.0550468
499.443 0.0541346
500.000 0.0534369
500.791 0.0527790
501.583 0.0524816
502.308 0.0525075
503.033 0.0528203
503.759 0.0534375
504.484 0.0543922
505.209 0.0557370
505.935 0.0575491
506.297 0.0586639
506.660 0.0599407
507.023 0.0614018
507.385 0.0630720
507.913 0.0659388
508.440 0.0694343
508.803 0.0722925
509.166 0.0756071
509.528 0.0794699
509.891 0.0839937
510.254 0.0893288
510.616 0.0956680
510.798 0.0992922
510.979 0.103268
511.160 0.107642
511.342 0.112470
511.556 0.118849
511.770 0.126081
511.985 0.134326
512.199 0.143786
512.413 0.154713
512.520 0.160828
512.628 0.167431
512.735 0.174591
512.842 0.182358
512.949 0.190820
513.056 0.200046
513.205 0.214294
513.353 0.230537
513.501 0.249182
513.576 0.259563
