Sm-144(n,g) ENDFB-8.0
Energy(eV) XS(b)
755.650 0.0151598
755.938 0.0132549
756.226 0.0117108
756.514 0.0104404
757.090 0.00849324
757.666 0.00709239
758.242 0.00605120
758.818 0.00525708
759.394 0.00464101
760.122 0.00403666
760.849 0.00356453
761.577 0.00319228
762.305 0.00289450
763.760 0.00245314
765.215 0.00214969
766.974 0.00189254
768.732 0.00170786
770.491 0.00157302
772.249 0.00147828
775.766 0.00133319
779.283 0.00124162
782.800 0.00118089
786.317 0.00114366
793.351 0.00108578
800.385 0.00105320
807.418 0.00103385
821.486 0.00101542
829.248 0.00101171
843.800 0.00101163
858.353 0.00101773
887.459 0.00104313
916.564 0.00108783
931.117 0.00112209
945.670 0.00117074
959.252 0.00124139
966.044 0.00129339
972.835 0.00136474
979.626 0.00146822
986.418 0.00161833
989.813 0.00173293
993.209 0.00188651
996.604 0.00210008
1000.00 0.00241059
1002.87 0.00280138
1004.31 0.00306621
1005.74 0.00340378
1007.18 0.00383770
1008.61 0.00440893
1010.05 0.00518270
1011.48 0.00625066
1012.29 0.00704796
1013.10 0.00806120
1013.90 0.00936371
1014.71 0.0110753
1015.52 0.0133884
1015.92 0.0148564
1016.33 0.0165960
1016.73 0.0186982
1017.13 0.0212690
1017.54 0.0244794
1017.94 0.0285336
1018.25 0.0324864
1018.57 0.0373789
1018.88 0.0435482
1019.20 0.0515098
1019.35 0.0564018
1019.51 0.0620862
1019.67 0.0687642
1019.82 0.0767129
1019.98 0.0863624
1020.14 0.0984361
1020.29 0.114283
1020.37 0.124309
1020.45 0.136436
1020.52 0.149326
1020.59 0.164866
1020.65 0.184168
1020.72 0.208494
1020.79 0.240046
1020.85 0.280141
1020.89 0.304804
1020.92 0.332074
1020.96 0.364103
1020.99 0.399546
1021.02 0.441181
1021.06 0.488723
1021.09 0.542972
1021.12 0.602879
1021.16 0.673025
1021.19 0.750286
1021.22 0.840481
1021.26 0.939490
1021.29 1.05464
1021.33 1.18458
1021.36 1.33087
1021.39 1.49006
1021.43 1.67350
1021.46 1.87210
1021.48 1.98288
1021.49 2.09974
1021.53 2.34485
1021.54 2.48101
1021.56 2.62422
1021.58 2.77474
1021.59 2.93281
1021.61 3.09868
1021.63 3.27260
1021.65 3.45481
1021.66 3.63410
1021.68 3.83309
1021.70 4.04107
1021.71 4.25826
1021.73 4.48488
1021.75 4.72114
1021.76 4.96722
1021.80 5.47366
1021.83 6.03620
1021.86 6.64117
1021.90 7.28939
1021.93 7.96038
1021.97 8.69491
1022.00 9.44955
1022.03 10.2694
1022.07 11.1050
1022.11 12.1685
1022.14 13.2555
1022.18 14.3877
1022.22 15.5598
1022.30 18.0301
1022.38 20.5427
1022.48 23.6255
1022.52 25.1177
1022.57 26.5206
1022.63 28.2490
1022.69 29.7744
1022.73 30.5979
1022.77 31.3159
1022.80 31.8629
1022.83 32.3257
1022.88 32.9221
1022.91 33.2088
1022.94 33.4157
1022.97 33.5355
1023.00 33.5836
1023.00 33.5841
1023.01 33.5764
1023.03 33.5565
1023.05 33.4572
1023.08 33.2934
1023.11 33.0733
1023.15 32.5743
1023.21 31.7504
1023.27 30.6045
1023.32 29.3528
1023.38 27.9365
1023.42 26.8200
1023.46 25.6442
1023.54 23.1633
1023.65 19.6199
1023.70 17.8554
1023.76 16.1298
1023.81 14.4646
1023.87 12.8779
1023.90 12.1050
1023.92 11.3840
1023.95 10.6625
1023.98 9.99324
1024.01 9.32724
1024.03 8.71266
1024.06 8.10433
1024.09 7.54585
1024.12 6.99583
1024.14 6.49341
1024.17 6.00102
1024.20 5.55340
1024.23 5.13192
1024.25 4.75016
1024.28 4.39140
1024.30 4.05492
1024.33 3.72828
1024.36 3.43485
1024.38 3.16126
1024.41 2.90667
1024.44 2.66145
1024.46 2.44284
1024.49 2.24052
1024.51 2.05361
1024.54 1.87487
1024.57 1.71666
1024.59 1.57123
1024.62 1.43776
1024.65 1.31097
1024.67 1.19946
1024.70 1.09757
1024.72 1.00461
1024.75 0.916796
1024.78 0.839985
1024.80 0.770165
1024.83 0.706768
1024.86 0.647158
1024.88 0.595238
1024.91 0.548223
1024.93 0.505680
1024.99 0.431161
1025.04 0.371582
1025.10 0.317960
1025.15 0.275836
1025.21 0.241477
1025.27 0.214291
1025.33 0.191873
1025.38 0.173870
1025.44 0.158751
1025.50 0.146348
1025.61 0.126714
1025.73 0.111990
1025.84 0.100427
1025.96 0.0909968
1026.07 0.0830845
1026.19 0.0763091
1026.42 0.0652521
1026.65 0.0565964
1026.88 0.0496502
1027.20 0.0420246
1027.52 0.0361024
1027.84 0.0314028
1028.16 0.0276097
1028.48 0.0245050
1028.80 0.0219303
1029.12 0.0197676
1029.44 0.0179284
1030.08 0.0149811
1030.72 0.0127496
1031.36 0.0110235
1032.00 0.00966129
1033.04 0.00799735
1034.08 0.00679630
1035.12 0.00587817
1036.16 0.00517085
1037.20 0.00461529
1038.24 0.00417150
1040.32 0.00351648
1042.40 0.00307719
1044.48 0.00274582
1046.56 0.00250070
1048.64 0.00231653
1052.48 0.00207986
1056.31 0.00193306
1060.15 0.00182411
1063.99 0.00175098
1071.67 0.00167311
1079.35 0.00164296
1086.39 0.00164648
1093.43 0.00167045
1100.47 0.00171426
1107.50 0.00178045
1114.54 0.00187082
1121.58 0.00199741
1128.62 0.00217375
1135.66 0.00242294
1139.50 0.00261257
1143.34 0.00285530
1147.18 0.00315082
1151.02 0.00355843
1154.86 0.00412477
1156.78 0.00448968
1158.70 0.00492957
1160.62 0.00547488
1162.53 0.00615736
1164.45 0.00698794
1166.37 0.00808936
1168.29 0.00955412
1169.25 0.0104734
1170.21 0.0115571
1171.25 0.0129657
1172.29 0.0146798
1173.33 0.0167863
1174.37 0.0194645
1174.89 0.0210805
1175.41 0.0229244
1175.93 0.0250413
1176.45 0.0274881
1176.97 0.0303369
1177.49 0.0336783
1178.01 0.0376272
1178.53 0.0423319
1178.97 0.0470863
1179.41 0.0527406
1179.85 0.0595371
1180.29 0.0678011
1180.51 0.0726187
1180.73 0.0779865
1180.95 0.0839920
1181.17 0.0907411
1181.39 0.0983635
1181.61 0.107020
1181.83 0.116914
1182.05 0.128245
1182.27 0.141446
1182.49 0.156894
1182.71 0.175154
1182.93 0.196984
1183.04 0.209553
1183.15 0.223443
1183.26 0.238869
1183.37 0.256085
1183.48 0.275429
1183.59 0.297344
1183.70 0.322444
1183.81 0.351605
1183.93 0.389600
1183.99 0.411778
1184.05 0.436670
1184.11 0.464881
1184.17 0.497188
1184.23 0.534589
1184.29 0.578364
1184.35 0.630150
1184.41 0.692026
1184.47 0.766623
1184.50 0.809695
1184.53 0.857247
1184.56 0.909821
1184.59 0.968018
1184.62 1.03251
1184.65 1.10403
1184.68 1.18340
1184.71 1.27152
1184.74 1.36937
1184.77 1.47805
1184.81 1.64184
1184.83 1.73269
1184.85 1.83008
1184.87 1.93443
1184.89 2.04623
1184.91 2.16595
1184.93 2.29412
1184.95 2.43127
1184.97 2.57798
1184.99 2.73483
1185.01 2.90243
1185.03 3.08144
1185.05 3.27253
1185.07 3.47637
1185.09 3.69371
1185.11 3.92527
1185.13 4.17183
1185.15 4.43418
1185.17 4.71314
1185.19 5.00953
1185.21 5.32422
1185.23 5.65807
1185.25 6.01198
1185.27 6.38685
1185.29 6.78361
1185.31 7.20316
1185.33 7.64646
1185.35 8.11443
1185.37 8.60802
1185.39 9.12816
1185.41 9.67579
1185.44 10.4904
1185.47 11.3310
1185.49 12.2621
1185.52 13.2194
1185.55 14.2759
1185.58 15.3581
1185.60 16.5479
1185.63 17.7617
1185.66 19.0910
1185.69 20.4419
1185.71 21.9151
1185.74 23.4061
1185.77 25.0253
1185.80 26.6569
1185.82 28.4212
1185.85 30.1912
1185.88 32.0965
1185.91 33.9993
1185.96 38.0640
1186.02 42.3608
1186.07 46.8569
1186.13 51.5116
1186.18 56.2761
1186.29 65.9053
1186.36 71.9092
1186.43 77.6434
1186.49 81.8609
1186.54 85.7461
1186.59 89.1103
1186.65 91.9925
1186.70 94.5354
1186.76 96.5102
1186.80 97.7386
1186.83 98.2191
1186.86 98.5882
1186.90 98.7408
1186.94 98.5474
1186.97 98.1620
1187.00 97.5952
1187.05 96.2367
1187.10 94.3392
1187.16 91.4888
1187.22 88.5870
1187.27 85.3628
1187.32 81.7385
1187.37 77.8305
1187.45 71.4366
1187.52 64.7232
1187.63 55.7957
1187.73 47.1539
1187.79 41.8504
1187.86 36.9055
1187.89 34.4799
1187.92 32.2152
1187.95 30.0404
1187.98 27.9585
1188.01 26.3368
1188.04 24.8373
1188.06 23.3406
1188.09 21.9618
1188.11 20.5906
1188.14 19.3320
1188.16 18.1315
1188.19 16.9884
1188.21 15.8594
1188.24 14.8302
1188.26 13.8172
1188.29 12.8967
1188.32 11.9937
1188.34 11.1758
1188.37 10.4057
1188.39 9.68162
1188.41 9.08118
1188.43 8.51382
1188.46 7.97831
1188.48 7.47340
1188.50 6.99785
1188.52 6.55040
1188.54 6.12983
1188.57 5.75233
1188.59 5.38077
1188.61 5.03254
1188.63 4.70646
1188.65 4.40141
1188.68 4.11627
1188.70 3.84997
1188.72 3.60148
1188.74 3.37995
1188.76 3.16337
1188.78 2.96171
1188.81 2.77409
1188.83 2.59962
1188.85 2.43750
1188.87 2.28693
1188.89 2.14716
1188.92 2.02317
1188.94 1.90250
1188.96 1.79062
1188.98 1.68694
1189.00 1.59087
1189.03 1.50188
1189.05 1.41947
1189.09 1.27555
1189.13 1.17334
1189.16 1.08284
1189.20 1.00267
1189.23 0.933486
1189.26 0.870140
1189.30 0.815326
1189.33 0.764967
1189.37 0.721217
1189.40 0.680837
1189.44 0.645576
1189.51 0.584092
1189.57 0.533467
1189.64 0.491194
1189.71 0.454904
1189.78 0.424199
1189.85 0.397456
1189.92 0.373878
1189.99 0.352867
1190.06 0.333969
1190.20 0.301205
1190.33 0.275118
1190.46 0.252764
1190.58 0.233230
1190.71 0.216017
1190.84 0.200747
1190.97 0.187118
1191.10 0.174893
1191.23 0.163879
1191.49 0.144865
1191.75 0.129083
1192.00 0.115820
1192.26 0.104554
1192.52 0.0948619
1192.78 0.0865217
1193.04 0.0792643
1193.29 0.0729092
1193.55 0.0673127
1193.81 0.0623592
1194.07 0.0579542
1194.33 0.0540197
1194.84 0.0472974
1195.36 0.0418045
1195.88 0.0372407
1196.39 0.0334096
1196.98 0.0297417
1197.57 0.0266757
1198.16 0.0240867
1198.75 0.0218812
1199.34 0.0199911
1199.93 0.0183639
1201.11 0.0156940
1202.29 0.0136004
1203.47 0.0119414
1204.65 0.0106055
1205.83 0.00951388
1207.60 0.00821891
1209.37 0.00724259
1211.14 0.00644511
1212.91 0.00580936
1214.68 0.00529679
1216.45 0.00487390
1219.99 0.00422335
1223.53 0.00375973
1227.07 0.00342951
1230.61 0.00316233
1234.15 0.00295846
1240.05 0.00271831
1245.95 0.00255502
1251.85 0.00244238
1257.75 0.00237845
1259.52 0.00239432
1259.96 0.00242903
1260.18 0.00248455
1260.41 0.00261426
1260.52 0.00273179
1260.63 0.00290452
1260.74 0.00315285
1260.85 0.00349757
1260.96 0.00397228
1261.07 0.00459657
1261.18 0.00540841
1261.29 0.00641363
1261.41 0.00778591
1261.54 0.00939667
1261.78 0.0131752
1262.02 0.0170765
1262.15 0.0187316
1262.27 0.0200117
1262.42 0.0208985
1262.49 0.0210345
1262.50 0.0210385
1262.53 0.0210189
1262.56 0.0209614
1262.66 0.0205671
1262.84 0.0188621
1263.03 0.0162713
1263.44 0.00968963
1263.55 0.00826643
1263.65 0.00701761
1263.76 0.00595553
1263.86 0.00508611
1264.01 0.00408652
1264.17 0.00340760
1264.33 0.00297093
1264.48 0.00270477
1264.64 0.00254699
1264.79 0.00245735
1265.10 0.00237747
1266.35 0.00232036
1268.84 0.00228730
1273.82 0.00226136
1283.78 0.00224639
1295.73 0.00226255
1307.68 0.00230557
1319.63 0.00236845
1331.58 0.00244933
1343.53 0.00254733
1355.48 0.00266258
1367.43 0.00279604
1379.38 0.00294979
1388.68 0.00308586
1397.97 0.00323761
1407.27 0.00340648
1416.56 0.00359143
1425.86 0.00380173
1435.15 0.00403792
1444.45 0.00430371
1453.74 0.00460462
1460.38 0.00484593
1467.02 0.00511150
1473.66 0.00540388
1480.30 0.00572796
1486.94 0.00609114
1493.58 0.00649743
1496.90 0.00671685
1500.22 0.00695264
1503.54 0.00720011
1506.85 0.00746621
1509.68 0.00770663
1512.50 0.00796115
1515.32 0.00823097
1518.14 0.00851731
1519.55 0.00866714
1520.96 0.00882190
1522.37 0.00898103
1523.78 0.00914488
1525.20 0.00931495
1526.61 0.00949077
1528.02 0.00967256
1529.43 0.00986048
1530.76 0.0100435
1532.08 0.0102326
1533.41 0.0104281
1534.74 0.0106304
1536.07 0.0108398
1537.40 0.0110566
1538.72 0.0112813
1540.05 0.0115141
1540.96 0.0116793
1541.88 0.0118488
1542.79 0.0120227
1543.70 0.0122013
1544.62 0.0123847
1545.53 0.0125731
1546.44 0.0127667
1547.35 0.0129655
1548.27 0.0131702
1549.18 0.0133808
1550.09 0.0135975
1551.01 0.0138207
1551.92 0.0140506
1552.83 0.0142876
1553.74 0.0145319
1554.66 0.0147836
1555.45 0.0150079
1556.23 0.0152381
1557.02 0.0154752
1557.81 0.0157188
1558.60 0.0159699
1559.39 0.0162280
