Hf-177(n,g) ENDFB-8.0
Energy(eV) XS(b)
7.64622 1005.17
7.65006 1041.61
7.65389 1080.18
7.65772 1121.07
7.66155 1164.47
7.66538 1210.59
7.66921 1259.68
7.67304 1312.03
7.67687 1367.90
7.68070 1427.63
7.68454 1491.61
7.68837 1560.22
7.69220 1633.94
7.69603 1713.26
7.69986 1798.74
7.70369 1891.01
7.70752 1990.73
7.71135 2098.68
7.71518 2215.65
7.71901 2342.57
7.72285 2480.41
7.72668 2630.23
7.73051 2793.17
7.73434 2970.45
7.73817 3163.39
7.74200 3373.35
7.74583 3601.76
7.74966 3850.12
7.75349 4119.92
7.75732 4412.71
7.76116 4729.99
7.76499 5073.34
7.76882 5443.97
7.77265 5843.24
7.77648 6272.29
7.78031 6732.02
7.78414 7223.11
7.78797 7745.91
7.79180 8300.43
7.79564 8886.42
7.79947 9502.70
7.80330 10148.1
7.80713 10820.6
7.81096 11517.9
7.81479 12236.7
7.82245 13724.1
7.83778 16758.3
7.84544 18208.5
7.85310 19541.0
7.85676 20119.4
7.86041 20652.2
7.86407 21134.2
7.86773 21560.0
7.87138 21925.4
7.87504 22225.8
7.87869 22458.2
7.88235 22619.9
7.88573 22704.8
7.88910 22727.0
7.89135 22706.9
7.89501 22614.9
7.89866 22450.5
7.90232 22215.7
7.90598 21913.1
7.90963 21546.1
7.91329 21118.9
7.91694 20636.2
7.92060 20103.1
7.92629 19187.2
7.93197 18185.2
7.93765 17119.7
7.94334 16013.5
7.95448 13808.2
7.96005 12723.1
7.96563 11669.9
7.97171 10570.9
7.97778 9535.83
7.98082 9044.82
7.98386 8572.74
7.98690 8119.91
7.98994 7686.68
7.99273 7306.72
7.99551 6943.50
7.99830 6596.78
8.00109 6266.37
8.00387 5951.90
8.00666 5653.26
8.00945 5369.94
8.01223 5101.50
8.01502 4847.36
8.01780 4607.21
8.02059 4380.39
8.02338 4166.35
8.02616 3964.52
8.02895 3774.33
8.03173 3595.21
8.03452 3426.58
8.03731 3267.83
8.04009 3118.52
8.04288 2978.06
8.04567 2845.93
8.04845 2721.63
8.05124 2604.69
8.05402 2494.64
8.05681 2391.05
8.05960 2293.48
8.06238 2201.59
8.06517 2114.99
8.06795 2033.32
8.07074 1956.26
8.07353 1883.50
8.07631 1814.76
8.07910 1749.77
8.08315 1661.39
8.08720 1579.73
8.09126 1504.12
8.09531 1434.01
8.09936 1368.87
8.10341 1308.26
8.10747 1251.75
8.11152 1199.00
8.11557 1149.64
8.11962 1103.42
8.12368 1060.04
8.12773 1019.29
8.13178 980.931
8.13583 944.794
8.13989 910.687
8.14394 878.471
8.14951 836.979
8.15508 798.463
8.16066 762.627
8.16623 729.221
8.17180 698.017
8.17737 668.830
8.18294 641.479
8.18852 615.810
8.19409 591.680
8.19966 568.972
8.20523 547.572
8.21081 527.377
8.21638 508.295
8.22195 490.249
8.23309 456.964
8.24424 426.996
8.25538 399.917
8.26653 375.359
8.27767 353.018
8.28882 332.628
8.29996 313.970
8.31111 296.848
8.32225 281.099
8.33289 267.211
8.34353 254.332
8.35416 242.364
8.36480 231.222
8.37544 220.832
8.38608 211.127
8.39672 202.046
8.40735 193.539
8.41799 185.556
8.42863 178.056
8.43927 171.001
8.44991 164.355
8.46054 158.089
8.47118 152.173
8.48182 146.582
8.49246 141.294
8.50360 136.053
8.51475 131.097
8.53703 121.962
8.55932 113.746
8.58161 106.329
8.60390 99.6104
8.62619 93.5059
8.64848 87.9426
8.67077 82.8585
8.68495 79.8478
8.69914 76.9974
8.72750 71.7336
8.75587 66.9898
8.78424 62.7003
8.81261 58.8079
8.84098 55.2638
8.86934 52.0264
8.89771 49.0615
8.92000 46.9038
8.94229 44.8838
8.96458 42.9902
8.98687 41.2128
9.00916 39.5423
9.03144 37.9704
9.05373 36.4896
9.07602 35.0928
9.09831 33.7739
9.12060 32.5273
9.16518 30.2306
9.20976 28.1665
9.25433 26.3048
9.29891 24.6200
9.34349 23.0905
9.38807 21.6978
9.43265 20.4263
9.47722 19.2623
9.52180 18.1941
9.56638 17.2116
9.61096 16.3065
9.65959 15.3987
9.70822 14.5648
9.75685 13.7954
9.80548 13.0838
9.85411 12.4251
9.90274 11.8145
9.95137 11.2471
10.0000 10.7191
10.0488 10.2259
10.0977 9.76704
10.1465 9.33821
10.1953 8.93618
10.2442 8.55916
10.2930 8.20538
10.3418 7.87303
10.3906 7.56049
10.4395 7.26612
10.4883 6.98861
10.5371 6.72670
10.5859 6.47931
10.6836 6.02378
10.7813 5.61485
10.8350 5.40750
10.8887 5.21153
