Ga-69(n,g) ENDFB-8.0
Energy(eV) XS(b)
365.838 0.0504035
366.582 0.0486093
367.326 0.0469373
368.069 0.0453769
368.813 0.0439181
369.557 0.0425531
371.045 0.0400751
372.533 0.0378908
374.020 0.0359581
375.035 0.0347666
376.049 0.0336664
377.064 0.0326493
378.078 0.0317080
379.092 0.0308359
380.107 0.0300274
381.121 0.0292786
382.136 0.0285934
384.164 0.0273443
386.193 0.0262659
388.222 0.0253367
390.251 0.0245383
392.415 0.0238138
394.579 0.0232062
396.743 0.0227039
398.907 0.0222981
401.071 0.0219816
403.235 0.0217496
405.399 0.0215986
407.563 0.0215268
410.403 0.0215540
413.243 0.0217197
416.084 0.0220311
418.924 0.0225077
420.344 0.0228109
421.764 0.0231674
423.184 0.0235726
424.604 0.0240358
426.025 0.0245674
427.445 0.0251629
428.865 0.0258353
430.285 0.0265886
431.773 0.0274915
433.260 0.0285170
434.748 0.0296829
436.236 0.0310114
437.724 0.0325293
439.211 0.0342695
439.955 0.0352355
440.699 0.0362733
441.443 0.0373895
442.187 0.0385915
443.201 0.0403853
444.216 0.0423802
445.230 0.0446062
446.244 0.0470916
447.259 0.0498783
448.273 0.0530372
448.780 0.0547725
449.288 0.0566230
449.795 0.0585991
450.302 0.0607118
451.046 0.0640861
451.790 0.0678298
452.534 0.0719983
453.278 0.0766581
454.021 0.0818889
454.393 0.0847484
454.765 0.0877878
455.137 0.0910242
455.509 0.0944732
455.881 0.0981546
456.253 0.102090
456.760 0.107910
457.267 0.114315
457.775 0.121381
458.282 0.129200
458.789 0.137890
459.296 0.147601
459.550 0.152889
459.803 0.158497
460.057 0.164448
460.311 0.170769
460.683 0.180785
461.054 0.191781
461.426 0.203898
461.798 0.217286
462.170 0.232137
462.542 0.248665
462.728 0.257643
462.914 0.267139
463.100 0.277205
463.286 0.287877
463.607 0.307914
463.929 0.330223
464.089 0.342341
464.250 0.355169
464.410 0.368763
464.571 0.383184
464.732 0.398511
464.892 0.414801
465.053 0.432148
465.213 0.450647
465.374 0.470404
465.535 0.491540
465.695 0.514188
465.856 0.538500
466.042 0.568961
466.228 0.602181
466.414 0.638506
466.600 0.678317
466.786 0.722125
466.972 0.770438
467.158 0.823960
467.344 0.883415
467.437 0.915679
467.530 0.949800
467.623 0.985923
467.716 1.02421
467.809 1.06485
467.902 1.10803
467.995 1.15397
468.087 1.20287
468.180 1.25511
468.273 1.31095
468.366 1.37073
468.459 1.43484
468.552 1.50372
468.645 1.57789
468.738 1.65790
468.831 1.74433
468.933 1.84708
469.034 1.95951
469.136 2.08321
469.237 2.21953
469.339 2.37067
469.440 2.53869
469.491 2.62996
469.541 2.72660
469.592 2.82910
469.643 2.93798
469.727 3.13554
469.812 3.35559
469.854 3.47551
469.896 3.60243
469.939 3.73763
469.981 3.88123
470.023 4.03479
470.066 4.19895
470.108 4.37483
470.150 4.56325
470.192 4.76653
470.235 4.98535
470.277 5.22261
470.319 5.47930
470.359 5.74461
470.399 6.03257
470.440 6.34585
470.480 6.68655
470.520 7.05971
470.560 7.46722
470.600 7.91532
470.640 8.40645
470.681 8.94824
470.721 9.54374
470.761 10.2022
470.801 10.9274
470.841 11.7304
470.861 12.1630
470.881 12.6155
470.901 13.0934
470.921 13.5958
470.942 14.1239
470.962 14.6761
470.985 15.3548
471.008 16.0702
471.031 16.8306
471.055 17.6318
471.078 18.4828
471.101 19.3786
471.124 20.3291
471.148 21.3286
471.171 22.3880
471.194 23.5006
471.217 24.6783
471.241 25.9132
471.264 27.2185
471.287 28.5850
471.310 30.0205
471.333 31.5271
471.356 33.0371
471.378 34.6158
471.400 36.2646
471.422 37.9850
471.444 39.7783
471.467 41.6457
471.489 43.5882
471.511 45.6065
471.533 47.7013
471.555 49.8728
471.578 52.1213
