Ne-22(n,tot) ENDFB-8.0
Energy(eV) XS(b)
5220.34 4.20906
5227.89 4.20856
5235.45 4.20807
5243.01 4.20758
5246.78 4.20735
5250.56 4.20711
5254.34 4.20688
5258.12 4.20665
5261.90 4.20642
5265.67 4.20621
5269.45 4.20600
5273.23 4.20582
5275.95 4.20569
5278.67 4.20559
5281.39 4.20551
5284.11 4.20547
5285.47 4.20546
5286.83 4.20548
5288.19 4.20552
5289.55 4.20558
5290.91 4.20570
5292.27 4.20587
5293.63 4.20614
5294.31 4.20633
5294.99 4.20658
5295.56 4.20684
5296.13 4.20719
5296.69 4.20766
5297.26 4.20828
5297.83 4.20913
5298.39 4.21031
5298.96 4.21195
5299.53 4.21421
5299.81 4.21564
5300.09 4.21732
5300.38 4.21928
5300.66 4.22155
5301.23 4.22721
5301.79 4.23463
5302.36 4.24419
5302.93 4.25621
5303.49 4.27094
5304.06 4.28846
5304.50 4.30381
5304.93 4.32062
5305.80 4.35783
5306.67 4.39723
5307.54 4.43465
5307.93 4.44977
5308.33 4.46299
5308.73 4.47393
5309.12 4.48221
5309.53 4.48767
5309.94 4.48984
5310.00 4.48987
5310.20 4.48946
5310.39 4.48827
5310.79 4.48356
5311.15 4.47673
5311.50 4.46766
5311.86 4.45659
5312.22 4.44386
5312.65 4.42672
5313.08 4.40821
5313.94 4.36929
5314.80 4.33140
5315.23 4.31390
5315.65 4.29775
5316.19 4.27967
5316.73 4.26411
5317.27 4.25106
5317.80 4.24038
5318.34 4.23180
5318.88 4.22506
5319.41 4.21985
5319.95 4.21589
5320.49 4.21291
5321.02 4.21068
5321.56 4.20902
5322.10 4.20779
5322.63 4.20686
5323.17 4.20615
5323.71 4.20560
5324.24 4.20517
5324.89 4.20475
5325.53 4.20441
5326.82 4.20389
5328.11 4.20350
5329.39 4.20318
5330.68 4.20291
5331.97 4.20267
5333.26 4.20247
5334.55 4.20228
5337.12 4.20196
5339.70 4.20168
5342.27 4.20142
5344.85 4.20118
5348.43 4.20088
5352.01 4.20059
5355.58 4.20032
5359.16 4.20005
5362.74 4.19980
5366.32 4.19954
5369.90 4.19929
5373.47 4.19905
5380.63 4.19856
5387.78 4.19808
5394.94 4.19761
5402.09 4.19714
5408.39 4.19673
5414.69 4.19632
5427.28 4.19550
5439.88 4.19470
5452.47 4.19389
5465.06 4.19309
5477.66 4.19229
5502.85 4.19070
5528.03 4.18911
5553.22 4.18755
5578.41 4.18598
5603.60 4.18443
5640.23 4.18219
5676.87 4.17996
5750.14 4.17556
5896.69 4.16698
5969.96 4.16278
6153.15 4.15257
6336.33 4.14272
6739.33 4.12227
7142.34 4.10329
7948.35 4.06904
8461.26 4.04950
8974.17 4.03135
10000.0 3.99860
12500.0 3.93362
15000.0 3.88241
17500.0 3.83989
19687.5 3.80756
20000.0 3.80323
20859.5 3.79165
21719.1 3.78051
22312.5 3.77305
22334.3 3.77278
22356.0 3.77251
22377.8 3.77224
22399.5 3.77197
22421.3 3.77170
