Ti-50(n,tot) ENDFB-8.0
Energy(eV) XS(b)
76273.7 3.94574
76285.0 4.05383
76298.2 4.20143
76311.3 4.37911
76317.8 4.48190
76324.4 4.59552
76330.9 4.72172
76337.5 4.86242
76344.0 5.02012
76350.6 5.19708
76357.1 5.39714
76363.7 5.62368
76370.3 5.88225
76376.8 6.17797
76383.4 6.51845
76386.6 6.70853
76389.9 6.91282
76393.2 7.13411
76396.5 7.37355
76399.7 7.63308
76403.0 7.91486
76406.3 8.22131
76409.6 8.55516
76412.9 8.91947
76416.1 9.31640
76419.4 9.75227
76422.7 10.2303
76426.0 10.7552
76429.2 11.3307
76432.5 11.9663
76435.8 12.6644
76439.1 13.4363
76442.3 14.2848
76445.6 15.2254
76448.9 16.2607
76452.2 17.3973
76455.5 18.6366
76458.8 19.9887
76462.1 21.4489
76465.4 23.0104
76468.6 24.6540
76476.5 28.7772
76480.4 30.8067
76484.3 32.6881
76486.3 33.5384
76488.2 34.3093
76490.2 34.9870
76492.2 35.5586
76494.1 36.0126
76496.1 36.3397
76498.0 36.5329
76500.0 36.5879
76502.0 36.5027
76503.9 36.2799
76505.9 35.9239
76507.9 35.4422
76509.8 34.8444
76511.8 34.1421
76513.7 33.3486
76515.7 32.4777
76519.6 30.5618
76523.5 28.5064
76531.4 24.3543
76534.4 22.8532
76537.3 21.4252
76540.3 20.0811
76543.3 18.8265
76546.3 17.6631
76549.3 16.5896
76552.2 15.6028
76555.2 14.7007
76558.1 13.9040
76560.9 13.1752
76563.8 12.5041
76566.6 11.8904
76569.5 11.3251
76572.3 10.8076
76575.2 10.3320
76578.0 9.89424
76581.9 9.35186
76585.8 8.86598
76589.7 8.42969
76593.6 8.03695
76597.5 7.68247
76601.4 7.36167
76605.3 7.07063
76609.2 6.80596
76614.9 6.45921
76620.6 6.15523
76626.3 5.88755
76632.0 5.65120
76637.7 5.44091
76643.4 5.25373
76649.1 5.08591
76654.8 4.93546
76661.0 4.78796
76667.3 4.65603
76673.5 4.53724
76679.7 4.43027
76685.9 4.33339
76692.2 4.24570
