Pt-198(n,g) ENDFB-8.0
Energy(eV) XS(b)
493.065 71.8066
493.085 66.5258
493.106 61.5970
493.126 57.0079
493.147 52.7447
493.167 48.7930
493.187 45.1375
493.208 41.7626
493.228 38.6523
493.249 35.7907
493.269 33.1618
493.289 30.7500
493.310 28.5401
493.330 26.5174
493.351 24.6675
493.371 22.9771
493.391 21.4331
493.412 20.0234
493.432 18.7305
493.453 17.5563
493.473 16.4842
493.494 15.5050
493.514 14.6100
493.534 13.7915
493.555 13.0421
493.575 12.3554
493.596 11.7253
493.616 11.1463
493.636 10.6135
493.657 10.1223
493.677 9.66882
493.698 9.24930
493.718 8.86049
493.738 8.49945
493.770 7.98892
493.801 7.53160
493.833 7.11740
493.865 6.74292
493.896 6.40071
493.928 6.08868
493.959 5.80210
493.991 5.53795
494.022 5.29291
494.054 5.06633
494.085 4.85554
494.117 4.65892
494.148 4.47452
494.180 4.30231
494.211 4.14062
494.243 3.98853
494.284 3.80407
494.325 3.63328
494.365 3.47438
494.406 3.32621
494.447 3.18778
494.488 3.05820
494.529 2.93670
494.569 2.82259
494.610 2.71526
494.651 2.61416
494.692 2.51880
494.733 2.42874
494.814 2.26296
494.896 2.11408
494.985 1.96814
495.074 1.83734
495.163 1.71948
495.252 1.61287
495.341 1.51601
495.430 1.42791
495.519 1.34745
495.608 1.27374
495.690 1.21138
495.771 1.15365
495.853 1.10003
495.934 1.05013
496.016 1.00361
496.098 0.960174
496.179 0.919551
496.261 0.881501
496.343 0.845770
496.424 0.812251
496.506 0.780727
496.587 0.751042
496.669 0.723056
496.751 0.696639
496.832 0.671677
496.914 0.648064
497.077 0.604484
497.240 0.565281
497.403 0.529863
497.567 0.497756
497.730 0.468542
497.893 0.441915
498.056 0.417563
498.220 0.395235
498.331 0.381057
498.442 0.367659
498.665 0.342982
498.887 0.320808
499.110 0.300808
499.332 0.282681
499.555 0.266214
499.778 0.251200
500.000 0.237488
500.276 0.222068
500.552 0.208196
500.828 0.195669
501.104 0.184316
501.380 0.173996
501.656 0.164586
501.931 0.155984
502.207 0.148102
502.446 0.141816
502.684 0.135970
502.922 0.130522
503.160 0.125433
503.399 0.120664
503.637 0.116193
503.875 0.111998
504.114 0.108059
504.352 0.104355
504.590 0.100868
505.067 0.0944823
505.543 0.0887870
506.020 0.0836892
506.572 0.0784279
507.123 0.0737592
507.675 0.0695998
508.227 0.0658801
508.779 0.0625424
509.331 0.0595381
509.882 0.0568261
510.434 0.0543718
511.237 0.0512123
511.789 0.0492817
512.340 0.0475115
