Pd-110(n,tot) ENDFB-8.0
Energy(eV) XS(b)
11.9386 4.69840
12.1237 4.69364
12.3089 4.69044
12.4014 4.68945
12.4940 4.68890
12.5866 4.68880
12.6791 4.68918
12.7717 4.69006
12.8642 4.69149
12.9568 4.69351
13.0494 4.69616
13.1419 4.69949
13.2345 4.70354
13.3573 4.71021
13.4801 4.71859
13.6028 4.72890
13.6642 4.73488
13.7256 4.74148
13.7870 4.74875
13.8484 4.75674
13.9098 4.76553
13.9712 4.77518
14.0326 4.78579
14.0940 4.79744
14.1553 4.81026
14.2167 4.82435
14.2848 4.84167
14.3528 4.86101
14.4208 4.88264
14.4889 4.90687
14.5524 4.93215
14.6159 4.96037
14.6794 4.99196
14.7429 5.02742
14.8063 5.06735
14.8698 5.11248
14.9016 5.13726
14.9333 5.16368
14.9651 5.19188
14.9968 5.22201
15.0270 5.25266
15.0573 5.28536
15.0875 5.32032
15.1177 5.35773
15.1479 5.39780
15.1781 5.44080
15.2084 5.48700
15.2386 5.53672
15.2748 5.60153
15.3111 5.67267
15.3473 5.75097
15.3836 5.83739
15.4198 5.93306
15.4561 6.03930
15.4923 6.15770
15.5286 6.29010
15.5597 6.41656
15.5908 6.55673
15.6218 6.71262
15.6529 6.88661
15.6685 6.98136
15.6840 7.08172
15.6996 7.18823
15.7151 7.30138
15.7306 7.42182
15.7462 7.55003
15.7617 7.68677
15.7773 7.83281
15.7907 7.96687
15.8041 8.10899
15.8174 8.25996
15.8308 8.42051
15.8442 8.59162
15.8576 8.77396
15.8710 8.96869
15.8844 9.17696
15.8978 9.40025
15.9112 9.63970
15.9246 9.89712
15.9380 10.1744
15.9514 10.4739
15.9648 10.7976
15.9782 11.1486
15.9915 11.5301
16.0062 11.9855
16.0208 12.4876
16.0354 13.0430
16.0500 13.6600
16.0646 14.3486
16.0719 14.7236
16.0792 15.1208
16.0865 15.5431
16.0938 15.9917
16.1011 16.4701
16.1084 16.9797
16.1151 17.4782
16.1218 18.0088
16.1285 18.5744
16.1352 19.1773
16.1419 19.8231
16.1486 20.5139
16.1553 21.2562
16.1620 22.0529
16.1687 22.9121
16.1754 23.8388
16.1821 24.8400
16.1888 25.9220
16.1955 27.0965
16.2022 28.3694
16.2089 29.7552
16.2156 31.2611
16.2209 32.5616
16.2263 33.9552
16.2316 35.4493
16.2370 37.0485
16.2423 38.7673
16.2476 40.6079
16.2530 42.5865
16.2583 44.7053
16.2637 46.9822
16.2690 49.4238
16.2744 52.0406
16.2797 54.8382
16.2851 57.8378
16.2904 61.0393
16.2958 64.4654
16.3011 68.1140
16.3051 70.9954
16.3091 74.0066
16.3170 80.4540
16.3250 87.4907
16.3330 95.1384
16.3409 103.412
16.3489 112.319
16.3568 121.853
16.3648 132.002
16.3735 143.746
16.3822 156.116
16.3909 169.062
16.3995 182.451
16.4075 195.045
16.4155 207.796
16.4234 220.592
16.4314 233.298
16.4473 257.839
16.4553 269.358
16.4632 280.162
16.4725 291.695
16.4819 301.795
16.4912 310.245
16.5005 316.859
16.5066 320.135
16.5128 322.517
16.5189 323.989
16.5250 324.532
16.5321 323.992
16.5393 322.202
16.5464 319.183
16.5535 314.986
16.5633 307.411
16.5730 297.924
16.5828 286.748
16.5926 274.144
16.6071 253.394
16.6216 231.070
16.6328 213.322
16.6440 195.595
16.6552 178.217
16.6664 161.479
16.6736 151.094
16.6809 141.123
16.6881 131.605
16.6954 122.566
16.7026 114.026
16.7099 105.995
16.7171 98.4759
16.7244 91.4645
16.7316 84.9509
16.7389 78.9204
16.7461 73.3543
16.7534 68.2310
16.7606 63.5268
16.7679 59.2165
16.7751 55.2740
16.7824 51.6731
16.7883 48.9593
16.7942 46.4475
16.8002 44.1194
16.8061 41.9619
16.8120 39.9627
16.8180 38.1097
16.8239 36.3919
16.8298 34.7987
16.8358 33.3177
16.8417 31.9447
16.8476 30.6686
16.8535 29.4814
16.8595 28.3758
16.8654 27.3451
16.8713 26.3830
16.8773 25.4840
16.8845 24.4630
16.8918 23.5198
16.8990 22.6469
16.9063 21.8375
16.9135 21.0854
16.9208 20.3853
16.9280 19.7324
16.9353 19.1222
16.9425 18.5512
16.9498 18.0157
16.9570 17.5127
16.9643 17.0396
16.9715 16.5939
16.9788 16.1735
16.9860 15.7762
16.9933 15.4004
17.0018 14.9817
17.0104 14.5883
17.0190 14.2183
17.0275 13.8700
17.0361 13.5409
17.0447 13.2300
17.0618 12.6577
17.0789 12.1428
17.0961 11.6781
17.1132 11.2567
17.1303 10.8735
17.1453 10.5669
17.1602 10.2831
17.1751 10.0198
17.1901 9.77513
17.2050 9.54710
17.2199 9.33444
17.2348 9.13550
17.2498 8.94935
17.2647 8.77466
17.2796 8.61070
17.2945 8.45640
17.3095 8.31117
17.3244 8.17413
17.3393 8.04483
17.3542 7.92253
17.3692 7.80688
17.3867 7.67845
17.4043 7.55784
17.4218 7.44434
