Mg-24(n,g) ENDFB-8.0
Energy(eV) XS(b)
63422.9 0.00111533
64045.9 0.00118927
64668.9 0.00127141
65291.9 0.00136134
65914.9 0.00146066
66537.9 0.00157144
67160.9 0.00169369
67783.9 0.00183106
68406.9 0.00198482
69029.9 0.00215635
69539.7 0.00231466
70049.4 0.00249009
70559.1 0.00268491
70814.0 0.00278866
71068.9 0.00290195
71323.7 0.00301781
71578.6 0.00314451
72088.3 0.00341652
72343.2 0.00356366
72598.1 0.00372167
72852.9 0.00388963
73107.8 0.00406854
73419.3 0.00430472
73730.8 0.00455926
74042.3 0.00483523
74353.8 0.00513654
74665.3 0.00546246
74976.8 0.00581961
75288.3 0.00620939
75599.8 0.00663338
75911.3 0.00710227
76222.8 0.00761393
76534.3 0.00817590
76845.8 0.00879780
77157.3 0.00947821
77468.8 0.0102330
77624.6 0.0106357
77780.3 0.0110653
78091.8 0.0119783
78289.2 0.0126098
78486.5 0.0132820
78683.8 0.0139959
78881.1 0.0147534
79078.5 0.0155590
79275.8 0.0164019
79473.1 0.0173110
79670.4 0.0182618
79867.7 0.0192530
80065.1 0.0203041
80459.7 0.0225294
80657.0 0.0236976
80854.4 0.0249037
81249.0 0.0273289
81512.8 0.0289381
81776.6 0.0304791
82040.4 0.0319001
82304.2 0.0331460
82436.1 0.0337056
82568.0 0.0341862
82699.9 0.0345974
82831.7 0.0349336
82963.6 0.0351903
83095.5 0.0353640
83227.4 0.0354517
83359.3 0.0354517
83500.0 0.0353557
83658.3 0.0351304
83816.6 0.0347867
83974.8 0.0343341
84133.1 0.0337818
84291.4 0.0331399
84449.7 0.0324003
84607.9 0.0316285
84766.2 0.0307725
85082.7 0.0289727
85399.3 0.0270851
86032.4 0.0233130
86372.3 0.0214040
86712.3 0.0196151
86882.2 0.0187597
87052.2 0.0179583
87392.1 0.0164380
87732.1 0.0150564
88072.0 0.0138126
88412.0 0.0126870
88751.9 0.0116731
89009.7 0.0109759
89267.4 0.0103290
89525.2 0.00973104
89783.0 0.00918091
90040.7 0.00866921
90298.5 0.00819761
90556.3 0.00776044
90814.0 0.00735325
91060.1 0.00699632
91306.2 0.00666102
91798.3 0.00605313
92044.3 0.00578049
92290.4 0.00552514
92536.4 0.00528170
92782.5 0.00505789
93274.6 0.00464488
93766.7 0.00428310
94012.7 0.00411446
94258.8 0.00395928
94750.9 0.00366891
95266.4 0.00340051
95782.0 0.00315872
96297.5 0.00294159
96813.0 0.00274734
97328.6 0.00257056
97844.1 0.00241133
98359.7 0.00226654
98875.2 0.00213384
99437.6 0.00200339
100000 0.00188377
100824 0.00172916
101648 0.00159220
102472 0.00147126
103296 0.00136482
104120 0.00126922
104944 0.00118427
105767 0.00110795
106591 0.00103870
108239 0.000920273
109887 0.000822112
111535 0.000739875
113183 0.000670360
114831 0.000611723
116478 0.000560787
118126 0.000516692
119774 0.000478641
121422 0.000445013
123070 0.000415656
126365 0.000366478
129960 0.000324522
133556 0.000291515
137151 0.000265277
140746 0.000244283
146738 0.000218271
152730 0.000200203
156925 0.000191531
161119 0.000185380
165314 0.000181482
