60-Nd_n-g
> 60-Nd-142:0.271520
> 60-Nd-143:0.121740
> 60-Nd-144:0.237980
> 60-Nd-145:0.082930
> 60-Nd-146:0.171890
> 60-Nd-148:0.057560
> 60-Nd-150:0.056380
4.212020e+00 2.92129489e+01
4.215140e+00 3.07919588e+01
4.218250e+00 3.25097880e+01
4.220120e+00 3.36306954e+01
4.221370e+00 3.43801897e+01
4.224490e+00 3.64174509e+01
4.227600e+00 3.86364872e+01
4.230720e+00 4.10534019e+01
4.234120e+00 4.39356796e+01
4.237520e+00 4.70948606e+01
4.240920e+00 5.05556580e+01
4.244320e+00 5.43388872e+01
4.247000e+00 5.75947247e+01
4.247720e+00 5.84695839e+01
4.250000e+00 6.14856645e+01
4.251120e+00 6.29672861e+01
4.254530e+00 6.78541007e+01
4.257930e+00 7.31444427e+01
4.261040e+00 7.83643369e+01
4.264160e+00 8.39430792e+01
4.267280e+00 8.98871281e+01
4.270390e+00 9.61962249e+01
4.273510e+00 1.02866907e+02
4.273870e+00 1.03677268e+02
4.276630e+00 1.09890771e+02
4.279750e+00 1.17250598e+02
4.282860e+00 1.24926376e+02
4.289100e+00 1.41108085e+02
4.295330e+00 1.58124887e+02
4.300750e+00 1.73245374e+02
4.307800e+00 1.92914839e+02
4.313880e+00 2.09189012e+02
4.314190e+00 2.09955440e+02
4.319960e+00 2.24221949e+02
4.323000e+00 2.31087031e+02
4.326040e+00 2.37420531e+02
4.327630e+00 2.40408832e+02
4.329090e+00 2.43153105e+02
4.332130e+00 2.48221716e+02
4.336590e+00 2.54348704e+02
4.341060e+00 2.58766524e+02
4.341070e+00 2.58772339e+02
4.345530e+00 2.61366720e+02
4.350000e+00 2.62080262e+02
4.352910e+00 2.61524158e+02
4.354510e+00 2.60776715e+02
4.355810e+00 2.60169758e+02
4.358720e+00 2.58032940e+02
4.361620e+00 2.55138947e+02
4.364520e+00 2.51516829e+02
4.367430e+00 2.47208074e+02
4.367950e+00 2.46320221e+02
4.370330e+00 2.42257296e+02
4.373240e+00 2.36718726e+02
4.378690e+00 2.24929886e+02
4.381390e+00 2.18358648e+02
4.384140e+00 2.11666660e+02
4.389590e+00 1.97353632e+02
4.394830e+00 1.82991715e+02
4.395040e+00 1.82416225e+02
4.406340e+00 1.51130466e+02
4.408260e+00 1.46010518e+02
4.411990e+00 1.36065718e+02
4.417640e+00 1.21773958e+02
