16-S_n-tot
>   16-S-32:0.949995
>   16-S-33:0.007501
>   16-S-34:0.042504
2.132500e-02 1.61227554e+00
2.198750e-02 1.60318919e+00
2.265000e-02 1.59451423e+00
2.331250e-02 1.58621125e+00
2.397500e-02 1.57826144e+00
2.463750e-02 1.57065353e+00
2.530000e-02 1.56334015e+00
2.645780e-02 1.55124615e+00
2.761560e-02 1.53993580e+00
2.877340e-02 1.52932960e+00
2.993130e-02 1.51935075e+00
3.108910e-02 1.50994867e+00
3.224690e-02 1.50106572e+00
3.340470e-02 1.49266189e+00
3.456250e-02 1.48468853e+00
3.552740e-02 1.47834762e+00
3.649220e-02 1.47226081e+00
3.745700e-02 1.46641895e+00
3.842190e-02 1.46080169e+00
3.938670e-02 1.45538980e+00
4.035160e-02 1.45018344e+00
4.131640e-02 1.44516288e+00
4.228130e-02 1.44031826e+00
4.421090e-02 1.43110851e+00
4.614060e-02 1.42249503e+00
4.807030e-02 1.41440975e+00
5.000000e-02 1.40681294e+00
5.156250e-02 1.40097438e+00
5.312500e-02 1.39539935e+00
5.468750e-02 1.39006891e+00
5.625000e-02 1.38496335e+00
5.781250e-02 1.38007273e+00
5.937500e-02 1.37538664e+00
6.093750e-02 1.37087736e+00
6.250000e-02 1.36653394e+00
6.406250e-02 1.36236590e+00
6.562500e-02 1.35833524e+00
6.718750e-02 1.35446072e+00
6.875000e-02 1.35071308e+00
7.187500e-02 1.34359862e+00
7.500000e-02 1.33693406e+00
7.812500e-02 1.33067933e+00
8.125000e-02 1.32479549e+00
8.437500e-02 1.31924418e+00
8.750000e-02 1.31399512e+00
9.062500e-02 1.30902008e+00
9.375000e-02 1.30429857e+00
9.687500e-02 1.29981108e+00
1.000000e-01 1.29553847e+00
1.031250e-01 1.29147080e+00
1.062500e-01 1.28757944e+00
1.093750e-01 1.28385352e+00
1.125000e-01 1.28029348e+00
1.156250e-01 1.27687059e+00
1.187500e-01 1.27359357e+00
1.218750e-01 1.27044378e+00
1.250000e-01 1.26741071e+00
1.281250e-01 1.26449495e+00
1.312500e-01 1.26167725e+00
1.343750e-01 1.25896644e+00
1.375000e-01 1.25635277e+00
1.437500e-01 1.25137038e+00
1.500000e-01 1.24671009e+00
1.562500e-01 1.24234198e+00
1.625000e-01 1.23821789e+00
1.687500e-01 1.23432817e+00
1.750000e-01 1.23065298e+00
1.812500e-01 1.22717302e+00
1.875000e-01 1.22386815e+00
1.937500e-01 1.22072943e+00
2.000000e-01 1.21773702e+00
2.093750e-01 1.21350678e+00
2.187500e-01 1.20954949e+00
2.281250e-01 1.20583630e+00
2.375000e-01 1.20235691e+00
2.468750e-01 1.19907254e+00
2.562500e-01 1.19597347e+00
2.656250e-01 1.19303071e+00
2.750000e-01 1.19025331e+00
2.843750e-01 1.18761222e+00
2.937500e-01 1.18509835e+00
3.031250e-01 1.18270121e+00
3.125000e-01 1.18041171e+00
3.218750e-01 1.17822894e+00
3.312500e-01 1.17613398e+00
3.406250e-01 1.17413658e+00
3.500000e-01 1.17221726e+00
3.593750e-01 1.17036624e+00
3.687500e-01 1.16859280e+00
3.781250e-01 1.16688800e+00
3.875000e-01 1.16524135e+00
3.968750e-01 1.16365328e+00
4.062500e-01 1.16212379e+00
4.250000e-01 1.15922067e+00
4.437500e-01 1.15650250e+00
4.625000e-01 1.15395048e+00
5.000000e-01 1.14929407e+00
5.312500e-01 1.14579683e+00
5.625000e-01 1.14259219e+00
5.937500e-01 1.13964100e+00
6.250000e-01 1.13691375e+00
6.875000e-01 1.13204339e+00
7.500000e-01 1.12778765e+00
8.125000e-01 1.12403804e+00
8.750000e-01 1.12070717e+00
9.375000e-01 1.11771741e+00
1.000000e+00 1.11501016e+00
1.062500e+00 1.11253644e+00
1.125000e+00 1.11027710e+00
1.187500e+00 1.10820306e+00
1.250000e+00 1.10627496e+00
1.375000e+00 1.10283730e+00
1.500000e+00 1.09984753e+00
1.625000e+00 1.09719894e+00
1.750000e+00 1.09485237e+00
1.875000e+00 1.09273932e+00
2.000000e+00 1.09082108e+00
2.187500e+00 1.08826956e+00
2.375000e+00 1.08602014e+00
2.562500e+00 1.08402375e+00
2.750000e+00 1.08224130e+00
2.937500e+00 1.08063458e+00
3.125000e+00 1.07916408e+00
3.312500e+00 1.07782946e+00
3.500000e+00 1.07659292e+00
3.875000e+00 1.07440107e+00
4.250000e+00 1.07251118e+00
4.625000e+00 1.07085516e+00
5.000000e+00 1.06939359e+00
5.312500e+00 1.06829269e+00
5.625000e+00 1.06727909e+00
5.937500e+00 1.06634357e+00
6.250000e+00 1.06548612e+00
6.875000e+00 1.06394567e+00
7.500000e+00 1.06260010e+00
8.125000e+00 1.06141508e+00
8.750000e+00 1.06035766e+00
9.375000e+00 1.05940704e+00
1.000000e+01 1.05854456e+00
1.062500e+01 1.05775777e+00
1.125000e+01 1.05703679e+00
1.187500e+01 1.05637249e+00
1.250000e+01 1.05575814e+00
