Ne-22(n,g) ENDFB-8.0
Energy(eV) XS(b)
22707.8 0.000104227
22713.3 9.22800E-05
22724.1 7.38823E-05
22735.0 6.05718E-05
22745.9 5.07018E-05
22756.7 4.30421E-05
22767.6 3.69871E-05
22781.8 3.08505E-05
22796.0 2.61579E-05
22810.2 2.24836E-05
22824.4 1.95595E-05
22838.6 1.72379E-05
22852.8 1.53149E-05
22867.0 1.36634E-05
22881.2 1.22969E-05
22909.6 1.01303E-05
22938.0 8.52209E-06
22966.4 7.29539E-06
22994.8 6.33840E-06
23038.3 5.23756E-06
23081.7 4.45586E-06
23125.2 3.83898E-06
23168.6 3.35904E-06
23342.4 2.24204E-06
23690.0 1.40091E-06
24759.5 8.32045E-07
25829.0 6.90388E-07
26470.8 6.42305E-07
28075.0 5.61746E-07
29679.3 5.06134E-07
32887.8 4.26943E-07
44866.4 2.79654E-07
50000.0 2.47277E-07
62500.0 1.99185E-07
75000.0 1.73109E-07
87500.0 1.57796E-07
100000 1.48705E-07
129441 1.41884E-07
162563 1.51866E-07
195684 1.82439E-07
215925 2.17758E-07
236166 2.75666E-07
269287 4.86736E-07
279408 6.19652E-07
284468 7.11069E-07
289528 8.27138E-07
293208 9.33022E-07
296889 1.06295E-06
299649 1.18081E-06
302409 1.32118E-06
305169 1.49017E-06
307929 1.69609E-06
310459 1.92765E-06
311724 2.06189E-06
312989 2.21214E-06
314254 2.37856E-06
315519 2.56640E-06
316784 2.77767E-06
318049 3.01448E-06
319027 3.22092E-06
320005 3.44959E-06
320982 3.70344E-06
321960 3.98606E-06
322937 4.30178E-06
323915 4.65183E-06
324892 5.04834E-06
325381 5.26519E-06
325870 5.49582E-06
326502 5.81800E-06
327135 6.16587E-06
327767 6.54369E-06
328400 6.95682E-06
329032 7.40420E-06
329665 7.89463E-06
330297 8.42978E-06
330930 9.01140E-06
331572 9.66302E-06
331893 1.00077E-05
332214 1.03722E-05
332855 1.11499E-05
333176 1.15650E-05
333497 1.20029E-05
334139 1.29290E-05
334781 1.39469E-05
335102 1.44829E-05
335423 1.50471E-05
336064 1.62352E-05
336465 1.70282E-05
336866 1.78517E-05
337668 1.95813E-05
338469 2.14160E-05
339271 2.32893E-05
340874 2.68841E-05
341275 2.76599E-05
341675 2.83619E-05
342076 2.89836E-05
342477 2.95115E-05
342878 2.98917E-05
343279 3.01516E-05
343679 3.03079E-05
344080 3.03073E-05
344614 3.00863E-05
345015 2.97510E-05
345416 2.93046E-05
345817 2.87596E-05
346218 2.81203E-05
346618 2.73768E-05
347019 2.65746E-05
347821 2.48392E-05
351027 1.76846E-05
351824 1.61453E-05
352622 1.47290E-05
353419 1.34611E-05
353817 1.28667E-05
354216 1.23165E-05
355013 1.12862E-05
355811 1.03775E-05
356209 9.95351E-06
356608 9.56268E-06
357405 8.83233E-06
358226 8.17110E-06
359047 7.57870E-06
359867 7.05080E-06
360688 6.58341E-06
361509 6.16265E-06
362329 5.78892E-06
363150 5.45410E-06
363971 5.15196E-06
364791 4.88393E-06
365612 4.64158E-06
366433 4.42366E-06
367254 4.22907E-06
368074 4.05285E-06
368895 3.89557E-06
369716 3.75437E-06
370536 3.62710E-06
371879 3.44969E-06
373222 3.30338E-06
374565 3.18440E-06
375237 3.13252E-06
375908 3.08991E-06
376580 3.04951E-06
377251 3.01763E-06
378594 2.96577E-06
379937 2.93294E-06
381280 2.91819E-06
382325 2.91982E-06
383369 2.93153E-06
384414 2.95302E-06
384936 2.96598E-06
385458 2.98261E-06
386503 3.02359E-06
387547 3.07405E-06
388070 3.10279E-06
388592 3.13385E-06
389114 3.16723E-06
389636 3.20295E-06
390233 3.24674E-06
391052 3.31198E-06
391462 3.34628E-06
391872 3.38235E-06
392691 3.45800E-06
393100 3.49786E-06
393510 3.53900E-06
393919 3.58111E-06
394329 3.62444E-06
395148 3.71447E-06
395558 3.76083E-06
395967 3.80835E-06
396786 3.90529E-06
397196 3.95495E-06
397605 4.00501E-06
398015 4.05543E-06
398424 4.10626E-06
399243 4.20815E-06
399653 4.25900E-06
400062 4.30949E-06
400472 4.35963E-06
400881 4.40915E-06
401700 4.50537E-06
402110 4.55201E-06
402519 4.59680E-06
403338 4.68226E-06
404008 4.74582E-06
404678 4.80301E-06
406019 4.89356E-06
407359 4.95206E-06
408699 4.97145E-06
410337 4.93274E-06
411156 4.89449E-06
411975 4.83626E-06
412794 4.76529E-06
413613 4.68391E-06
414432 4.58839E-06
415251 4.48267E-06
416070 4.37020E-06
416889 4.25002E-06
417708 4.12392E-06
418527 3.99502E-06
419346 3.86350E-06
420165 3.73075E-06
421803 3.46644E-06
423589 3.18764E-06
425376 2.92249E-06
427332 2.65578E-06
429288 2.41281E-06
431243 2.19458E-06
433199 1.99842E-06
441021 1.40983E-06
445170 1.19394E-06
449320 1.02337E-06
453469 8.87143E-07
457619 7.77136E-07
461768 6.87741E-07
465917 6.13802E-07
470067 5.52034E-07
474216 4.99979E-07
478366 4.56215E-07
482515 4.18292E-07
490814 3.57354E-07
499113 3.10811E-07
507411 2.74567E-07
516464 2.43698E-07
525518 2.19427E-07
534571 2.00124E-07
543624 1.84660E-07
560222 1.63838E-07
576819 1.50019E-07
593417 1.41431E-07
610014 1.37080E-07
616050 1.36466E-07
632647 1.37340E-07
649245 1.42013E-07
682440 1.65355E-07
724688 2.43874E-07
741286 3.06784E-07
749584 3.51172E-07
757883 4.08328E-07
763919 4.60979E-07
769200 5.17380E-07
774481 5.85069E-07
779762 6.68658E-07
782402 7.17468E-07
785043 7.71827E-07
789192 8.71214E-07
791267 9.27945E-07
793342 9.90577E-07
795416 1.05897E-06
797491 1.13473E-06
799566 1.21820E-06
801640 1.30970E-06
803727 1.41253E-06
805814 1.52539E-06
807901 1.65011E-06
808945 1.71733E-06
809988 1.78832E-06
812075 1.93935E-06
814162 2.10623E-06
815206 2.19434E-06
816249 2.28782E-06
818336 2.48344E-06
820479 2.70033E-06
821550 2.81266E-06
822621 2.92853E-06
824764 3.16469E-06
826906 3.40245E-06
831191 3.84525E-06
833333 4.02630E-06
835476 4.16729E-06
836644 4.21802E-06
837813 4.25251E-06
838982 4.27066E-06
840150 4.27168E-06
841709 4.24000E-06
843268 4.17629E-06
844826 4.08347E-06
846385 3.96558E-06
847624 3.85590E-06
848862 3.73691E-06
850101 3.61072E-06
851339 3.47912E-06
852578 3.34377E-06
853816 3.20719E-06
856293 2.93640E-06
866201 2.00410E-06
869256 1.78360E-06
872312 1.59230E-06
875367 1.42702E-06
878422 1.28458E-06
881478 1.16302E-06
884533 1.05704E-06
887588 9.65328E-07
890644 8.86569E-07
893699 8.17463E-07
896754 7.57798E-07
899809 7.05710E-07
902865 6.59787E-07
908975 5.85285E-07
915086 5.28106E-07
921196 4.84525E-07
927307 4.51953E-07
937306 4.18304E-07
947305 4.04818E-07
971748 4.57614E-07
983969 5.47121E-07
