Os-187(n,g) ENDFB-8.0
Energy(eV) XS(b)
22.9053 104.434
22.9202 98.3509
22.9324 93.7676
22.9445 89.5082
22.9567 85.5388
22.9689 81.8332
22.9811 78.3652
22.9933 75.1198
23.0054 72.0754
23.0176 69.2155
23.0298 66.5230
23.0420 63.9889
23.0542 61.5990
23.0664 59.3423
23.0785 57.2091
23.0907 55.1902
23.1151 51.4642
23.1300 49.3703
23.1449 47.4045
23.1598 45.5551
23.1746 43.8131
23.1895 42.1704
23.2044 40.6193
23.2193 39.1533
23.2342 37.7662
23.2640 35.2066
23.2938 32.9015
23.3235 30.8180
23.3533 28.9286
23.3777 27.5102
23.4021 26.1955
23.4264 24.9735
23.4508 23.8368
23.4752 22.7768
23.4995 21.7874
23.5239 20.8619
23.5482 19.9954
23.5780 19.0086
23.6078 18.0940
23.6376 17.2447
23.6674 16.4544
23.6971 15.7180
23.7269 15.0306
23.7567 14.3881
23.7865 13.7867
23.8163 13.2230
23.8460 12.6938
23.8758 12.1965
23.9056 11.7286
23.9354 11.2878
23.9652 10.8719
23.9949 10.4793
24.0247 10.1082
24.0843 9.42434
24.1438 8.80974
24.2034 8.25533
24.2630 7.75355
24.3225 7.29796
24.3821 6.88309
24.4416 6.50426
24.5012 6.15752
24.5499 5.89517
24.5987 5.65044
24.6474 5.42182
24.6961 5.20785
24.7449 5.00712
24.7936 4.81846
24.8423 4.64093
24.8910 4.47376
24.9398 4.31619
24.9885 4.16759
25.0860 3.89467
25.1834 3.65039
25.2809 3.43095
25.3405 3.30767
25.4000 3.19183
25.4596 3.08286
25.5191 2.98023
25.6383 2.79215
25.7574 2.62433
25.8765 2.47404
25.9956 2.33899
26.1147 2.21727
26.2339 2.10725
26.3313 2.02496
26.4288 1.94894
26.5262 1.87876
26.6237 1.81395
26.7212 1.75360
26.8186 1.69734
26.9161 1.64497
27.0136 1.59622
27.2085 1.50839
27.4034 1.43188
27.5983 1.36506
27.7932 1.30658
28.0315 1.24484
28.2697 1.19230
28.5080 1.14762
28.7462 1.10974
28.9844 1.07778
29.2227 1.05103
29.4609 1.02891
29.6992 1.01111
29.9591 0.996012
30.2190 0.984705
30.4789 0.976930
30.7388 0.972594
30.9770 0.971589
31.2152 0.973059
31.4535 0.976874
31.6917 0.983231
31.9300 0.991921
32.1682 1.00279
32.4064 1.01608
32.6447 1.03177
32.8829 1.04968
33.1212 1.07009
33.3594 1.09314
33.5976 1.11868
33.8359 1.14696
34.0741 1.17833
34.3124 1.21269
34.5506 1.25026
34.8755 1.30742
35.2004 1.37197
35.5252 1.44478
35.8501 1.52686
36.0125 1.57125
36.1750 1.61891
36.4999 1.72382
36.6623 1.78145
36.8247 1.84289
36.9872 1.90846
37.1496 1.97850
37.3662 2.07951
37.5828 2.19019
37.7993 2.31175
38.0159 2.44560
38.2325 2.59336
38.4491 2.75699
38.6657 2.93849
38.7740 3.03663
38.8822 3.14053
38.9556 3.21432
39.0289 3.29102
39.1022 3.37076
39.1755 3.45373
39.2488 3.54011
39.3221 3.63007
39.3588 3.67645
39.3954 3.72378
39.4321 3.77212
39.4687 3.82147
