Mg-24(n,tot) ENDFB-8.0
Energy(eV) XS(b)
258475 13.1526
258647 13.1626
258990 13.1826
259506 13.2126
260021 13.2420
261052 13.3006
261602 13.3318
261678 13.3342
261943 13.3410
262208 13.3470
262739 13.3599
263801 13.3856
263901 13.3869
264163 13.3889
264426 13.3899
264951 13.3893
266000 13.3783
266249 13.3752
266773 13.3646
267296 13.3522
268343 13.3107
270437 13.1986
272531 13.0383
274625 12.8384
277499 12.5300
277617 12.5162
277954 12.4767
278291 12.4367
278966 12.3550
280314 12.1875
280376 12.1790
280579 12.1519
280782 12.1249
281188 12.0704
282000 11.9601
284250 11.6558
286500 11.3568
291000 10.7249
295500 10.1290
300000 9.56457
304500 9.03642
306750 8.78742
309000 8.55738
313500 8.11230
318000 7.71923
320750 7.49068
323500 7.27904
323659 7.26715
324009 7.24106
324358 7.21521
325057 7.16398
326455 7.06539
329251 6.87575
329394 6.86652
329735 6.84432
330077 6.82231
330761 6.77886
332128 6.69288
332263 6.68409
332637 6.66238
333012 6.64096
333760 6.59864
335257 6.51409
338251 6.34078
338545 6.32328
339523 6.27467
340501 6.22723
340754 6.21489
341753 6.16390
342751 6.11392
346410 5.94070
346504 5.93670
346863 5.92074
347223 5.90488
347942 5.87314
349379 5.81070
349501 5.80520
349782 5.79235
350064 5.77956
350626 5.75424
351751 5.70905
354001 5.62349
358501 5.45706
360752 5.38371
360880 5.37960
361229 5.36767
361578 5.35583
362276 5.33251
363672 5.28666
364129 5.27394
365113 5.24692
366098 5.22057
368066 5.16685
370034 5.11255
372002 5.07154
376235 4.98149
376693 4.97530
377756 4.96017
378820 4.94505
380946 4.91505
383252 4.90072
385502 4.88655
387935 4.89287
390368 4.91215
392435 4.95138
393469 4.97083
394502 5.00129
397094 5.10089
399173 5.21570
401253 5.36181
402563 5.48069
403874 5.61950
404548 5.69613
405222 5.78782
405896 5.87956
406570 5.98565
407316 6.10792
407689 6.16929
408062 6.24386
409554 6.54758
410588 6.79323
411621 7.06854
412584 7.35983
413546 7.68315
413935 7.81765
414323 7.96823
414712 8.11441
415100 8.27785
415563 8.46897
416532 8.91427
417192 9.23730
417851 9.58098
419117 10.3065
419893 10.7851
420668 11.2976
421831 12.0853
422994 12.9476
424092 13.7619
424789 14.2820
425403 14.7383
425847 15.0587
426193 15.3055
426441 15.4945
426689 15.6353
427000 15.8432
427355 16.0814
427932 16.4580
428286 16.6505
428730 16.8946
429452 17.2499
429971 17.4656
430000 17.4780
430066 17.5049
430131 17.5300
430263 17.5749
430525 17.6589
430940 17.7928
431375 17.8952
431539 17.9224
431631 17.9405
432000 17.9819
432323 18.0288
432461 18.0383
432645 18.0576
432669 18.0609
432732 18.0644
432796 18.0669
432922 18.0733
432968 18.0777
433095 18.0880
433222 18.0909
433475 18.0718
433521 18.0693
433701 18.0627
433752 18.0613
433933 18.0504
434114 18.0264
434476 17.9751
434490 17.9731
434536 17.9673
434582 17.9615
434675 17.9483
434859 17.9155
435227 17.8301
435251 17.8242
435320 17.8089
435497 17.7686
435673 17.7236
436026 17.6213
436057 17.6128
436149 17.5882
436242 17.5626
436426 17.5091
436795 17.3924
436801 17.3906
436826 17.3835
436850 17.3766
436899 17.3623
437008 17.3255
437117 17.2867
437334 17.2071
437769 17.0372
438639 16.6812
439902 16.1274
439930 16.1148
440005 16.0814
440080 16.0480
440230 15.9805
440530 15.8448
441129 15.5694
442328 15.0146
444541 13.9883
444553 13.9830
444601 13.9620
444650 13.9412
444746 13.8998
444940 13.8174
445327 13.6538
446100 13.3235
446128 13.3117
446151 13.3015
446223 13.2705
446295 13.2396
446438 13.1780
446725 13.0564
446754 13.0450
446869 13.0013
446984 12.9566
447214 12.8673
447243 12.8563
447270 12.8457
447366 12.8088
447462 12.7722
447654 12.6991
447676 12.6906
447748 12.6624
447820 12.6343
447964 12.5785
448252 12.4681
448828 12.2454
449403 12.0399
449691 11.9382
449835 11.8879
449907 11.8618
449943 11.8303
449961 11.7825
449979 11.6937
450000 11.5446
450000 11.5431
450001 11.5370
450002 11.5316
450003 11.5202
450006 11.4982
450012 11.4549
450024 11.3780
