Co-59(n,g) ENDFB-8.0
Energy(eV) XS(b)
173.414 3.67823
174.813 3.43400
176.212 3.21302
177.612 3.01240
179.011 2.82984
180.410 2.66317
181.810 2.51065
183.209 2.37077
184.608 2.24213
186.007 2.12362
187.407 2.01420
188.806 1.91296
190.205 1.81981
191.605 1.73264
193.004 1.65197
194.403 1.57616
195.802 1.50549
197.202 1.43998
198.601 1.37826
200.000 1.32033
201.611 1.25866
203.223 1.20088
204.834 1.14665
206.445 1.09655
208.057 1.04963
209.668 1.00533
211.279 0.964110
212.891 0.925511
214.502 0.888905
216.113 0.854599
219.336 0.791907
220.947 0.763070
222.559 0.736024
225.781 0.685835
229.004 0.640968
232.227 0.600392
235.449 0.563687
238.672 0.530489
241.895 0.500161
245.117 0.472564
248.340 0.447319
251.563 0.424110
254.492 0.404700
257.422 0.386687
260.352 0.369913
263.281 0.354568
266.211 0.339826
269.141 0.326309
275.000 0.301552
278.223 0.289412
281.445 0.277971
284.668 0.267166
287.891 0.257216
294.336 0.238961
297.559 0.230694
300.781 0.222935
304.004 0.215537
307.227 0.208591
313.672 0.195870
320.117 0.184469
326.563 0.174162
332.422 0.165724
338.281 0.158005
344.141 0.150908
350.000 0.144383
354.688 0.139551
359.375 0.135027
368.750 0.126778
378.125 0.119459
387.500 0.112938
396.875 0.107101
406.250 0.101853
415.625 0.0971137
425.000 0.0928187
434.375 0.0889118
443.750 0.0853456
453.125 0.0820799
462.500 0.0790804
471.875 0.0763175
481.250 0.0737654
490.625 0.0714022
500.000 0.0692096
515.625 0.0658860
531.250 0.0629196
546.875 0.0602584
562.500 0.0578588
578.125 0.0556847
593.750 0.0537063
609.375 0.0518985
625.000 0.0502404
640.625 0.0487140
656.250 0.0473044
671.875 0.0459986
687.500 0.0447861
718.750 0.0426011
750.000 0.0406857
781.250 0.0389928
812.500 0.0374852
843.750 0.0361335
875.000 0.0349144
906.250 0.0338090
937.500 0.0328021
968.750 0.0318811
1000.00 0.0310358
1040.66 0.0300431
1081.33 0.0291433
1121.99 0.0283252
1162.66 0.0275804
1203.32 0.0269031
1243.98 0.0262903
1284.65 0.0257592
1304.98 0.0255378
1325.31 0.0253704
1336.98 0.0253459
1342.82 0.0253736
1348.65 0.0254544
1354.49 0.0256284
1357.41 0.0257684
1360.33 0.0259812
1363.24 0.0262982
1366.16 0.0267855
1367.62 0.0271160
1369.08 0.0275498
1370.54 0.0281304
1372.00 0.0289176
1373.50 0.0300577
1375.01 0.0317195
