Hg-196(n,tot) ENDFB-8.0
Energy(eV) XS(b)
90.8901 48.7792
90.9191 50.0807
90.9482 51.4328
90.9773 52.8379
91.0063 54.2987
91.0354 55.8175
91.0645 57.3983
91.0935 59.0437
91.1226 60.7573
91.1517 62.5424
91.1807 64.4031
91.2098 66.3434
91.2389 68.3676
91.2679 70.4797
91.2970 72.6861
91.3261 74.9915
91.3552 77.4015
91.3842 79.9223
91.4133 82.5605
91.4424 85.3231
91.4714 88.2178
91.5005 91.2526
91.5296 94.4365
91.5586 97.7788
91.5877 101.290
91.6168 104.981
91.6459 108.863
91.6749 112.950
91.7040 117.256
91.7331 121.795
91.7753 128.852
91.8176 136.494
91.8599 144.789
91.9022 153.810
91.9233 158.622
91.9445 163.645
91.9656 168.896
91.9868 174.387
92.0079 180.134
92.0290 186.151
92.0502 192.456
92.0713 199.067
92.1004 208.693
92.1295 218.991
92.1585 230.022
92.1876 241.858
92.2167 254.575
92.2457 268.261
92.2748 283.016
92.3039 298.950
92.3329 316.192
92.3620 334.884
92.3911 355.191
92.4202 377.303
92.4492 401.434
92.4783 427.835
92.5074 456.794
92.5219 472.330
92.5364 488.635
92.5510 505.773
92.5655 523.774
92.5800 542.722
92.5946 562.657
92.6091 583.677
92.6236 605.827
92.6382 629.223
92.6527 653.923
92.6672 680.058
92.6818 707.700
92.6963 737.005
92.7108 768.061
92.7254 801.050
92.7399 836.080
92.7544 873.339
92.7690 913.010
92.7901 975.479
92.8113 1044.13
92.8324 1119.77
92.8430 1160.47
92.8535 1203.26
92.8641 1248.25
92.8747 1295.57
92.8853 1345.38
92.8958 1397.81
92.9064 1453.02
92.9170 1511.16
92.9275 1572.42
92.9381 1636.95
92.9526 1731.41
92.9672 1832.84
92.9817 1941.87
92.9962 2058.87
93.0108 2184.51
93.0253 2319.13
93.0399 2463.42
93.0544 2617.64
93.0689 2782.45
93.0835 2958.00
93.0980 3144.83
93.1125 3342.93
93.1271 3552.66
93.1416 3773.73
93.1561 4006.30
93.1707 4249.71
93.1852 4503.80
93.1997 4767.50
93.2288 5320.57
93.2579 5898.84
93.2869 6488.37
93.2975 6702.40
93.3355 7450.81
93.3545 7802.76
93.3734 8131.60
93.3924 8431.70
93.4114 8697.01
93.4304 8922.58
93.4494 9103.60
93.4620 9197.76
93.4747 9269.58
93.4874 9318.50
93.5000 9344.03
93.5127 9346.02
93.5332 9299.19
93.5538 9191.80
93.5744 9026.90
93.5949 8809.02
93.6155 8543.56
93.6361 8237.30
93.6566 7897.08
93.6772 7530.71
93.7112 6886.89
93.7452 6223.84
93.7792 5569.19
93.7962 5252.11
93.8132 4944.83
93.8301 4650.44
93.8470 4368.91
93.8639 4101.02
93.8809 3847.35
93.8978 3608.09
93.9147 3383.56
93.9316 3173.46
93.9485 2977.43
93.9654 2794.90
93.9823 2625.48
93.9992 2468.41
94.0162 2322.96
94.0331 2188.33
94.0500 2063.93
94.0669 1948.94
94.0838 1842.66
94.1000 1748.64
94.1161 1661.42
94.1322 1580.36
94.1484 1505.05
94.1645 1434.94
94.1807 1369.69
94.1968 1308.86
94.2130 1252.09
94.2291 1199.01
94.2452 1149.38
94.2614 1102.87
94.2775 1059.28
94.2937 1018.33
94.3098 979.853
94.3260 943.642
94.3421 909.522
94.3590 875.826
94.3759 844.108
94.3928 814.197
94.4098 785.959
94.4267 759.254
94.4436 734.002
94.4605 710.084
94.4774 687.406
94.5112 645.426
94.5451 607.484
94.5789 573.060
94.6127 541.726
94.6527 508.173
94.6926 477.927
94.7326 450.545
94.7726 425.682
94.8126 403.021
94.8525 382.312
94.8925 363.323
94.9325 345.872
94.9663 332.177
95.0001 319.377
95.0340 307.388
95.0678 296.146
95.1016 285.584
95.1354 275.653
95.1693 266.296
95.2031 257.475
95.2369 249.144
95.2707 241.270
95.3046 233.815
95.3384 226.755
95.3722 220.057
95.4060 213.699
95.4737 201.909
95.5413 191.219
95.6090 181.495
95.6766 172.620
95.7443 164.496
95.8119 157.038
95.8796 150.174
95.9472 143.840
96.0149 137.982
96.0733 133.270
96.1317 128.851
96.1902 124.697
96.2486 120.789
96.3070 117.105
96.3654 113.628
96.4239 110.342
96.4823 107.232
96.5407 104.286
96.5991 101.494
96.6575 98.8430
96.7160 96.3245
96.8328 91.6489
96.9497 87.4045
97.0173 85.1226
97.0850 82.9580
97.1526 80.9025
97.2203 78.9486
97.3556 75.3186
97.4909 72.0197
97.6262 69.0112
97.7615 66.2584
97.8968 63.7320
98.0320 61.4069
98.1796 59.0740
98.3272 56.9303
98.4748 54.9549
98.6224 53.1299
98.7700 51.4399
98.9176 49.8725
99.0652 48.4156
99.2128 47.0564
99.4096 45.3787
99.6064 43.8405
99.8032 42.4265
100.000 41.1228
100.123 40.3618
100.245 39.6366
100.490 38.2851
100.735 37.0505
100.980 35.9190
101.225 34.8782
101.470 33.9189
101.715 33.0318
101.959 32.2094
102.182 31.5140
102.293 31.2059
102.349 31.1004
102.405 31.0967
102.433 31.1696
102.460 31.3228
102.488 31.5888
102.516 32.0079
102.530 32.2917
102.544 32.6303
102.558 33.0325
102.572 33.5054
102.586 34.0559
102.600 34.6911
102.613 35.4178
102.627 36.2422
102.641 37.1770
102.655 38.2135
102.669 39.3619
102.683 40.6244
102.697 42.0020
102.711 43.4941
102.725 45.0982
102.739 46.8103
102.753 48.6377
102.767 50.5463
102.794 54.6057
102.822 58.9061
102.850 63.3337
102.850 96.6675
109.859 93.7799
116.867 91.1503
123.876 88.7405
130.885 86.5225
137.894 84.4706
144.903 82.5659
151.912 80.7915
158.921 79.1330
165.930 77.5773
172.939 76.1148
179.948 74.7367
186.957 73.4349
193.966 72.2020
200.975 71.0326
214.993 68.8638
229.011 66.8916
243.029 65.0886
257.047 63.4311
271.065 61.9007
285.083 60.4813
299.101 59.1605
313.119 57.9273
327.137 56.7723
341.155 55.6870
355.173 54.6650
369.191 53.7004
383.209 52.7879
411.245 51.1009
439.281 49.5742
467.317 48.1832
495.353 46.9092
523.389 45.7361
551.425 44.6515
579.461 43.6444
607.497 42.7061
635.532 41.8290
663.568 41.0068
691.604 40.2336
719.640 39.5049
747.676 38.8165
775.712 38.1649
831.784 36.9591
887.856 35.8666
943.928 34.8703
1000.00 33.9570
1070.31 33.3505
1140.63 32.7926
1210.94 32.2765
1281.25 31.7971
1351.56 31.3498
1421.88 30.9310
1562.50 30.1671
1703.13 29.4854
1843.75 28.8716
1984.38 28.3143
2125.00 27.8050
2265.63 27.3364
2406.25 26.9033
2546.88 26.5012
2687.50 26.1262
2828.13 25.7752
2968.75 25.4456
3250.00 24.8422
3531.25 24.3014
3812.50 23.8125
4093.75 23.3673
4375.00 22.9592
4656.25 22.5830
4937.50 22.2345
5218.75 21.9103
5500.00 21.6074
6062.50 21.0567
6625.00 20.5671
7187.50 20.1273
7750.00 19.7291
8312.50 19.3659
8875.00 19.0325
9437.50 18.7249
10000.0 18.4397
10703.1 18.2006
11406.3 17.9795
12109.4 17.7742
12812.5 17.5826
14218.8 17.2344
15625.0 16.9250
17031.3 16.6472
18437.5 16.3955
19843.8 16.1657
21250.0 15.9545
22656.3 15.7593
24062.5 15.5781
26875.0 15.2509
29687.5 14.9621
32500.0 14.7042
35312.5 14.4717
38125.0 14.2603
40937.5 14.0667
43750.0 13.8884
46562.5 13.7231
49375.0 13.5694
55000.0 13.2911
60625.0 13.0448
66250.0 12.8245
71875.0 12.6253
77500.0 12.4440
83125.0 12.2776
88750.0 12.1242
94375.0 11.9819
100000 11.8495
106250 11.6212
112500 11.4100
118750 11.2137
125000 11.0307
137500 10.6984
150000 10.4038
162500 10.1400
175000 9.90170
187500 9.68491
200000 9.48643
218750 9.21753
237500 8.97748
256250 8.76123
275000 8.56494
293750 8.38557
312500 8.22072
331250 8.06845
350000 7.92716
368750 7.79552
387500 7.67244
425000 7.44836
428170 7.43061
428173 7.43060
428193 7.43049
430000 7.42045
447500 7.32605
465000 7.23643
500000 7.06989
525000 6.91743
550000 6.78034
575000 6.65684
600000 6.54542
650000 6.34216
700000 6.16948
750000 6.00412
800000 5.86132
850000 5.76410
900000 5.67682
1.00000E+06 5.52717
1.04153E+06 5.53163
1.04153E+06 5.53162
1.04464E+06 5.53197
1.04774E+06 5.53230
1.05395E+06 5.53297
1.06636E+06 5.53425
1.06636E+06 5.53425
1.07018E+06 5.53459
1.07734E+06 5.53533
1.08451E+06 5.53606
1.09883E+06 5.53748
1.11316E+06 5.53895
1.12749E+06 5.54037
1.14181E+06 5.54174
1.15614E+06 5.54306
1.17961E+06 5.54566
1.20307E+06 5.54811
1.22654E+06 5.55044
1.25000E+06 5.55263
1.27076E+06 5.55344
1.29823E+06 5.55655
1.32569E+06 5.55953
1.32942E+06 5.55974
1.33315E+06 5.55994
1.34061E+06 5.56036
1.35554E+06 5.56121
1.37046E+06 5.56207
1.38538E+06 5.56294
1.39776E+06 5.56455
1.40096E+06 5.56463
1.40415E+06 5.56473
1.41054E+06 5.56495
1.42332E+06 5.56551
1.43610E+06 5.56621
1.44888E+06 5.56705
1.47444E+06 5.56913
1.50000E+06 5.57170
1.56646E+06 5.65389
1.63292E+06 5.73309
1.69938E+06 5.80953
1.76584E+06 5.88338
1.76584E+06 5.88339
1.77049E+06 5.88855
1.77514E+06 5.89371
1.78444E+06 5.90398
1.78932E+06 5.90936
1.79419E+06 5.91473
1.79792E+06 5.91884
1.80165E+06 5.92295
1.80912E+06 5.93113
1.82404E+06 5.94737
1.82404E+06 5.94738
1.83060E+06 5.95452
1.83716E+06 5.96163
1.85027E+06 5.97575
1.85028E+06 5.97576
1.85450E+06 5.98032
1.85931E+06 5.98553
1.86411E+06 5.99073
1.87372E+06 6.00107
1.89295E+06 6.02158
1.91217E+06 6.04186
1.93139E+06 6.06192
1.93139E+06 6.06192
1.93858E+06 6.06962
1.94576E+06 6.07729
1.96014E+06 6.09258
1.97451E+06 6.10778
1.98888E+06 6.12289
1.98889E+06 6.12289
1.99444E+06 6.12790
2.00000E+06 6.13292
2.02266E+06 6.16123
2.02912E+06 6.16932
2.03558E+06 6.17739
2.04849E+06 6.19346
2.06141E+06 6.20943
2.07432E+06 6.22530
2.07432E+06 6.22530
2.08057E+06 6.23256
2.08682E+06 6.23979
2.09931E+06 6.25420
2.12430E+06 6.28275
2.14929E+06 6.31097
2.17429E+06 6.33886
2.19928E+06 6.36643
2.22427E+06 6.39369
2.27425E+06 6.44729
2.27949E+06 6.45310
2.28473E+06 6.45890
2.29521E+06 6.47046
2.31617E+06 6.49341
2.33712E+06 6.51617
2.35808E+06 6.53872
2.36492E+06 6.54609
2.37175E+06 6.55344
2.37776E+06 6.56008
2.38376E+06 6.56670
2.39577E+06 6.57989
2.41980E+06 6.60607
2.44382E+06 6.63199
2.46784E+06 6.65765
2.47588E+06 6.66555
2.48392E+06 6.67343
2.50000E+06 6.68908
2.50834E+06 6.69514
2.50835E+06 6.69514
2.50885E+06 6.69551
2.51653E+06 6.70178
2.52420E+06 6.70802
2.53955E+06 6.72043
2.57024E+06 6.74500
2.60094E+06 6.76922
2.63164E+06 6.79309
2.66234E+06 6.81662
2.69303E+06 6.83982
2.75443E+06 6.88528
2.81582E+06 6.92950
2.87721E+06 6.97254
2.93861E+06 7.01445
3.00000E+06 7.05527
3.03125E+06 7.06224
3.06250E+06 7.06909
3.09375E+06 7.07581
3.12500E+06 7.08241
3.18750E+06 7.09524
3.25000E+06 7.10762
3.31250E+06 7.12048
3.37500E+06 7.13289
3.43750E+06 7.14487
3.50000E+06 7.15643
3.56250E+06 7.16842
3.62500E+06 7.18004
3.68750E+06 7.19129
3.75000E+06 7.20219
3.81250E+06 7.21345
3.87500E+06 7.22438
3.93750E+06 7.23497
4.00000E+06 7.24524
4.04587E+06 7.22933
4.09174E+06 7.21365
4.13761E+06 7.19819
4.18349E+06 7.18295
4.22936E+06 7.16792
4.27523E+06 7.15309
4.32110E+06 7.13846
4.36697E+06 7.12403
4.40653E+06 7.11167
4.42869E+06 7.10481
4.44610E+06 7.09944
4.48566E+06 7.08736
4.52523E+06 7.07540
4.56479E+06 7.06358
4.60435E+06 7.05188
4.64392E+06 7.04031
4.68348E+06 7.02886
4.72305E+06 7.01749
4.76261E+06 7.00623
4.80218E+06 6.99510
4.84174E+06 6.98407
4.88131E+06 6.97316
4.92087E+06 6.96235
4.96044E+06 6.95165
5.00000E+06 6.94105
5.03125E+06 6.92078
5.06250E+06 6.90069
5.12500E+06 6.86108
5.18750E+06 6.82220
5.25000E+06 6.78401
5.31250E+06 6.74650
5.37500E+06 6.70965
5.43750E+06 6.67344
5.50000E+06 6.63785
5.56250E+06 6.60278
5.62500E+06 6.56829
5.68750E+06 6.53437
5.75000E+06 6.50101
5.81250E+06 6.46815
5.87500E+06 6.43580
5.93750E+06 6.40398
6.00000E+06 6.37264
6.03769E+06 6.34734
6.07538E+06 6.32233
6.11307E+06 6.29761
6.15076E+06 6.27318
6.18845E+06 6.24902
6.22614E+06 6.22514
6.26383E+06 6.20153
6.30152E+06 6.17818
6.33921E+06 6.15509
6.37689E+06 6.13225
6.41458E+06 6.10966
6.45227E+06 6.08732
6.48996E+06 6.06522
6.52765E+06 6.04336
6.56534E+06 6.02173
6.60303E+06 6.00033
6.60303E+06 6.00033
6.64669E+06 5.97524
6.66475E+06 5.96496
6.69034E+06 5.95047
6.73400E+06 5.92600
6.77765E+06 5.90182
6.82131E+06 5.87793
6.86496E+06 5.85433
6.90862E+06 5.83101
