Ni-61(n,g) ENDFB-8.0
Energy(eV) XS(b)
3146.73 0.697445
3146.93 0.652730
3147.13 0.613324
3147.33 0.578692
3147.53 0.547742
3147.73 0.520188
3147.93 0.495272
3148.13 0.472854
3148.33 0.452389
3148.53 0.433817
3148.93 0.401124
3149.33 0.373467
3149.70 0.351702
3150.06 0.332662
3150.43 0.315900
3150.79 0.301101
3151.15 0.287900
3151.52 0.276138
3151.88 0.265560
3152.25 0.256065
3152.98 0.239708
3153.71 0.226237
3154.43 0.215048
3155.16 0.205689
3155.86 0.198177
3156.55 0.191777
3157.24 0.186307
3157.93 0.181625
3158.63 0.177596
3159.32 0.174140
3160.70 0.168627
3162.09 0.164619
3163.48 0.161790
3164.86 0.159896
3166.25 0.158763
3167.41 0.158305
3168.94 0.158285
3170.48 0.158809
3172.01 0.159789
3173.54 0.161175
3175.07 0.162929
3176.60 0.165016
3179.66 0.170091
3182.72 0.176261
3185.79 0.183459
3188.85 0.191666
3191.91 0.200901
3195.12 0.211734
3198.33 0.223831
3201.53 0.237310
3204.74 0.252321
3207.95 0.269048
3211.16 0.287714
3214.37 0.308590
3215.97 0.319957
3217.57 0.332005
3220.49 0.355832
3221.95 0.368760
3223.41 0.382435
3224.87 0.396922
3226.32 0.412264
3227.78 0.428538
3229.24 0.445819
3230.70 0.464203
3232.16 0.483757
3233.62 0.504593
3235.07 0.526819
3236.53 0.550543
3237.99 0.575869
3239.45 0.602973
3240.91 0.632096
3242.51 0.666710
3244.11 0.704274
3245.72 0.745109
3247.32 0.789596
3248.93 0.838179
3250.53 0.891367
3252.13 0.949751
3253.74 1.01402
3255.34 1.08497
3256.95 1.16355
3258.55 1.25087
3259.35 1.29821
3260.15 1.34825
3260.96 1.40119
3261.76 1.45725
3262.56 1.51668
3263.36 1.57974
3264.16 1.64674
3264.97 1.71799
3265.77 1.79386
3266.57 1.87473
3267.74 2.00227
3268.90 2.14284
3270.07 2.29817
3271.24 2.47009
3271.82 2.56321
3272.40 2.66130
3272.99 2.76488
3273.57 2.87440
3274.15 2.99050
3274.74 3.11325
3275.32 3.24336
3275.90 3.38138
3276.70 3.58527
3277.51 3.80699
3278.31 4.04848
3279.11 4.31194
3279.91 4.59983
3280.71 4.91491
3281.52 5.26027
3282.32 5.63935
3283.12 6.05594
3283.92 6.51423
3284.72 7.01873
3285.53 7.57431
3286.33 8.18604
3287.13 8.85903
3287.93 9.59823
3288.73 10.4080
3289.24 10.9578
3289.75 11.5377
3290.26 12.1475
3290.76 12.7869
3291.78 14.1491
3292.79 15.6034
3294.82 18.6338
3295.83 20.0793
3296.34 20.7473
3296.84 21.3613
3297.24 21.7961
3297.63 22.1848
3298.03 22.5239
3298.42 22.8068
3298.82 23.0308
3299.21 23.1913
3299.61 23.2864
3300.00 23.3143
3300.40 23.2745
3300.79 23.1677
3301.19 22.9955
3301.58 22.7614
3301.97 22.4678
3302.37 22.1205
3302.76 21.7228
3303.16 21.2821
3303.95 20.2903
3304.74 19.1916
3306.31 16.8463
3307.15 15.6043
3307.98 14.4041
3308.82 13.2630
3309.65 12.1963
3310.49 11.2074
3311.32 10.3002
3312.16 9.47082
3312.57 9.08519
3312.99 8.71783
3313.48 8.30864
3313.97 7.92267
3314.46 7.55872
3314.95 7.21556
3315.44 6.89201
3315.93 6.58688
3316.42 6.29907
3316.91 6.02753
3317.40 5.77126
3317.89 5.52933
3318.38 5.30084
3318.87 5.08497
3319.36 4.88090
3319.85 4.68791
3320.34 4.50529
3320.83 4.33272
3321.40 4.14361
3321.96 3.96615
3322.53 3.79918
3323.10 3.64195
3323.67 3.49351
3324.23 3.35376
3324.80 3.22183
3325.37 3.09719
3325.93 2.97914
3326.50 2.86763
3327.64 2.66193
3328.77 2.47673
3329.90 2.30977
3331.04 2.15857
3332.17 2.02137
3333.31 1.89656
3334.44 1.78282
3335.58 1.67873
3336.71 1.58343
3337.85 1.49582
3338.98 1.41525
3339.86 1.35726
3340.74 1.30275
3341.61 1.25145
3342.49 1.20318
3343.37 1.15759
3344.24 1.11452
3346.00 1.03520
3347.75 0.963880
3349.50 0.899667
3351.26 0.841605
3353.01 0.789001
3354.14 0.757525
3355.28 0.727893
3356.41 0.699965
3357.55 0.673637
3358.68 0.648747
3359.82 0.625234
3362.09 0.581875
3364.36 0.542872
3366.63 0.507692
3368.89 0.475842
3371.16 0.446916
3373.43 0.420567
3375.70 0.396500
3377.97 0.374460
3380.24 0.354226
3382.51 0.335607
3384.78 0.318436
3387.05 0.302575
3389.32 0.287934
3391.59 0.274346
3393.85 0.261672
3396.12 0.249862
3398.39 0.238849
3400.66 0.228558
3402.93 0.218934
3405.20 0.209919
3407.47 0.201462
3409.74 0.193514
3412.01 0.186043
